Date,Open,High,Low,Close,Volume,OpenInt
2011-01-18,17.53,17.659,17.382,17.588,599112,0
2011-01-19,17.631,17.631,17.185,17.488,1227421,0
2011-01-20,17.324,17.614,17.31,17.458,894936,0
2011-01-21,17.512,17.53,17.31,17.482,563427,0
2011-01-24,17.449,17.605,17.364,17.53,430460,0
2011-01-25,17.449,17.668,17.405,17.504,359240,0
2011-01-26,17.521,17.579,17.458,17.504,421355,0
2011-01-27,17.449,17.614,17.449,17.614,547179,0
2011-01-28,17.504,17.597,17.496,17.53,550475,0
2011-01-31,17.53,17.617,17.487,17.521,240063,0
2011-02-01,17.504,17.614,17.458,17.53,681455,0
2011-02-02,17.405,17.488,17.332,17.373,204438,0
2011-02-03,17.303,17.516,17.303,17.434,667517,0
2011-02-04,17.458,17.512,17.283,17.332,265400,0
2011-02-07,17.34,17.449,17.239,17.414,552691,0
2011-02-08,17.458,17.458,17.235,17.239,300243,0
2011-02-09,17.118,17.449,16.961,17.396,515018,0
2011-02-10,17.294,17.575,17.294,17.485,311038,0
2011-02-11,17.317,17.605,17.301,17.605,211478,0
2011-02-14,17.458,17.736,17.405,17.571,188195,0
2011-02-15,17.382,17.614,17.364,17.512,223280,0
2011-02-16,17.488,17.605,17.431,17.53,68225,0
2011-02-18,17.656,17.767,17.542,17.7,266988,0
2011-02-22,17.571,17.752,17.496,17.631,143463,0
2011-02-23,17.458,17.685,17.2,17.466,208570,0
2011-02-24,17.301,17.466,17.283,17.347,95186,0
2011-02-25,17.399,17.65,17.285,17.609,104351,0
2011-02-28,17.555,17.775,17.555,17.741,161640,0
2011-03-01,17.724,17.849,17.542,17.691,266473,0
2011-03-02,17.627,17.707,17.312,17.426,206973,0
2011-03-03,17.469,17.7,17.334,17.681,65213,0
2011-03-04,17.691,17.776,17.46,17.507,140611,0
2011-03-07,17.691,17.691,17.21,17.312,258024,0
2011-03-08,17.334,17.642,17.25,17.575,260476,0
2011-03-09,17.443,17.642,17.25,17.408,223368,0
2011-03-10,17.285,17.376,17.052,17.092,197383,0
2011-03-11,17.044,17.443,16.969,17.176,63279,0
2011-03-14,17.078,17.485,17.003,17.417,145088,0
2011-03-15,17.21,17.385,17.092,17.385,193097,0
2011-03-16,17.417,17.592,17.241,17.303,290747,0
2011-03-17,17.488,17.625,17.306,17.371,201669,0
2011-03-18,17.507,17.839,17.408,17.839,645483,0
2011-03-21,17.839,17.891,17.691,17.807,101839,0
2011-03-22,17.873,17.882,17.477,17.839,139670,0
2011-03-23,17.873,17.873,17.452,17.724,141531,0
2011-03-24,17.798,17.822,17.516,17.749,230473,0
2011-03-25,17.691,17.899,17.691,17.83,201774,0
2011-03-28,17.882,17.891,17.776,17.798,171786,0
2011-03-29,17.767,17.839,17.575,17.65,290158,0
2011-03-30,17.785,17.785,17.385,17.491,541578,0
2011-03-31,17.358,17.675,17.025,17.65,3755654,0
2011-04-01,17.673,18.156,17.65,17.98,888930,0
2011-04-04,17.98,18.215,17.933,18.039,502693,0
2011-04-05,18.039,18.097,17.98,18.048,198448,0
2011-04-06,18.065,18.264,17.997,18.215,295109,0
2011-04-07,18.164,18.164,17.664,17.865,263545,0
2011-04-08,17.882,17.933,17.533,17.733,192739,0
2011-04-11,17.707,17.807,17.557,17.635,196497,0
2011-04-12,17.566,17.691,17.542,17.618,317744,0
2011-04-13,17.618,17.767,17.557,17.742,253456,0
2011-04-14,17.656,17.948,17.507,17.758,156721,0
2011-04-15,17.707,17.882,17.592,17.839,193253,0
2011-04-18,17.83,17.873,17.557,17.642,120511,0
2011-04-19,17.664,17.673,17.507,17.635,120982,0
