Date,Open,High,Low,Close,Volume,OpenInt
1983-04-06,0.7125,0.7125,0.7004,0.7044,3711236,0
1983-04-07,0.7044,0.7125,0.7004,0.7125,5327739,0
1983-04-08,0.7125,0.7166,0.7044,0.7084,6999570,0
1983-04-11,0.7125,0.7166,0.7084,0.7125,3485953,0
1983-04-12,0.7166,0.7247,0.7125,0.7206,9596250,0
1983-04-13,0.7206,0.7288,0.7206,0.7288,5264497,0
1983-04-14,0.7451,0.7529,0.7451,0.7451,13457678,0
1983-04-15,0.7491,0.7529,0.7407,0.7529,4798127,0
1983-04-18,0.7529,0.7529,0.7451,0.7491,3343664,0
1983-04-19,0.7491,0.7529,0.7407,0.7451,10580379,0
1983-04-20,0.7491,0.7652,0.7491,0.7652,5908730,0
1983-04-21,0.7652,0.7772,0.7611,0.7652,6493675,0
1983-04-22,0.7691,0.7814,0.7691,0.7772,5003647,0
1983-04-25,0.7772,0.7814,0.7731,0.7772,5224978,0
1983-04-26,0.7814,0.7936,0.7691,0.7894,3861421,0
1983-04-27,0.7852,0.7977,0.7772,0.7814,8833455,0
1983-04-28,0.7814,0.7852,0.7772,0.7852,3983943,0
1983-04-29,0.7814,0.7894,0.7731,0.7772,4829744,0
1983-05-02,0.7652,0.7731,0.7567,0.7567,5094553,0
1983-05-03,0.7529,0.7652,0.7491,0.7567,5292169,0
1983-05-04,0.7567,0.7611,0.7491,0.7491,3229054,0
1983-05-05,0.7529,0.7611,0.7491,0.7529,18263705,0
1983-05-06,0.7529,0.7691,0.7529,0.7652,16666965,0
1983-05-09,0.7691,0.7691,0.7611,0.7611,5790158,0
1983-05-10,0.7611,0.7691,0.7611,0.7611,4881126,0
1983-05-11,0.7567,0.7652,0.7567,0.7611,2991908,0
1983-05-12,0.7611,0.7652,0.7567,0.7611,3466190,0
1983-05-13,0.7611,0.7652,0.7567,0.7611,3331814,0
1983-05-16,0.7529,0.7529,0.7451,0.7529,2901012,0
1983-05-17,0.7529,0.7567,0.7491,0.7567,4177615,0
1983-05-18,0.7611,0.7691,0.7611,0.7611,8039037,0
1983-05-19,0.7611,0.7611,0.7451,0.7491,4529367,0
1983-05-20,0.7451,0.7491,0.7366,0.7451,4497752,0
1983-05-23,0.7206,0.7407,0.7206,0.7366,5553022,0
1983-05-24,0.7366,0.7366,0.7288,0.7366,6007538,0
1983-05-25,0.7366,0.7366,0.7288,0.7366,7857228,0
1983-05-26,0.7366,0.7407,0.7247,0.7366,5782254,0
1983-05-27,0.7327,0.7451,0.7288,0.7327,3900947,0
1983-05-31,0.7247,0.7288,0.7206,0.7247,8955974,0
1983-06-01,0.7247,0.7288,0.7166,0.7166,6134010,0
1983-06-02,0.7206,0.7247,0.7044,0.7084,9999384,0
1983-06-03,0.7084,0.7206,0.7084,0.7166,3355528,0
1983-06-06,0.7206,0.7288,0.7166,0.7247,4730938,0
1983-06-07,0.7288,0.7529,0.7288,0.7407,7841424,0
1983-06-08,0.7366,0.7407,0.7327,0.7327,5742730,0
1983-06-09,0.7327,0.7407,0.7206,0.7407,9066646,0
1983-06-10,0.7366,0.7366,0.7166,0.7166,5430497,0
1983-06-13,0.7166,0.7166,0.7084,0.7084,9762254,0
1983-06-14,0.7166,0.7247,0.7084,0.7247,7845369,0
1983-06-15,0.7247,0.7529,0.7206,0.7529,12572358,0
1983-06-16,0.7814,0.7814,0.7731,0.7814,14153285,0
1983-06-17,0.7814,0.7977,0.7814,0.7977,4849504,0
1983-06-20,0.8014,0.8014,0.7894,0.7894,3683572,0
1983-06-21,0.7772,0.7814,0.7652,0.7731,12331261,0
1983-06-22,0.7772,0.7772,0.7731,0.7731,9829440,0
1983-06-23,0.7731,0.7731,0.7567,0.7611,5379123,0
1983-06-24,0.7652,0.8176,0.7652,0.8097,14556423,0
1983-06-27,0.8097,0.8097,0.7936,0.7977,6137966,0
1983-06-28,0.7977,0.8014,0.7894,0.7977,4912740,0
1983-06-29,0.7977,0.7977,0.7852,0.7936,5643922,0
1983-06-30,0.7977,0.8217,0.7977,0.8055,3165811,0
1983-07-01,0.8055,0.8137,0.8014,0.8137,2383256,0
1983-07-05,0.8137,0.8137,0.7894,0.8014,4402895,0
1983-07-06,0.8014,0.8097,0.7977,0.8097,1920834,0
1983-07-07,0.8055,0.8097,0.8014,0.8014,3280435,0
1983-07-08,0.8055,0.8055,0.7894,0.7936,2458350,0
1983-07-11,0.8014,0.8055,0.7772,0.7772,4130186,0
1983-07-12,0.7772,0.7772,0.7652,0.7652,4260611,0
1983-07-13,0.7567,0.7567,0.7491,0.7567,11975555,0
1983-07-14,0.7731,0.7852,0.7652,0.7814,6687341,0
1983-07-15,0.8014,0.8055,0.7772,0.7977,5177551,0
1983-07-18,0.7936,0.7977,0.7852,0.7936,3240907,0
1983-07-19,0.7977,0.8176,0.7977,0.8137,5165695,0
1983-07-20,0.8217,0.8259,0.8217,0.8259,5896882,0
1983-07-21,0.8298,0.8338,0.8259,0.8338,4766507,0
1983-07-22,0.8338,0.8338,0.8298,0.8338,3292289,0
1983-07-25,0.8338,0.838,0.8298,0.838,2478109,0
1983-07-26,0.8421,0.8541,0.838,0.8541,6552961,0
1983-07-27,0.8501,0.8541,0.8298,0.8338,8003466,0
1983-07-28,0.8338,0.8338,0.8137,0.8137,4916698,0
1983-07-29,0.8097,0.8217,0.8014,0.8176,5991729,0
1983-08-01,0.8137,0.8137,0.7977,0.8055,6667574,0
1983-08-02,0.8097,0.8097,0.7977,0.7977,3458290,0
1983-08-03,0.8055,0.8055,0.7977,0.8014,7047002,0
1983-08-04,0.8014,0.8014,0.7894,0.7977,6509486,0
