Date,Open,High,Low,Close,Volume,OpenInt
2010-08-23,14.384,14.55,14.332,14.476,90003,0
2010-08-24,14.373,14.594,14.373,14.535,122975,0
2010-08-25,14.431,14.633,14.418,14.614,66635,0
2010-08-26,14.602,14.633,14.424,14.521,109160,0
2010-08-27,14.502,14.711,14.444,14.711,139824,0
2010-08-30,14.555,14.555,14.207,14.391,115800,0
2010-08-31,14.35,14.448,14.141,14.448,134977,0
2010-09-01,14.476,14.543,14.399,14.483,114881,0
2010-09-02,14.543,14.567,14.444,14.535,85043,0
2010-09-03,14.652,14.652,14.444,14.476,73717,0
2010-09-07,14.45,14.574,14.365,14.55,71223,0
2010-09-08,14.561,14.692,14.561,14.587,102954,0
2010-09-09,14.633,14.946,14.614,14.927,146789,0
2010-09-10,14.913,15.05,14.867,14.998,274292,0
2010-09-13,15.03,15.03,14.92,14.93,313329,0
2010-09-14,14.979,15.03,14.93,15.017,354414,0
2010-09-15,15.03,15.089,14.979,15.089,316719,0
2010-09-16,15.062,15.389,15.062,15.356,247823,0
2010-09-17,15.356,15.689,15.331,15.524,445075,0
2010-09-20,15.5,15.657,15.489,15.56,361004,0
2010-09-21,15.611,15.611,15.12,15.186,131772,0
2010-09-22,15.174,15.297,15.03,15.062,173588,0
2010-09-23,15.062,15.226,14.953,15.174,72486,0
2010-09-24,15.186,15.349,15.186,15.193,87633,0
2010-09-27,15.193,15.244,15.097,15.168,106807,0
2010-09-28,15.134,15.325,15.103,15.134,83362,0
2010-09-29,15.168,15.221,15.017,15.168,78701,0
2010-09-30,15.214,15.343,15.156,15.206,82401,0
2010-10-01,15.232,15.238,15.024,15.037,99656,0
2010-10-04,15.037,15.206,14.998,15.12,78268,0
2010-10-05,15.128,15.226,15.12,15.201,72790,0
2010-10-06,15.174,15.206,15.045,15.193,80288,0
2010-10-07,15.18,15.238,15.128,15.201,42567,0
2010-10-08,15.161,15.168,15.097,15.134,58716,0
2010-10-11,15.161,15.161,15.017,15.134,121514,0
2010-10-12,15.148,15.238,15.097,15.174,43790,0
2010-10-13,15.174,15.206,15.115,15.142,192368,0
2010-10-14,15.168,15.174,15.062,15.134,174400,0
2010-10-15,15.109,15.109,14.737,14.79,128535,0
2010-10-18,14.769,14.894,14.724,14.802,60095,0
2010-10-19,14.783,14.894,14.703,14.769,143980,0
2010-10-20,14.737,14.775,14.55,14.678,150598,0
2010-10-21,14.698,14.744,14.55,14.594,164502,0
2010-10-22,14.594,14.769,14.594,14.692,110282,0
2010-10-25,14.737,14.75,14.515,14.55,104057,0
2010-10-26,14.587,14.828,14.515,14.763,330887,0
2010-10-27,14.763,14.867,14.731,14.828,85207,0
2010-10-28,14.867,14.901,14.737,14.879,515277,0
2010-10-29,14.855,14.962,14.833,14.908,95275,0
2010-11-01,14.93,15.062,14.927,15.062,166762,0
2010-11-02,15.076,15.161,15.017,15.017,162214,0
2010-11-03,15.056,15.062,14.808,14.998,112778,0
2010-11-04,15.056,15.128,14.959,15.062,139344,0
2010-11-05,15.082,15.193,15.045,15.156,172354,0
2010-11-08,15.115,15.226,15.069,15.214,88707,0
2010-11-09,15.244,15.244,15.134,15.193,305329,0
2010-11-10,15.18,15.226,15.097,15.142,104108,0
