Date,Open,High,Low,Close,Volume,OpenInt
2013-02-13,14.273,14.292,13.998,14.007,15562,0
2013-02-14,14.138,14.292,13.722,13.807,26972,0
2013-02-15,13.712,13.712,13.066,13.264,21289,0
2013-02-19,13.329,13.329,12.853,13.321,12666,0
2013-02-20,13.15,13.311,12.464,12.569,11598,0
2013-02-21,12.758,12.911,12.626,12.758,23597,0
2013-02-22,13.093,13.615,12.95,13.464,19975,0
2013-02-25,13.798,13.941,13.645,13.827,25943,0
2013-02-26,13.827,13.827,13.368,13.539,21268,0
2013-02-27,13.329,13.874,13.329,13.732,20132,0
2013-02-28,13.391,13.496,13.171,13.285,30001,0
2013-03-01,13.189,13.549,12.979,13.046,16773,0
2013-03-04,13.217,13.914,12.989,13.227,20257,0
2013-03-05,13.274,13.414,12.749,12.749,31787,0
2013-03-06,12.682,12.93,12.493,12.92,15035,0
2013-03-07,13.131,13.596,13.131,13.596,5793,0
2013-03-08,13.567,13.567,13.121,13.321,33172,0
2013-03-11,13.358,13.531,13.358,13.482,29775,0
2013-03-12,13.645,13.817,13.482,13.635,48412,0
2013-03-13,13.682,13.692,13.15,13.377,8718,0
2013-03-14,13.227,13.434,12.883,12.883,18379,0
2013-03-15,13.237,13.377,13.141,13.377,109855,0
2013-03-18,13.817,13.817,13.339,13.358,10660,0
2013-03-19,13.283,13.941,13.264,13.932,10979,0
2013-03-20,14.311,14.396,13.424,13.424,19674,0
2013-03-21,13.615,13.798,13.464,13.759,15604,0
2013-03-22,13.702,13.769,13.596,13.615,19124,0
2013-03-25,13.655,13.672,13.169,13.237,9769,0
2013-03-26,13.141,13.237,12.93,13.237,21320,0
2013-03-27,13.387,13.397,13.111,13.264,8218,0
2013-03-28,13.283,13.292,12.998,13.056,25758,0
2013-04-01,13.283,13.283,13.026,13.179,16384,0
2013-04-02,13.066,13.093,12.484,12.493,22544,0
2013-04-03,12.569,12.597,11.36,11.883,52538,0
2013-04-04,11.996,12.207,11.158,12.036,130237,0
2013-04-05,12.217,12.341,11.863,11.863,28688,0
2013-04-08,11.78,12.177,11.75,11.969,13023,0
2013-04-09,12.006,12.283,11.939,12.187,48382,0
2013-04-10,12.169,12.254,11.73,11.76,64899,0
2013-04-11,11.8,11.921,11.663,11.75,33400,0
2013-04-12,11.367,11.385,10.772,11.088,42133,0
2013-04-15,10.549,10.896,9.859,9.927,57791,0
2013-04-16,10.443,10.772,10.205,10.378,71575,0
2013-04-17,10.349,10.415,9.713,9.819,57969,0
2013-04-18,9.695,10.887,9.695,10.415,38380,0
2013-04-19,10.434,11.202,10.434,11.078,48189,0
2013-04-22,11.663,11.78,11.03,11.462,40793,0
2013-04-23,11.452,11.76,11.088,11.309,27168,0
2013-04-24,11.682,12.125,11.452,12.096,29585,0
2013-04-25,12.816,13.372,12.633,12.95,68081,0
2013-04-26,13.152,13.24,12.68,12.852,51479,0
2013-04-29,12.979,13.047,12.833,12.872,17365,0
2013-04-30,12.796,13.418,12.719,13.362,37652,0
2013-05-01,13.095,13.66,13.037,13.611,31153,0
2013-05-02,13.796,14.129,13.161,13.487,50116,0
2013-05-03,13.516,14.11,13.516,13.825,33589,0
2013-05-06,14.016,14.016,13.545,13.563,19211,0
2013-05-07,13.362,13.381,12.796,13.23,62883,0
2013-05-08,13.23,13.718,13.23,13.66,32296,0
2013-05-09,13.554,14.071,13.391,13.776,21365,0
2013-05-10,13.458,14.043,13.181,14.016,45324,0
2013-05-13,13.95,13.978,13.679,13.892,24221,0
2013-05-14,13.892,13.921,13.581,13.591,24334,0
2013-05-15,13.477,13.477,13.122,13.24,46091,0
2013-05-16,13.017,13.931,12.843,13.248,88823,0
2013-05-17,13.113,13.113,12.48,12.575,46834,0
2013-05-20,12.623,12.95,11.521,12.489,86664,0
2013-05-21,12.47,13.248,12.442,13.142,67538,0
2013-05-22,13.314,13.796,13.181,13.181,105154,0
2013-05-23,13.295,13.487,13.22,13.304,33116,0
2013-05-24,13.21,13.304,12.92,13.017,17906,0
2013-05-28,13.047,13.2,12.738,12.738,18233,0
2013-05-29,12.767,13.181,12.767,13.171,26731,0
2013-05-30,13.342,14.236,13.332,14.061,58222,0
2013-05-31,14.061,14.09,13.776,13.843,63109,0
2013-06-03,14.119,14.148,13.815,13.921,47449,0
2013-06-04,13.825,13.872,13.516,13.708,34975,0
2013-06-05,13.679,14.1,13.516,13.699,27514,0
2013-06-06,13.786,14.427,13.748,14.051,68742,0
2013-06-07,14.033,14.033,13.428,13.601,56826,0
2013-06-10,13.458,14.051,13.458,13.988,18817,0
2013-06-11,13.872,13.872,13.554,13.554,31772,0
2013-06-12,13.611,13.699,13.304,13.372,30277,0
2013-06-13,13.362,13.506,12.96,13.076,39411,0
2013-06-14,13.22,13.22,12.833,12.902,40330,0
2013-06-17,12.96,13.067,12.806,12.911,15061,0
2013-06-18,12.911,12.911,12.556,12.661,46442,0
2013-06-19,12.671,12.767,12.125,12.153,25604,0
2013-06-20,11.328,11.644,10.868,10.944,106613,0
2013-06-21,10.971,11.367,10.819,11.24,116929,0
2013-06-24,10.915,10.953,10.31,10.32,90959,0
2013-06-25,10.703,11.452,10.703,10.924,67557,0
2013-06-26,10.443,10.819,9.973,10.722,143513,0
2013-06-27,10.772,11.01,10.588,10.722,113701,0
2013-06-28,10.646,11.636,10.529,11.597,66320,0
