Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,17.113,17.599,17.113,17.444,3106575,0
2005-02-28,17.696,17.726,16.928,17.064,2259328,0
2005-03-01,17.269,17.385,16.218,16.374,3031702,0
2005-03-02,16.374,16.763,15.081,16.432,2790221,0
2005-03-03,16.53,16.666,15.966,16.043,2458334,0
2005-03-04,16.335,17.239,16.325,16.724,3988688,0
2005-03-07,16.043,16.656,15.411,15.411,5218421,0
2005-03-08,15.168,15.168,13.69,13.778,9599262,0
2005-03-09,13.758,14.41,13.447,13.467,6686346,0
2005-03-10,13.233,13.613,12.601,12.796,8287456,0
2005-03-11,13.661,13.758,12.99,13.146,5515235,0
2005-03-14,13.049,13.126,12.096,12.611,6516650,0
2005-03-15,12.689,12.961,12.562,12.708,4036923,0
2005-03-16,12.631,12.631,11.755,11.882,6518090,0
2005-03-17,11.882,12.378,11.775,12.222,3470754,0
2005-03-18,12.251,12.281,11.872,11.931,3238425,0
2005-03-21,12.271,12.426,12.057,12.251,3293859,0
2005-03-22,12.446,12.874,12.173,12.232,3579770,0
2005-03-23,12.213,12.368,11.366,11.687,3654129,0
2005-03-24,11.765,12.057,11.648,11.648,1631245,0
2005-03-28,11.648,11.648,10.939,10.978,4067983,0
2005-03-29,10.978,11.25,10.278,10.384,5155480,0
2005-03-30,10.394,10.628,10.21,10.55,4132261,0
2005-03-31,10.754,10.968,10.569,10.754,3426736,0
2005-04-01,10.939,11.182,10.832,11.026,3334276,0
2005-04-04,11.026,11.026,10.472,10.725,2043966,0
2005-04-05,10.997,11.104,10.491,10.55,2017741,0
2005-04-06,10.365,10.754,10.307,10.404,2790734,0
2005-04-07,10.404,10.598,10.404,10.569,1751473,0
2005-04-08,10.569,10.569,9.986,10.054,3596329,0
2005-04-11,10.073,10.258,9.83,9.976,2869206,0
2005-04-12,9.869,10.112,9.568,10.102,5536936,0
2005-04-13,10.112,10.19,9.548,9.607,4918624,0
2005-04-14,9.4802,9.626,8.7898,8.9745,7340756,0
2005-04-15,8.9843,9.2857,8.819,8.9454,5506493,0
2005-04-18,9.0815,9.3149,8.9064,9.2469,4005554,0
2005-04-19,9.383,9.616,9.2371,9.4705,3055048,0
2005-04-20,9.539,9.655,9.2857,9.3344,2372355,0
2005-04-21,9.675,9.723,9.3052,9.626,2875171,0
2005-04-22,9.675,9.772,9.1981,9.3635,2071324,0
2005-04-25,9.3635,9.607,9.1886,9.519,2501017,0
2005-04-26,9.1886,9.383,7.7591,7.8077,10503794,0
2005-04-27,7.7689,7.7785,7.3604,7.4383,5702416,0
2005-04-28,7.3508,7.5355,6.884,6.9425,4715296,0
2005-04-29,7.1368,7.2536,6.7967,7.0492,5098091,0
2005-05-02,7.0492,7.1271,6.8549,7.098,2268071,0
2005-05-03,7.098,7.2729,6.8647,6.952,2915281,0
2005-05-04,7.098,7.6035,7.0492,7.594,4041859,0
2005-05-05,7.6328,7.6619,6.9911,7.2438,4017177,0
2005-05-06,7.4868,7.7494,7.2924,7.3313,5265009,0
2005-05-09,7.38,7.6522,7.2049,7.6328,3489781,0
2005-05-10,7.4674,7.4674,7.1467,7.2243,2825290,0
2005-05-11,7.2147,7.3604,6.9911,7.1661,1886714,0
2005-05-12,7.1661,7.2924,6.573,6.5826,4394108,0
2005-05-13,6.6507,6.7091,6.2619,6.3395,4076622,0
2005-05-16,6.3687,6.5145,6.2423,6.4076,2424603,0
2005-05-17,6.4659,6.9133,6.4368,6.8743,5202377,0
2005-05-18,7.0007,7.9535,6.9035,7.6035,8473814,0
2005-05-19,7.6133,7.623,7.1368,7.1855,4376110,0
2005-05-20,7.1952,7.3411,7.0396,7.2536,2684803,0
2005-05-23,7.1077,7.4577,7.0592,7.3119,2524157,0
2005-05-24,7.3119,7.4674,7.2147,7.3313,2304785,0
2005-05-25,7.2341,7.2341,6.7091,6.8257,4951226,0
2005-05-26,6.9326,7.3216,6.884,7.2729,3498933,0
2005-05-27,7.5258,7.6814,7.4285,7.4968,3454709,0
2005-05-31,7.4868,7.5453,7.3021,7.4383,1874785,0
2005-06-01,7.5064,7.6328,7.2341,7.3897,3170649,0
2005-06-02,7.3508,7.4868,7.0007,7.0396,4719411,0
2005-06-03,7.0007,7.2341,6.816,6.8452,4418790,0
2005-06-06,6.923,6.9911,6.6702,6.7187,4018308,0
2005-06-07,6.7091,6.7967,6.5632,6.6507,2886073,0
2005-06-08,6.6702,6.7091,6.4173,6.4951,2692310,0
2005-06-09,6.5048,6.5438,6.3978,6.5244,1929705,0
2005-06-10,6.5244,7.0007,6.4756,6.7285,4486156,0
2005-06-13,6.7382,6.8549,6.4756,6.5438,3566915,0
2005-06-14,6.5145,6.6604,6.4368,6.6507,2649423,0
2005-06-15,6.7187,7.0592,6.6895,7.0299,5864809,0
2005-06-16,7.0299,7.3313,6.952,7.3119,5184379,0
2005-06-17,7.4868,7.4868,7.098,7.1952,4627159,0
2005-06-20,7.1077,7.1174,6.7285,6.8062,5608825,0
2005-06-21,6.6604,6.7868,6.4076,6.68,4726405,0
2005-06-22,6.7187,6.7868,6.5438,6.6604,2496696,0
2005-06-23,6.602,6.6119,6.3299,6.4076,4378578,0
2005-06-24,6.359,6.4659,6.1452,6.1645,4293318,0
2005-06-27,6.1256,6.2519,6.0576,6.1256,2952203,0
2005-06-28,6.3006,6.3785,6.1062,6.1256,4746152,0
2005-06-29,6.2034,6.3299,6.1743,6.2423,2800916,0
2005-06-30,6.2423,6.3395,6.1547,6.2326,2906540,0
2005-07-01,6.2812,6.3492,6.2229,6.2519,1203610,0
2005-07-05,6.2812,6.291,6.2034,6.2519,1910473,0
2005-07-06,6.2519,6.5244,6.1452,6.4563,2802357,0
2005-07-07,6.2714,6.4368,6.2326,6.3492,2266218,0
2005-07-08,6.359,6.5632,6.359,6.5632,2383359,0
2005-07-11,6.5826,7.1952,6.5826,7.1855,5364155,0
2005-07-12,7.1952,8.012,6.9133,7.7883,14792073,0
2005-07-13,7.7785,8.1285,7.4577,7.7009,9746641,0
2005-07-14,7.7009,7.8467,7.4092,7.4773,3274524,0
2005-07-15,7.4674,7.6133,7.2729,7.5064,2018975,0
