Date,Open,High,Low,Close,Volume,OpenInt
2006-12-07,16.289,16.289,16.289,16.289,0,0
2006-12-08,21.715,23.754,21.715,22.706,6035976,0
2006-12-11,22.706,25.175,22.44,23.789,770252,0
2006-12-12,23.414,24.388,23.129,23.586,248216,0
2006-12-13,23.57,24.791,23.57,24.296,360389,0
2006-12-14,23.763,25.965,23.763,25.184,321436,0
2006-12-15,25.911,26.051,24.076,25.012,255639,0
2006-12-18,25.012,25.6,24.388,24.928,105251,0
2006-12-19,24.321,24.414,23.652,23.965,169080,0
2006-12-20,24.149,24.609,23.983,24.514,124320,0
2006-12-21,24.643,24.966,24.195,24.947,155307,0
2006-12-22,24.479,25.334,24.434,24.635,117550,0
2006-12-26,25.296,25.296,24.617,24.902,33433,0
2006-12-27,24.689,25.334,24.689,25.258,46174,0
2006-12-28,25.238,25.693,25.105,25.238,63504,0
2006-12-29,25.443,25.519,25.132,25.387,34600,0
2007-01-03,25.655,25.655,24.893,25.124,107080,0
2007-01-04,24.866,25.663,24.866,25.124,103671,0
2007-01-05,24.975,25.193,24.662,25.105,101998,0
2007-01-08,25.248,25.248,24.139,24.406,145961,0
2007-01-09,24.653,24.791,24.203,24.414,111943,0
2007-01-10,24.378,24.725,23.371,24.397,213997,0
2007-01-11,24.388,24.837,23.983,24.754,83934,0
2007-01-12,24.884,25.608,24.811,25.564,100448,0
2007-01-16,25.781,27.058,24.563,26.764,253796,0
2007-01-17,27.142,27.958,26.913,27.142,115250,0
2007-01-18,27.188,27.611,26.74,27.316,58526,0
2007-01-19,27.142,27.142,26.425,26.701,53764,0
2007-01-22,26.252,26.913,24.23,26.847,224488,0
2007-01-23,26.243,29.291,25.471,28.16,244674,0
2007-01-24,28.548,29.618,28.178,29.244,117830,0
2007-01-25,29.4,29.4,28.751,28.933,106942,0
2007-01-26,29.485,29.628,28.751,28.952,33597,0
2007-01-29,29.391,29.4,28.704,28.814,154844,0
2007-01-30,29.069,29.676,28.501,29.485,58665,0
2007-01-31,29.023,30.907,28.952,30.082,154139,0
2007-02-01,30.272,30.917,29.906,30.806,120692,0
2007-02-02,31.21,31.734,30.649,31.614,84678,0
2007-02-05,31.76,32.669,31.363,31.843,154464,0
2007-02-06,31.448,32.302,30.316,30.787,65154,0
2007-02-07,31.21,31.21,30.411,30.824,76468,0
2007-02-08,30.832,31.272,29.703,30.263,156909,0
2007-02-09,30.354,30.354,29.676,30.091,181138,0
