Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,42.771,42.866,42.293,42.857,458936,0
2005-02-28,42.986,42.986,42.429,42.635,269646,0
2005-03-01,42.789,43.265,42.789,43.07,409738,0
2005-03-02,41.663,42.66,41.575,42.473,686528,0
2005-03-03,42.771,42.815,42.573,42.643,508716,0
2005-03-04,42.815,43.566,42.591,42.687,984993,0
2005-03-07,42.728,43.146,42.678,42.986,461277,0
2005-03-08,42.941,43.515,42.941,43.344,302678,0
2005-03-09,43.282,43.778,43.273,43.368,382796,0
2005-03-10,43.344,43.438,43.138,43.325,324114,0
2005-03-11,43.282,43.882,43.282,43.505,405405,0
2005-03-14,43.522,43.839,43.496,43.839,383500,0
2005-03-15,44.412,44.487,44.128,44.223,324697,0
2005-03-16,43.522,43.77,43.405,43.515,671887,0
2005-03-17,42.625,42.771,42.337,42.549,538820,0
2005-03-18,41.687,41.737,41.491,41.531,906977,0
2005-03-21,41.54,41.737,41.404,41.499,414659,0
2005-03-22,41.583,41.996,41.361,41.413,455304,0
2005-03-23,41.082,41.107,40.679,40.8,508835,0
2005-03-24,40.8,40.893,40.236,40.305,647057,0
2005-03-28,40.337,40.663,40.149,40.55,522888,0
2005-03-29,40.312,40.406,39.971,40.124,790431,0
2005-03-30,39.954,40.509,39.954,40.474,410091,0
2005-03-31,40.833,41.055,40.526,40.679,818306,0
2005-04-01,40.278,40.312,39.859,39.971,735961,0
2005-04-04,39.698,39.775,39.46,39.757,588371,0
2005-04-05,39.731,40.099,39.569,40.039,571269,0
2005-04-06,39.936,40.679,39.927,40.38,448277,0
2005-04-07,40.167,40.252,40.007,40.124,596685,0
2005-04-08,39.912,40.024,39.706,39.739,320598,0
2005-04-11,39.714,39.722,38.8,38.997,1133516,0
2005-04-12,38.817,38.826,37.905,38.629,1598308,0
2005-04-13,38.87,38.972,38.564,38.629,839038,0
2005-04-14,38.759,38.759,37.998,38.034,632410,0
2005-04-15,38.007,38.058,37.428,37.692,594694,0
2005-04-18,37.692,38.325,37.675,38.325,647406,0
2005-04-19,38.545,38.931,38.458,38.817,539761,0
2005-04-20,38.374,38.759,38.316,38.458,704568,0
2005-04-21,37.804,37.983,37.138,37.717,1576053,0
2005-04-22,37.99,38.451,37.699,38.203,802960,0
2005-04-25,38.137,38.657,37.854,38.572,838335,0
2005-04-26,38.572,38.8,38.288,38.333,872423,0
2005-04-27,38.341,38.349,37.657,37.854,896318,0
2005-04-28,37.624,37.845,37.504,37.519,655371,0
2005-04-29,37.692,38.253,37.692,37.777,1222072,0
2005-05-02,37.657,38.333,37.599,38.325,669782,0
2005-05-03,38.119,38.776,38.092,38.657,701640,0
2005-05-04,38.931,40.782,38.931,40.287,893039,0
2005-05-05,40.55,40.55,38.997,39.134,935209,0
2005-05-06,38.604,39.485,38.537,39.33,933917,0
2005-05-09,39.272,39.783,39.272,39.739,337700,0
2005-05-10,39.059,39.262,38.742,38.963,532848,0
2005-05-11,38.7,38.8,38.486,38.759,313569,0
2005-05-12,38.673,38.895,38.409,38.486,493254,0
2005-05-13,38.075,38.673,37.99,38.357,470764,0
2005-05-16,37.931,38.579,37.845,38.545,384437,0
2005-05-17,38.495,38.572,38.246,38.572,288503,0
2005-05-18,38.564,39.801,38.495,39.596,733616,0
2005-05-19,39.374,39.51,39.219,39.46,647525,0
2005-05-20,39.843,41.182,39.689,41.029,981478,0
2005-05-23,40.406,40.935,40.365,40.629,952547,0
2005-05-24,40.141,40.365,39.912,40.055,601958,0
2005-05-25,39.664,39.714,39.305,39.314,710542,0
2005-05-26,39.485,39.622,39.374,39.526,704333,0
2005-05-27,39.613,39.647,39.417,39.613,515042,0
2005-05-31,39.801,39.954,39.534,39.622,623511,0
2005-06-01,39.244,39.852,39.244,39.423,569629,0
2005-06-02,38.691,39.134,38.691,39.014,511646,0
2005-06-03,38.717,38.921,38.477,38.657,421922,0
2005-06-06,38.717,38.768,38.416,38.588,477555,0
2005-06-07,38.4,38.647,38.325,38.357,980069,0
2005-06-08,38.572,39.494,38.572,38.853,659123,0
2005-06-09,38.62,38.62,38.253,38.458,332547,0
2005-06-10,38.101,39.118,38.05,38.742,660524,0
2005-06-13,38.374,38.742,38.262,38.664,510240,0
2005-06-14,38.416,39.176,38.349,39.041,679971,0
2005-06-15,39.185,39.355,38.477,38.596,758565,0
2005-06-16,38.596,38.62,38.034,38.169,490561,0
2005-06-17,38.119,38.604,37.94,38.604,645299,0
2005-06-20,38.253,38.477,37.914,38.357,510593,0
2005-06-21,38.393,39.023,38.383,38.844,437266,0
2005-06-22,38.433,38.62,38.366,38.512,1171817,0
2005-06-23,38.357,38.512,37.804,37.804,548894,0
2005-06-24,37.804,37.854,37.095,37.308,663570,0
2005-06-27,37.267,37.444,36.89,37.308,450033,0
2005-06-28,37.292,38.034,37.267,37.94,456359,0
2005-06-29,37.94,38.153,37.717,37.845,737367,0
2005-06-30,37.683,37.777,37.258,37.392,713115,0
2005-07-01,37.152,37.356,37.042,37.283,679971,0
2005-07-05,37.195,37.47,36.908,37.348,762785,0
2005-07-06,37.325,38.016,37.283,37.794,489624,0
2005-07-07,36.917,38.058,36.817,38.05,1112549,0
2005-07-08,37.717,38.725,37.699,38.725,490679,0
2005-07-11,38.879,39.51,38.879,39.417,354098,0
2005-07-12,39.739,39.945,39.383,39.859,376358,0
2005-07-13,40.218,40.252,39.714,39.885,497705,0
2005-07-14,39.912,40.186,39.757,39.792,401187,0
2005-07-15,39.927,40.082,39.553,40.082,312045,0
2005-07-18,39.954,40.194,39.613,39.783,553580,0
2005-07-19,39.775,40.38,39.775,40.21,489976,0
2005-07-20,40.024,40.55,39.877,40.509,411849,0
2005-07-21,39.51,39.604,38.673,38.972,1421901,0
2005-07-22,38.817,38.835,38.357,38.442,627839,0
2005-07-25,38.374,38.612,38.178,38.23,363237,0
2005-07-26,38.374,38.512,38.23,38.416,378463,0
2005-07-27,38.458,38.503,37.99,38.075,474044,0
2005-07-28,38.203,38.366,38.119,38.203,753063,0
2005-07-29,38.119,38.238,37.914,38.034,476742,0
2005-08-01,38.23,38.682,38.169,38.554,914591,0
2005-08-02,39.11,39.118,38.717,38.87,877107,0
2005-08-03,38.98,38.98,38.588,38.844,662051,0
2005-08-04,38.87,38.98,38.409,38.503,750836,0
2005-08-05,38.477,38.486,37.599,37.974,975969,0
2005-08-08,38.409,38.776,38.23,38.545,728228,0
2005-08-09,38.691,38.895,38.433,38.572,557914,0
2005-08-10,39.203,39.518,38.664,38.759,773094,0
2005-08-11,39.151,39.578,38.835,39.355,509537,0
2005-08-12,39.185,39.229,38.477,38.734,366751,0
2005-08-15,38.691,38.862,38.262,38.853,601252,0
2005-08-16,38.638,38.647,38.383,38.503,328094,0
2005-08-17,38.458,38.791,38.288,38.521,332192,0
2005-08-18,38.579,38.682,38.442,38.486,923728,0
2005-08-19,38.8,38.826,38.451,38.486,299164,0
2005-08-22,39.212,39.262,38.708,38.862,562837,0
2005-08-23,38.988,39.134,38.604,38.853,583566,0
2005-08-24,38.433,38.7,38.11,38.137,523946,0
2005-08-25,38.075,38.262,37.804,38.119,820881,0
2005-08-26,38.203,38.203,37.76,37.854,516449,0
2005-08-29,37.666,37.794,37.58,37.725,803779,0
2005-08-30,37.615,37.675,37.383,37.528,577944,0
2005-08-31,37.734,38.11,37.512,37.99,776488,0
2005-09-01,38.092,38.178,37.743,37.931,526757,0
2005-09-02,38.034,38.034,37.734,37.887,419578,0
2005-09-06,38.119,38.203,37.854,38.092,690045,0
2005-09-07,38.11,38.11,37.854,37.905,810225,0
2005-09-08,37.974,38.034,37.563,37.606,853914,0
2005-09-09,37.828,37.947,37.666,37.905,580756,0
2005-09-12,37.854,38.084,37.717,37.983,447925,0
2005-09-13,37.648,37.648,37.348,37.374,548777,0
2005-09-14,37.699,37.878,37.641,37.692,584386,0
2005-09-15,37.545,37.563,37.16,37.267,312517,0
2005-09-16,37.221,37.221,36.972,37.033,303731,0
2005-09-19,37.042,37.061,36.809,36.926,339694,0
2005-09-20,36.779,36.779,36.129,36.189,704918,0
2005-09-21,36.257,36.514,36.086,36.316,1003847,0
2005-09-22,36.316,36.437,36.154,36.207,809523,0
2005-09-23,35.965,36.242,35.848,36.072,473576,0
2005-09-26,36.112,36.234,35.866,36.18,1447554,0
2005-09-27,36.437,36.72,36.395,36.622,1103999,0
2005-09-28,37.033,37.033,36.647,36.794,577007,0
2005-09-29,37.052,37.138,36.809,37.138,613435,0
2005-09-30,37.052,37.308,36.989,37.138,709488,0
2005-10-03,37.061,37.478,36.98,37.462,917517,0
2005-10-04,37.504,37.717,37.212,37.299,332780,0
2005-10-05,37.231,37.24,36.189,36.242,457180,0
2005-10-06,36.242,36.711,35.769,35.992,649280,0
2005-10-07,36.189,36.55,36.189,36.458,477093,0
2005-10-10,35.983,35.983,35.001,35.499,1186931,0
2005-10-11,35.419,35.729,35.344,35.548,780472,0
2005-10-12,35.54,35.813,35.49,35.714,566818,0
2005-10-13,34.934,35.581,34.917,35.482,752125,0
2005-10-14,35.428,35.482,35.232,35.482,1154133,0
2005-10-17,35.642,35.899,35.249,35.516,881793,0
2005-10-18,35.156,35.294,34.831,35.24,899010,0
2005-10-19,34.491,35.131,34.26,35.089,682780,0
2005-10-20,33.876,35.857,33.876,35.131,1431390,0
2005-10-21,35.214,35.473,34.917,35.285,901235,0
2005-10-24,35.745,36.395,35.745,36.352,563890,0
2005-10-25,36.25,36.307,35.769,35.857,455071,0
2005-10-26,36.028,36.458,35.908,35.941,435390,0
2005-10-27,36.18,36.18,35.599,35.615,564828,0
2005-10-28,35.796,35.965,35.516,35.908,529101,0
2005-10-31,36.199,36.809,36.163,36.674,707497,0
2005-11-01,36.63,36.779,36.486,36.72,505087,0
2005-11-02,37.052,37.392,37.042,37.292,595516,0
2005-11-03,37.478,37.519,37.061,37.16,286863,0
2005-11-04,37.16,37.356,36.674,36.972,276087,0
2005-11-07,37.221,37.402,37.112,37.231,393690,0
2005-11-08,36.908,36.917,36.622,36.665,402244,0
2005-11-09,36.747,36.755,36.25,36.378,653733,0
2005-11-10,36.486,36.523,36.095,36.523,562013,0
2005-11-11,36.657,37.033,36.657,36.966,297991,0
2005-11-14,36.881,37.006,36.711,36.989,180388,0
2005-11-15,37.121,37.138,36.899,37.061,394395,0
2005-11-16,36.863,36.873,36.467,36.684,479435,0
