Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.9092,8.075,7.9092,8.0098,25021,0
2005-02-28,8.1666,8.1797,7.9136,8.171,20141,0
2005-03-01,8.1842,8.1842,7.9704,7.9792,16512,0
2005-03-02,7.966,7.966,7.896,7.9181,8251,0
2005-03-03,7.9006,7.9006,7.8526,7.8526,3439,0
2005-03-04,7.8482,7.931,7.7872,7.7872,18574,0
2005-03-07,7.6388,8.0271,7.6388,8.0271,39377,0
2005-03-08,7.6388,8.0139,7.5907,7.7217,29789,0
2005-03-09,7.6956,7.896,7.6956,7.7085,49264,0
2005-03-10,7.6388,7.7958,7.6388,7.713,14159,0
2005-03-11,7.6561,7.6999,7.3683,7.6999,81220,0
2005-03-14,7.508,7.652,7.4297,7.4773,14608,0
2005-03-15,7.3683,7.6041,7.2985,7.4905,162870,0
2005-03-16,7.4905,7.4905,7.2373,7.3554,40722,0
2005-03-17,7.2331,7.4729,7.2331,7.2898,72961,0
2005-03-18,7.2331,7.3989,7.2331,7.3989,45319,0
2005-03-21,7.4992,7.5036,7.1895,7.1895,10611,0
2005-03-22,7.1632,7.4687,7.1632,7.2463,9008,0
2005-03-23,7.0936,7.1416,6.8228,6.9801,57014,0
2005-03-24,6.9146,7.0587,6.4349,6.9711,44698,0
2005-03-28,6.9933,7.0717,6.9933,7.0018,11388,0
2005-03-29,6.9276,6.9276,6.8186,6.8186,4155,0
2005-03-30,6.8797,7.028,6.8228,6.8228,18841,0
2005-03-31,7.0237,7.1632,7.0237,7.1632,6120,0
2005-04-01,6.8275,7.159,6.8275,7.028,14065,0
2005-04-04,7.1676,7.1676,6.9845,6.9845,2750,0
2005-04-05,6.9801,7.0979,6.8972,6.8972,6190,0
2005-04-06,6.7882,6.8884,6.7882,6.8491,14091,0
2005-04-07,6.8186,7.1632,6.8186,7.0237,17549,0
2005-04-08,6.7705,7.1067,6.7705,6.9933,19354,0
2005-04-11,6.7182,7.015,6.7182,6.9582,14200,0
2005-04-12,6.9582,7.1632,6.8884,7.1632,39018,0
2005-04-13,7.0587,7.3683,7.0587,7.0627,16578,0
2005-04-14,7.0587,7.2898,6.9933,6.9933,9937,0
2005-04-15,6.9498,6.9498,6.7924,6.8491,6930,0
2005-04-18,6.6876,6.8884,6.6791,6.8884,3439,0
2005-04-19,6.6876,6.6876,6.6835,6.6835,3575,0
2005-04-20,6.6835,6.8186,6.5525,6.5525,17194,0
2005-04-21,6.5481,6.583,6.5481,6.583,9051,0
