Date,Open,High,Low,Close,Volume,OpenInt
2015-11-25,23.595,23.595,23.595,23.595,529,0
2015-11-27,23.567,23.576,23.567,23.576,2120,0
2015-11-30,23.643,23.643,23.643,23.643,529,0
2015-12-01,23.689,23.738,23.689,23.738,7415,0
2015-12-02,23.576,23.595,23.463,23.463,3042,0
2015-12-03,23.286,23.286,23.286,23.286,529,0
2015-12-07,23.18,23.2,23.18,23.2,1165,0
2015-12-08,22.992,22.992,22.992,22.992,813,0
2015-12-10,22.974,22.974,22.916,22.974,6673,0
2015-12-15,22.803,22.868,22.794,22.84,5191,0
2015-12-16,22.85,23.087,22.85,23.087,22460,0
2015-12-17,23.068,23.068,22.983,22.983,741,0
2015-12-21,22.83,22.83,22.83,22.83,529,0
2015-12-22,22.935,22.974,22.887,22.974,8582,0
2015-12-23,23.2,23.313,23.2,23.313,7627,0
2015-12-24,23.332,23.332,23.332,23.332,4026,0
2015-12-29,23.494,23.494,23.445,23.445,4695,0
2015-12-30,23.413,23.413,23.359,23.359,523,0
2015-12-31,23.211,23.245,23.211,23.245,313,0
2016-01-04,22.864,22.864,22.816,22.825,313,0
2016-01-05,22.959,23.044,22.901,23.044,523,0
2016-01-06,22.778,22.778,22.758,22.758,313,0
2016-01-07,22.433,22.433,22.414,22.414,1363,0
2016-01-08,22.263,22.263,22.263,22.263,104,0
2016-01-11,22.31,22.31,22.07,22.175,5240,0
2016-01-12,22.31,22.31,22.003,22.139,1153,0
2016-01-13,22.282,22.282,21.985,21.985,1677,0
2016-01-14,22.033,22.139,22.033,22.139,630,0
2016-01-15,21.681,21.681,21.681,21.681,104,0
2016-01-19,21.777,21.777,21.585,21.671,4715,0
2016-01-20,21.403,21.403,20.946,21.393,5239,0
2016-01-21,21.518,21.518,21.393,21.393,3878,0
2016-01-22,21.852,21.92,21.852,21.92,210,0
2016-01-26,22.043,22.08,22.043,22.08,942,0
2016-01-27,21.317,22.625,21.317,22.625,210,0
2016-01-29,22.578,22.588,22.578,22.578,2621,0
2016-02-01,22.542,22.69,22.537,22.662,18904,0
2016-02-17,22.491,22.501,22.491,22.501,2006,0
2016-02-22,23.035,23.035,22.997,22.997,1215,0
2016-02-23,22.749,22.749,22.749,22.749,122,0
2016-02-29,22.834,23.016,22.834,23.016,313,0
2016-03-01,22.997,22.997,22.997,22.997,210,0
2016-03-02,23.101,23.101,23.101,23.101,210,0
2016-03-03,23.339,23.339,23.339,23.339,210,0
2016-03-08,23.502,24.199,23.416,23.485,1805,0
2016-03-14,23.962,23.962,23.962,23.962,210,0
2016-03-18,24.532,24.532,24.523,24.523,348,0
2016-03-21,24.409,24.409,24.39,24.39,210,0
