Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,3.6349,3.6638,3.618,3.6579,62362,0
2005-02-28,3.6579,3.6579,3.6063,3.6063,114243,0
2005-03-01,3.612,3.6349,3.5833,3.6009,92236,0
2005-03-02,3.5721,3.6063,3.555,3.5948,106908,0
2005-03-03,3.5948,3.618,3.5605,3.612,85073,0
2005-03-04,3.6063,3.641,3.5948,3.6349,74417,0
2005-03-07,3.6063,3.6292,3.5948,3.618,91358,0
2005-03-08,3.618,3.6349,3.5779,3.6063,76688,0
2005-03-09,3.6009,3.6009,3.5662,3.5779,59045,0
2005-03-10,3.5892,3.5948,3.5262,3.5493,74065,0
2005-03-11,3.612,3.612,3.4803,3.5148,93283,0
2005-03-14,3.492,3.5434,3.4863,3.5321,117040,0
2005-03-15,3.5148,3.5493,3.4231,3.4633,102020,0
2005-03-16,3.4346,3.492,3.4119,3.4863,148138,0
2005-03-17,3.4863,3.5034,3.4519,3.4863,59744,0
2005-03-18,3.492,3.492,3.4346,3.4863,47863,0
2005-03-21,3.4863,3.4863,3.4119,3.4177,99225,0
2005-03-22,3.4177,3.4633,3.343,3.3775,102195,0
2005-03-23,3.3488,3.6063,3.3488,3.6063,355320,0
2005-03-24,3.5321,3.5321,3.4633,3.4863,121933,0
2005-03-28,3.492,3.5148,3.4231,3.4519,104288,0
2005-03-29,3.4346,3.4576,3.3775,3.4001,64286,0
2005-03-30,3.3891,3.4519,3.3831,3.4519,61665,0
2005-03-31,3.4177,3.4519,3.4177,3.4177,76168,0
2005-04-01,3.4346,3.4633,3.4061,3.4576,351124,0
2005-04-04,3.4177,3.446,3.366,3.4346,61316,0
2005-04-05,3.4288,3.446,3.4177,3.446,154424,0
2005-04-06,3.4519,3.4633,3.3775,3.4119,117040,0
2005-04-07,3.4061,3.4633,3.4061,3.4519,98170,0
2005-04-08,3.4576,3.492,3.4576,3.4747,135032,0
2005-04-11,3.492,3.492,3.4288,3.4519,82628,0
2005-04-12,3.4405,3.4576,3.4231,3.4519,69003,0
2005-04-13,3.4519,3.4691,3.3831,3.4177,81754,0
2005-04-14,3.4288,3.4346,3.343,3.3775,95204,0
2005-04-15,3.3719,3.3831,3.2343,3.2402,260286,0
2005-04-18,3.2974,3.3316,3.2744,3.3087,74240,0
2005-04-19,3.3316,3.343,3.2573,3.343,109876,0
2005-04-20,3.3145,3.3488,3.2858,3.2858,64813,0
2005-04-21,3.2974,3.3488,3.2974,3.3488,141497,0
2005-04-22,3.3145,3.3602,3.2916,3.3316,89440,0
2005-04-25,3.3488,3.3545,3.3087,3.3545,70924,0
2005-04-26,3.3488,3.366,3.3202,3.3259,35809,0
2005-04-27,3.2916,3.3488,3.2685,3.3316,94505,0
2005-04-28,3.3259,3.3374,3.2916,3.2916,65164,0
2005-04-29,3.3145,3.3316,3.2629,3.3316,99225,0
2005-05-02,3.3202,3.3488,3.3202,3.343,88741,0
2005-05-03,3.2916,3.343,3.2916,3.3202,76341,0
2005-05-04,3.3202,3.4119,3.3202,3.366,215393,0
2005-05-05,3.3602,3.366,3.2916,3.3602,155997,0
2005-05-06,3.3488,3.366,3.2629,3.3374,169624,0
2005-05-09,3.343,3.3545,3.3145,3.3545,129270,0
2005-05-10,3.3202,3.3545,3.2916,3.3259,121933,0
2005-05-11,3.3031,3.3031,3.2231,3.2629,150055,0
2005-05-12,3.2629,3.2685,3.1942,3.2287,175734,0
2005-05-13,3.2343,3.2573,3.2114,3.2573,133461,0
2005-05-16,3.2343,3.2858,3.2171,3.2685,148310,0
2005-05-17,3.2458,3.2858,3.2171,3.2858,91886,0
2005-05-18,3.3031,3.343,3.2801,3.343,172590,0
2005-05-19,3.3202,3.3488,3.3031,3.3374,107960,0
2005-05-20,3.3145,3.3775,3.3031,3.3775,105340,0
2005-05-23,3.3202,3.3719,3.3202,3.3719,184122,0
2005-05-24,3.3374,3.4346,3.3259,3.4346,116518,0
2005-05-25,3.3891,3.4001,3.3374,3.4001,101844,0
2005-05-26,3.3488,3.4177,3.3488,3.4119,94154,0
2005-05-27,3.4119,3.4288,3.3891,3.4177,66911,0
2005-05-31,3.4001,3.4177,3.366,3.3775,136257,0
2005-06-01,3.366,3.4119,3.3545,3.4119,95552,0
2005-06-02,3.4177,3.4346,3.3719,3.4177,183252,0
2005-06-03,3.4177,3.4231,3.3948,3.4119,60267,0
2005-06-06,3.4001,3.4119,3.3775,3.4119,66381,0
2005-06-07,3.3891,3.4405,3.3831,3.3948,112153,0
2005-06-08,3.3775,3.4119,3.3719,3.3948,79658,0
2005-06-09,3.3831,3.4061,3.3602,3.4061,137479,0
2005-06-10,3.4061,3.4119,3.3831,3.4119,55899,0
2005-06-13,3.3719,3.4177,3.3719,3.3948,152675,0
2005-06-14,3.3948,3.4231,3.3831,3.4119,28999,0
2005-06-15,3.4231,3.4231,3.3948,3.4061,87167,0
2005-06-16,3.3948,3.4288,3.3948,3.4288,106034,0
2005-06-17,3.4061,3.4519,3.4061,3.446,138180,0
2005-06-20,3.4231,3.4288,3.4061,3.4119,45772,0
2005-06-21,3.4288,3.4288,3.3775,3.4177,105509,0
2005-06-22,3.4061,3.4231,3.3891,3.3948,47692,0
2005-06-23,3.3948,3.4231,3.3775,3.3775,80533,0
2005-06-24,3.3545,3.3891,3.3545,3.3719,82104,0
2005-06-27,3.3545,3.366,3.3316,3.366,50831,0
2005-06-28,3.343,3.3891,3.3374,3.3891,117040,0
2005-06-29,3.3719,3.4001,3.343,3.366,154775,0
2005-06-30,3.3775,3.3831,3.343,3.366,55899,0
2005-07-01,3.343,3.3948,3.343,3.3948,60617,0
2005-07-05,3.3545,3.4061,3.3545,3.3775,93635,0
2005-07-06,3.3831,3.4061,3.3775,3.3831,60096,0
2005-07-07,3.3775,3.3831,3.3316,3.3775,63936,0
2005-07-08,3.3545,3.4231,3.3545,3.4061,132936,0
2005-07-11,3.4288,3.446,3.4177,3.446,157397,0
2005-07-12,3.4346,3.4633,3.4288,3.4633,99050,0
2005-07-13,3.4633,3.4863,3.4288,3.4691,99398,0
2005-07-14,3.4691,3.5091,3.4691,3.5034,134513,0
2005-07-15,3.4977,3.4977,3.4633,3.4863,53978,0
2005-07-18,3.4691,3.5034,3.4691,3.492,90140,0
2005-07-19,3.4863,3.5034,3.4691,3.4977,103244,0
2005-07-20,3.4633,3.5148,3.4633,3.5148,130492,0
2005-07-21,3.492,3.5091,3.4633,3.4691,136080,0
2005-07-22,3.492,3.4977,3.4691,3.4977,53803,0
2005-07-25,3.4977,3.5034,3.4576,3.492,95904,0
2005-07-26,3.4633,3.5034,3.4576,3.5034,103770,0
2005-07-27,3.5034,3.5207,3.492,3.5207,99398,0
2005-07-28,3.5207,3.5321,3.5091,3.5321,126126,0
2005-07-29,3.5321,3.5376,3.5207,3.5207,134163,0
2005-08-01,3.5434,3.5493,3.5207,3.5493,140799,0
2005-08-02,3.5605,3.5833,3.5262,3.5833,109354,0
2005-08-03,3.5148,3.5207,3.4747,3.492,150405,0
2005-08-04,3.4863,3.492,3.4576,3.4803,81579,0
2005-08-05,3.4633,3.4803,3.4288,3.4747,106207,0
2005-08-08,3.4519,3.4691,3.4177,3.4519,82104,0
2005-08-09,3.4633,3.4691,3.4346,3.4405,76688,0
2005-08-10,3.4576,3.492,3.4288,3.446,109705,0
2005-08-11,3.446,3.4633,3.4346,3.446,57473,0
2005-08-12,3.4576,3.4633,3.4177,3.446,40355,0
2005-08-15,3.4405,3.4747,3.4231,3.4346,131537,0
2005-08-16,3.446,3.4576,3.4231,3.4231,97300,0
2005-08-17,3.4177,3.4177,3.3719,3.4177,144114,0
2005-08-18,3.4346,3.4519,3.3891,3.4519,59568,0
2005-08-19,3.4346,3.4576,3.4177,3.446,100097,0
2005-08-22,3.4519,3.4519,3.4288,3.446,83155,0
2005-08-23,3.4231,3.4576,3.4231,3.4576,87519,0
2005-08-24,3.4576,3.4576,3.4231,3.4405,90140,0
2005-08-25,3.4231,3.4519,3.4177,3.4405,82454,0
2005-08-26,3.4346,3.4346,3.4001,3.4177,76511,0
