Date,Open,High,Low,Close,Volume,OpenInt
2016-10-04,16.45,16.45,14.9,15,2281869,0
2016-10-05,14.9,14.9399,14,14.16,3722325,0
2016-10-06,13.86,14.445,13.75,14.01,2430023,0
2016-10-07,14,15.53,13.7,15.1,4259952,0
2016-10-10,15.2,16.32,15.18,15.62,1873130,0
2016-10-11,15.07,16.0295,15,15.64,1859024,0
2016-10-12,15.02,15.68,14.22,14.98,2114669,0
2016-10-13,15.15,15.32,14.92,15.13,1147834,0
2016-10-14,15.04,16.1,14.91,15.62,1118813,0
2016-10-17,15.43,16.339,15.31,16.02,881704,0
2016-10-18,16.3,16.31,16,16.1,669249,0
2016-10-19,16.07,16.55,15.96,16.21,607147,0
2016-10-20,16.05,16.51,15.76,16.37,575059,0
2016-10-21,16.18,16.92,16,16.33,710599,0
2016-10-24,16.48,16.96,16.05,16.72,529095,0
2016-10-25,16.55,16.97,16.385,16.56,649240,0
2016-10-26,16.41,16.87,16.14,16.45,694386,0
2016-10-27,16.33,16.44,15.55,15.93,403487,0
2016-10-28,15.83,16.26,15.6,15.66,392363,0
2016-10-31,15.65,16.03,14.92,15.96,665897,0
2016-11-01,16,16.125,14.83,14.94,496385,0
2016-11-02,14.81,15.04,14.65,14.85,674503,0
2016-11-03,14.99,15.39,14.65,14.9,339571,0
2016-11-04,14.92,15.31,14.8,14.92,333235,0
2016-11-07,14.98,15.16,14.75,14.97,488680,0
2016-11-08,14.84,15.05,14.7201,15.04,788958,0
2016-11-09,15.07,15.875,14.9,15.33,1385530,0
2016-11-10,15.22,16.14,15.21,16.06,954324,0
2016-11-11,16,16.75,15.58,16.64,408594,0
2016-11-14,16.61,16.64,15.96,15.97,268061,0
2016-11-15,15.83,16.45,15.18,16.39,533763,0
2016-11-16,16.41,16.41,15.66,16.2,304339,0
2016-11-17,16.1,16.69,16.1,16.53,291074,0
2016-11-18,16.7,18.17,16.5,18.02,567916,0
2016-11-21,18.2,19.55,18.02,19.5,652610,0
2016-11-22,19.68,20.28,19.35,19.54,776583,0
2016-11-23,19.49,19.87,18.89,19.77,230239,0
2016-11-25,19.93,20.36,19.69,20.12,112680,0
2016-11-28,20.24,20.24,19.51,19.83,298681,0
2016-11-29,19.9,19.97,19.11,19.28,297596,0
2016-11-30,19.25,19.93,18.63,18.7,708522,0
2016-12-01,18.88,19.56,18.8006,19,334051,0
2016-12-02,19.05,19.31,18.86,19.11,143934,0
2016-12-05,19.3,19.86,19,19.66,247696,0
2016-12-06,19.8,20.67,19.4,20.47,270372,0
2016-12-07,20.48,21.0689,20,20.72,423261,0
2016-12-08,20.74,21,20.2146,20.36,340034,0
2016-12-09,20.34,20.4,19.63,19.99,548279,0
2016-12-12,19.95,20.54,19.62,19.68,220697,0
2016-12-13,19.74,20.3599,19.74,20.26,325709,0
2016-12-14,20.08,20.4,19.77,20.38,241959,0
2016-12-15,20.35,21.1599,20.02,21.14,312152,0
2016-12-16,21.1,22.54,20.54,22.23,993298,0
2016-12-19,22.96,22.96,21.08,21.62,313073,0
2016-12-20,21.58,21.62,21.001,21.41,193572,0
2016-12-21,21.34,23.24,21.15,22.97,328604,0
2016-12-22,22.88,22.99,22.5,22.63,117739,0
2016-12-23,22.54,23.34,22.44,22.68,136123,0
2016-12-27,22.57,23.25,22.57,22.94,181461,0
2016-12-28,22.98,23.35,22.1686,22.49,197685,0
2016-12-29,22.38,22.56,22.18,22.43,279915,0
2016-12-30,22.46,22.46,21.75,22.14,206655,0
2017-01-03,22,22,21.49,22,407180,0
2017-01-04,22.16,23,22.1,23,297548,0
2017-01-05,23.06,23.06,22.41,22.51,147173,0
2017-01-06,22.6,22.681,22,22.32,201867,0
2017-01-09,22.37,22.37,21.48,21.48,213786,0
2017-01-10,21.52,21.93,21.25,21.76,220161,0
2017-01-11,21.79,21.955,21.53,21.57,158266,0
2017-01-12,21.96,21.9699,20.8819,21.4,326567,0
2017-01-13,21.49,22.5,21.49,22.43,294583,0
2017-01-17,22.5,23.11,22.22,23.08,355900,0
2017-01-18,23.25,24.26,23.21,24.25,439827,0
2017-01-19,24.32,24.6,23.88,24.48,280640,0
2017-01-20,24.67,25.25,24.67,25.24,262509,0
2017-01-23,25.41,25.83,25.25,25.81,223618,0
2017-01-24,26.01,27.4,25.76,27.04,385878,0
2017-01-25,27.39,27.78,26.15,26.15,412013,0
2017-01-26,26.22,26.25,25.33,25.73,323728,0
2017-01-27,25.84,25.94,25.35,25.55,151705,0
2017-01-30,25.33,26.02,25.25,25.99,294207,0
2017-01-31,25.99,26.65,25.4201,25.69,157014,0
2017-02-01,25.83,26.14,25.6727,25.99,242298,0
2017-02-02,26.12,26.77,25.99,26.5,259275,0
2017-02-03,26.53,26.6102,26.36,26.45,111068,0
