Date,Open,High,Low,Close,Volume,OpenInt
1998-08-05,20.501,20.925,20.26,20.616,116405,0
1998-08-06,20.559,21.041,20.501,20.983,94432,0
1998-08-07,20.983,21.34,20.983,21.224,98784,0
1998-08-10,21.34,21.465,21.282,21.465,77949,0
1998-08-11,20.501,20.741,20.376,20.741,106038,0
1998-08-12,20.201,20.26,19.893,20.018,77119,0
1998-08-13,18.755,19.479,18.755,19.295,64579,0
1998-08-14,19.41,19.652,19.295,19.594,34828,0
1998-08-17,19.719,19.719,19.41,19.652,41464,0
1998-08-18,19.536,19.652,19.41,19.594,20939,0
1998-08-19,19.536,19.536,19.053,19.053,64784,0
1998-08-20,19.237,19.295,18.572,19.053,83442,0
1998-08-21,18.928,19.295,18.812,19.237,108010,0
1998-08-24,19.169,19.169,18.388,19.053,78260,0
1998-08-25,18.33,18.812,18.146,18.205,57010,0
1998-08-26,17.722,17.722,16.884,16.941,117751,0
1998-08-27,16.401,16.517,15.918,16.217,106869,0
1998-08-28,15.977,16.517,15.435,15.735,118895,0
1998-08-31,16.564,16.564,15.494,15.677,125837,0
1998-09-01,16.884,18.031,16.758,18.031,119203,0
1998-09-02,17.423,18.031,17.182,17.848,50690,0
1998-09-03,17.481,19.96,17.423,19.893,259969,0
1998-09-04,19.594,21.707,19.594,20.983,225243,0
1998-09-08,21.224,21.707,19.295,20.26,156622,0
1998-09-09,20.076,20.26,19.719,20.201,55767,0
1998-09-10,21.581,23.212,21.465,22.545,324440,0
1998-09-11,23.212,23.511,21.823,21.823,230116,0
1998-09-14,21.707,21.707,20.559,21.224,104589,0
1998-09-15,21.465,21.649,21.34,21.465,35761,0
1998-09-16,21.224,21.465,20.26,20.317,158903,0
1998-09-17,21.465,21.89,21.224,21.707,79089,0
1998-09-18,21.707,21.707,20.983,21.34,39803,0
1998-09-21,21.823,21.823,21.34,21.407,107906,0
1998-09-22,20.983,21.224,20.8,20.8,52448,0
1998-09-23,20.8,20.8,20.018,20.501,145116,0
1998-09-24,20.741,22.912,20.741,22.855,289613,0
1998-09-25,24.118,24.475,23.578,24.234,365594,0
1998-09-28,23.636,25.382,23.511,25.325,315215,0
1998-09-29,25.44,25.923,25.44,25.682,139936,0
1998-09-30,25.566,26.163,25.199,25.923,182538,0
1998-10-01,27.013,28.218,26.289,28.093,512162,0
1998-10-02,28.218,28.575,27.794,28.218,509985,0
1998-10-05,27.496,27.496,25.923,26.047,176422,0
1998-10-06,25.807,26.887,25.623,26.772,145739,0
1998-10-07,27.496,29.184,27.496,29,315215,0
