Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,17.896,18.339,17.786,18.329,541430,0
2005-02-28,18.29,18.357,17.87,18.157,630317,0
2005-03-01,18.205,18.329,18.009,18.32,704884,0
2005-03-02,18.31,18.339,18.047,18.252,530427,0
2005-03-03,18.262,18.32,18.009,18.262,602111,0
2005-03-04,18.339,18.339,17.823,18.076,485982,0
2005-03-07,18.037,18.853,17.832,18.757,976561,0
2005-03-08,18.719,18.806,18.31,18.412,501689,0
2005-03-09,18.42,18.7,18.42,18.456,614931,0
2005-03-10,18.456,18.628,18.242,18.6,292403,0
2005-03-11,18.6,18.692,17.944,18.114,415048,0
2005-03-14,18.149,18.553,17.971,18.534,444852,0
2005-03-15,18.553,18.7,18.067,18.067,497415,0
2005-03-16,18.009,18.186,17.514,17.553,661938,0
2005-03-17,17.553,17.823,17.514,17.746,600829,0
2005-03-18,17.756,17.766,17.364,17.562,1175699,0
2005-03-21,17.543,17.776,17.437,17.661,388980,0
2005-03-22,17.642,18.009,17.607,17.661,758408,0
2005-03-23,17.691,18.124,17.652,17.737,811932,0
2005-03-24,17.796,18.009,17.756,17.796,501904,0
2005-03-28,17.786,17.896,17.617,17.737,695377,0
2005-03-29,17.681,18.009,17.428,17.447,691318,0
2005-03-30,17.457,17.466,17.018,17.222,1219286,0
2005-03-31,17.204,17.372,17.037,17.242,508846,0
2005-04-01,17.372,17.504,16.979,17.018,390690,0
2005-04-04,17.009,17.166,16.746,17.009,774645,0
2005-04-05,17.084,17.281,16.923,17.075,461519,0
2005-04-06,17.12,17.345,17.12,17.184,831590,0
2005-04-07,17.194,17.437,17.092,17.428,374023,0
2005-04-08,17.372,17.534,17.232,17.301,315266,0
2005-04-11,17.309,17.382,16.979,16.979,457033,0
2005-04-12,16.989,17.045,16.718,16.942,882869,0
2005-04-13,16.895,16.933,16.662,16.718,773365,0
2005-04-14,16.718,16.774,15.997,16.176,1748005,0
2005-04-15,16.034,16.081,15.679,15.779,807981,0
2005-04-18,15.779,16.071,15.77,15.951,1262980,0
2005-04-19,16.137,16.166,15.971,16.107,859794,0
2005-04-20,16.205,16.297,15.913,15.913,361307,0
2005-04-21,16.052,16.341,16.052,16.176,637472,0
2005-04-22,16.1,16.176,15.923,16.107,565894,0
2005-04-25,16.195,16.289,16.09,16.289,372847,0
2005-04-26,16.241,16.522,16.107,16.107,638969,0
2005-04-27,16.147,16.812,16.025,16.586,1364793,0
2005-04-28,16.586,16.885,16.399,16.439,1039381,0
2005-04-29,17.037,17.776,16.905,17.681,1590638,0
2005-05-02,17.681,17.756,17.261,17.475,1032220,0
2005-05-03,17.485,17.786,17.485,17.607,646766,0
2005-05-04,17.626,17.786,17.534,17.701,544955,0
2005-05-05,17.727,17.823,17.514,17.598,334921,0
2005-05-06,17.737,17.746,17.617,17.681,509595,0
2005-05-09,17.681,17.776,17.562,17.652,444424,0
2005-05-10,17.553,17.737,17.543,17.681,656167,0
2005-05-11,17.691,17.842,17.437,17.642,929984,0
2005-05-12,17.681,17.823,17.336,17.372,947608,0
2005-05-13,17.364,17.652,17.222,17.399,1324838,0
