Date,Open,High,Low,Close,Volume,OpenInt
1984-09-07,4.3141,4.3306,4.2558,4.3306,346097,0
1984-09-10,4.3306,4.406,4.2723,4.406,215713,0
1984-09-11,4.406,4.4727,4.3642,4.3642,299600,0
1984-09-12,4.3474,4.3474,4.3141,4.3141,250228,0
1984-09-13,4.3141,4.3306,4.239,4.3306,885378,0
1984-09-14,4.406,4.4558,4.406,4.4558,350412,0
1984-09-17,4.4558,4.4727,4.4226,4.4558,567560,0
1984-09-18,4.4558,4.4893,4.4391,4.4727,133263,0
1984-09-19,4.4727,4.4727,4.406,4.406,251660,0
1984-09-20,4.406,4.4391,4.3306,4.3474,1012406,0
1984-09-21,4.3474,4.3642,4.3306,4.3474,31637,0
1984-09-24,4.3306,4.3306,4.2977,4.3141,320692,0
1984-09-25,4.3141,4.3306,4.2977,4.2977,162023,0
1984-09-26,4.2977,4.406,4.2977,4.3474,510996,0
1984-09-27,4.3642,4.4391,4.3642,4.4391,642821,0
1984-09-28,4.4391,4.4558,4.3892,4.3892,146684,0
1984-10-01,4.3892,4.406,4.3474,4.3642,116963,0
1984-10-02,4.3642,4.406,4.3306,4.3892,1078561,0
1984-10-03,4.3892,4.4226,4.3892,4.406,2028168,0
1984-10-04,4.4226,4.5309,4.4226,4.4727,432861,0
1984-10-05,4.4727,4.4727,4.4391,4.4558,166339,0
1984-10-08,4.406,4.406,4.3892,4.3892,50813,0
1984-10-09,4.3892,4.4558,4.3892,4.3892,119840,0
1984-10-10,4.3892,4.3892,4.3474,4.3474,94435,0
1984-10-11,4.3892,4.4727,4.3892,4.4727,531610,0
1984-10-12,4.4727,4.4727,4.4226,4.4391,154354,0
1984-10-15,4.4391,4.4893,4.3892,4.4391,169213,0
1984-10-16,4.4391,4.4391,4.3892,4.4226,73344,0
1984-10-17,4.4226,4.4727,4.3892,4.4727,341781,0
1984-10-18,4.4727,4.5141,4.4391,4.5141,1345080,0
1984-10-19,4.5141,4.5309,4.4727,4.5309,855176,0
1984-10-22,4.5141,4.5141,4.4727,4.4727,531610,0
1984-10-23,4.4893,4.5309,4.4893,4.5309,97310,0
1984-10-24,4.5309,4.5309,4.4727,4.4893,29720,0
1984-10-25,4.4558,4.4558,4.4226,4.4226,103541,0
1984-10-26,4.3642,4.3642,4.3474,4.3474,67593,0
1984-10-29,4.3474,4.3892,4.3306,4.3892,70464,0
