Date,Open,High,Low,Close,Volume,OpenInt
2010-11-19,8.6142,8.7901,8.6097,8.736,648178,0
2010-11-22,8.9027,8.9243,8.763,8.8715,444907,0
2010-11-23,8.7317,8.8802,8.7317,8.8391,338018,0
2010-11-24,8.9287,9.1961,8.8984,8.9926,428414,0
2010-11-26,8.866,9.3194,8.7721,8.9117,144092,0
2010-11-29,8.9831,8.9831,8.6957,8.7488,725201,0
2010-11-30,8.678,8.754,8.3895,8.7226,663683,0
2010-12-01,8.8623,8.9243,8.6554,8.7226,569106,0
2010-12-02,8.8491,8.8802,8.4393,8.6051,1070824,0
2010-12-03,8.5606,8.6554,8.4975,8.556,450929,0
2010-12-06,8.678,8.8348,8.4751,8.538,499793,0
2010-12-07,8.5434,8.6188,8.3854,8.4796,779888,0
2010-12-08,8.4212,8.5201,8.3628,8.4796,259438,0
2010-12-09,8.5201,8.5434,8.3628,8.4033,446751,0
2010-12-10,8.3358,8.4122,8.3178,8.3628,840002,0
2010-12-13,8.3628,8.4033,8.2503,8.3493,219927,0
2010-12-14,8.3717,8.4079,8.2547,8.4033,590167,0
2010-12-15,8.3178,8.4303,8.282,8.4079,344270,0
2010-12-16,8.4079,8.5524,8.3268,8.5201,632679,0
2010-12-17,8.4751,8.6276,8.3895,8.556,951033,0
2010-12-20,8.5606,8.8348,8.4932,8.8079,391548,0
2010-12-21,8.8125,8.8125,8.5785,8.6824,479021,0
2010-12-22,8.6733,8.8391,8.6733,8.7226,1095431,0
2010-12-23,8.7396,8.8848,8.5478,8.6051,186861,0
2010-12-27,8.7488,9.0546,8.7488,8.866,708624,0
2010-12-28,8.8984,8.9557,8.6366,8.7273,231685,0
2010-12-29,8.7488,8.7721,8.6097,8.7273,218352,0
2010-12-30,8.7181,8.8848,8.678,8.8848,426031,0
2010-12-31,8.7452,8.7676,8.7047,8.736,58847,0
2011-01-03,8.8391,8.8391,8.6231,8.6276,688417,0
2011-01-04,8.6366,8.6824,8.3854,8.4887,573716,0
2011-01-05,8.4887,8.5434,8.3854,8.4437,357257,0
2011-01-06,8.4257,8.4257,8.1151,8.3,760595,0
2011-01-07,8.3088,8.3088,8.1603,8.1963,1011063,0
2011-01-10,8.2009,8.2458,8.1471,8.1739,268909,0
2011-01-11,8.1963,8.4303,8.1739,8.3854,113815,0
2011-01-12,8.4346,8.4346,8.1739,8.3088,301530,0
2011-01-13,8.3178,8.3358,8.2503,8.3042,59771,0
2011-01-14,8.3268,8.3539,8.2277,8.3539,58453,0
2011-01-18,8.3539,8.3854,8.1739,8.3539,180512,0
2011-01-19,8.3222,8.4707,8.1963,8.2369,159248,0
2011-01-20,8.2324,8.2547,8.102,8.1335,303582,0
2011-01-21,8.3402,8.4527,8.1245,8.1424,372907,0
2011-01-24,8.1603,8.3,8.1603,8.2683,67801,0
2011-01-25,8.2729,8.3178,8.2547,8.3,59783,0
2011-01-26,8.2952,8.3943,8.2054,8.3042,76475,0
2011-01-27,8.2909,8.4527,8.1694,8.4527,600290,0
2011-01-28,8.4437,8.529,8.2864,8.5109,79389,0
2011-01-31,8.5246,8.6455,8.358,8.3895,209683,0
2011-02-01,8.4527,8.5918,8.3448,8.4079,269060,0
2011-02-02,8.3674,8.5524,8.3448,8.5478,62935,0
2011-02-03,8.5109,8.556,8.4303,8.4437,169787,0
2011-02-04,8.4975,8.529,8.358,8.4303,49881,0
2011-02-07,8.4079,8.7004,8.3988,8.6554,251330,0
