Date,Open,High,Low,Close,Volume,OpenInt
2005-03-03,11.212,11.212,11.212,11.212,426,0
2005-03-04,11.783,11.783,11.356,11.356,1149,0
2005-03-07,12.069,12.078,11.356,11.356,1591,0
2005-03-10,11.356,11.356,11.356,11.356,566,0
2005-03-11,11.356,11.356,11.239,11.239,4831,0
2005-03-14,11.496,11.496,11.356,11.496,2899,0
2005-03-15,11.356,11.356,11.356,11.356,1703,0
2005-03-21,11.356,11.356,11.356,11.356,338,0
2005-03-23,11.356,11.356,11.356,11.356,936,0
2005-03-24,11.356,11.356,11.356,11.356,250,0
2005-03-28,11.356,11.356,11.356,11.356,232,0
2005-03-29,11.356,11.356,11.298,11.298,1651,0
2005-03-30,11.271,11.298,11.271,11.298,1021,0
2005-04-01,11.29,11.298,11.29,11.298,618,0
2005-04-05,11.093,11.093,10.925,10.925,2045,0
2005-04-06,10.925,10.925,10.925,10.925,2045,0
2005-04-08,11.093,11.093,10.779,10.779,855,0
2005-04-11,10.493,10.499,10.493,10.499,1703,0
2005-04-12,10.376,10.779,10.376,10.779,1518,0
2005-04-14,10.493,10.493,10.06,10.493,5626,0
2005-04-15,10.493,10.493,10.06,10.06,818,0
2005-04-18,10.06,10.256,10.06,10.256,2947,0
2005-04-19,10.345,10.493,10.345,10.464,2558,0
2005-04-20,10.493,10.493,10.405,10.405,3665,0
2005-04-21,10.405,10.493,10.405,10.493,9677,0
2005-04-26,10.521,10.779,10.493,10.493,7871,0
2005-04-27,10.345,10.638,10.345,10.638,5664,0
2005-04-28,10.925,11.065,10.925,10.984,11255,0
2005-05-02,11.065,11.212,11.065,11.212,1021,0
2005-05-03,11.065,11.065,11.065,11.065,480,0
2005-05-05,11.065,11.065,10.984,10.984,2359,0
2005-05-06,10.779,10.984,10.779,10.984,1507,0
2005-05-09,10.925,10.925,10.638,10.638,2045,0
2005-05-12,10.638,10.638,10.638,10.638,2045,0
2005-05-16,10.779,10.779,10.779,10.779,1204,0
2005-05-17,10.925,10.925,10.836,10.836,11921,0
2005-05-19,11.356,11.356,10.933,10.933,11079,0
2005-05-20,10.925,10.925,10.836,10.836,5326,0
2005-05-23,10.925,10.925,10.925,10.925,338,0
2005-05-24,10.836,10.836,10.836,10.836,641,0
2005-05-25,11.065,11.065,11.065,11.065,433,0
2005-05-27,10.925,10.925,10.779,10.925,4947,0
2005-05-31,10.779,11.065,10.779,11.065,1533,0
2005-06-03,10.836,10.836,10.836,10.836,1563,0
2005-06-06,10.925,10.925,10.865,10.865,13075,0
2005-06-07,10.865,10.865,10.779,10.779,3718,0
2005-06-08,10.749,10.749,10.749,10.749,513,0
2005-06-09,10.925,10.925,10.69,10.69,6649,0
2005-06-10,10.865,10.865,10.865,10.865,681,0
2005-06-13,10.749,10.749,10.749,10.749,1703,0
2005-06-17,10.925,10.925,10.925,10.925,1703,0
2005-06-20,10.925,10.925,10.925,10.925,855,0
2005-06-21,11.065,11.212,11.065,11.212,15345,0
2005-06-22,11.212,11.356,11.124,11.124,11917,0
2005-07-01,11.124,11.124,11.124,11.124,652,0
2005-07-06,11.212,11.496,11.212,11.496,3068,0
2005-07-08,11.496,11.496,11.496,11.496,974,0
2005-07-11,11.496,11.526,11.356,11.526,8394,0
2005-07-12,11.468,11.468,11.468,11.468,1876,0
2005-07-18,11.356,11.496,11.356,11.436,3921,0
2005-07-21,11.496,11.496,11.356,11.496,5968,0
2005-07-22,11.468,11.929,11.468,11.783,6127,0
2005-07-25,11.929,12.078,11.929,12.078,1705,0
2005-07-26,11.929,11.929,11.783,11.783,671,0
2005-07-27,12.078,12.302,12.078,12.078,5587,0
2005-07-29,11.783,11.783,11.783,11.783,338,0
2005-08-01,11.783,12.078,11.783,12.078,681,0
2005-08-02,11.872,11.872,11.496,11.496,4858,0
2005-08-03,11.526,11.643,11.496,11.496,20907,0
2005-08-05,11.701,11.701,11.701,11.701,227,0
2005-08-09,11.701,11.701,11.701,11.701,855,0
2005-08-10,11.584,11.584,11.584,11.584,423,0
2005-08-12,11.584,11.584,11.584,11.584,513,0
2005-08-16,11.584,11.584,11.496,11.503,1408,0
2005-08-17,11.496,11.496,11.356,11.356,4092,0
2005-08-18,11.356,11.356,11.356,11.356,3111,0
2005-08-19,11.356,11.356,11.239,11.239,4947,0
2005-08-22,11.298,11.298,11.298,11.298,3239,0
2005-08-23,11.356,12.078,11.356,11.356,1500,0
2005-08-26,11.356,11.356,11.356,11.356,1107,0
2005-08-29,11.436,11.436,11.239,11.239,5626,0
2005-08-30,11.436,11.496,11.436,11.496,694,0
2005-08-31,11.239,11.239,11.239,11.239,806,0
2005-09-01,11.298,11.298,11.298,11.298,970,0
2005-09-06,11.239,11.496,11.239,11.496,426,0
2005-09-12,11.239,11.239,11.239,11.239,936,0
2005-09-13,11.239,11.496,11.239,11.496,1498,0
2005-09-14,11.496,11.496,11.065,11.065,3413,0
2005-09-20,11.212,11.436,11.212,11.436,2045,0
2005-09-23,11.124,11.124,11.124,11.124,637,0
2005-09-27,11.212,11.212,11.212,11.212,853,0
2005-09-28,11.496,11.496,11.212,11.212,8012,0
2005-10-03,11.212,11.212,11.212,11.212,1703,0
2005-10-04,11.093,11.151,11.014,11.093,14528,0
2005-10-05,10.984,10.984,10.865,10.865,3239,0
2005-10-06,10.719,10.925,10.719,10.925,2050,0
2005-10-07,10.925,11.212,10.925,10.952,7372,0
2005-10-10,11.065,11.151,11.065,11.151,4607,0
2005-10-11,11.151,11.151,11.065,11.065,2809,0
2005-10-12,11.173,11.173,11.173,11.173,3017,0
2005-10-13,11.151,11.151,11.151,11.151,1366,0
2005-10-17,11.151,11.151,10.925,10.925,1209,0
2005-10-18,10.925,10.925,10.925,10.925,514,0
2005-10-19,10.808,10.808,10.749,10.764,6649,0
2005-10-27,10.749,10.779,10.719,10.779,19605,0
2005-10-28,10.705,11.856,10.705,10.779,8593,0
2005-10-31,11.137,11.321,10.779,10.779,2754,0
2005-11-01,10.493,10.925,10.493,10.925,5420,0
2005-11-04,11.496,11.496,11.496,11.496,411,0
2005-11-08,12.215,12.215,11.682,11.682,6693,0
2005-11-09,11.682,11.682,11.682,11.682,273,0
2005-11-10,11.526,11.526,11.247,11.247,1130,0
2005-11-17,11.321,11.682,11.321,11.682,1392,0
2005-11-23,12.215,12.215,12.215,12.215,426,0
2005-12-07,12.574,12.574,12.574,12.574,273,0
2005-12-12,12.757,12.933,12.647,12.933,7775,0
2005-12-13,14.005,14.005,13.079,13.579,1431,0
2005-12-14,11.049,11.321,10.961,11.137,77955,0
2005-12-15,11.137,11.423,11.137,11.157,16507,0
2005-12-16,11.137,11.247,11.137,11.165,12003,0
2005-12-19,11.173,11.395,11.173,11.247,5153,0
2005-12-20,11.395,11.659,11.247,11.496,19918,0
2005-12-21,11.496,11.496,11.212,11.212,3556,0
2005-12-22,11.65,11.65,11.321,11.496,749,0
2005-12-23,11.212,11.461,11.212,11.461,875,0
2005-12-27,11.356,11.356,11.225,11.225,2050,0
2005-12-28,11.306,11.321,11.306,11.321,6137,0
2005-12-29,11.321,11.321,11.212,11.212,4685,0
2005-12-30,11.212,11.212,11.212,11.212,3634,0
2006-01-03,11.212,11.321,11.212,11.321,13230,0
2006-01-04,11.283,11.356,11.283,11.356,6067,0
2006-01-05,11.395,11.496,11.283,11.283,5579,0
2006-01-06,11.321,11.461,11.218,11.461,6125,0
2006-01-09,11.436,11.436,11.212,11.212,22243,0
2006-01-10,11.144,11.144,10.961,10.961,12290,0
2006-01-11,11.748,11.748,11.356,11.356,5658,0
2006-01-12,11.356,11.356,11.1,11.1,2045,0
2006-01-13,11.1,11.1,11.1,11.1,131,0
2006-01-17,10.967,11.173,10.967,11.137,7914,0
2006-01-18,11.137,11.321,11.137,11.321,1507,0
2006-01-19,11.137,11.137,11.137,11.137,668,0
2006-01-20,11.534,11.534,11.043,11.043,4190,0
2006-01-23,10.992,11.078,10.976,10.976,2625,0
2006-01-24,11.056,11.065,10.992,11.065,1388,0
2006-01-26,11.034,11.034,11.027,11.027,546,0
2006-01-27,11.006,11.006,11.006,11.006,273,0
2006-01-30,10.984,11.173,10.976,11.093,3916,0
2006-01-31,11.065,11.482,11.065,11.453,7850,0
2006-02-01,11.212,11.423,11.1,11.356,2490,0
2006-02-02,11.218,11.218,11.034,11.034,2383,0
2006-02-06,10.967,11.337,10.967,11.065,2294,0
2006-02-08,11.065,11.065,10.961,10.961,41799,0
2006-02-09,11.218,11.218,10.967,10.967,2316,0
2006-02-10,11.065,11.065,10.999,10.999,1637,0
2006-02-13,11.218,11.247,11.212,11.247,1910,0
2006-02-14,11.277,11.277,11.218,11.218,1366,0
2006-02-16,10.976,10.976,10.976,10.976,131,0
2006-02-17,11.247,11.283,11.247,11.283,1431,0
2006-02-21,11.247,11.306,11.247,11.306,2086,0
2006-02-22,10.992,11.283,10.961,11.283,3753,0
2006-02-23,11.056,11.056,11.056,11.056,131,0
2006-02-24,11.277,11.496,11.277,11.496,6368,0
2006-02-27,11.489,11.496,11.489,11.496,8190,0
2006-02-28,11.489,11.489,11.489,11.489,681,0
2006-03-03,11.489,11.856,11.461,11.461,4954,0
2006-03-06,11.496,11.517,11.283,11.411,11047,0
2006-03-07,11.489,11.489,11.489,11.489,273,0
2006-03-08,11.277,11.277,10.999,11.043,17391,0
2006-03-09,11.043,11.043,10.999,10.999,2045,0
2006-03-10,10.967,10.999,10.961,10.961,5174,0
2006-03-13,10.967,10.999,10.967,10.967,3820,0
2006-03-14,10.961,11.049,10.961,11.043,1841,0
2006-03-15,11.085,11.085,10.961,11.043,3219,0
2006-03-16,10.889,11.137,10.889,11.137,8124,0
2006-03-17,11.137,11.137,11.137,11.137,6819,0
2006-03-20,11.321,11.321,10.853,11.006,2225,0
2006-03-21,10.992,10.992,10.889,10.889,6933,0
2006-03-22,10.925,10.967,10.925,10.967,6819,0
2006-03-23,11.131,11.321,11.131,11.137,2598,0
2006-03-24,11.065,11.321,10.961,11.321,3872,0
2006-03-27,10.961,10.961,10.961,10.961,273,0
2006-03-28,10.992,11.006,10.961,10.961,1704,0
2006-03-30,10.976,10.976,10.976,10.976,410,0
2006-03-31,11.283,12.25,11.277,11.722,35644,0
2006-04-03,11.818,11.818,11.534,11.731,2926,0
2006-04-04,11.944,12.302,11.944,12.162,1224,0
2006-04-05,12.056,12.056,11.218,11.329,1431,0
2006-04-06,11.989,11.989,11.475,11.667,1639,0
2006-04-07,11.841,11.841,11.534,11.534,273,0
2006-04-10,11.754,11.754,11.511,11.564,1910,0
2006-04-11,11.768,11.768,11.57,11.57,1502,0
2006-04-12,11.468,11.496,11.468,11.496,4771,0
2006-04-13,11.496,11.496,11.496,11.496,3820,0
2006-04-18,11.321,11.667,11.144,11.453,7583,0
2006-04-20,11.321,11.496,11.321,11.496,1910,0
2006-04-21,11.321,11.321,11.321,11.321,977,0
2006-04-24,11.643,11.643,11.283,11.475,2705,0
