Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,34.77,35.084,34.65,35.076,282885,0
2005-02-28,34.88,34.943,34.601,34.77,234596,0
2005-03-01,34.968,35.442,34.968,35.199,159016,0
2005-03-02,34.492,34.683,34.38,34.573,330538,0
2005-03-03,34.485,34.691,34.405,34.61,222344,0
2005-03-04,35.076,35.56,35.049,35.354,205287,0
2005-03-07,34.707,34.763,34.286,34.65,276320,0
2005-03-08,34.738,34.81,34.414,34.501,258746,0
2005-03-09,34.855,35.015,34.633,34.65,184167,0
2005-03-10,34.722,34.888,34.471,34.675,187959,0
2005-03-11,34.976,35.236,34.818,34.832,154208,0
2005-03-14,34.541,34.65,34.357,34.454,164321,0
2005-03-15,35.173,35.173,34.65,34.668,179740,0
2005-03-16,34.659,34.81,34.271,34.388,228166,0
2005-03-17,34.002,34.019,33.66,33.821,288207,0
2005-03-18,33.527,33.64,33.17,33.51,502074,0
2005-03-21,33.069,33.355,32.84,33.17,307536,0
2005-03-22,32.998,33.331,32.039,32.712,336238,0
2005-03-23,32.451,32.777,32.357,32.475,292239,0
2005-03-24,32.871,33.069,32.68,32.68,217539,0
2005-03-28,32.752,33.242,32.735,32.769,161424,0
2005-03-29,32.726,33.028,32.579,32.665,226392,0
2005-03-30,32.555,32.785,32.482,32.712,217417,0
2005-03-31,32.831,32.957,32.594,32.785,515599,0
2005-04-01,33.418,33.544,32.721,32.785,185684,0
2005-04-04,32.563,32.911,32.397,32.831,157621,0
2005-04-05,32.972,33.006,32.785,32.957,224240,0
2005-04-06,33.054,33.234,32.879,33.062,178226,0
2005-04-07,33.102,33.348,33.028,33.155,414732,0
2005-04-08,33.187,33.363,32.911,33.211,153208,0
2005-04-11,33.715,33.715,33.348,33.519,149157,0
2005-04-12,33.355,33.527,32.998,33.424,177602,0
2005-04-13,33.821,34.035,33.66,33.709,217539,0
2005-04-14,34.167,34.344,33.938,33.954,230821,0
2005-04-15,33.615,33.805,33.266,33.418,217160,0
2005-04-18,33.314,33.495,33.203,33.385,158254,0
2005-04-19,33.782,34.097,33.782,34.027,272390,0
2005-04-20,33.813,33.83,33.355,33.394,176709,0
2005-04-21,33.7,33.899,33.495,33.782,272151,0
2005-04-22,33.83,34.002,33.653,33.838,147885,0
2005-04-25,33.7,33.938,33.66,33.907,199346,0
2005-04-26,33.25,33.424,33.02,33.203,259247,0
2005-04-27,32.665,32.933,32.459,32.793,421810,0
2005-04-28,32.238,32.634,32.175,32.286,527608,0
2005-04-29,32.856,32.941,32.515,32.831,369850,0
2005-05-02,32.989,33.686,32.594,32.823,185561,0
2005-05-03,32.482,33.02,32.42,32.831,186819,0
2005-05-04,32.902,33.385,32.769,33.226,188214,0
2005-05-05,33.409,33.646,33.226,33.331,253319,0
2005-05-06,33.394,33.394,33.077,33.163,151314,0
2005-05-09,33.028,33.378,32.911,33.314,201864,0
2005-05-10,32.726,32.735,32.357,32.451,283401,0
2005-05-11,32.104,32.318,31.939,32.278,403979,0
2005-05-12,32.23,32.325,31.969,32.031,183668,0
2005-05-13,31.778,32.023,31.563,31.646,245981,0
2005-05-16,31.439,31.842,31.375,31.726,286810,0
2005-05-17,31.408,31.963,31.399,31.709,359618,0
2005-05-18,31.834,32.244,31.772,32.095,391334,0
2005-05-19,32.238,32.238,32.039,32.054,240298,0
2005-05-20,31.669,31.866,31.527,31.756,340663,0
2005-05-23,31.756,32.12,31.701,31.963,410425,0
2005-05-24,31.993,32.008,31.849,31.922,195417,0
2005-05-25,32.031,32.222,31.954,31.969,387682,0
2005-05-26,30.417,30.815,30.34,30.709,718733,0
2005-05-27,30.544,30.577,30.244,30.459,393487,0
2005-05-31,30.402,30.417,30.253,30.285,286053,0
