Date,Open,High,Low,Close,Volume,OpenInt
2017-05-19,52.01,52.99,52.01,52.37,688350,0
2017-05-22,52.37,52.71,52.251,52.45,1299151,0
2017-05-23,52.52,52.89,52.52,52.8399,524954,0
2017-05-24,52.85,52.87,52.541,52.8065,509638,0
2017-05-25,52.97,53,52.59,53,309726,0
2017-05-26,53,53.23,52.5,52.6,213825,0
2017-05-30,52.69,53.15,52.43,53,1252484,0
2017-05-31,53.59,53.59,53.12,53.51,1657049,0
2017-06-01,53.32,54,53.12,53.92,678619,0
2017-06-02,53.92,54.1399,53.87,54.05,628556,0
2017-06-05,54.26,54.29,53.97,53.97,333817,0
2017-06-06,54.02,54.2999,53.71,53.81,639867,0
2017-06-07,54,54.24,53.9485,54.048,495713,0
2017-06-08,53.95,54.3,53.64,53.74,1019555,0
2017-06-09,54.18,54.18,53.78,54.03,163885,0
2017-06-12,53.8,53.92,53.0937,53.92,389783,0
2017-06-13,53.9,54.09,53.87,54.08,346854,0
2017-06-14,54.17,54.35,53.85,54.08,201345,0
2017-06-15,54.21,55.71,53.72,53.85,928506,0
2017-06-16,54.13,54.13,53.66,53.83,138826,0
2017-06-19,54.38,54.39,53.9,54.19,335850,0
2017-06-20,54.39,56.11,54.3,54.5,519117,0
2017-06-21,54.46,54.53,54.111,54.45,299810,0
2017-06-22,54.95,54.95,54.15,54.5,717595,0
2017-06-23,55.65,55.65,54.41,54.63,1310263,0
2017-06-26,54.81,55.88,54.25,54.56,715785,0
2017-06-27,54.55,54.9,54.32,54.75,2019878,0
2017-06-28,54.63,55.25,54.55,54.7,418465,0
2017-06-29,54.93,54.93,54.16,54.23,319056,0
2017-06-30,54.9,56.25,54.68,54.78,634630,0
2017-07-03,54.83,54.96,54.55,54.7,74601,0
2017-07-05,54.72,55.07,54.5,55.06,453509,0
2017-07-06,54.99,55.05,54.656,54.9,599862,0
2017-07-07,55.1,55.36,54.68,55.36,467823,0
2017-07-10,55.46,55.5,55.07,55.3,892431,0
2017-07-11,55.01,55.3,54.86,54.94,848181,0
2017-07-12,54.61,56.19,54.48,54.6,1299031,0
2017-07-13,54.6,54.75,54.48,54.64,434736,0
2017-07-14,54.82,55.26,54.52,55.26,689616,0
2017-07-17,55.39,55.4,55.036,55.1,446903,0
2017-07-18,55.15,55.49,55.01,55.41,530930,0
2017-07-19,55.55,55.84,55.34,55.7,1022093,0
2017-07-20,55.89,56.12,55.53,55.98,624924,0
2017-07-21,56.04,56.69,56,56.59,7880192,0
2017-07-24,56.75,56.75,56.24,56.36,353594,0
2017-07-25,56.68,56.68,56.02,56.18,218635,0
2017-07-26,56.22,56.75,55.86,55.98,284727,0
2017-07-27,56.15,56.15,55.66,55.92,4693323,0
2017-07-28,55.92,56.3,55.81,56.01,493641,0
2017-07-31,56.01,56.01,55.75,55.86,448576,0
2017-08-01,55.74,56.07,55.74,55.85,179387,0
2017-08-02,55.72,56.01,55.53,55.67,239102,0
2017-08-03,54.34,55.64,54.28,55.55,705447,0
2017-08-04,55.69,55.78,54.91,55.23,404173,0
2017-08-07,55.09,55.46,55.05,55.4,54225,0
2017-08-08,55.78,55.78,55.1001,55.11,93154,0
2017-08-09,54.99,55.32,54.99,55.21,99505,0
2017-08-10,55.18,55.529,55.18,55.29,224417,0
2017-08-11,55.47,55.93,55.3,55.75,61971,0
2017-08-14,55.54,57.21,55.505,55.86,939404,0
2017-08-15,55.85,56.0859,55.67,55.67,414514,0
2017-08-16,55.7,56.05,55.7,55.74,216576,0
2017-08-17,55.781,55.98,55.38,55.38,77961,0
2017-08-18,55.28,55.3799,54.9,55.23,275036,0
2017-08-21,55.32,55.53,55.02,55.37,175233,0
2017-08-22,55.5201,55.79,55.5201,55.74,354508,0
2017-08-23,55.51,55.51,55.09,55.28,190465,0
2017-08-24,55.54,55.54,55.06,55.16,58202,0
2017-08-25,55.27,55.42,55.27,55.28,39371,0
2017-08-28,55.4712,55.55,55.4316,55.55,18641,0
2017-08-29,55.4,55.54,55.26,55.46,125011,0
2017-08-30,55.57,55.57,55.18,55.24,237462,0
2017-08-31,55.4899,55.65,55.241,55.62,117600,0
2017-09-01,55.62,55.62,55.2917,55.59,95533,0
2017-09-05,55.55,55.85,55.26,55.83,129689,0
2017-09-06,55.79,55.79,55.54,55.6,212283,0
2017-09-07,55.66,55.9116,55.65,55.66,246096,0
2017-09-08,55.72,56.5999,55.72,56.56,130198,0
2017-09-11,56.5801,56.71,56.36,56.46,17257,0
2017-09-12,56.206,56.389,56.0836,56.23,144882,0
2017-09-13,55.93,55.93,55.0699,55.25,236735,0
2017-09-14,55.2699,55.48,55.12,55.46,111575,0
2017-09-15,55.19,55.4099,54.9,55,309998,0
2017-09-18,55.15,56.65,54.99,55.01,293282,0
2017-09-19,55.1,55.1,54.4,54.54,1206109,0
2017-09-20,54.61,54.74,54.371,54.7,804133,0
2017-09-21,54.6,54.66,54.18,54.24,57026,0
2017-09-22,54.41,55.09,54.25,54.57,880997,0
2017-09-25,54.5,54.61,54.31,54.47,314093,0
2017-09-26,54.679,54.74,54.46,54.74,105971,0
2017-09-27,54.81,54.81,54.3701,54.54,480924,0
2017-09-28,54.48,54.7192,54.42,54.57,365020,0
2017-09-29,54.55,55.26,54.55,55.26,726604,0
2017-10-02,55.31,55.31,54.96,54.99,366936,0
2017-10-03,55.15,55.15,54.49,54.54,353049,0
2017-10-04,54.79,54.86,54.7205,54.8,37653,0
2017-10-05,54.79,55.15,54.7473,55.15,93620,0
2017-10-06,55.03,55.34,55.03,55.32,225496,0
2017-10-09,55.19,55.2152,55.02,55.17,290583,0
2017-10-10,55.3,55.3,54.9,55.07,184035,0
2017-10-11,55.33,55.33,55.07,55.26,138699,0
2017-10-12,54.49,54.85,54.49,54.8,375135,0
2017-10-13,54.84,55.26,54.53,55.26,197744,0
2017-10-16,55.21,55.295,54.83,55.24,15238,0
2017-10-17,55.26,55.6573,55.25,55.54,20824,0
2017-10-18,55.78,56.43,55.72,56.43,180948,0
2017-10-19,56.42,56.7499,56.2865,56.71,16679,0
2017-10-20,56.84,57.56,56.75,57.56,163483,0
2017-10-23,57.74,57.79,57.098,57.13,139737,0
2017-10-24,57.33,57.33,56.8843,57.2,177425,0
2017-10-25,57.48,57.48,57.03,57.05,130217,0
2017-10-26,57.05,57.55,56.875,57.18,89647,0
2017-10-27,57.26,57.26,56.85,57.09,86199,0
2017-10-30,56.88,57.08,56.61,56.74,358649,0
2017-10-31,56.45,56.8463,56.45,56.79,435311,0
2017-11-01,56.08,57.02,56.08,56.57,144243,0
2017-11-02,57.45,59.88,57.21,59.7,287859,0
2017-11-03,59,59.8151,58.77,59.72,132942,0
2017-11-06,59.93,59.93,59.2,59.24,22944,0
2017-11-07,59.64,59.68,58.82,59.19,428236,0
2017-11-08,59.31,59.61,58.95,59.28,73903,0
2017-11-09,59.33,59.84,59.15,59.66,257559,0
2017-11-10,59.58,59.58,58.125,58.59,259296,0
