Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,16.072,16.251,15.963,16.192,91545,0
2005-02-28,16.301,16.301,16.032,16.092,53399,0
2005-03-01,16.261,16.441,16.172,16.401,70071,0
2005-03-02,16.182,16.511,16.142,16.331,39901,0
2005-03-03,16.062,16.451,15.813,16.202,49977,0
2005-03-04,16.441,16.471,16.202,16.401,11360,0
2005-03-07,16.122,16.899,16.122,16.79,99365,0
2005-03-08,16.919,17.009,16.76,16.869,74520,0
2005-03-09,16.939,16.939,16.69,16.849,50545,0
2005-03-10,16.76,16.879,16.361,16.421,42523,0
2005-03-11,16.361,16.999,16.341,16.949,137037,0
2005-03-14,16.969,18.005,16.969,17.935,244243,0
2005-03-15,18.185,19.769,18.085,19.43,468140,0
2005-03-16,19.42,19.829,18.932,19.629,232913,0
2005-03-17,19.35,19.689,19.35,19.57,120447,0
2005-03-18,19.53,19.579,19.191,19.5,280010,0
2005-03-21,19.579,19.759,19.33,19.719,61859,0
2005-03-22,19.54,20.177,19.39,19.928,131369,0
2005-03-23,19.928,19.928,19.181,19.729,69422,0
2005-03-24,19.829,19.829,19.45,19.49,51611,0
2005-03-28,19.43,19.57,19.31,19.38,71363,0
2005-03-29,19.281,19.39,18.972,19.031,127233,0
2005-03-30,18.932,19.44,18.733,19.33,69580,0
2005-03-31,19.43,19.43,19.012,19.32,68307,0
2005-04-01,19.43,19.43,18.952,19.35,159626,0
2005-04-04,19.031,19.161,18.583,19.061,96898,0
2005-04-05,19.051,19.44,18.942,19.37,159054,0
2005-04-06,19.43,19.43,19.191,19.281,40473,0
2005-04-07,19.33,19.38,19.061,19.181,96490,0
2005-04-08,19.231,19.251,18.752,18.932,69710,0
2005-04-11,19.41,19.41,18.653,19.031,110817,0
2005-04-12,18.892,19.012,18.733,18.922,157656,0
2005-04-13,18.922,19.021,18.653,18.762,59864,0
2005-04-14,19.081,19.081,18.005,18.334,100441,0
2005-04-15,18.384,18.573,17.995,18.294,63767,0
2005-04-18,18.483,18.483,18.055,18.284,48881,0
2005-04-19,18.503,18.533,18.065,18.394,45168,0
2005-04-20,18.543,18.553,18.055,18.145,68616,0
2005-04-21,18.085,18.434,18.035,18.264,67123,0
2005-04-22,18.224,18.234,17.935,18.214,42531,0
2005-04-25,18.434,18.673,18.274,18.503,46985,0
2005-04-26,18.633,18.633,18.105,18.334,105352,0
2005-04-27,18.244,18.244,17.985,18.135,58917,0
2005-04-28,18.234,18.234,18.065,18.185,287320,0
2005-04-29,18.135,18.264,17.188,17.587,270235,0
2005-05-02,17.497,17.975,17.467,17.896,93361,0
2005-05-03,18.025,18.025,17.786,17.906,93423,0
2005-05-04,18.035,18.234,17.886,18.075,52537,0
2005-05-05,18.065,18.254,17.975,18.145,42682,0
2005-05-06,18.234,18.424,17.945,18.075,49478,0
2005-05-09,18.085,18.503,17.985,18.503,33993,0
2005-05-10,18.214,18.513,18.115,18.483,76897,0
2005-05-11,18.533,18.683,18.334,18.434,71434,0
2005-05-12,18.533,18.533,18.314,18.434,68307,0
2005-05-13,18.424,18.513,18.294,18.434,36843,0
2005-05-16,18.214,18.533,18.214,18.463,25856,0
2005-05-17,18.384,18.434,18.234,18.334,32980,0
2005-05-18,18.523,18.533,18.274,18.344,78393,0
2005-05-19,18.165,18.473,18.155,18.434,37899,0
2005-05-20,18.234,18.483,17.886,18.085,106180,0
2005-05-23,18.085,18.085,17.915,17.985,119078,0
2005-05-24,18.055,18.165,17.925,17.985,48854,0
2005-05-25,17.886,18.115,17.886,17.935,156147,0
2005-05-26,17.945,18.204,17.935,18.015,121011,0
2005-05-27,17.935,18.533,17.935,18.314,45310,0
2005-05-31,18.414,18.832,18.334,18.334,89106,0
2005-06-01,18.503,19.43,18.294,19.42,77665,0
2005-06-02,19.669,19.749,19.44,19.679,65134,0
2005-06-03,19.579,19.878,19.579,19.759,136961,0
2005-06-06,19.779,19.878,19.51,19.759,46965,0
2005-06-07,19.878,21.064,19.839,20.616,158070,0
2005-06-08,20.666,21.104,20.347,20.994,97923,0
2005-06-09,21.024,21.174,20.765,21.094,79025,0
2005-06-10,20.925,21.283,20.905,21.164,188272,0
2005-06-13,21.234,21.532,20.935,21.513,63984,0
2005-06-14,21.353,21.941,21.353,21.931,102218,0
2005-06-15,21.971,22.529,21.742,22.021,261550,0
