Date,Open,High,Low,Close,Volume,OpenInt
2017-01-09,50.632,50.632,50.552,50.552,268,0
2017-01-12,50.605,50.785,50.508,50.785,17552,0
2017-01-13,51.08,51.08,51.08,51.08,211,0
2017-01-18,51.06,51.06,51.06,51.06,314,0
2017-01-25,51.586,52.034,51.576,52.034,40924,0
2017-01-30,51.652,51.652,51.652,51.652,105,0
2017-02-01,53.005,53.005,52.995,52.995,5877,0
2017-02-06,53.882,53.882,53.882,53.882,170,0
2017-02-07,53.939,53.939,53.637,53.637,744,0
2017-02-10,54.159,54.159,54.046,54.054,367,0
2017-02-14,54.378,54.378,54.378,54.378,105,0
2017-02-22,53.187,53.187,53.187,53.187,105,0
2017-03-06,54.092,54.092,54.092,54.092,312,0
2017-03-08,52.749,52.749,52.148,52.148,691,0
2017-03-09,50.954,51.137,50.954,51.137,314,0
2017-03-15,51.233,51.309,51.233,51.262,577,0
2017-03-17,51.576,51.576,51.576,51.576,105,0
2017-03-21,51.576,51.576,50.461,50.461,936,0
2017-03-23,51.459,51.462,51.459,51.461,438,0
2017-03-24,50.588,50.588,50.588,50.588,328,0
2017-03-30,51.303,51.303,51.303,51.303,104,0
2017-04-21,50.568,50.568,50.568,50.568,104,0
2017-04-24,51.323,51.323,51.323,51.323,104,0
2017-04-25,50.926,50.926,50.926,50.926,104,0
2017-04-27,50.22,50.22,50.22,50.22,310,0
2017-04-28,50.202,50.202,50.202,50.202,104,0
2017-05-03,50.144,50.144,50.124,50.124,6826,0
2017-05-16,50.434,50.434,50.434,50.434,17329,0
2017-05-18,49.338,49.338,49.338,49.338,214,0
2017-05-25,50.366,50.366,50.366,50.366,126,0
2017-05-26,50.008,50.008,50.008,50.008,104,0
2017-05-31,48.393,48.393,48.074,48.074,305,0
2017-06-07,47.755,47.755,47.755,47.755,337,0
2017-06-14,46.875,46.875,46.875,46.875,337,0
2017-06-21,44.206,44.206,44.206,44.206,161,0
2017-06-28,46.955,46.955,46.955,46.955,110,0
2017-07-17,48.528,48.528,48.528,48.528,178,0
2017-07-19,48.608,48.62,48.607,48.62,655,0
2017-07-24,47.991,47.991,47.958,47.958,305,0
2017-08-03,49.069,49.069,48.872,48.872,412,0
2017-08-28,45.805,45.824,45.726,45.824,406,0
2017-08-31,47.082,47.083,47.063,47.083,478,0
2017-09-01,46.945,46.945,46.926,46.945,478,0
2017-09-06,46.866,47.102,46.793,47.043,2648,0
2017-09-11,46.892,46.892,46.892,46.892,102,0
2017-09-12,46.797,46.906,46.797,46.906,341,0
2017-09-25,46.611,46.611,46.611,46.611,234,0
2017-09-26,46.591,46.611,46.561,46.611,915,0
2017-10-02,47.2718,47.2718,47.2718,47.2718,235,0
2017-10-06,47.8799,47.8799,47.868,47.868,297,0
2017-10-13,47.4401,47.5068,47.44,47.44,650,0
2017-10-17,47.1035,47.2,47.0465,47.0465,933,0
2017-10-19,46.24,46.24,46.24,46.24,100,0
2017-10-20,46.5399,46.54,46.5275,46.5275,712,0
2017-10-23,46.3,46.3,46.07,46.07,325,0
2017-10-26,45.35,45.67,45.35,45.5619,1817,0
2017-10-30,45.96,45.96,45.96,45.96,125,0
2017-10-31,46.13,46.13,46.0501,46.062,802,0
2017-11-01,46.97,47,46.97,47,212,0
2017-11-07,48.0599,48.0599,48.047,48.047,279,0
2017-11-09,47.7299,47.73,47.7175,47.7175,776,0
