Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.0873,9.3306,9.0873,9.3306,1396,0
2005-02-28,9.0959,9.2415,9.0873,9.2415,2831,0
2005-03-01,9.0873,9.2494,9.0873,9.2494,464,0
2005-03-03,9.2415,9.2494,9.2415,9.2494,4421,0
2005-03-04,9.2494,9.2494,9.2494,9.2494,464,0
2005-03-07,8.9069,9.2251,8.9069,9.2251,814,0
2005-03-09,8.8638,8.9325,8.8292,8.8292,1584,0
2005-03-10,9.2415,9.2415,9.2415,9.2415,1162,0
2005-03-14,9.2001,9.208,9.2001,9.208,757,0
2005-03-15,9.208,9.208,9.208,9.208,351,0
2005-03-16,8.8727,8.8727,8.8727,8.8727,1162,0
2005-03-17,8.7349,9.208,8.7349,9.208,1227,0
2005-03-18,8.8551,8.8551,8.7349,8.8382,2795,0
2005-03-21,8.8292,8.8292,8.8292,8.8292,231,0
2005-03-24,8.5716,8.5716,8.5716,8.5716,231,0
2005-03-28,8.7781,8.7781,8.7088,8.7088,3142,0
2005-03-29,7.7118,8.9243,7.7118,8.7781,6863,0
2005-03-30,8.7781,8.9935,8.563,8.9935,6961,0
2005-03-31,9.0021,9.0021,8.7781,8.7781,775,0
2005-04-05,8.9935,8.9935,8.7781,8.7781,1677,0
2005-04-06,8.3911,8.563,8.3911,8.563,434,0
2005-04-07,8.9935,8.9935,8.563,8.563,703,0
2005-04-08,8.649,8.649,8.3823,8.3823,586,0
2005-04-11,8.1504,8.8982,8.1504,8.8982,433,0
2005-04-12,8.1587,8.9935,8.1587,8.9935,11062,0
2005-04-15,8.9935,8.9935,8.9839,8.9935,18300,0
2005-04-18,8.9839,8.9935,8.4081,8.9669,6503,0
2005-04-20,8.7781,8.7781,8.7692,8.7692,586,0
2005-04-21,8.2448,8.4426,8.2448,8.4426,351,0
2005-04-22,8.9411,8.9501,8.9411,8.9501,380,0
2005-04-25,8.9501,8.9935,8.2622,8.9935,9349,0
2005-04-27,8.9669,8.9839,8.9669,8.9839,932,0
2005-04-29,8.2622,8.9669,8.2622,8.9669,2184,0
2005-05-03,8.9411,8.9935,8.9411,8.9839,2633,0
2005-05-05,8.9839,8.9839,8.9839,8.9839,326,0
2005-05-09,8.0127,8.9839,8.0127,8.9839,351,0
2005-05-12,8.4169,8.9935,8.4169,8.9935,1687,0
2005-05-13,11.194,11.194,8.9935,9.1403,7948,0
2005-05-16,9.0352,9.51,9.0352,9.51,573,0
2005-05-17,9.1567,9.1643,8.8809,8.8809,1047,0
2005-05-18,9.518,9.544,8.9243,9.4564,3256,0
2005-05-19,9.0616,9.0787,9.0616,9.0787,351,0
2005-05-23,8.9935,9.552,8.9935,9.501,2211,0
2005-05-24,9.0352,9.852,9.0352,9.852,1219,0
2005-05-26,9.852,9.852,9.852,9.852,231,0
2005-05-31,9.852,9.852,9.852,9.852,1510,0
2005-06-02,9.2494,9.852,8.563,9.852,2655,0
2005-06-06,9.208,9.834,8.5716,9.834,2182,0
2005-06-08,9.637,10.066,9.637,10.066,1308,0
2005-06-09,10.023,10.023,10.023,10.023,231,0
2005-06-10,10.066,10.066,9.843,10.066,1293,0
2005-06-13,9.852,10.066,9.552,10.066,1278,0
2005-06-14,9.552,9.552,9.552,9.552,464,0
2005-06-15,9.527,9.527,9.527,9.527,723,0
2005-06-16,9.527,9.527,9.527,9.527,123,0
2005-06-17,9.552,9.552,9.208,9.208,1162,0
2005-06-21,9.552,10.023,9.208,10.023,3460,0
2005-06-22,9.852,10.282,9.2251,9.931,12430,0
2005-06-23,10.282,10.282,9.782,9.782,1047,0
2005-06-24,10.282,10.282,10.282,10.282,231,0
2005-06-28,10.282,10.282,10.282,10.282,697,0
2005-06-30,10.282,10.282,10.282,10.282,1162,0
2005-07-01,10.282,10.282,9.852,9.852,1162,0
2005-07-05,9.801,9.801,9.208,9.722,11328,0
2005-07-06,9.312,9.312,9.312,9.312,123,0
2005-07-07,8.9935,9.2768,8.9935,9.208,2849,0
2005-07-08,9.791,9.791,8.9839,8.9839,1627,0
2005-07-11,8.9069,9.587,8.8638,9.2768,5132,0
2005-07-12,8.8466,9.2001,8.6145,9.2001,1037,0
2005-07-14,9.2001,9.208,8.8551,9.208,1627,0
2005-07-15,9.208,9.208,9.208,9.208,123,0
2005-07-18,9.208,9.208,9.0959,9.208,720,0
2005-07-19,8.6661,9.621,8.6577,8.7007,6476,0
2005-07-21,8.7781,8.7861,8.7007,8.7007,2762,0
2005-07-22,8.7007,8.7007,8.7007,8.7007,2325,0
2005-07-26,8.7349,8.9154,8.606,8.9154,3608,0
2005-07-27,8.7781,9.0021,8.7781,9.0021,965,0
2005-07-28,9.1045,9.2943,8.9935,9.2943,25848,0
2005-07-29,9.2943,9.2943,8.6833,8.6833,28813,0
2005-08-01,9.2768,9.2943,8.3134,8.9585,6923,0
2005-08-02,8.7781,8.9154,8.5974,8.5974,351,0
2005-08-03,8.5888,8.5888,8.3911,8.5199,1049,0
2005-08-04,8.3911,8.8292,8.3911,8.5801,1285,0
2005-08-05,8.9752,8.9752,8.7262,8.7262,1134,0
2005-08-08,8.8466,8.8466,8.5801,8.5801,697,0
2005-08-09,8.7781,8.7781,8.5801,8.5801,856,0
2005-08-10,8.9411,8.9935,8.649,8.9935,1627,0
2005-08-11,8.606,8.606,8.606,8.606,756,0
