Date,Open,High,Low,Close,Volume,OpenInt
2005-05-26,12.219,12.225,12.219,12.219,1286309,0
2005-05-27,12.219,12.235,12.219,12.23,36673,0
2005-05-31,12.225,12.23,12.219,12.225,29975,0
2005-06-01,12.219,12.23,12.219,12.225,61315,0
2005-06-02,12.23,12.23,12.219,12.225,41010,0
2005-06-03,12.23,12.23,12.219,12.225,39826,0
2005-06-06,12.225,12.225,12.219,12.225,21296,0
2005-06-07,12.219,12.252,12.219,12.225,52448,0
2005-06-08,12.219,12.225,12.219,12.219,23660,0
2005-06-09,12.225,12.225,12.219,12.219,56981,0
2005-06-10,12.23,12.23,12.219,12.219,22868,0
2005-06-13,12.225,12.225,12.219,12.225,55199,0
2005-06-14,12.225,12.225,12.219,12.225,19124,0
2005-06-15,12.219,12.225,12.219,12.219,65066,0
2005-06-16,12.219,12.225,12.219,12.225,59153,0
2005-06-17,12.219,12.225,12.219,12.219,12814,0
2005-06-20,12.219,12.225,12.219,12.219,40813,0
2005-06-21,12.219,12.225,12.219,12.219,108638,0
2005-06-22,12.219,12.225,12.219,12.219,21296,0
2005-06-23,12.219,12.225,12.219,12.219,207417,0
2005-06-24,12.219,12.225,12.219,12.219,67240,0
2005-06-27,12.219,12.225,12.219,12.219,126190,0
2005-06-28,12.219,12.225,12.219,12.219,72165,0
2005-06-29,12.225,12.225,12.219,12.219,25238,0
2005-06-30,12.225,12.225,12.219,12.225,12025,0
2005-07-01,12.219,12.225,12.219,12.225,26617,0
2005-07-05,12.219,12.219,12.219,12.219,55797,0
2005-07-06,12.219,12.219,11.846,11.95,215702,0
2005-07-07,11.874,12.009,11.846,11.955,25043,0
2005-07-08,11.902,11.923,11.846,11.912,46335,0
2005-07-11,11.97,11.97,11.846,11.965,60331,0
2005-07-12,11.923,12.044,11.898,11.996,68223,0
2005-07-13,11.996,11.996,11.898,11.95,25437,0
2005-07-14,11.95,11.955,11.846,11.902,27011,0
2005-07-15,11.902,12.119,11.78,12.071,60725,0
2005-07-18,12.019,12.071,11.97,11.977,41010,0
2005-07-19,12.025,12.059,11.97,12.019,17351,0
2005-07-20,11.996,12.064,11.97,11.996,39432,0
2005-07-21,12.044,12.044,11.846,11.846,38246,0
2005-07-22,11.898,11.944,11.785,11.944,35099,0
2005-07-25,11.944,11.944,11.794,11.874,79265,0
2005-07-26,11.874,11.874,11.636,11.768,149059,0
2005-07-27,11.768,11.818,11.768,11.79,26819,0
2005-07-28,11.736,11.898,11.73,11.874,53826,0
2005-07-29,11.923,11.923,11.768,11.806,21491,0
2005-08-01,11.761,11.927,11.761,11.846,52255,0
2005-08-02,11.827,11.917,11.818,11.917,29574,0
2005-08-03,11.874,11.923,11.846,11.874,35099,0
2005-08-04,11.95,11.965,11.851,11.923,42590,0
2005-08-05,11.927,11.965,11.874,11.898,22288,0
2005-08-08,11.857,11.97,11.838,11.846,37861,0
2005-08-09,11.923,11.97,11.838,11.965,116727,0
2005-08-10,11.923,12.071,11.886,11.923,99967,0
2005-08-11,11.742,11.768,11.676,11.725,71569,0
2005-08-12,11.79,11.799,11.698,11.709,40225,0
2005-08-15,11.761,12.031,11.698,11.965,65855,0
2005-08-16,11.891,11.939,11.751,11.801,100159,0
2005-08-17,11.923,11.97,11.714,11.927,58757,0
2005-08-18,11.961,12.044,11.933,12.044,66053,0
2005-08-19,11.97,12.019,11.923,11.996,26617,0
2005-08-22,11.991,12.019,11.833,11.842,57767,0
2005-08-23,11.78,12.076,11.78,11.996,76893,0
2005-08-24,12.019,12.071,11.846,11.923,59348,0
2005-08-25,12.019,12.019,11.78,11.874,54223,0
2005-08-26,11.923,11.996,11.898,11.933,27605,0
2005-08-29,11.97,11.996,11.827,11.857,33322,0
2005-08-30,11.806,11.996,11.806,11.912,44952,0
2005-08-31,12.009,12.048,11.78,11.97,46730,0
2005-09-01,12.095,12.095,11.917,12.044,46138,0
2005-09-02,12.059,12.059,11.97,11.97,33127,0
2005-09-06,12.019,12.095,11.846,11.894,85762,0
2005-09-07,11.97,11.996,11.891,11.939,40025,0
2005-09-08,11.939,12.034,11.862,11.862,63291,0
2005-09-09,11.88,11.991,11.88,11.991,47909,0
2005-09-12,11.991,12.034,11.902,11.902,55403,0
2005-09-13,11.902,11.923,11.846,11.923,48304,0
2005-09-14,11.939,11.965,11.785,11.785,71972,0
2005-09-15,11.79,11.912,11.78,11.851,51851,0
2005-09-16,11.902,11.98,11.902,11.933,34307,0
2005-09-19,11.961,11.961,11.688,11.703,99373,0
2005-09-20,11.725,11.842,11.714,11.736,46138,0
2005-09-21,11.745,11.818,11.658,11.694,60331,0
2005-09-22,11.694,11.801,11.645,11.725,56783,0
