Date,Open,High,Low,Close,Volume,OpenInt
2015-05-12,0.949,0.949,0.949,0.949,203331,0
2015-05-13,1.25,1.25,1.25,1.25,73509,0
2015-05-14,1.02,1.02,1.02,1.02,23190,0
2015-05-15,1.37,1.37,1.37,1.37,27672,0
2015-05-18,1.29,1.29,1.29,1.29,3303,0
2015-05-19,1.22,1.22,1.22,1.22,22950,0
2015-05-20,1.1,1.1,1.1,1.1,15054,0
2015-05-21,1.1224,1.1224,1.1224,1.1224,5882,0
2015-05-22,1.1499,1.1499,1.1499,1.1499,10000,0
2015-05-26,1.01,1.01,1.01,1.01,29662,0
2015-05-27,1.05,1.05,1.05,1.05,2040,0
2015-05-28,1.01,1.01,1.01,1.01,500,0
2015-05-29,1.1499,1.1499,1.1499,1.1499,9418,0
2015-06-01,1.12,1.12,1.12,1.12,16050,0
2015-06-02,1.1499,1.1499,1.1499,1.1499,2838,0
2015-06-03,1.13,1.13,1.13,1.13,1000,0
2015-06-04,1.2,1.2,1.2,1.2,20028,0
2015-06-05,1.12,1.12,1.12,1.12,7200,0
2015-06-08,1.15,1.15,1.15,1.15,12902,0
2015-06-09,1.15,1.15,1.15,1.15,10970,0
2015-06-10,1.27,1.27,1.27,1.27,55623,0
2015-06-11,1.2,1.2,1.2,1.2,8220,0
2015-06-12,1.18,1.18,1.18,1.18,1300,0
2015-06-15,1.111,1.111,1.111,1.111,3500,0
2015-06-16,1.14,1.14,1.14,1.14,5630,0
2015-06-17,1.12,1.12,1.12,1.12,21602,0
2015-06-18,1.02,1.02,1.02,1.02,8802,0
2015-06-19,1.05,1.05,1.05,1.05,7000,0
2015-06-22,1.09,1.09,1.09,1.09,7499,0
2015-06-23,1.002,1.002,1.002,1.002,48352,0
2015-06-24,0.961,0.961,0.961,0.961,12700,0
2015-06-25,1,1,1,1,10130,0
2015-06-26,1.1,1.1,1.1,1.1,38880,0
2015-06-29,1.15,1.15,1.15,1.15,38311,0
2015-06-30,1,1,1,1,30004,0
2015-07-01,0.91,0.91,0.91,0.91,1000,0
2015-07-02,0.91,0.91,0.91,0.91,10950,0
2015-07-06,0.91,0.91,0.91,0.91,27400,0
2015-07-07,0.88,0.88,0.88,0.88,7311,0
2015-07-08,0.949,0.949,0.949,0.949,4687,0
2015-07-10,0.95,0.95,0.95,0.95,1300,0
2015-07-14,0.989,0.989,0.989,0.989,170,0
2015-07-17,0.92,0.92,0.92,0.92,300,0
2015-07-20,0.8651,0.8651,0.8651,0.8651,800,0
2015-07-21,0.87,0.87,0.87,0.87,1000,0
2015-07-22,0.8651,0.8651,0.8651,0.8651,2500,0
2015-07-23,0.8651,0.8651,0.8651,0.8651,1000,0
2015-07-24,0.865,0.865,0.865,0.865,13600,0
2015-07-28,0.865,0.865,0.865,0.865,6500,0
2015-07-29,0.87,0.87,0.87,0.87,1900,0
2015-07-30,0.8651,0.8651,0.8651,0.8651,1000,0
2015-07-31,0.8651,0.8651,0.8651,0.8651,1000,0
2015-08-03,0.91,0.91,0.91,0.91,9108,0
2015-08-04,0.8701,0.8701,0.8701,0.8701,500,0
2015-08-06,0.8701,0.8701,0.8701,0.8701,500,0
2015-08-11,0.86,0.86,0.86,0.86,33400,0
2015-08-12,0.7111,0.7111,0.7111,0.7111,21900,0
