Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,98.083,100.01,98.083,99.043,5600,0
2005-02-28,99.2,100.01,98.259,99.71,3675,0
2005-03-01,100.38,100.78,98.837,99.76,6836,0
2005-03-02,99.2,101.58,99.132,100.59,10149,0
2005-03-03,101.23,101.23,97.965,99.95,6085,0
2005-03-04,100.12,101.36,100.12,101.16,2529,0
2005-03-07,101.82,102.45,101.19,102.05,5962,0
2005-03-08,103.4,103.4,100.38,100.41,4518,0
2005-03-09,99.91,103.55,99.083,101.05,5451,0
2005-03-10,100.12,100.96,98.896,99.083,6264,0
2005-03-11,100.59,100.59,97.217,97.808,6234,0
2005-03-14,97.965,98.161,94.878,95.623,8311,0
2005-03-15,95.977,97.808,95.348,95.348,4005,0
2005-03-16,95.133,95.264,92.9,93.416,8730,0
2005-03-17,94.114,97.419,92.937,96.745,7014,0
2005-03-18,98.612,99.54,97.602,98.72,28003,0
2005-03-21,99.54,100.01,98.396,98.857,5330,0
2005-03-22,98.72,100.26,98.651,99.083,11473,0
2005-03-23,98.612,99.083,97.994,98.798,14484,0
2005-03-24,99.435,100.26,99.435,99.475,35985,0
2005-03-28,99.475,99.63,97.505,98.72,13549,0
2005-03-29,97.361,101.23,97.361,101.23,10239,0
2005-03-30,102.74,103.68,102.49,102.71,11714,0
2005-03-31,104.28,104.28,101.92,102.37,15027,0
2005-04-01,102.74,103.55,97.994,99.91,13823,0
2005-04-04,99.63,102.2,99.475,101.41,7859,0
2005-04-05,101.05,103.25,100.3,101.66,4847,0
2005-04-06,102.27,102.37,101.66,101.82,4819,0
2005-04-07,101.8,102.45,100.92,101.16,8191,0
2005-04-08,100.9,102.71,100.86,102.3,8280,0
2005-04-11,102.3,102.53,101.34,101.53,15538,0
2005-04-12,102.29,106.17,101.66,105.98,7407,0
2005-04-13,105.7,106.13,103.79,103.79,5962,0
2005-04-14,103.51,105.75,102.54,105.26,7437,0
2005-04-15,105.26,108,103.85,103.87,12222,0
2005-04-18,104.31,105.47,104.15,104.91,4999,0
2005-04-19,104.45,105.7,104.28,105.04,10149,0
2005-04-20,104.91,104.91,102.74,103.36,4247,0
2005-04-21,103.36,104.89,102.09,104.5,4788,0
2005-04-22,104.31,106.34,103.22,103.99,6052,0
2005-04-25,104.45,105.35,102.69,104.71,8160,0
2005-04-26,105.23,105.39,102.78,102.78,5510,0
2005-04-27,102.45,104.91,101.53,103.45,4304,0
2005-04-28,103.22,103.92,102.45,103.06,6863,0
2005-04-29,103.06,105.07,103.02,103.92,15056,0
2005-05-02,104.31,106.34,103.51,106.34,6412,0
2005-05-03,105.72,107.47,105.65,106.13,5479,0
2005-05-04,106.13,107.47,105.7,106.68,8280,0
2005-05-05,106.68,107.25,103.87,104.91,12436,0
2005-05-06,104.91,105.47,104.39,104.39,9667,0
2005-05-09,104.6,107.7,104.45,107.7,3913,0
2005-05-10,107.41,107.47,103.82,104.91,8101,0
2005-05-11,104.45,104.86,101.82,102.69,6685,0
2005-05-12,102.85,103.06,98.436,99.347,39144,0
2005-05-13,99.54,100.47,97.847,98.926,8579,0
2005-05-16,99.083,100.73,99.083,100.26,6565,0
2005-05-17,100.04,100.23,99.54,99.54,7108,0
2005-05-18,99.83,100.3,99.396,99.71,3644,0
2005-05-19,100.47,102.54,100.3,102.24,4398,0
2005-05-20,102.09,103.82,102.09,103.68,4187,0
2005-05-23,103.51,105.04,103.51,104.6,7168,0
2005-05-24,105.36,105.36,104.45,104.91,9877,0
2005-05-25,105.23,105.23,103.44,104.04,3101,0
2005-05-26,104.12,105.26,103.92,104.91,10839,0
2005-05-27,104.31,106.11,104.31,104.82,6113,0
2005-05-31,104.86,108.52,104.6,107.91,25716,0
2005-06-01,107.91,108,107.17,107.17,10813,0
2005-06-02,107.2,108.31,106.77,107.87,17978,0
2005-06-03,108.31,108.31,106.11,106.57,8131,0
2005-06-06,106.11,107.84,106.11,107.84,4155,0
2005-06-07,108.17,108.25,106.84,106.87,3222,0
2005-06-08,107.25,107.25,105.39,106.13,79584,0
2005-06-09,106.13,107.8,105.32,106.89,7286,0
2005-06-10,106.47,106.96,106.04,106.13,5870,0
2005-06-13,105.36,106.6,104.91,106.47,6324,0
2005-06-14,106.6,107.55,106.6,107.25,5268,0
2005-06-15,107.41,108.31,106.89,107.77,16501,0
2005-06-16,107.77,107.91,106.94,107.08,13006,0
2005-06-17,107.84,108.45,107.25,107.7,28217,0
2005-06-20,107.25,107.8,106.71,106.75,5510,0
2005-06-21,111.09,111.09,106.6,106.6,6836,0
2005-06-22,106.94,107.8,106.87,107.37,4005,0
2005-06-23,107.37,107.55,105.55,105.65,8041,0
2005-06-24,105.65,106.07,104.58,105.7,23396,0
2005-06-27,105.47,106,103.47,104.94,18819,0
2005-06-28,103.87,104.79,102.45,102.53,15027,0
2005-06-29,102.74,104.6,102.74,104.6,14122,0
2005-06-30,104.6,104.71,103.06,103.09,4485,0
2005-07-01,103.31,104.31,103.06,104.31,3133,0
2005-07-05,104.08,104.5,103.85,104.45,11051,0
2005-07-06,104.45,104.71,103.85,104.31,6924,0
2005-07-07,103.68,104.79,102.24,104.45,2711,0
2005-07-08,104.6,106.47,104.15,106.42,12616,0
2005-07-11,106.47,107.08,105.78,106.47,17646,0
2005-07-12,106,106.47,105.72,106.47,8643,0
2005-07-13,105.83,106.47,105.23,106.21,3343,0
2005-07-14,106.3,106.44,104.45,105.47,3944,0
2005-07-15,104.91,105.36,104.35,104.89,3192,0
2005-07-18,104.15,104.89,103.65,104.82,4304,0
2005-07-19,104.91,105.55,104.35,105.23,9395,0
2005-07-20,104.91,105.7,104.39,105.7,6324,0
2005-07-21,105.07,105.29,103.51,104.45,5932,0
2005-07-22,104.31,106.47,104.15,106.47,8579,0
2005-07-25,106.11,106.47,105.5,105.65,3975,0
2005-07-26,105.43,106.13,104.79,104.79,5870,0
2005-07-27,104.91,104.91,102.68,103.47,5781,0
2005-07-28,103.22,103.85,103.17,103.85,3703,0
2005-07-29,104.08,104.31,102.93,103.22,3432,0
2005-08-01,103.29,103.6,103.11,103.47,8008,0
2005-08-02,103.65,103.65,102.63,103.29,3133,0
2005-08-03,103.4,103.4,101.53,101.84,3764,0
2005-08-04,101.8,101.8,99.86,99.91,2257,0
2005-08-05,99.54,99.54,95.482,97.217,11502,0
2005-08-08,97.101,97.759,96.909,97.691,7711,0
2005-08-09,97.808,98.396,97.563,98.161,11624,0
2005-08-10,97.887,101.82,97.887,100.83,12616,0
2005-08-11,100.3,101.82,100.15,101.53,14181,0
2005-08-12,101.45,101.45,100.01,100.98,10358,0
2005-08-15,101.23,102.12,100.78,101.58,8615,0
2005-08-16,101.48,101.48,100.3,100.59,5962,0
2005-08-17,100.01,100.07,98.72,98.759,4425,0
2005-08-18,98.436,98.436,95.143,95.529,7168,0
2005-08-19,95.529,95.529,94.228,94.379,6652,0
2005-08-22,94.379,95.452,93.656,95.198,4304,0
2005-08-23,95.086,95.785,94.878,95.086,2529,0
2005-08-24,94.114,95.576,94.114,94.312,7437,0
2005-08-25,94.841,96.294,94.624,95.198,3159,0
2005-08-26,95.057,96.255,94.878,96.015,15658,0
2005-08-29,95.623,97.217,95.529,97.217,6234,0
2005-08-30,97.217,99.083,97.169,98.72,10029,0
2005-08-31,98.759,101.61,98.759,101.55,7888,0
2005-09-01,101.26,103.99,101.26,102.89,10421,0
2005-09-02,103.51,103.87,100.86,100.9,5029,0
2005-09-06,101.23,104.58,101.23,104.5,7528,0
2005-09-07,104.5,105.23,104.15,104.5,9724,0
2005-09-08,104.31,104.58,103.45,103.57,10661,0
2005-09-09,103.57,104.15,103.57,104.15,3159,0
2005-09-12,104.15,104.79,103.99,104.35,10267,0
2005-09-13,104.15,104.47,103.4,103.85,3465,0
2005-09-14,103.85,104.15,102.24,102.63,7346,0
2005-09-15,102.74,103.68,102.68,103.22,7495,0
2005-09-16,103.85,104.28,102.29,103.57,20295,0
2005-09-19,103.68,103.68,101.58,102.16,4729,0
2005-09-20,102.29,103.31,100.96,101.78,10389,0
2005-09-21,101.78,101.78,98.926,99.435,7799,0
2005-09-22,99.435,100.12,98.436,98.543,32067,0
2005-09-23,98.543,98.543,97.965,98.259,31677,0
2005-09-26,98.573,100.23,98.396,100.19,6353,0
2005-09-27,100.19,100.59,98.573,100.19,10839,0
2005-09-28,98.543,98.573,97.217,98.034,16712,0
2005-09-29,98.034,100.9,97.169,100.44,16651,0
2005-09-30,100.38,101.1,99.23,99.23,7136,0
2005-10-03,99.23,99.54,98.573,99.298,19302,0
2005-10-04,99.004,99.083,97.798,98.72,12677,0
2005-10-05,98.72,98.955,94.03,94.058,10871,0
2005-10-06,93.748,94.03,91.629,93.795,8790,0
2005-10-07,93.482,93.813,91.694,92.937,13250,0
2005-10-10,92.937,93.084,91.784,91.81,9908,0
2005-10-11,92.245,92.724,87.775,89.108,20746,0
2005-10-12,89.532,89.859,88.675,89.629,18185,0
2005-10-13,89.629,91.739,89.135,91.259,12222,0
