Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,15.25,15.25,14.75,14.75,2730,0
2005-02-28,14.75,14.98,14.7,14.74,4400,0
2005-03-01,14.72,14.72,14.12,14.13,2635,0
2005-03-02,14.5,14.61,14.47,14.48,2500,0
2005-03-03,14.39,14.39,14.39,14.39,100,0
2005-03-04,14.9,15.5,14.9,14.9,9831,0
2005-03-07,14.9,14.9,14.9,14.9,100,0
2005-03-08,14.16,14.95,14.16,14.72,7336,0
2005-03-09,14.95,14.95,14.95,14.95,1068,0
2005-03-11,14.67,14.67,14.67,14.67,100,0
2005-03-14,14.65,15.12,14.65,14.94,800,0
2005-03-15,15.22,15.5,15.1,15.24,1900,0
2005-03-16,15.01,15.16,15.01,15.11,1423,0
2005-03-21,15.02,15.02,15,15,700,0
2005-03-23,14.81,15,14.81,15,2640,0
2005-03-28,15,15,15,15,1942,0
2005-03-29,15.02,15.02,15,15,3500,0
2005-04-01,14.88,15,14.55,14.75,12785,0
2005-04-04,14.65,15.25,14.55,14.55,300,0
2005-04-08,15,15.27,15,15.27,700,0
2005-04-11,15.24,15.24,14.77,14.77,400,0
2005-04-14,14.7,14.7,14.4,14.4,4901,0
2005-04-15,14.75,14.75,14.3,14.5,12800,0
2005-04-19,14.25,14.45,14.25,14.45,2100,0
2005-04-21,14.25,14.25,14.25,14.25,398,0
2005-04-25,14.25,14.25,14.25,14.25,2001,0
2005-04-27,15,15.25,15,15,1000,0
2005-04-29,15,15.01,15,15.01,600,0
2005-05-02,14.85,14.85,14.75,14.75,1163,0
2005-05-04,14.78,14.78,14.75,14.75,900,0
2005-05-10,14.7,14.7,14.7,14.7,1100,0
2005-05-11,15.5,15.5,14.7,14.71,7217,0
2005-05-12,14.75,14.75,14.75,14.75,353,0
2005-05-13,15.97,15.97,14.84,15,4518,0
2005-05-17,15,15,15,15,401,0
2005-05-18,15,15.03,15,15.02,3790,0
2005-05-19,14.85,14.85,14.85,14.85,100,0
2005-05-25,14.85,14.85,14.85,14.85,1500,0
2005-05-31,14.85,14.89,14.85,14.88,5700,0
2005-06-01,14.85,14.85,14.85,14.85,2083,0
2005-06-02,14.85,14.85,14.85,14.85,525,0
2005-06-06,14.85,14.85,14.85,14.85,700,0
2005-06-08,14.85,14.85,14.85,14.85,1100,0
2005-06-09,14.85,14.85,14.85,14.85,2500,0
2005-06-21,14.85,14.85,14.85,14.85,300,0
2005-06-23,14.85,14.85,14.7,14.8,36952,0
2005-06-24,14.75,14.75,14.75,14.75,100,0
2005-06-27,14.8,14.8,14.8,14.8,100,0
2005-06-29,15,15,15,15,100,0
2005-07-05,14.75,14.75,14.7,14.7,800,0
2005-07-07,14.8,14.8,13.95,14.54,138651,0
2005-07-08,14.7,15.18,14.7,14.71,7350,0
2005-07-11,14.77,14.8,14.7,14.7,7100,0
2005-07-12,14.8,14.8,14.7,14.8,3900,0
2005-07-13,14.7,14.85,14.7,14.85,905,0
2005-07-14,14.85,14.85,14.85,14.85,400,0
2005-07-15,14.8,14.81,14.7,14.7,1705,0
2005-07-18,14.7,14.85,14.7,14.7,2000,0
2005-07-19,14.7,14.7,14.7,14.7,1650,0
2005-07-21,14.7,14.7,14.7,14.7,300,0
2005-07-22,15.5,15.5,15.5,15.5,450,0
2005-07-25,14.7,14.7,14.7,14.7,103,0
2005-07-26,14.7,14.7,14.7,14.7,527,0
2005-07-27,14.75,15.4,14.75,15.4,23501,0
2005-07-28,15.12,15.12,15.12,15.12,100,0
2005-07-29,15.25,15.4,15.07,15.1,2000,0
2005-08-01,15.1,15.1,14.7,14.7,505,0
2005-08-02,14.9,15,14.9,15,800,0
2005-08-03,15,16.29,15,15.61,3045,0
2005-08-04,15.88,15.88,15.4,15.4,2948,0
2005-08-05,14.91,15.94,14.91,15.46,3612,0
2005-08-08,15.65,15.85,15.65,15.85,400,0
2005-08-09,16,16,15.5,15.65,3420,0
2005-08-10,15.5,15.5,15.5,15.5,200,0
2005-08-11,15.25,15.25,15.25,15.25,200,0
2005-08-12,15.25,15.34,15.25,15.34,336,0
2005-08-15,15.25,15.25,15.25,15.25,200,0
2005-08-16,15.25,15.25,15.25,15.25,100,0
2005-08-17,15.25,15.26,15.25,15.26,200,0
2005-08-18,15.93,15.93,15.25,15.25,300,0
2005-08-19,15.25,15.84,15.25,15.84,200,0
2005-08-22,15.75,15.75,15.75,15.75,600,0
2005-08-25,15.7,15.7,15.7,15.7,425,0
2005-08-26,15.25,15.25,15.25,15.25,615,0
2005-08-29,15.25,15.46,15.25,15.46,6200,0
2005-08-30,15.25,15.25,15.25,15.25,2000,0
2005-08-31,15.25,15.25,15.25,15.25,2178,0
2005-09-01,15.25,15.25,15.25,15.25,400,0
2005-09-02,15.25,15.28,15.25,15.25,5200,0
2005-09-06,15.25,15.7,15.25,15.25,2070,0
2005-09-07,15.27,15.27,15.24,15.24,500,0
2005-09-08,15.25,15.25,15.25,15.25,700,0
2005-09-09,15.25,15.25,15.2,15.25,4650,0
2005-09-12,15.25,15.25,15.25,15.25,100,0
2005-09-14,15.25,15.25,15.2,15.25,3633,0
2005-09-15,15.25,15.25,15.11,15.11,2500,0
2005-09-16,15.11,15.11,15.11,15.11,100,0
2005-09-19,15,15,15,15,100,0
2005-09-20,15,15,15,15,200,0
2005-09-21,15.19,15.19,15.19,15.19,200,0
2005-09-23,15,15.45,15,15.45,1000,0
2005-09-27,15,15.08,14.75,14.9,27984,0
2005-09-28,14.85,14.85,14.65,14.65,200,0
2005-09-29,14.5,14.5,14.5,14.5,300,0
2005-10-03,14.6,14.75,14.5,14.5,3501,0
2005-10-04,14.5,14.5,14.5,14.5,600,0
2005-10-06,14.5,14.5,14.5,14.5,367,0
2005-10-10,14.5,14.5,14,14.15,3007,0
2005-10-11,14.15,14.15,14,14,3100,0
2005-10-12,14,14.25,14,14,2700,0
2005-10-13,14,14,14,14,1297,0
2005-10-19,14,14,14,14,400,0
2005-10-20,14.15,14.25,14,14,1960,0
2005-10-24,14.15,14.25,14,14,1515,0
2005-10-27,14.01,14.01,14,14,1700,0
2005-10-28,14.49,14.68,14.4,14.5,2600,0
2005-10-31,14.38,14.52,14.38,14.5,4008,0
2005-11-01,14.76,14.76,14.65,14.65,200,0
2005-11-02,14.5,14.5,14.5,14.5,283,0
2005-11-04,14.5,14.5,14.5,14.5,2009,0
2005-11-07,14.5,14.5,14.5,14.5,400,0
2005-11-10,14.5,14.5,14.5,14.5,3500,0
2005-11-11,14.5,14.5,14.5,14.5,600,0
2005-11-15,14.5,14.5,14.5,14.5,2201,0
2005-11-23,14.5,14.5,14.5,14.5,400,0
2005-11-28,14.5,14.5,14.5,14.5,366,0
2005-11-30,14.67,14.67,14.6,14.62,2756,0
2005-12-01,14.55,14.95,14.5,14.5,5500,0
2005-12-02,14.5,14.5,14.5,14.5,1000,0
2005-12-07,14.5,14.5,14.5,14.5,300,0
2005-12-12,14.74,14.74,14.74,14.74,104,0
2005-12-13,14.5,14.5,14.5,14.5,4326,0
2005-12-14,14.5,14.5,14.5,14.5,604,0
2005-12-15,14.5,14.5,14.5,14.5,1000,0
2005-12-16,14.64,14.64,14.5,14.5,433,0
2005-12-19,14.5,14.85,14.5,14.5,1889,0
2005-12-20,14.5,14.5,14.5,14.5,3925,0
2005-12-21,14.5,14.5,14.5,14.5,3593,0
2005-12-22,14.5,14.5,14.5,14.5,8200,0
2005-12-23,14.5,14.5,14.5,14.5,500,0
2005-12-27,14.5,14.5,14.5,14.5,759,0
2005-12-28,14.5,14.5,14.5,14.5,1551,0
2005-12-29,14.75,14.75,14.75,14.75,200,0
2005-12-30,14.5,15,14.45,15,1200,0
2006-01-04,14.41,14.41,14.4,14.4,500,0
2006-01-05,15.24,15.24,14.5,14.5,900,0
2006-01-06,14.5,15.29,14.5,15.29,2774,0
2006-01-10,15.47,15.5,15.29,15.49,700,0
2006-01-12,14.7,14.7,14.5,14.5,1122,0
2006-01-13,14.85,15,14.85,15,1844,0
2006-01-17,15,15.49,15,15.49,2996,0
2006-01-19,15.5,15.6,15.06,15.12,1400,0
2006-01-20,15.22,15.22,15.22,15.22,100,0
2006-01-23,15.68,15.68,15.13,15.13,2000,0
2006-01-24,15,15.45,15,15.45,5587,0
2006-01-25,15.45,15.45,15.45,15.45,497,0
2006-01-27,15,15,15,15,100,0
2006-01-30,15,15.2,15,15.2,6550,0
2006-01-31,15,15.01,15,15.01,925,0
2006-02-01,15,15.17,15,15,2241,0
2006-02-06,15,15,15,15,2063,0
2006-02-08,15.67,15.67,15,15.46,500,0
2006-02-10,15.21,15.21,15.21,15.21,250,0
2006-02-21,15,15,15,15,3423,0
2006-02-22,15.14,15.35,15.05,15.35,800,0
2006-02-27,14.9,14.9,14.9,14.9,100,0
2006-03-01,15.95,15.95,15.08,15.25,1814,0
2006-03-08,15,15.24,15,15.24,2101,0
2006-03-13,15.02,15.02,15,15,2351,0
2006-03-14,15.25,15.25,15.25,15.25,399,0
2006-03-15,15,15,15,15,901,0
2006-03-16,15,15,15,15,1800,0
2006-03-20,15,15.25,15,15.25,900,0
2006-03-23,15,15.23,14.8,15.23,2105,0
2006-03-29,15.25,15.5,15.25,15.5,1822,0
2006-03-30,15.74,15.74,15.52,15.56,700,0
2006-03-31,15.74,15.95,15.61,15.95,1340,0
2006-04-03,15.96,16.41,15.64,16,32673,0
2006-04-04,16,16,16,16,100,0
2006-04-05,16,16.33,16,16.33,255,0
2006-04-07,16.01,16.01,16,16,300,0
2006-04-10,15.85,15.9,15.85,15.9,2500,0
2006-04-12,15.8,15.84,15.75,15.76,1378,0
2006-04-17,16.38,16.38,16.38,16.38,300,0
2006-04-18,15.85,16.31,15.85,16.31,452,0
2006-04-21,16.27,16.27,16.27,16.27,500,0
2006-04-24,16.33,16.34,16.33,16.34,500,0
2006-04-25,16.34,16.88,16.34,16.46,1710,0
2006-04-26,16.45,16.45,16.45,16.45,100,0
2006-04-27,16.75,16.9,16.26,16.28,700,0
2006-05-02,16.3,16.3,16.3,16.3,1911,0
2006-05-04,16.89,16.89,16.22,16.22,600,0
2006-05-05,16.89,17,16.85,17,3606,0
2006-05-08,17,17,17,17,300,0
2006-05-09,17,17,17,17,200,0
2006-05-10,17.3,17.35,17.3,17.35,5218,0
2006-05-11,17.36,17.36,17.34,17.34,1200,0
2006-05-12,17.4,17.4,17.4,17.4,500,0
2006-05-15,17.7,17.9,17.7,17.9,1500,0
2006-05-16,18.01,18.25,18.01,18.25,2850,0
2006-05-17,18.27,18.27,18,18,1407,0
2006-05-18,18.19,18.19,18.19,18.19,100,0
2006-05-22,18.03,18.03,18,18,1076,0
2006-05-24,18.03,18.03,18.03,18.03,400,0
2006-05-30,18.03,18.03,17.98,17.98,1163,0
2006-05-31,18,18.15,18,18.15,5301,0
2006-06-01,18.4,18.6,18.4,18.6,1413,0
2006-06-02,18.8,18.8,18.8,18.8,100,0
2006-06-05,18.35,18.35,18.02,18.02,1600,0
2006-06-06,18.15,18.15,18.15,18.15,501,0
2006-06-07,18.05,18.4,18.05,18.15,3899,0
2006-06-08,18,18,17.92,17.92,700,0
2006-06-09,18.14,18.3,18.14,18.3,370,0
2006-06-13,17.92,17.92,17.92,17.92,102,0
2006-06-14,17.92,17.92,17.92,17.92,525,0
2006-06-16,18.48,18.5,18.01,18.35,4964,0
2006-06-19,18.49,18.49,18.05,18.05,1398,0
2006-06-21,18,18,18,18,900,0
2006-06-22,17.91,17.91,17.5,17.5,2598,0
2006-06-23,17.5,17.77,17.5,17.77,200,0
2006-06-26,17.51,17.59,17.51,17.59,210,0
2006-06-27,17.66,17.66,17.66,17.66,100,0
2006-06-29,17.3,17.4,17.1,17.4,3000,0
2006-06-30,17.75,17.75,17.75,17.75,100,0
2006-07-03,17.8,17.8,17.8,17.8,325,0
2006-07-05,17.1,17.1,17.1,17.1,1610,0
2006-07-06,17.1,17.1,17.1,17.1,300,0
2006-07-07,17.07,17.56,17.07,17.56,300,0
2006-07-10,17.35,17.5,17.35,17.5,3706,0
2006-07-11,17,17,16.11,16.25,4470,0
2006-07-12,16.27,16.32,16.27,16.32,500,0
2006-07-13,16.3,16.3,16.3,16.3,698,0
2006-07-19,16.55,17.15,16.55,16.99,1621,0
2006-07-24,17.3,17.3,17.3,17.3,500,0
2006-07-31,17.49,17.49,17.49,17.49,150,0
2006-08-02,17.49,17.49,17.49,17.49,400,0
2006-08-03,17.27,17.29,17.27,17.27,624,0
2006-08-04,17.27,17.27,17.27,17.27,100,0
2006-08-08,17.29,17.35,17.29,17.29,2200,0
2006-08-10,17.1,17.1,17.1,17.1,301,0
2006-08-14,17.1,17.1,17.1,17.1,1051,0
2006-08-17,17.83,17.84,17.83,17.84,563,0
2006-08-18,17.85,17.85,17.85,17.85,300,0
2006-08-21,17.3,17.3,17.28,17.3,700,0
2006-08-23,17.29,17.29,17.28,17.28,402,0
2006-08-24,17.35,17.45,17.28,17.45,801,0
2006-08-29,17.1,17.25,17.1,17.25,11712,0
2006-09-01,17.84,17.85,17.84,17.85,2774,0
2006-09-05,17.45,17.99,17.45,17.99,700,0
2006-09-12,17.5,17.5,17.5,17.5,202,0
2006-09-13,17.5,17.5,17.49,17.49,802,0
2006-09-14,17.52,17.52,17.52,17.52,400,0
2006-09-15,17.7,17.7,17.7,17.7,200,0
2006-09-18,17.5,17.5,17.5,17.5,2201,0
2006-09-19,18,18,18,18,800,0
2006-09-20,17.6,17.6,17.6,17.6,1000,0
2006-09-26,17.51,17.51,17.5,17.5,400,0
2006-09-27,17.75,17.75,17.75,17.75,733,0
2006-10-02,17.5,17.5,17.5,17.5,159,0
2006-10-03,17.5,17.5,17.5,17.5,5525,0
2006-10-11,17.5,17.5,17.5,17.5,100,0
2006-10-13,17.95,17.95,17.95,17.95,300,0
2006-10-17,17.9,17.91,17.9,17.9,551,0
2006-10-18,17.55,17.98,17.55,17.98,870,0
2006-10-20,17.55,17.55,17.5,17.5,1039,0
2006-10-23,17.95,17.95,17.95,17.95,1000,0
2006-10-24,17.95,17.95,17.95,17.95,100,0
2006-10-27,17.5,17.5,17.5,17.5,1217,0
2006-10-30,17.3,17.3,17.3,17.3,100,0
2006-10-31,17.3,17.35,17.3,17.35,300,0
2006-11-01,17.35,17.35,17.35,17.35,100,0
2006-11-02,17.05,17.2,16.99,17.2,2405,0
2006-11-07,17,17,17,17,100,0
2006-11-13,17,17,17,17,5201,0
2006-11-14,17.05,19.45,17,19.25,20507,0
2006-11-15,18.12,18.13,17.99,18.12,700,0
2006-11-16,17.51,17.51,17.51,17.51,628,0
2006-11-22,17.7,17.7,17.7,17.7,100,0
2006-11-30,17.7,17.7,17.7,17.7,157,0
2006-12-01,17.9,17.9,17.9,17.9,1482,0
2006-12-04,18.24,18.25,18.24,18.25,900,0
2006-12-05,18.43,18.43,17.79,17.79,495,0
2006-12-06,17.11,17.11,17.11,17.11,200,0
2006-12-08,17.05,17.1,17.05,17.1,705,0
2006-12-11,17.12,17.12,17.07,17.07,803,0
2006-12-13,17.07,17.07,17.07,17.07,802,0
2006-12-14,17.9,17.9,17.9,17.9,1000,0
2006-12-15,17.94,17.94,17.94,17.94,100,0
2006-12-28,17.16,17.16,17.16,17.16,400,0
2006-12-29,17.16,17.16,17.16,17.16,100,0
2007-01-03,17.16,17.96,17.16,17.94,3003,0
2007-01-08,17.76,17.86,17.76,17.86,500,0
2007-01-10,17.16,17.17,17.16,17.16,1600,0
2007-01-11,17.15,17.15,16.76,16.87,6077,0
2007-01-12,16.96,17.28,16.96,17.27,800,0
2007-01-16,17.8,17.8,17.8,17.8,300,0
2007-01-17,17.6,17.8,17.26,17.41,4309,0
2007-01-19,17.41,17.41,17.41,17.41,100,0
2007-01-22,17.05,17.05,17.05,17.05,1000,0
2007-01-23,17.05,17.25,17.05,17.25,5300,0
2007-01-29,17.1,17.1,17.1,17.1,100,0
2007-01-31,17.03,17.03,16.99,16.99,600,0
2007-02-05,16.85,16.85,16.7,16.7,1209,0
2007-02-06,17,17,17,17,1000,0
