Date,Open,High,Low,Close,Volume,OpenInt
2017-08-01,1071.31,1071.31,1067.67,1071.2,18647,0
2017-08-02,1068.4,1078.16,1068.4,1076.45,35478,0
2017-08-03,1061.21,1073.58,1061.21,1068.09,13845,0
2017-08-04,1070,1077.48,1065.5,1076.85,35544,0
2017-08-07,1070.01,1070.01,1068.87,1068.87,21019,0
2017-08-08,1068.14,1069.36,1064.11,1064.11,29953,0
2017-08-09,1060.33,1062.38,1060.33,1061.59,11204,0
2017-08-10,1063.46,1063.46,1063.39,1063.39,58552,0
2017-08-11,1062.17,1064.64,1061.86,1064.09,23238,0
2017-08-14,1068.33,1075,1068.33,1073,14622,0
2017-08-15,1076.87,1077.78,1061,1061,4167,0
2017-08-17,1087.26,1089,1083.11,1083.11,10558,0
2017-08-18,1082,1082,1082,1082,10389,0
2017-08-21,1082.78,1092,1081.81,1092,13950,0
2017-08-22,1089.34,1095.75,1088.4,1088.4,42174,0
2017-08-23,1095.01,1096.79,1093.22,1096,45073,0
2017-08-24,1095,1101.54,1095,1101.54,17472,0
2017-08-25,1100,1101.5,1099.7,1100.89,10768,0
2017-08-28,1100,1100,1097.54,1097.54,3316,0
2017-08-29,1096.88,1109.99,1096.88,1109.99,169113,0
2017-08-30,1102.04,1102.4,1101.06,1101.06,13482,0
2017-08-31,1105,1111,1105,1110,38161,0
2017-09-01,1105.02,1105.02,1101.5,1101.5,8448,0
2017-09-05,1100.99,1103.94,1100.99,1103.94,4701,0
2017-09-06,1092.72,1092.91,1092.72,1092.91,8322,0
2017-09-07,1098.76,1099.57,1093.77,1093.77,23180,0
2017-09-08,1097.97,1098.85,1097.97,1098.85,2335,0
2017-09-11,1096.85,1101.5,1096.85,1097.87,21437,0
2017-09-12,1095.07,1095.07,1092.18,1092.18,15970,0
2017-09-13,1082.51,1089.58,1082.51,1085.14,16073,0
2017-09-14,1082.11,1093.95,1082.11,1093.95,3783,0
2017-09-15,1095.01,1095.01,1095.01,1095.01,2510,0
2017-09-18,1090.33,1091.47,1090.33,1091.47,7501,0
2017-09-19,1093.99,1093.99,1062.86,1075.72,62933,0
2017-09-20,1076,1076,1067.72,1071.99,23142,0
2017-09-21,1072.85,1072.85,1072.85,1072.85,10713,0
2017-09-22,1068.2,1068.2,1064.73,1064.73,15187,0
2017-09-25,1066.5,1067.34,1060,1060,1273,0
2017-09-26,1057.73,1061,1057,1059.7,2806,0
2017-09-27,1055.82,1064.77,1055,1055,6529,0
2017-09-28,1063.65,1065,1063.65,1063.65,588,0
2017-09-29,1063.65,1068,1058,1068,19717,0
2017-10-02,1061.52,1061.52,1059,1060.6,12291,0
2017-10-03,1061.04,1061.96,1058.49,1061.96,2971,0
2017-10-04,1066.27,1077.7,1066.27,1077.51,27032,0
2017-10-05,1076.96,1082.56,1074.66,1081.06,34494,0
2017-10-06,1075.14,1079.6,1074.28,1079.26,20361,0
2017-10-09,1079.74,1113.86,1078.97,1090.98,41652,0
2017-10-10,1093.21,1094.84,1087.15,1092.13,123422,0
2017-10-11,1095.49,1095.56,1089.37,1090.62,56717,0
2017-10-12,1073.16,1083.65,1073.16,1080.5,43455,0
2017-10-13,1081,1082.86,1075.9,1076.5,69037,0
2017-10-16,1069.02,1081.37,1068.98,1072.1,18213,0
2017-10-17,1074.23,1074.4,1066,1069.7,16485,0
2017-10-18,1061.69,1069,1057.4,1065.2,71391,0
2017-10-19,1073.36,1087.59,1073.36,1078.74,47615,0
2017-10-20,1087.63,1094.96,1081.42,1084.55,267035,0
2017-10-23,1082.41,1082.41,1052.01,1078.34,17573,0
2017-10-24,1079.67,1080,1077,1077.71,28633,0
2017-10-25,1078.05,1079.43,1078.05,1078.4,18486,0
2017-10-26,1085.88,1086,1081.85,1081.85,4572,0
2017-10-30,1078.5,1096,1078.5,1096,21979,0
2017-10-31,1100.84,1100.84,1100.84,1100.84,50143,0
2017-11-01,1094.93,1095,1088.19,1088.93,20953,0
2017-11-02,1093,1100.14,1093,1096.96,5445,0
2017-11-03,1090,1094,1090,1094,11886,0
2017-11-06,1124.53,1142,1124.53,1134.12,37780,0
2017-11-07,1130,1134.48,1125,1134.48,58666,0
2017-11-08,1141,1151.02,1141,1150,3830,0
2017-11-09,1140,1145.58,1140,1145.58,10427,0
2017-11-10,1140,1143.33,1139.69,1143.33,8100,0
