Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,185.02,185.02,185.02,185.02,189,0
2005-02-28,184.07,186.92,184.07,186.92,237,0
2005-03-01,184.07,186.92,184.07,186.92,315,0
2005-03-02,185.51,185.51,184.07,184.07,67,0
2005-03-03,184.07,187.4,184.07,186.92,552,0
2005-03-04,186.92,187.4,185.99,186.92,683,0
2005-03-07,186.46,187.88,186.46,187.88,161,0
2005-03-08,187.88,187.88,183.61,185.02,490,0
2005-03-09,184.54,187.4,184.54,187.4,63,0
2005-03-10,183.14,187.4,179.33,187.4,447,0
2005-03-11,186.92,189.29,186.46,187.88,333,0
2005-03-14,187.4,187.88,185.99,186.92,67,0
2005-03-15,180.76,186.92,180.76,185.02,556,0
2005-03-16,180.76,185.02,180.76,185.02,66,0
2005-03-17,182.66,183.14,180.76,182.66,51,0
2005-03-18,182.66,184.54,181.24,182.19,173,0
2005-03-21,181.24,185.02,180.76,185.02,237,0
2005-03-22,183.14,183.14,182.19,182.19,168,0
2005-03-23,182.19,182.66,179.8,181.24,388,0
2005-03-24,181.71,187.88,180.28,185.02,1097,0
2005-03-28,182.19,185.99,182.19,182.19,555,0
2005-03-29,182.19,184.54,181.24,182.19,64,0
2005-03-30,183.61,183.61,180.28,180.28,148,0
2005-03-31,178.39,183.14,174.12,180.28,549,0
2005-04-01,182.19,185.02,182.19,182.66,1205,0
2005-04-04,184.07,184.07,179.33,180.76,439,0
2005-04-05,183.61,185.99,179.8,182.19,1715,0
2005-04-06,182.19,184.07,181.71,183.61,223,0
2005-04-07,185.02,186.46,183.61,184.07,534,0
2005-04-08,185.02,185.99,181.24,183.61,897,0
2005-04-11,185.02,187.4,182.66,185.99,463,0
2005-04-12,187.4,187.4,183.61,185.51,412,0
2005-04-13,185.02,189.77,175.06,181.71,610,0
2005-04-14,181.24,185.02,180.76,183.61,201,0
2005-04-15,185.99,186.92,184.54,185.02,825,0
2005-04-18,185.02,187.88,174.12,187.4,356,0
2005-04-19,180.28,184.07,180.28,184.07,162,0
2005-04-20,183.61,185.51,179.8,179.8,172,0
2005-04-21,180.76,183.14,180.76,182.66,122,0
