Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,175.5,177,175.5,177,33,0
2005-03-01,222,222,222,222,8,0
2005-03-03,222,222,222,222,31,0
2005-03-07,190.5,202.5,190.5,202.5,2,0
2005-03-09,175.5,175.5,175.5,175.5,4,0
2005-03-14,210,214.5,210,210,10,0
2005-03-16,222,222,222,222,19,0
2005-03-18,222,222,210,210,15,0
2005-03-22,184.5,207,165,207,11,0
2005-03-29,210,210,210,210,15,0
2005-03-31,210,210,207,207,13,0
2005-04-01,165,165,165,165,5,0
2005-04-06,180,180,180,180,7,0
2005-04-07,165,165,165,165,4,0
2005-04-08,165,165,151.5,151.5,27,0
2005-04-11,151.5,153,151.5,153,17,0
2005-04-12,153,165,153,165,11,0
2005-04-13,165,172.5,165,172.5,14,0
2005-04-14,210,210,210,210,5,0
2005-04-15,180,180,180,180,5,0
2005-04-19,180,180,180,180,33,0
2005-04-25,187.5,187.5,180,180,13,0
2005-05-02,210,210,210,210,2,0
2005-05-05,157.5,210,157.5,210,1,0
2005-05-06,157.5,210,157.5,210,3,0
2005-05-11,180,180,180,180,1,0
2005-05-16,165,165,165,165,1,0
2005-05-17,180,180,180,180,8,0
2005-05-18,172.5,172.5,172.5,172.5,1,0
2005-05-19,210,210,187.5,187.5,10,0
2005-05-23,187.5,187.5,187.5,187.5,3,0
2005-05-31,210,210,187.5,210,36,0
2005-06-01,210,210,210,210,20,0
2005-06-09,210,277.5,208.5,262.5,61,0
2005-06-10,297,297,297,297,1,0
2005-06-13,292.5,360,292.5,300,22,0
2005-06-14,352.5,375,345,345,58,0
2005-06-15,390,390,285,285,13,0
2005-06-17,285,292.5,270,270,62,0
2005-06-20,258,262.5,258,262.5,131,0
2005-06-21,262.5,262.5,262.5,262.5,1,0
2005-06-23,262.5,262.5,262.5,262.5,5,0
2005-06-28,262.5,262.5,240,240,43,0
2005-07-11,225,225,180,180,13,0
2005-07-15,240,240,210,210,7,0
2005-07-21,240,240,210,210,5,0
2005-08-01,210,210,210,210,4,0
2005-08-08,210,210,210,210,3,0
2005-08-11,225,225,225,225,20,0
2005-08-12,202.5,202.5,202.5,202.5,19,0
2005-08-15,195,195,180,180,7,0
2005-08-16,202.5,202.5,202.5,202.5,13,0
2005-08-17,202.5,202.5,202.5,202.5,1,0
2005-08-22,225,225,225,225,7,0
2005-08-23,225,225,225,225,8,0
2005-08-29,217.5,217.5,217.5,217.5,3,0
2005-09-02,222,315,222,255,67,0
2005-09-06,292.5,292.5,180,180,18,0
2005-09-09,262.5,262.5,262.5,262.5,4,0
2005-09-12,262.5,262.5,262.5,262.5,3,0
2005-09-13,270,270,255,255,65,0
2005-09-14,255,255,255,255,4,0
2005-09-15,280.5,280.5,280.5,280.5,7,0
2005-09-16,280.5,292.5,280.5,292.5,7,0
2005-09-20,270,270,255,255,30,0
2005-09-21,285,285,285,285,3,0
2005-09-22,286.5,286.5,255,255,11,0
2005-09-23,286.5,292.5,286.5,286.5,27,0
2005-09-26,286.5,292.5,286.5,292.5,29,0
2005-09-30,283.5,283.5,283.5,283.5,2,0
2005-10-03,262.5,283.5,262.5,270,23,0
2005-10-04,247.5,247.5,247.5,247.5,7,0
2005-10-05,240,240,225,225,13,0
2005-10-06,262.5,262.5,262.5,262.5,7,0
2005-10-07,262.5,262.5,262.5,262.5,1,0
2005-10-13,234,234,234,234,2,0
2005-10-14,237,237,237,237,9,0
2005-10-19,217.5,217.5,217.5,217.5,7,0
2005-10-20,240,240,240,240,26,0
2005-10-25,225,225,225,225,1,0
2005-10-28,180,195,180,195,47,0
2005-11-01,195,195,172.5,172.5,12,0
2005-11-02,172.5,172.5,172.5,172.5,3,0
2005-11-03,210,210,210,210,26,0
2005-11-07,187.5,187.5,187.5,187.5,1,0
2005-11-09,187.5,187.5,172.5,172.5,32,0
2005-11-10,180,187.5,165,187.5,30,0
2005-11-15,172.5,172.5,172.5,172.5,23,0
2005-11-17,165,165,151.5,165,20,0
2005-11-21,165,172.5,156,172.5,120,0
2005-11-22,151.5,172.5,150,172.5,31,0
2005-11-25,180,180,180,180,10,0
2005-11-29,180,180,165,165,17,0
2005-11-30,172.5,172.5,172.5,172.5,20,0
2005-12-01,180,180,180,180,4,0
2005-12-02,178.5,180,161.25,161.25,59,0
2005-12-05,160.5,195,150,195,124,0
2005-12-06,165,165,165,165,7,0
2005-12-07,153,159,153,157.5,50,0
2005-12-08,177,177,165,165,43,0
2005-12-09,157.5,202.5,157.5,202.5,153,0
2005-12-12,195,225,195,225,20,0
2005-12-13,195,225,195,195,37,0
