Date,Open,High,Low,Close,Volume,OpenInt
2010-04-26,3.87,4.53,3.75,4.32,134103,0
2010-04-27,4.32,4.32,3.93,4.2,74801,0
2010-04-28,4.2,4.2,3.51,4.2,66433,0
2010-04-29,4.14,4.14,3.75,3.93,78874,0
2010-04-30,3.96,4.23,3.78,4.2,118849,0
2010-05-03,4.32,4.95,4.23,4.95,63461,0
2010-05-04,5.01,5.01,4.5,4.95,32274,0
2010-05-05,4.95,5.82,4.8,5.4,106035,0
2010-05-06,5.52,5.73,5.37,5.55,38096,0
2010-05-07,5.46,5.61,5.085,5.43,38476,0
2010-05-10,5.4,6.36,5.4,6.27,58833,0
2010-05-11,6.39,6.39,6,6.15,43099,0
2010-05-12,6.15,6.15,5.85,5.94,52784,0
2010-05-13,6,6,5.55,5.64,22708,0
2010-05-14,5.7,5.91,5.61,5.82,6232,0
2010-05-17,5.82,5.91,5.4,5.55,20333,0
2010-05-18,5.58,6,5.28,5.52,33352,0
2010-05-19,5.52,5.52,4.74,4.83,18224,0
2010-05-20,4.83,4.86,3.93,4.44,66718,0
2010-05-21,4.71,4.92,4.2,4.2,38499,0
2010-05-24,4.2,4.59,4.05,4.44,9049,0
2010-05-25,4.35,4.8,4.05,4.8,50054,0
2010-05-26,4.98,5.61,4.77,5.55,114589,0
2010-05-27,5.55,5.7,4.8,5.49,69072,0
2010-05-28,5.4,6.12,5.25,6.06,79359,0
2010-06-01,6,6,5.64,5.76,39634,0
2010-06-02,5.97,6.21,5.85,5.85,47659,0
2010-06-03,5.7,6,5.58,5.7,12919,0
2010-06-04,5.85,6.15,5.7,6,133386,0
2010-06-07,6.09,6.27,5.52,5.52,24866,0
2010-06-08,5.82,5.91,5.52,5.85,26408,0
2010-06-09,6,6,5.52,5.52,9279,0
2010-06-10,5.7,5.7,5.46,5.67,9566,0
2010-06-11,5.76,5.76,5.4,5.4,5899,0
2010-06-14,5.61,5.61,4.95,5.22,6499,0
2010-06-15,5.1,5.1,4.86,5.1,14559,0
2010-06-16,5.04,5.1,4.8,5.1,14746,0
2010-06-17,5.1,5.25,5.1,5.1,5998,0
2010-06-18,5.01,5.55,4.68,5.55,16416,0
2010-06-21,5.46,5.46,4.95,5.1,8766,0
2010-06-22,5.25,5.55,4.56,5.25,23433,0
2010-06-23,4.89,5.25,4.8,5.25,1599,0
2010-06-24,5.1,5.1,4.8,4.8,1466,0
2010-06-25,4.8,5.52,4.5,5.1,13866,0
2010-06-28,5.55,5.55,4.65,4.8,22388,0
2010-06-29,4.68,4.68,4.5,4.56,7499,0
2010-06-30,4.65,5.25,4.65,4.65,21550,0
2010-07-01,4.5,4.65,4.35,4.65,8469,0
2010-07-02,4.56,4.56,4.5,4.5,8996,0
2010-07-06,4.65,4.65,4.5,4.5,4166,0
2010-07-07,4.35,4.47,3.39,4.47,23478,0
2010-07-08,4.35,4.5,4.2,4.2,20433,0
2010-07-09,4.5,4.95,4.35,4.65,18591,0
2010-07-12,4.65,4.89,4.65,4.8,17554,0
2010-07-13,4.89,5.07,4.8,4.83,14222,0
2010-07-14,5.04,5.04,4.95,4.95,10699,0
2010-07-15,4.95,5.07,4.83,4.92,16049,0
2010-07-16,4.95,5.1,4.68,4.74,10609,0
2010-07-19,4.77,4.95,4.5,4.59,10749,0
2010-07-20,4.5904,4.62,4.23,4.56,5066,0
2010-07-21,4.8,4.8,4.44,4.44,42666,0
2010-07-22,4.44,4.5,4.29,4.29,7566,0
2010-07-23,4.38,4.86,4.38,4.53,28933,0
2010-07-26,4.41,4.5,3.72,4.26,47819,0
2010-07-27,4.305,4.56,4.02,4.323,87619,0
2010-07-28,4.35,4.35,4.08,4.2075,40224,0
2010-07-29,4.17,4.2,4.08,4.08,14866,0
2010-07-30,3.9,4.2,3.84,4.2,33390,0
2010-08-02,4.05,4.335,4.05,4.29,35866,0
2010-08-03,4.2,4.32,3.99,4.17,26983,0
2010-08-04,4.17,4.23,4.05,4.17,24462,0
2010-08-05,4.02,4.14,3.81,4.05,34649,0
2010-08-06,4.11,4.35,4.05,4.32,44383,0
2010-08-09,4.05,4.38,4.05,4.35,7233,0
2010-08-10,4.17,4.32,3.96,4.32,15948,0
2010-08-11,4.32,4.41,4.11,4.23,27550,0
2010-08-12,4.14,4.62,4.05,4.5,47466,0
2010-08-13,4.5,4.56,4.2,4.2,12499,0
2010-08-16,4.08,4.11,3.63,3.84,13952,0
2010-08-17,3.75,4.02,3.69,3.84,15563,0
2010-08-18,3.75,3.93,3.66,3.93,9949,0
2010-08-19,3.81,4.05,3.81,3.9,9916,0
2010-08-20,3.84,3.84,3.75,3.75,1474,0
2010-08-23,3.78,3.84,3.72,3.84,10666,0
2010-08-24,3.87,3.9,3.72,3.9,6866,0
2010-08-25,3.9,4.02,3.66,4.02,10433,0
2010-08-26,3.69,4.26,3.36,3.75,31804,0
2010-08-27,3.87,4.17,3.78,3.96,12366,0
2010-08-30,3.96,3.96,3.75,3.75,1166,0
2010-08-31,3.75,4.05,3.51,4.05,12066,0
2010-09-01,4.05,4.05,3.6,3.9,11279,0
2010-09-02,3.75,3.96,3.45,3.9,34766,0
2010-09-03,3.99,3.99,3.75,3.75,166,0
2010-09-07,3.75,3.84,3.75,3.78,2316,0
2010-09-08,3.78,3.96,3.54,3.75,8263,0
2010-09-09,3.75,3.9,3.6,3.9,8735,0
2010-09-10,3.84,3.9,3.63,3.9,5799,0
2010-09-13,3.75,4.23,3.75,4.2,37337,0
2010-09-14,4.2,4.32,4.05,4.29,22264,0
2010-09-15,4.2,4.35,4.2,4.26,17649,0
2010-09-16,4.23,4.23,4.05,4.23,8907,0
2010-09-17,4.2,4.38,4.05,4.23,90549,0
2010-09-20,4.23,4.23,4.11,4.17,6933,0
2010-09-21,4.26,4.26,4.05,4.05,81113,0
2010-09-22,4.05,4.11,3.96,4.02,9916,0
2010-09-23,3.93,3.93,3.69,3.84,13599,0
2010-09-24,3.84,3.96,3.84,3.9,4933,0
2010-09-27,3.9,3.9,3.69,3.75,11566,0
2010-09-28,3.87,3.9,3.87,3.9,6999,0
2010-09-29,3.9,4.05,3.75,4.05,8567,0
2010-09-30,3.78,4.08,3.75,4.08,21166,0
2010-10-01,4.05,4.05,4.02,4.05,6899,0
2010-10-04,3.93,3.93,3.66,3.78,9466,0
