Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.659,9.718,9.591,9.718,4104,0
2005-02-28,9.698,9.698,9.562,9.65,6977,0
2005-03-01,9.678,9.708,9.571,9.571,9234,0
2005-03-02,9.63,9.63,9.63,9.63,410,0
2005-03-03,9.63,9.63,9.543,9.543,1436,0
2005-03-04,9.543,9.543,9.523,9.523,4104,0
2005-03-07,9.503,9.503,9.3474,9.4151,10670,0
2005-03-08,9.3571,9.3669,9.3376,9.3376,5335,0
2005-03-09,9.3766,9.396,9.3474,9.3766,4309,0
2005-03-10,9.3278,9.3278,9.3278,9.3278,205,0
2005-03-11,9.3571,9.3571,9.3571,9.3571,821,0
2005-03-14,9.3278,9.3278,9.2888,9.2888,2257,0
2005-03-15,9.2596,9.2596,9.1427,9.1427,3283,0
2005-03-16,9.1817,9.1817,8.9184,8.9184,12927,0
2005-03-17,8.9184,8.9672,8.8989,8.9672,4925,0
2005-03-18,8.821,8.8697,8.5286,8.6163,16416,0
2005-03-21,8.5773,8.5773,8.4604,8.4604,5130,0
2005-03-22,8.5286,8.6553,8.5286,8.6553,5745,0
2005-03-23,8.6651,8.6748,8.5773,8.5773,3488,0
2005-03-24,8.6066,8.6066,8.4116,8.509,24829,0
2005-03-28,8.5383,8.704,8.5383,8.704,5951,0
2005-03-29,8.6456,8.6651,8.4019,8.4019,9849,0
2005-03-30,8.4311,8.7723,8.4311,8.743,16005,0
2005-03-31,8.7235,8.7235,8.509,8.5578,23803,0
2005-04-01,8.5481,8.6553,8.4799,8.4896,8618,0
2005-04-04,8.5286,8.704,8.5286,8.6845,7592,0
2005-04-05,8.6748,8.6845,8.6748,8.6845,1026,0
2005-04-06,8.6845,8.743,8.6845,8.7137,14979,0
2005-04-07,8.7528,8.8308,8.7528,8.8015,14569,0
2005-04-08,8.8015,9.2303,8.8015,8.9575,19288,0
2005-04-11,9.016,9.016,8.8308,8.9184,14159,0
2005-04-12,8.7723,8.782,8.4993,8.5578,13543,0
2005-04-13,8.5773,8.8989,8.5773,8.8599,10670,0
2005-04-14,8.8015,8.8015,8.5383,8.5968,18262,0
2005-04-15,8.6553,8.6553,8.5676,8.5676,5130,0
2005-04-18,8.5676,8.5676,8.5578,8.5578,821,0
2005-04-19,8.4896,8.5286,8.4896,8.4896,4925,0
2005-04-20,8.4896,8.4896,8.1874,8.1874,9234,0
2005-04-21,8.1193,8.1679,8.0705,8.1679,4309,0
