Date,Open,High,Low,Close,Volume,OpenInt
2008-02-20,9.545,9.545,9.545,9.545,222,0
2008-04-10,2.8636,19.091,2.8636,19.091,347,0
2008-04-14,19.091,19.091,19.091,19.091,105,0
2008-04-15,19.091,19.091,19.091,19.091,105,0
2008-04-16,19.091,19.091,19.091,19.091,105,0
2008-04-17,22.909,22.909,22.909,22.909,105,0
2008-04-18,22.909,22.909,22.909,22.909,105,0
2008-04-21,22.909,22.909,22.909,22.909,105,0
2008-04-22,22.909,24.818,22.432,24.818,486,0
2008-04-24,26.727,26.727,26.727,26.727,105,0
2008-04-25,28.636,28.636,28.636,28.636,210,0
2008-04-29,28.636,28.636,28.636,28.636,210,0
2008-04-30,28.636,28.636,26.727,26.727,629,0
2008-06-11,26.727,31.5,26.727,26.727,2162,0
2008-06-12,26.727,26.727,23.864,25.773,995,0
2008-06-13,26.727,26.727,26.727,26.727,1797,0
2008-06-16,24.818,24.818,24.818,24.818,139,0
2008-06-19,28.636,28.636,28.636,28.636,377,0
2008-06-23,27.682,27.682,27.682,27.682,419,0
2008-06-25,27.682,27.682,27.682,27.682,105,0
2008-08-07,23.873,23.873,3.1023,3.5795,66414,0
2008-08-08,3.5795,3.6273,2.5773,2.8636,18366,0
2008-08-11,2.8636,3.1214,2.625,2.8159,26138,0
2008-08-12,2.8159,2.8159,2.7205,2.7205,1655,0
2008-08-13,2.7205,2.7205,2.6727,2.6727,24200,0
2008-08-14,2.5773,2.625,2.5773,2.625,419,0
2008-08-15,2.6727,2.7205,2.625,2.7205,19553,0
2008-08-18,2.7205,2.7205,2.6727,2.7205,5448,0
2008-08-19,2.7205,2.7205,2.7205,2.7205,2210,0
2008-08-20,2.6727,2.7205,2.4818,2.4818,2776,0
2008-08-21,2.7205,2.7205,2.625,2.7205,6694,0
2008-08-22,2.7205,2.7205,2.6727,2.6727,629,0
2008-08-25,2.7205,2.8159,2.7205,2.8159,6024,0
2008-08-26,2.8159,2.8159,2.7491,2.7682,20533,0
2008-08-27,2.7682,2.7682,2.7682,2.7682,8381,0
2008-08-28,2.7682,3.5605,2.7682,3.4841,140067,0
2008-08-29,3.4841,3.5318,3.3409,3.4268,43595,0
2008-09-02,3.3886,3.3886,3.2455,3.2455,37552,0
2008-09-03,3.2932,3.2932,3.0545,3.15,35567,0
2008-09-04,3.15,3.2455,3.15,3.2455,3140,0
2008-09-05,3.2932,3.3314,3.1595,3.3314,25384,0
2008-09-08,3.4364,3.6082,3.3409,3.4841,51087,0
2008-09-09,3.5318,3.5318,3.1977,3.2359,27977,0
2008-09-10,3.2455,3.2455,3.0545,3.1405,20010,0
2008-09-11,3.1405,3.1405,3.0259,3.045,8580,0
2008-09-12,2.9591,3.1214,2.9591,3.1214,41067,0
2008-09-15,3.1691,3.1691,3.15,3.1691,2829,0
