Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,32.63,33.019,32.404,33.019,115576,0
2005-02-28,33.001,33.001,32.741,32.794,24989,0
2005-03-01,32.708,32.915,32.674,32.915,82719,0
2005-03-02,32.759,33.044,32.621,32.802,29270,0
2005-03-03,32.777,32.829,32.646,32.733,32394,0
2005-03-04,31.894,32.44,31.894,32.354,80059,0
2005-03-07,31.981,32.354,31.981,32.283,60970,0
2005-03-08,32.44,32.534,32.283,32.318,38757,0
2005-03-09,32.326,32.369,31.981,32.206,102734,0
2005-03-10,31.981,31.981,31.722,31.844,145425,0
2005-03-11,31.247,31.368,31.195,31.29,82836,0
2005-03-14,31.29,31.402,30.997,31.152,58540,0
2005-03-15,30.27,30.452,30.227,30.252,210098,0
2005-03-16,30.685,30.685,30.081,30.227,120089,0
2005-03-17,30.727,30.727,30.382,30.512,131774,0
2005-03-18,30.217,30.338,30.158,30.252,52063,0
2005-03-21,30.685,30.685,30.252,30.425,36791,0
2005-03-22,30.858,30.944,30.374,30.547,151209,0
2005-03-23,30.547,30.582,30.209,30.338,128881,0
2005-03-24,30.77,30.815,30.4,30.4,49631,0
2005-03-28,30.348,30.391,30.246,30.295,39222,0
2005-03-29,30.512,30.512,29.803,29.864,150054,0
2005-03-30,29.69,30.279,29.528,30.123,198990,0
2005-03-31,30.236,30.252,29.924,30.115,93711,0
2005-04-01,30.425,30.599,29.933,30.019,53797,0
2005-04-04,29.958,30.029,29.57,30.029,59582,0
2005-04-05,30.209,30.409,29.898,30.001,45351,0
2005-04-06,30.01,30.246,29.995,30.001,32394,0
2005-04-07,30.123,30.288,30.038,30.252,72423,0
2005-04-08,30.572,30.685,30.486,30.495,83760,0
2005-04-11,31.765,31.765,30.78,30.867,109331,0
2005-04-12,31.04,31.075,30.805,30.987,54723,0
2005-04-13,30.987,31.324,30.858,30.867,160812,0
2005-04-14,31.03,31.195,30.754,30.823,113032,0
2005-04-15,30.183,30.391,30.081,30.081,241334,0
2005-04-18,29.215,29.596,28.965,29.519,169143,0
2005-04-19,29.276,29.345,29.164,29.233,142532,0
2005-04-20,29.215,29.233,28.904,28.913,183142,0
2005-04-21,29.009,29.423,29.009,29.364,125873,0
2005-04-22,29.484,29.562,29.388,29.431,61780,0
2005-04-25,29.613,29.967,29.586,29.915,104702,0
2005-04-26,29.915,29.942,29.75,29.75,29502,0
2005-04-27,29.605,29.717,29.335,29.57,46624,0
2005-04-28,29.578,29.578,29.129,29.268,42459,0
2005-04-29,29.354,29.63,29.215,29.543,40724,0
2005-05-02,29.431,29.509,29.302,29.509,38179,0
2005-05-03,29.388,29.5,29.268,29.398,43155,0
2005-05-04,29.441,29.812,29.441,29.778,65828,0
2005-05-05,30.01,30.288,30.01,30.072,47550,0
2005-05-06,29.995,30.338,29.985,30.331,35748,0
2005-05-09,30.425,30.512,30.019,30.174,126799,0
2005-05-10,29.648,29.787,29.596,29.639,53566,0
2005-05-11,29.639,29.639,29.321,29.543,73812,0
2005-05-12,29.302,29.327,28.913,28.913,83067,0
2005-05-13,29.104,29.292,28.888,29.026,74852,0
2005-05-16,29.043,29.156,28.965,29.104,57383,0
2005-05-17,29.043,29.119,28.896,29.094,47550,0
2005-05-18,29.086,29.327,29.086,29.276,74391,0
2005-05-19,29.449,29.803,29.449,29.778,66754,0
2005-05-20,30.123,30.183,30.001,30.167,58772,0
2005-05-23,29.75,29.821,29.613,29.75,154218,0
2005-05-24,29.735,29.735,29.586,29.707,44079,0
2005-05-25,29.707,29.707,29.171,29.268,57962,0
2005-05-26,29.268,29.268,29.104,29.215,46161,0
2005-05-27,29.215,29.5,28.999,29.431,44427,0
2005-05-31,29.821,30.174,29.812,30.029,124369,0
2005-06-01,29.995,30.331,29.995,30.246,90818,0
2005-06-02,29.215,29.215,28.965,29.129,277662,0
2005-06-03,29.026,29.407,29.026,29.233,56111,0
2005-06-06,29.407,29.578,29.311,29.519,51482,0
2005-06-07,29.258,29.528,29.258,29.519,69878,0
2005-06-08,29.639,29.907,29.535,29.543,52177,0
2005-06-09,29.735,29.735,29.379,29.552,27882,0
2005-06-10,29.552,29.821,29.552,29.639,22559,0
2005-06-13,29.664,29.881,29.509,29.683,33203,0
2005-06-14,29.683,29.69,29.578,29.639,83644,0
2005-06-15,29.552,29.664,29.441,29.648,83760,0
2005-06-16,29.735,29.838,29.683,29.803,49515,0
2005-06-17,30.246,30.246,29.924,30.001,89198,0
2005-06-20,30.944,30.944,30.252,30.295,296866,0
2005-06-21,30.288,30.288,29.821,29.881,175275,0
2005-06-22,30.209,30.555,30.209,30.374,140104,0
2005-06-23,30.452,30.727,30.338,30.374,82373,0
2005-06-24,30.547,30.798,30.425,30.727,64672,0
2005-06-27,31.161,31.178,30.737,30.963,97065,0
2005-06-28,31.161,31.324,31.118,31.256,108635,0
2005-06-29,31.256,31.263,30.727,30.727,118353,0
2005-06-30,31.118,31.152,30.754,30.77,94520,0
2005-07-01,31.118,31.454,31.118,31.213,113496,0
2005-07-05,31.55,31.652,31.42,31.652,81216,0
2005-07-06,31.342,31.411,31.17,31.23,85033,0
2005-07-07,31.161,31.17,30.529,30.953,141954,0
2005-07-08,30.727,30.987,30.727,30.944,78207,0
2005-07-11,31.118,31.118,30.841,30.969,76818,0
2005-07-12,30.858,30.935,30.848,30.867,78555,0
2005-07-13,31.17,31.324,30.987,30.987,61664,0
2005-07-14,31.03,31.23,30.78,30.953,211254,0
2005-07-15,31.09,31.108,30.91,31.083,36212,0
2005-07-18,31.377,31.377,30.815,30.858,128420,0
2005-07-19,31.342,31.445,31.161,31.445,341061,0
2005-07-20,31.594,31.844,31.523,31.844,132236,0
2005-07-21,31.722,32.414,31.722,32.336,219931,0
2005-07-22,32.283,32.447,32.138,32.397,58425,0
2005-07-25,32.111,32.111,31.894,32.051,97528,0
2005-07-26,32.198,32.198,31.964,32.154,40145,0
2005-07-27,32.422,33.443,32.422,33.434,127956,0
2005-07-28,33.235,33.391,33.217,33.364,54029,0
2005-07-29,33.666,33.666,33.193,33.235,213453,0
2005-08-01,33.58,33.598,33.416,33.546,72308,0
2005-08-02,33.286,33.364,32.769,33.364,157109,0
2005-08-03,33.58,33.58,33.019,33.193,59813,0
2005-08-04,33.193,33.193,32.717,32.846,51946,0
2005-08-05,33.063,33.063,32.708,32.862,58425,0
2005-08-08,33.711,33.805,33.494,33.528,116387,0
2005-08-09,33.711,34.021,33.659,34.021,96718,0
2005-08-10,34.315,34.981,34.315,34.773,303692,0
2005-08-11,34.575,34.627,34.289,34.523,77397,0
2005-08-12,34.523,34.54,34.099,34.315,89084,0
2005-08-15,35.481,35.481,35.05,35.361,125873,0
2005-08-16,35.448,35.525,35.231,35.25,122750,0
2005-08-17,35.438,35.438,35.119,35.274,49749,0
2005-08-18,34.142,34.142,33.805,33.901,105743,0
2005-08-19,33.321,33.494,32.846,33.425,91165,0
2005-08-22,33.623,33.666,33.468,33.58,41650,0
2005-08-23,33.364,33.382,32.992,33.114,81448,0
2005-08-24,32.63,32.777,32.31,32.577,78438,0
2005-08-25,32.24,32.404,32.085,32.198,57962,0
2005-08-26,32.5,32.543,32.292,32.361,47434,0
2005-08-29,31.808,32.024,31.679,31.981,56341,0
2005-08-30,31.981,32.181,31.894,31.981,66869,0
2005-08-31,32.024,32.534,31.938,32.534,65944,0
2005-09-01,31.938,31.947,31.585,31.739,109331,0
2005-09-02,31.739,31.765,31.557,31.585,87464,0
2005-09-06,31.463,32.138,31.463,32.094,91513,0
2005-09-07,31.722,32.085,31.722,32.085,249663,0
2005-09-08,31.765,31.852,31.637,31.661,122865,0
2005-09-09,31.765,31.894,31.757,31.816,103775,0
2005-09-12,31.765,31.938,31.765,31.869,103197,0
2005-09-13,31.739,31.894,31.739,31.792,32046,0
2005-09-14,31.964,31.964,31.749,31.816,103428,0
2005-09-15,31.826,31.852,31.739,31.749,54608,0
2005-09-16,31.739,31.757,31.463,31.585,64788,0
2005-09-19,31.393,31.722,31.324,31.429,58193,0
2005-09-20,31.472,31.541,31.29,31.334,76241,0
2005-09-21,31.29,31.368,31.161,31.17,43965,0
2005-09-22,31.195,31.386,31.161,31.299,46740,0
2005-09-23,31.299,31.749,31.29,31.749,108982,0
2005-09-26,31.749,31.816,31.661,31.714,138600,0
2005-09-27,31.594,31.594,31.29,31.472,48822,0
2005-09-28,31.679,31.852,31.679,31.808,152946,0
2005-09-29,32.31,32.466,32.111,32.404,166017,0
2005-09-30,32.596,32.698,32.482,32.577,138252,0
2005-10-03,33.278,33.537,33.261,33.537,132469,0
2005-10-04,33.321,33.321,32.933,32.958,157456,0
2005-10-05,32.154,32.198,31.773,31.792,174349,0
2005-10-06,31.852,33.063,31.282,31.48,57500,0
2005-10-07,31.637,31.73,31.566,31.6,29847,0
2005-10-10,31.463,31.609,31.402,31.489,27882,0
2005-10-11,31.489,31.628,31.489,31.618,33203,0
2005-10-12,31.204,31.256,30.676,30.876,81216,0
2005-10-13,30.789,31.126,30.789,30.987,33781,0
2005-10-14,30.685,30.832,30.529,30.815,34707,0
2005-10-17,30.599,30.832,30.477,30.789,16775,0
2005-10-18,30.727,30.727,30.391,30.589,27765,0
2005-10-19,29.942,30.202,29.407,30.158,112106,0
2005-10-20,29.562,29.995,29.535,29.829,208594,0
2005-10-21,29.743,29.829,29.562,29.7,99032,0
2005-10-24,29.7,30.246,29.648,30.217,71267,0
2005-10-25,29.519,29.794,29.398,29.674,66176,0
2005-10-26,28.826,28.956,28.696,28.749,166597,0
2005-10-27,28.723,28.723,27.963,28.135,103544,0
2005-10-28,28.092,28.161,27.987,28.065,86074,0
2005-10-31,28.188,28.386,28.101,28.195,156645,0
2005-11-01,28.732,29.026,28.653,28.653,63514,0
2005-11-02,28.705,29.258,28.705,29.241,78438,0
2005-11-03,29.519,29.605,29.335,29.388,44310,0
2005-11-04,29.398,29.398,28.811,29.033,262853,0
2005-11-07,28.653,28.767,28.551,28.594,112915,0
2005-11-08,28.653,28.653,28.308,28.377,71498,0
2005-11-09,28.826,29.129,28.818,29.043,103544,0
2005-11-10,29.086,29.156,28.767,29.113,34938,0
2005-11-11,29.302,29.302,29.051,29.258,48013,0
2005-11-14,29.388,29.388,29.094,29.207,74159,0
2005-11-15,29.605,29.743,29.449,29.63,137327,0
2005-11-16,29.951,30.288,29.821,30.288,138136,0
2005-11-17,30.468,30.564,30.366,30.521,64094,0
2005-11-18,30.417,30.486,30.167,30.486,47897,0
2005-11-21,30.486,30.632,30.338,30.615,39104,0
2005-11-22,30.615,30.615,30.322,30.572,39914,0
2005-11-23,30.26,30.572,30.252,30.444,43501,0
2005-11-25,30.338,30.338,30.123,30.227,30889,0
2005-11-28,30.123,30.183,29.951,30.038,65714,0
2005-11-29,29.648,29.889,29.648,29.778,63400,0
2005-11-30,29.821,29.958,29.7,29.76,19667,0
2005-12-01,30.062,30.357,30.038,30.357,89546,0
2005-12-02,30.252,30.288,30.123,30.227,33087,0
2005-12-05,30.227,30.246,29.873,30.097,52987,0
2005-12-06,29.69,29.735,29.605,29.605,64209,0
2005-12-07,29.907,30.045,29.441,29.492,162895,0
2005-12-08,30.512,30.815,30.46,30.66,267016,0
2005-12-09,30.555,30.848,30.555,30.77,45467,0
2005-12-12,30.987,31.256,30.987,31.075,61780,0
2005-12-13,30.987,31.17,30.642,31.056,84339,0
2005-12-14,30.901,31.022,30.823,30.92,36444,0
2005-12-15,31.161,31.507,31.161,31.507,127377,0
2005-12-16,31.429,31.55,31.377,31.393,46045,0
2005-12-19,31.757,31.808,31.497,31.575,121246,0
2005-12-20,31.566,31.765,31.541,31.765,58078,0
2005-12-21,31.637,31.852,31.6,31.852,61664,0
2005-12-22,31.921,31.921,31.55,31.637,43731,0
2005-12-23,31.532,31.661,31.532,31.585,20016,0
2005-12-27,31.463,31.637,31.359,31.359,28692,0
2005-12-28,31.161,31.29,31.118,31.282,42576,0
2005-12-29,31.161,31.324,31.161,31.324,29385,0
2005-12-30,31.463,31.679,31.393,31.618,54723,0
2006-01-03,31.869,32.336,31.765,32.326,67911,0
2006-01-04,32.586,32.837,32.586,32.777,58657,0
2006-01-05,32.855,33.106,32.855,33.044,79134,0
2006-01-06,33.208,33.486,33.199,33.4,55186,0
2006-01-09,33.805,34.013,33.572,34.013,105975,0
2006-01-10,33.278,33.486,33.193,33.364,79018,0
2006-01-11,33.537,33.874,33.511,33.796,60622,0
2006-01-12,33.711,33.796,33.58,33.623,96951,0
2006-01-13,33.944,34.194,33.944,34.109,74391,0
2006-01-17,33.063,33.261,33.036,33.193,73348,0
2006-01-18,33.278,33.556,33.157,33.286,39451,0
2006-01-19,33.58,33.762,33.58,33.711,60275,0
2006-01-20,33.407,33.528,32.708,32.708,74622,0
2006-01-23,32.603,32.769,32.5,32.751,48013,0
2006-01-24,32.326,32.534,32.326,32.432,68606,0
2006-01-25,32.154,32.44,32.154,32.369,33781,0
2006-01-26,32.111,32.414,32.111,32.369,50442,0
2006-01-27,32.646,32.933,32.639,32.898,70687,0
2006-01-30,32.889,33.019,32.846,33.001,31931,0
2006-01-31,32.933,32.933,32.69,32.889,74391,0
2006-02-01,32.915,33.122,32.898,33.122,35518,0
2006-02-02,33.623,33.623,33.235,33.304,79480,0
2006-02-03,33.278,33.286,33.01,33.174,278007,0
2006-02-06,33.149,33.321,32.837,33.321,113610,0
2006-02-07,33.019,33.078,32.717,32.741,65714,0
2006-02-08,32.777,32.985,32.681,32.958,56458,0
2006-02-09,32.846,32.924,32.674,32.759,39798,0
2006-02-10,32.414,32.422,32.051,32.24,71036,0
2006-02-13,31.55,32.033,31.55,31.947,61664,0
2006-02-14,32.846,33.278,32.837,33.157,115576,0
2006-02-15,32.802,32.837,32.63,32.759,23832,0
2006-02-16,32.369,32.784,32.369,32.777,33666,0
2006-02-17,32.5,32.596,32.326,32.5,105628,0
2006-02-21,32.369,32.639,32.283,32.388,43384,0
2006-02-22,32.361,32.741,32.231,32.569,37948,0
2006-02-23,32.24,32.397,32.094,32.369,24410,0
2006-02-24,32.008,32.24,31.99,32.231,27996,0
2006-02-27,32.388,32.639,32.379,32.596,97644,0
2006-02-28,31.894,31.964,31.705,31.714,50094,0
2006-03-01,31.722,31.99,31.609,31.981,47664,0
2006-03-02,31.637,31.826,31.334,31.816,64556,0
2006-03-03,31.507,31.722,31.48,31.557,15039,0
2006-03-06,31.334,31.55,31.23,31.316,46276,0
2006-03-07,31.118,31.118,30.555,30.91,66869,0
2006-03-08,30.77,30.901,30.46,30.77,51715,0
