Date,Open,High,Low,Close,Volume,OpenInt
2014-09-17,17,17.19,16.16,16.61,6626564,0
2014-09-18,16.5,16.6,16.26,16.35,584767,0
2014-09-19,16.35,16.68,16.35,16.49,198434,0
2014-09-22,16.36,16.76,16.35,16.5,476946,0
2014-09-23,16.26,16.49,16.26,16.31,123614,0
2014-09-24,15.92,16.32,15.11,16.21,344829,0
2014-09-25,16.11,16.56,15.92,16.35,549879,0
2014-09-26,16.1,16.69,16.1,16.48,880931,0
2014-09-29,16.11,16.54,16.06,16.27,341789,0
2014-09-30,16.24,16.4,15.33,15.62,753233,0
2014-10-01,15.52,15.58,14.5,14.89,278532,0
2014-10-02,14.77,15,14.52,14.99,159334,0
2014-10-03,15.07,15.4,15,15.1,138887,0
2014-10-06,15.1,15.29,14.78,14.91,208536,0
2014-10-07,14.95,15.07,14.61,14.78,167418,0
2014-10-08,14.86,14.86,14.09,14.65,188698,0
2014-10-09,14.49,14.58,13.59,13.59,209027,0
2014-10-10,13.37,13.88,12.33,12.54,435786,0
2014-10-13,12.32,12.56,11.88,12.51,117747,0
2014-10-14,12.74,13.1,12.43,12.44,115096,0
2014-10-15,12.14,12.83,12.01,12.83,152345,0
2014-10-16,12.52,13.46,12.47,13.03,215545,0
2014-10-17,13.11,13.5,13.08,13.38,123974,0
2014-10-20,13.25,14.28,13.25,14.25,103019,0
2014-10-21,14.25,14.49,13.94,14.46,81094,0
2014-10-22,14.37,15.14,14.35,14.49,92330,0
2014-10-23,14.52,15.12,14.51,14.87,63851,0
2014-10-24,14.72,15.64,14.65,15.64,88161,0
2014-10-27,15.93,16.22,15.57,16.05,206398,0
2014-10-28,16.23,16.57,15.94,16.19,52314,0
2014-10-29,16.2,16.3,15.68,16.05,74863,0
2014-10-30,15.84,16.22,15.71,15.86,55995,0
2014-10-31,16.03,16.24,15.91,16.18,40920,0
2014-11-03,16.05,16.65,16,16.3,85245,0
2014-11-04,16.16,16.28,15.84,15.89,22105,0
2014-11-05,16.05,16.31,15.83,16,127636,0
2014-11-06,16,16.14,15.86,16.14,78960,0
2014-11-07,16.2,16.31,15.81,16.12,41101,0
2014-11-10,16.23,16.23,15.63,15.64,59987,0
2014-11-11,15.72,16.25,15.6,16.16,85194,0
2014-11-12,16.17,16.19,15.84,15.93,42438,0
2014-11-13,16.09,16.38,15.73,16.34,199646,0
2014-11-14,16.24,16.5,15.01,16.46,73763,0
2014-11-17,16.5,17,16.07,16.79,84311,0
2014-11-18,16.53,17.25,16.53,16.89,198871,0
2014-11-19,16.68,17.12,16.03,16.86,125886,0
2014-11-20,16.65,16.93,16.52,16.81,98350,0
2014-11-21,16.65,17,16.61,16.9,106721,0
2014-11-24,16.78,17.06,16.44,16.58,138966,0
2014-11-25,16.73,17.1,16.73,17.03,96036,0
2014-11-26,17.04,17.5,16.88,16.89,144718,0
2014-11-28,16.7,17.13,16.33,17.13,18227,0
2014-12-01,16.87,17.1,16.74,17.05,125371,0
2014-12-02,16.83,17.08,16.7,16.89,77396,0
2014-12-03,16.94,17.08,16.9,16.98,88096,0
2014-12-04,16.88,17.07,16.8,16.96,73410,0
2014-12-05,16.86,17.04,16.75,16.89,52369,0
2014-12-08,16.77,16.99,16.29,16.57,72091,0
2014-12-09,16.5,17.2,16.18,17.14,76484,0
2014-12-10,17.01,17.2,16.62,16.81,68972,0
2014-12-11,16.81,17.03,16.23,16.51,122569,0
2014-12-12,16.4,16.47,15.63,16.21,82184,0
2014-12-15,16.28,16.64,15.6,15.93,150225,0
2014-12-16,15.86,16.24,15.25,15.45,132451,0
2014-12-17,15.38,15.72,14.82,15.02,299288,0
2014-12-18,15.36,15.63,14.08,15.06,405387,0
2014-12-19,14.94,16.66,14.6,16.3,1345961,0
2014-12-22,16.69,17.5,16.55,17.24,138474,0
2014-12-23,17.24,17.46,16.85,17.34,138979,0
2014-12-24,17.3,17.36,16.8,16.92,22690,0
2014-12-26,16.97,17.18,16.49,17,68903,0
2014-12-29,17.09,17.29,16.75,16.8,248643,0
2014-12-30,16.63,17.35,16.57,17.11,145405,0
2014-12-31,17.07,17.28,16.78,17.03,90271,0
2015-01-02,17.11,17.36,16.69,17.31,39055,0
2015-01-05,17.34,17.92,16.96,17.46,180617,0
2015-01-06,17.56,17.59,17.02,17.47,67519,0
2015-01-07,17.49,18.65,17.32,17.98,460385,0
2015-01-08,18.08,19,17.9,18.43,232384,0
2015-01-09,18.4,19.1,18.34,18.68,114279,0
2015-01-12,18.57,18.86,17.98,18.73,149453,0
2015-01-13,18.93,19.09,18.43,18.73,131279,0
2015-01-14,18.35,19.07,18.35,19.02,111362,0
2015-01-15,19.1,19.1,18.29,18.6,88352,0
2015-01-16,18.68,19.21,18.43,19.18,63343,0
2015-01-20,19.28,19.28,18.45,18.98,131162,0
2015-01-21,18.94,18.94,18.36,18.77,95985,0
2015-01-22,18.78,19.25,18.65,19.11,101011,0
2015-01-23,19.1,19.2,18.85,18.88,88764,0
2015-01-26,18.76,19.01,18.46,18.94,81761,0
2015-01-27,18.68,19.22,18.65,19.19,47786,0
2015-01-28,19.22,19.22,18.59,19.01,56610,0
2015-01-29,18.91,19.25,18.71,19.23,53350,0
2015-01-30,19.05,19.19,18.85,18.99,51669,0
2015-02-02,19.1,19.23,18.5,19.19,46414,0
2015-02-03,19.21,19.76,19.06,19.15,60407,0
2015-02-04,19.17,19.51,18.76,19.01,45678,0
2015-02-05,19.13,19.5,18.93,19.25,118729,0
2015-02-06,19.2,19.2,18.27,18.54,115010,0
2015-02-09,18.58,19.09,18.39,18.89,346122,0
2015-02-10,18.9,19.26,18.64,19.1,66361,0
2015-02-11,19.3,19.52,18.75,19.01,54785,0
2015-02-12,19.27,19.27,18.78,19.09,61622,0
2015-02-13,19,19.27,18.94,19.08,21998,0
2015-02-17,19.24,19.24,18.71,19.19,55927,0
2015-02-18,19.35,20,17.61,19.06,223868,0
2015-02-19,18.95,19.48,18.64,18.88,140291,0
2015-02-20,18.91,19.3,18.4,18.93,88836,0
2015-02-23,18.79,19.3,18.71,18.95,113425,0
2015-02-24,19.04,19.24,18.54,18.96,171134,0
2015-02-25,19.03,19.03,18.83,18.98,67968,0
2015-02-26,19.06,19.2,18.88,19.12,94409,0
2015-02-27,19.09,19.2,18.91,18.99,80286,0
2015-03-02,19.02,20.24,18.89,19.07,137700,0
2015-03-03,19.02,19.13,18.75,18.98,98000,0
2015-03-04,18.93,19.52,18.82,19.06,53300,0
2015-03-05,19.17,19.17,18.92,19.08,46700,0
2015-03-06,18.9,19.25,17.94,18.77,142900,0
2015-03-09,18.76,19.18,18.64,18.72,94500,0
2015-03-10,18.68,18.89,18.32,18.56,60700,0
2015-03-11,18.66,18.84,18.05,18.13,84800,0
2015-03-12,18.3,19.25,18.3,19.21,53500,0
2015-03-13,19.25,20.12,19.23,19.97,66900,0
2015-03-16,20.11,20.73,19.6,19.89,117800,0
2015-03-17,19.87,20.48,19.8,20.05,114500,0
2015-03-18,19.98,20.35,19.83,20.03,80100,0
2015-03-19,20.04,20.17,19.78,20,58900,0
2015-03-20,20.15,21,19.99,20.61,126700,0
2015-03-23,20.64,21,20.64,20.79,86300,0
2015-03-24,20.84,20.93,20.43,20.67,59300,0
2015-03-25,20.67,20.95,20.6,20.8,55400,0
2015-03-26,20.77,21.05,20.29,20.59,67400,0
2015-03-27,20.56,20.62,20.29,20.51,30400,0
2015-03-30,20.6,20.99,20.54,20.9,30200,0
2015-03-31,20.91,21.12,20.72,20.94,54100,0
2015-04-01,20.88,21,20.5,20.96,63300,0
2015-04-02,21.05,21.1,20.6,20.64,39500,0
2015-04-06,20.58,21.1,20.58,20.76,24600,0
2015-04-07,20.76,20.92,20.3,20.36,26227,0
2015-04-08,20.34,20.78,20.2,20.71,19900,0
2015-04-09,20.75,21.21,20.55,20.75,42604,0
2015-04-10,20.8,21,20.65,20.93,52300,0
2015-04-13,20.87,21.11,19.62,19.72,110300,0
2015-04-14,19.52,19.54,18.85,19.42,29100,0
2015-04-15,19.37,19.56,18.85,19.24,42686,0
2015-04-16,19.25,19.26,18.92,19.15,23652,0
2015-04-17,19.03,19.27,18.99,19.15,41400,0
2015-04-20,19.17,19.4,19.15,19.3,45132,0
2015-04-21,19.16,19.36,19.16,19.25,19565,0
2015-04-22,19.35,19.35,19.07,19.26,53136,0
2015-04-23,19.25,19.6,19.15,19.43,116600,0
2015-04-24,19.51,19.67,19.24,19.4,64600,0
2015-04-27,19.75,20.08,19.35,19.68,53500,0
2015-04-28,19.7,19.92,19.51,19.88,38900,0
2015-04-29,19.5,19.88,19.41,19.48,40200,0
2015-04-30,19.58,19.62,18.68,18.75,69800,0
2015-05-01,18.88,18.96,18.6,18.86,59900,0
2015-05-04,18.54,18.94,18.54,18.77,30100,0
2015-05-05,18.67,19.06,17.78,18.1,57100,0
2015-05-06,18.01,18.4,18.01,18.2,50457,0
2015-05-07,18.09,18.78,18.09,18.59,35033,0
2015-05-08,18.84,18.84,18.6,18.78,37400,0
2015-05-11,18.8,19.15,18.8,18.96,18400,0
2015-05-12,18.8,18.92,18.6,18.72,47446,0
2015-05-13,19.2,21.08,19.2,20.89,102000,0
2015-05-14,20.93,21.26,20.58,21.01,58900,0
2015-05-15,21.04,21.3,20.86,20.93,49657,0
2015-05-18,20.83,21.98,20.6,21.76,57885,0
2015-05-19,21.61,21.87,21.38,21.7,28700,0
2015-05-20,21.69,21.95,21.49,21.64,76500,0
2015-05-21,21.66,21.7,21.22,21.63,103000,0
2015-05-22,21.77,21.86,21.21,21.45,33700,0
2015-05-26,21.26,21.74,21.12,21.51,103381,0
2015-05-27,21.62,21.96,21.31,21.89,59000,0
2015-05-28,21.73,21.97,21.35,21.76,45299,0
2015-05-29,21.77,22.24,21.53,22.18,123400,0
2015-06-01,22.24,22.3,21.33,21.64,57600,0
2015-06-02,21.55,21.95,21.46,21.67,35441,0
2015-06-03,21.65,22.35,21.51,22.28,47000,0
2015-06-04,22.44,22.44,21.39,21.5,29100,0
2015-06-05,21.5,21.97,21.19,21.84,33300,0
2015-06-08,21.71,21.96,21.38,21.54,34600,0
2015-06-09,21.42,21.61,21,21.53,31236,0
2015-06-10,21.43,22.36,21.43,22.25,40007,0
2015-06-11,22.1,22.45,21.57,21.78,23146,0
2015-06-12,21.85,21.87,20.89,21.07,26400,0
2015-06-15,21.14,21.84,20.91,21.6,29300,0
2015-06-16,21.76,21.92,21.21,21.9,44600,0
2015-06-17,21.99,22.09,21.48,21.91,36100,0
2015-06-18,22.05,22.4,22.05,22.28,30400,0
2015-06-19,22.14,22.4,21.34,21.86,92000,0
2015-06-22,21.87,22.24,21.44,21.7,35600,0
2015-06-23,21.54,22.16,21.32,21.74,42613,0
2015-06-24,21.79,22.52,21.72,22.17,55600,0
2015-06-25,22.07,22.36,21.16,21.22,43100,0
2015-06-26,21.29,21.57,20.95,21.57,264100,0
2015-06-29,21.4,21.74,21,21.05,33100,0
2015-06-30,21.09,21.47,21,21.33,57218,0
2015-07-01,21.51,21.56,21.14,21.4,116700,0
2015-07-02,21.47,21.47,20.95,21.13,26200,0
2015-07-06,21.03,21.35,20.69,20.81,52000,0
