Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.905,11.848,10.855,11.742,332680,0
2005-02-28,12.12,12.851,11.78,12.259,324849,0
2005-03-01,12.558,12.646,12.12,12.606,140288,0
2005-03-02,12.655,12.655,12.179,12.307,64258,0
2005-03-03,12.374,13.21,12.307,12.9,206998,0
2005-03-04,12.967,13.006,12.558,12.665,104418,0
2005-03-07,12.412,12.655,11.972,12.422,126306,0
2005-03-08,12.1,12.705,11.925,12.422,70079,0
2005-03-09,12.655,12.871,12.021,12.578,63073,0
2005-03-10,12.364,12.626,11.498,11.992,140846,0
2005-03-11,12.021,12.655,12.002,12.209,120516,0
2005-03-14,12.04,12.587,12.04,12.412,50949,0
2005-03-15,12.568,13.036,12.344,12.596,106079,0
2005-03-16,12.851,12.851,12.344,12.422,38045,0
2005-03-17,12.344,12.596,11.614,11.925,94247,0
2005-03-18,11.78,12.626,11.78,12.461,80590,0
2005-03-21,11.925,12.616,11.925,12.606,113288,0
2005-03-22,12.646,13.338,12.646,13.114,180518,0
2005-03-23,13.026,13.23,12.326,12.519,102331,0
2005-03-24,12.179,12.851,11.897,12.51,103210,0
2005-03-28,12.402,13.6,12.402,13.299,227092,0
2005-03-29,13.21,13.932,13.143,13.454,248604,0
2005-03-30,13.629,13.629,12.616,13.152,116019,0
2005-03-31,13.19,13.512,12.986,13.26,112434,0
2005-04-01,13.386,13.454,12.802,12.851,114506,0
2005-04-04,13.366,13.366,12.762,12.841,104972,0
2005-04-05,12.762,13.19,12.753,13.016,97535,0
2005-04-06,12.92,13.376,12.655,12.91,67708,0
2005-04-07,12.9,13.152,12.792,13.016,30964,0
2005-04-08,12.822,12.871,11.925,12.012,153169,0
2005-04-11,12.021,12.675,11.829,12.384,71810,0
2005-04-12,12.169,12.334,11.78,12.169,30834,0
2005-04-13,12.169,12.169,11.643,11.703,40667,0
2005-04-14,11.878,11.878,10.368,10.425,220256,0
2005-04-15,10.26,10.816,9.0538,9.628,373180,0
2005-04-18,9.2485,10.415,9.0246,9.657,188629,0
2005-04-19,9.618,10.348,9.4824,10.165,64848,0
2005-04-20,10.213,10.554,9.608,10.475,87447,0
2005-04-21,10.348,10.415,9.687,10.318,75663,0
2005-04-22,10.26,10.982,10.213,10.982,108638,0
2005-04-25,11.108,11.108,10.385,10.465,77548,0
2005-04-26,10.318,10.494,10.222,10.318,27117,0
2005-04-27,10.222,10.67,9.4531,9.4824,145921,0
2005-04-28,9.4433,9.891,9.0442,9.0732,87914,0
2005-04-29,9.3063,9.618,8.4113,8.6448,245498,0
2005-05-02,8.6838,8.6838,8.1288,8.6158,167356,0
2005-05-03,8.3724,8.9273,8.3724,8.6255,101042,0
2005-05-04,8.5961,9.4138,8.5961,9.4138,80048,0
2005-05-05,9.1512,9.638,9.1512,9.512,58394,0
2005-05-06,9.707,9.939,8.976,9.2387,128286,0
2005-05-09,9.1025,9.4727,9.0148,9.3745,64881,0
2005-05-10,9.4727,9.881,9.2968,9.502,80177,0
2005-05-11,9.677,9.727,9.1803,9.2777,33767,0
2005-05-12,9.2485,9.552,9.1025,9.3551,40356,0
2005-05-13,9.4138,9.4138,8.7227,8.7325,113361,0
2005-05-16,8.4113,8.6352,8.2554,8.3919,130850,0
2005-05-17,8.2848,9.4921,8.2848,9.0732,76161,0
2005-05-18,9.0732,9.3551,9.0538,9.2288,90807,0
2005-05-19,9.1512,9.2968,8.8104,8.8494,55302,0
2005-05-20,8.9077,9.287,8.6937,9.0442,43633,0
2005-05-23,8.8591,9.2485,8.7518,9.1122,62097,0
2005-05-24,9.1609,9.1803,8.976,9.0538,30216,0
2005-05-25,9.005,9.2485,8.8882,9.1706,44120,0
2005-05-26,9.2968,9.3745,9.1316,9.3063,44006,0
2005-05-27,9.2678,9.4921,9.2097,9.3647,42647,0
2005-05-31,9.3843,9.4138,9.0538,9.19,79941,0
2005-06-01,9.3356,9.667,9.3063,9.562,81920,0
2005-06-02,9.4531,10.709,9.4531,10.222,85659,0
2005-06-03,10.145,10.465,9.939,10.27,56806,0
2005-06-06,10.415,10.924,10.368,10.66,108591,0
2005-06-07,11.703,12.219,10.611,11.068,423273,0
2005-06-08,10.338,10.786,9.842,10.067,157781,0
2005-06-09,10.087,10.758,10.087,10.748,119129,0
2005-06-10,10.611,11.098,10.611,10.963,122546,0
2005-06-13,10.934,11.34,10.934,11.185,104599,0
2005-06-14,11.185,11.389,11.136,11.33,358612,0
2005-06-15,11.34,11.488,11.136,11.34,58826,0
2005-06-16,11.369,11.479,11.235,11.439,116015,0
2005-06-17,11.528,11.683,11.449,11.634,128974,0
2005-06-20,11.683,13.095,11.673,12.021,233962,0
2005-06-21,12.11,12.11,11.498,11.673,65737,0
2005-06-22,11.459,11.878,11.389,11.829,47786,0
2005-06-23,11.742,11.972,11.419,11.79,129901,0
2005-06-24,11.742,11.963,11.34,11.567,64902,0
2005-06-27,11.733,11.78,11.429,11.548,64614,0
2005-06-28,11.548,11.77,11.321,11.585,75103,0
2005-06-29,11.683,11.723,11.156,11.235,108063,0
2005-06-30,11.156,11.273,10.554,10.67,138312,0
2005-07-01,10.905,11.021,10.514,10.875,102433,0
2005-07-05,10.982,11.088,10.67,10.739,81040,0
2005-07-06,10.524,10.973,10.524,10.816,63363,0
2005-07-07,10.66,11.273,10.415,11.263,41156,0
2005-07-08,11.321,11.429,10.973,11.389,50059,0
2005-07-11,11.585,11.82,11.469,11.703,161652,0
2005-07-12,11.723,12.09,11.469,11.887,74617,0
2005-07-13,12.07,12.11,11.604,11.713,44112,0
2005-07-14,11.829,11.858,11.528,11.673,21326,0
2005-07-15,11.585,11.82,11.488,11.752,9786,0
2005-07-18,11.79,11.79,11.439,11.538,78468,0
2005-07-19,11.643,11.829,11.127,11.82,83477,0
2005-07-20,11.858,12.169,11.703,12.06,83318,0
2005-07-21,12.12,12.219,12.021,12.199,48591,0
2005-07-22,12.219,12.861,11.906,12.753,143398,0
2005-07-25,13.133,13.24,12.715,12.822,141966,0
2005-07-26,13.24,14.301,13.24,14.263,439431,0
2005-07-27,14.407,14.496,13.629,13.816,155394,0
2005-07-28,13.807,14.594,13.807,14.506,85351,0
2005-07-29,14.603,14.662,14.224,14.662,140442,0
2005-08-01,14.329,15.08,14.116,14.798,188384,0
2005-08-02,14.895,15.439,14.798,15.439,102074,0
2005-08-03,15.518,15.781,15.343,15.528,233916,0
2005-08-04,15.742,15.742,15.099,15.401,191140,0
2005-08-05,15.275,15.665,14.769,15.538,117743,0
2005-08-08,15.626,16.784,15.558,16.483,268618,0
2005-08-09,16.355,17.144,16.257,17.027,338512,0
2005-08-10,17.114,17.35,16.512,16.958,439030,0
2005-08-11,16.958,17.33,16.325,17.283,117767,0
2005-08-12,16.754,17.591,16.62,17.474,203680,0
2005-08-15,17.719,18.05,17.474,17.961,280075,0
2005-08-16,17.894,18.03,17.719,17.825,172443,0
2005-08-17,17.777,18,17.408,17.65,115407,0
2005-08-18,17.561,17.591,16.111,17.203,167551,0
2005-08-19,17.114,18.05,17.114,17.806,169816,0
2005-08-22,18.03,18.05,17.144,17.502,126284,0
2005-08-23,17.511,17.904,17.445,17.777,161039,0
2005-08-24,17.815,18.497,17.521,18.05,276994,0
2005-08-25,18.109,18.974,18.05,18.876,129442,0
2005-08-26,18.992,19.169,18.487,18.585,134797,0
2005-08-29,18.673,18.886,18.331,18.566,188207,0
2005-08-30,19.198,19.258,18.663,18.692,471579,0
2005-08-31,18.925,18.935,18.604,18.79,236408,0
2005-09-01,18.876,19.06,18.751,19.01,234081,0
2005-09-02,19.04,19.278,19.04,19.228,145989,0
2005-09-06,19.278,20.824,19.179,19.441,336211,0
2005-09-07,19.705,20.543,19.471,20.346,211916,0
2005-09-08,20.642,20.804,19.83,20.006,233798,0
2005-09-09,20.006,20.632,19.84,20.171,112520,0
2005-09-12,20.445,20.582,19.967,20.277,235312,0
2005-09-13,20.863,22.149,20.277,21.747,300230,0
2005-09-14,21.428,23.022,21.428,22.644,327024,0
2005-09-15,22.237,23.072,22.237,22.831,253967,0
2005-09-16,22.841,22.964,21.708,22.458,235361,0
2005-09-19,22.683,22.792,21.573,22.324,224631,0
2005-09-20,22.371,22.945,22.334,22.634,163429,0
2005-09-21,22.634,24.446,22.634,24.123,390460,0
2005-09-22,24.222,24.484,22.664,23.268,324386,0
2005-09-23,23.317,23.366,22.664,23.317,215168,0
2005-09-26,23.366,23.551,21.292,21.845,381810,0
2005-09-27,22.351,23.366,21.855,23.012,470265,0
2005-09-28,23.346,24.094,22.546,23.834,282193,0
2005-09-29,24.143,24.143,22.683,23.012,292467,0
2005-09-30,23.471,23.471,22.733,23.032,221568,0
2005-10-03,23.052,24.222,23.032,23.804,279343,0
2005-10-04,24.026,25.312,23.804,25.118,502456,0
2005-10-05,25.108,25.262,22.654,24.055,369719,0
2005-10-06,24.103,24.581,21.904,22.418,325967,0
2005-10-07,22.361,23.268,22.07,22.762,168187,0
2005-10-10,23.052,23.122,22.324,22.438,183777,0
2005-10-11,22.556,23.56,22.487,22.762,241095,0
2005-10-12,23.189,23.452,22.4,22.879,167845,0
2005-10-13,22.879,22.879,19.539,20.804,639788,0
2005-10-14,20.153,22.011,20.055,21.438,259930,0
2005-10-17,21.826,22.119,20.891,21.018,180628,0
2005-10-18,21.67,22.237,20.695,22.119,311882,0
2005-10-19,22.334,22.723,21.428,22.654,225128,0
2005-10-20,22.782,23.258,21.661,21.826,283643,0
2005-10-21,21.992,22.841,21.488,22.821,178509,0
2005-10-24,22.984,23.072,22.821,23.072,184182,0
2005-10-25,22.993,23.461,22.993,23.072,220883,0
2005-10-26,23.169,23.366,22.428,23.218,181025,0
2005-10-27,22.879,23.042,21.359,22.119,338735,0
2005-10-28,22.08,22.188,21.339,22.07,182824,0
2005-10-31,21.904,22.324,21.835,22.218,163377,0
2005-11-01,22.139,22.391,21.233,21.544,226334,0
2005-11-02,21.875,22.011,20.784,21.708,218437,0
2005-11-03,21.507,22.713,21.311,22.149,244905,0
2005-11-04,22.315,22.341,21.952,22.341,185973,0
2005-11-07,22.296,23.694,20.931,21.204,774194,0
2005-11-08,19.86,20.104,19.441,19.616,2275831,0
2005-11-09,19.471,19.685,18.146,19.03,1372244,0
2005-11-10,19.001,19.109,18.712,19.02,408720,0
2005-11-11,19.129,19.471,18.692,19.383,298088,0
2005-11-14,19.228,19.957,19.149,19.86,397954,0
2005-11-15,19.519,19.947,19.519,19.821,190047,0
2005-11-16,19.957,19.957,19.509,19.84,122618,0
