Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,31.095,31.416,30.712,31.268,3083774,0
2005-02-28,31.218,31.289,30.542,30.597,4331287,0
2005-03-01,30.657,32.649,30.657,32.581,8619911,0
2005-03-02,31.505,31.507,28.891,29.468,26074397,0
2005-03-03,29.72,29.72,28.244,28.677,13269904,0
2005-03-04,28.699,29.913,28.699,29.175,8181842,0
2005-03-07,29.173,29.558,28.522,28.835,6098882,0
2005-03-08,28.83,29.209,28.461,28.808,3972567,0
2005-03-09,28.659,28.727,27.959,28.404,5862173,0
2005-03-10,28.404,29.351,28.404,29.306,6367573,0
2005-03-11,29.306,29.504,28.961,29.216,4708676,0
2005-03-14,29.246,29.416,28.727,29.147,4485310,0
2005-03-15,29.025,29.602,29.025,29.394,3229805,0
2005-03-16,29.283,29.374,29.029,29.16,2575049,0
2005-03-17,29.139,29.201,28.657,28.699,2807072,0
2005-03-18,28.7,28.883,28.489,28.64,3580511,0
2005-03-21,29.209,29.569,29.11,29.406,4503306,0
2005-03-22,29.521,29.521,28.618,28.699,3121126,0
2005-03-23,28.032,28.565,27.966,28.217,3841883,0
2005-03-24,28.434,28.75,28.321,28.618,2166964,0
2005-03-28,28.618,29.157,28.579,28.879,2354339,0
2005-03-29,28.793,28.936,28.032,28.084,3309143,0
2005-03-30,28.084,28.674,28.04,28.659,2465688,0
2005-03-31,28.602,28.989,28.474,28.733,2039629,0
2005-04-01,28.487,28.599,26.773,27.173,12705812,0
2005-04-04,27.173,28.136,26.839,27.966,6030199,0
2005-04-05,27.893,28.107,27.581,27.96,3253138,0
2005-04-06,27.932,28.393,27.932,28.093,2813738,0
2005-04-07,27.944,28.099,27.661,27.822,2703054,0
2005-04-08,27.823,28.023,27.39,27.6,2111638,0
2005-04-11,27.628,27.647,27.395,27.428,1973619,0
2005-04-12,27.293,27.526,27.159,27.469,3981908,0
2005-04-13,27.469,27.706,27.434,27.506,2699726,0
2005-04-14,27.528,27.639,26.405,26.505,6696286,0
2005-04-15,26.172,26.521,25.168,25.329,8922611,0
2005-04-18,25.455,26.055,24.919,25.574,6025536,0
2005-04-19,25.916,25.916,25.619,25.892,3993905,0
2005-04-20,25.87,26.048,25.029,25.359,3893225,0
2005-04-21,25.359,25.619,24.256,25.168,10108114,0
2005-04-22,25.174,25.759,24.915,25.322,4117932,0
2005-04-25,25.36,26.536,25.289,26.361,5580132,0
2005-04-26,27.41,28.535,27.395,28.048,10716204,0
2005-04-27,28.136,29.587,28.064,29.335,10102782,0
2005-04-28,29.335,29.542,28.699,28.85,4448643,0
2005-04-29,29.159,29.174,28.218,28.955,4972708,0
2005-05-02,29.025,29.321,28.268,28.572,5386770,0
2005-05-03,28.572,29.022,28.285,28.397,4469312,0
2005-05-04,28.499,29.646,28.45,29.297,6555607,0
2005-05-05,29.371,29.907,28.957,29.31,4341289,0
2005-05-06,29.466,29.615,29.256,29.379,2624373,0
2005-05-09,29.495,29.544,29.13,29.513,2244324,0
2005-05-10,29.424,29.424,28.981,29.066,2190315,0
2005-05-11,28.595,29.025,28.392,28.913,3440490,0
2005-05-12,28.838,28.877,28.064,28.064,3689856,0
2005-05-13,28.326,28.602,27.951,28.306,3665187,0
2005-05-16,28.804,29.324,28.624,29.324,5542794,0
2005-05-17,29.292,30.208,29.213,29.78,6198891,0
2005-05-18,30.086,30.271,29.677,30.269,5459445,0
2005-05-19,30.269,30.344,29.854,30.344,3810551,0
2005-05-20,30.344,30.987,30.063,30.953,4088584,0
2005-05-23,31.023,31.691,30.987,31.368,6896324,0
2005-05-24,31.291,31.703,31.025,31.594,3909234,0
2005-05-25,31.748,31.816,30.997,31.188,3325819,0
2005-05-26,31.337,31.497,31.213,31.439,2831075,0
2005-05-27,31.394,31.61,31.273,31.513,2028288,0
