Date,Open,High,Low,Close,Volume,OpenInt
2013-04-11,15.14,18.79,15.11,18.79,4500194,0
2013-04-12,18.01,18.69,17.59,18.17,174910,0
2013-04-15,18.44,18.44,17.66,18.42,46096,0
2013-04-16,18.75,19.438,17.65,19.25,75605,0
2013-04-17,19.27,19.65,18.11,18.75,66798,0
2013-04-18,18.7,19,18.325,18.87,106057,0
2013-04-19,18.75,19.5,18.74,18.82,122418,0
2013-04-22,18.58,18.92,18.11,18.92,29262,0
2013-04-23,18.78,19.47,18.72,19.33,42376,0
2013-04-24,19.21,19.54,18.75,19.35,21761,0
2013-04-25,19.01,19.167,18.8,19.1,28042,0
2013-04-26,18.76,18.99,18.57,18.9,30080,0
2013-04-29,18.7,19.03,18.56,19.02,26056,0
2013-04-30,18.9,20.5,18.56,19.93,27471,0
2013-05-01,20.14,21,19.91,20.45,71769,0
2013-05-02,20.66,20.66,20.45,20.49,44044,0
2013-05-03,21.5,21.5,20.41,20.95,24415,0
2013-05-06,21.5,22.25,20.7,20.92,191179,0
2013-05-07,20.92,21.77,19.65,20.52,89984,0
2013-05-08,20.38,20.39,19.596,19.94,163122,0
2013-05-09,20.5,20.5,19.57,19.6,71741,0
2013-05-10,19.69,20.68,19.69,20.05,102561,0
2013-05-13,20.88,20.88,20.253,20.47,85589,0
2013-05-14,20.64,20.88,20.371,20.7,34552,0
2013-05-15,20.77,20.78,20.15,20.25,153962,0
2013-05-16,20.21,20.665,19.63,20.07,72573,0
2013-05-17,20.03,20.03,19.51,19.78,51309,0
2013-05-20,20.08,20.22,19.84,20.01,17608,0
2013-05-21,20.09,20.38,20.09,20.12,11175,0
2013-05-22,20.27,20.6,20.01,20.39,25395,0
2013-05-23,20.38,20.74,20.284,20.74,17192,0
2013-05-24,20.7,22.54,20.7,21.81,24743,0
2013-05-28,22.15,22.5,21.52,21.9,80465,0
2013-05-29,21.98,22.992,20.64,21.96,65282,0
2013-05-30,22.71,22.71,21.41,22.07,43548,0
2013-05-31,22.08,22.49,21.34,21.5,35924,0
2013-06-03,21.56,22.979,21.3,21.99,50728,0
2013-06-04,22.1,22.5,21.618,21.97,17946,0
2013-06-05,22.03,22.74,21.6,21.75,36139,0
2013-06-06,23.97,23.97,21.855,22.07,16256,0
2013-06-07,22,22.64,21.77,22.24,34977,0
2013-06-10,22.49,23.35,22.345,22.9,60459,0
2013-06-11,22,24,22,23.72,21363,0
2013-06-12,23.98,23.98,22.7,23.9,20460,0
2013-06-13,23.89,25.1,22.42,22.96,67769,0
2013-06-14,22.88,22.99,21.65,21.79,17616,0
2013-06-17,21.91,22.37,20.52,20.6,82312,0
2013-06-18,20.5,21.39,20.5,21.35,65815,0
2013-06-19,21.1,23.9,20.83,22.87,70921,0
2013-06-20,22.58,23.55,20.81,22.32,62170,0
2013-06-21,23.34,23.926,22.67,22.67,142498,0
2013-06-24,22.67,22.67,20.81,22.05,78348,0
2013-06-25,22.1,23.41,20.96,22.17,39136,0
2013-06-26,22.18,23.37,21.78,23.25,98264,0
2013-06-27,23.49,24.52,22.25,23.91,95033,0
2013-06-28,24.02,24.25,22.81,24.24,1145455,0
2013-07-01,24.09,25.035,22.84,24.24,59543,0
2013-07-02,24.72,24.72,23.7,24.23,13535,0
2013-07-03,24.48,24.5,24.05,24.5,4950,0
2013-07-05,23.52,24.81,23.52,24.32,16476,0
2013-07-08,24.46,24.5,24.19,24.37,18303,0
2013-07-09,24.52,24.52,23.3,24.49,18883,0
2013-07-10,24.26,24.51,24.19,24.35,42638,0
2013-07-11,24.65,24.85,23.74,24.13,17216,0
2013-07-12,24.18,24.5,23.82,24.01,22447,0
2013-07-15,24.06,24.55,23.91,24.44,18183,0
2013-07-16,24.44,24.5,24.1,24.43,25648,0
2013-07-17,24.44,24.52,24.12,24.51,28777,0
2013-07-18,24.49,24.49,23.555,24.26,38292,0
2013-07-19,24.15,25.02,23.38,24.545,36534,0
2013-07-22,25.64,26.5,24.62,24.85,149169,0
2013-07-23,24.94,26.999,24.75,24.75,45221,0
2013-07-24,24.93,25.73,24.62,24.93,182621,0
2013-07-25,24.97,25.57,24.75,25.05,36614,0
2013-07-26,25.1,25.7,25,25.1,188594,0
2013-07-29,25.13,26.1,23.9,24.27,50260,0
2013-07-30,24.44,24.95,23.56,24.02,72432,0
2013-07-31,23.95,24.29,22.1,22.74,140969,0
2013-08-01,23.03,23.92,20.34,22.04,140374,0
2013-08-02,22.04,22.19,21.15,21.28,29824,0
2013-08-05,21.34,21.34,20.52,20.64,44878,0
2013-08-06,20.64,20.92,20.26,20.41,45834,0
2013-08-07,20.33,20.46,18.83,19.25,61734,0
