Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,16.55,17.19,16.27,16.97,952200,0
2005-02-28,17.325,17.55,16.61,16.68,899400,0
2005-03-01,16.73,17.125,16.73,17.06,633000,0
2005-03-02,17.185,17.395,17.1,17.23,667000,0
2005-03-03,17.415,17.5,17,17.215,575600,0
2005-03-04,17.18,17.405,17.125,17.295,575400,0
2005-03-07,17.41,17.47,16.95,17.045,709200,0
2005-03-08,17.1,17.11,16.76,16.875,503200,0
2005-03-09,16.5,16.505,15.97,16.12,1689600,0
2005-03-10,16.05,16.275,15.6,15.7,1223200,0
2005-03-11,15.64,15.75,14.78,15.14,2205400,0
2005-03-14,15.16,15.57,15.155,15.44,1162400,0
2005-03-15,15.6,15.65,15.265,15.355,1054200,0
2005-03-16,15.23,15.415,15.015,15.025,987800,0
2005-03-17,15,15.095,14.785,14.955,834000,0
2005-03-18,15.55,15.57,14.625,14.825,1664000,0
2005-03-21,14.9,14.925,14.55,14.74,501400,0
2005-03-22,14.67,14.975,14.325,14.4,753000,0
2005-03-23,14.34,14.34,13.88,14.005,1084800,0
2005-03-24,14.01,14.455,14.01,14.16,1414400,0
2005-03-28,14.17,14.65,14.17,14.51,1100400,0
2005-03-29,14.51,14.91,14.365,14.405,973200,0
2005-03-30,14.41,15.12,14.41,14.975,1003800,0
2005-03-31,15,15.24,14.94,14.995,932000,0
2005-04-01,15.1,15.4,15.045,15.17,989000,0
2005-04-04,15.2,15.375,14.825,15.23,754400,0
2005-04-05,15.215,15.71,15.215,15.5,915200,0
2005-04-06,15.5,15.84,15.435,15.44,686600,0
2005-04-07,15.475,15.5,15.19,15.38,785600,0
2005-04-08,15.175,15.375,14.975,15.13,498600,0
2005-04-11,15.105,15.245,14.93,15.075,436000,0
2005-04-12,15.075,15.27,14.785,15.21,457600,0
2005-04-13,15.3,15.545,15.075,15.1,846400,0
2005-04-14,15.05,15.055,13.115,13.45,3905000,0
2005-04-15,13.45,13.735,13.15,13.28,1446000,0
2005-04-18,13.175,13.19,12.43,12.555,2064200,0
2005-04-19,12.63,13.6,12.615,13.35,2603800,0
2005-04-20,13.38,13.475,13.105,13.375,1199000,0
2005-04-21,13.675,14.135,13.445,14.135,1838200,0
2005-04-22,14.02,14.135,13.605,14.005,1334800,0
2005-04-25,13.955,14.575,13.93,14.525,1569000,0
2005-04-26,14.6,14.6,12.5,13.575,5321800,0
2005-04-27,13.575,13.965,13.025,13.81,1719000,0
2005-04-28,13.81,13.91,13.665,13.715,681000,0
2005-04-29,13.775,14.12,13.715,13.925,797000,0
2005-05-02,14.175,14.35,14.12,14.35,942000,0
2005-05-03,14.25,14.445,14.1,14.185,683800,0
2005-05-04,14.235,14.72,14.22,14.71,857600,0
2005-05-05,14.745,14.8,14.5,14.59,537400,0
2005-05-06,14.675,14.885,14.59,14.765,544600,0
2005-05-09,14.8,15.21,14.6,15.07,684200,0
2005-05-10,15.075,15.075,14.805,14.825,572800,0
2005-05-11,14.925,14.925,14.52,14.675,734200,0
2005-05-12,14.75,14.84,14.535,14.54,724200,0
2005-05-13,14.515,14.58,14.05,14.29,546200,0
2005-05-16,14.29,14.71,14.2,14.69,494600,0
2005-05-17,14.65,15.005,14.48,15,419000,0
2005-05-18,15.085,15.5,15.085,15.49,1035200,0
2005-05-19,15.49,15.84,15.375,15.675,830000,0
2005-05-20,15.695,15.9,15.575,15.69,704000,0
2005-05-23,15.85,15.925,15.45,15.56,926200,0
2005-05-24,15.595,16,15.56,15.95,689000,0
2005-05-25,15.955,15.96,15.69,15.9,564000,0
2005-05-26,15.905,16.33,15.86,16.28,482200,0
2005-05-27,16.25,16.365,16.075,16.29,247400,0
2005-05-31,16.29,16.29,16.045,16.075,617800,0
2005-06-01,16.15,16.21,16.06,16.15,625800,0
2005-06-02,16.15,16.265,16,16.25,868200,0
2005-06-03,16.25,16.455,16.16,16.33,419400,0
2005-06-06,16.3,16.425,16.21,16.35,360400,0
2005-06-07,16.46,16.5,16.22,16.265,690400,0
2005-06-08,16.375,16.42,15.83,15.93,568600,0
2005-06-09,15.93,16.05,15.705,15.99,534400,0
2005-06-10,15.89,15.94,15.555,15.65,416200,0
2005-06-13,15.69,16.21,15.65,16.12,717200,0
2005-06-14,16.05,16.595,15.97,16.545,1008400,0
2005-06-15,16.545,16.86,16.42,16.815,819600,0
2005-06-16,16.815,17.19,16.7,16.75,1145200,0
2005-06-17,16.875,17.17,16.67,16.995,860600,0
2005-06-20,16.945,17.015,16.585,16.675,633600,0
2005-06-21,16.7,17.04,16.7,16.935,333600,0
2005-06-22,17,17.15,16.775,16.885,396600,0
2005-06-23,16.91,16.91,16.46,16.515,400400,0
2005-06-24,16.56,16.63,16.05,16.075,616000,0
2005-06-27,16.075,16.735,15.98,16.435,547800,0
2005-06-28,16.48,16.675,16.325,16.555,379200,0
2005-06-29,16.665,16.87,16.59,16.75,290800,0
2005-06-30,16.94,17.105,16.635,16.79,634800,0
2005-07-01,16.875,17.025,16.52,16.65,382800,0
2005-07-05,16.685,16.9,16.685,16.855,495600,0
2005-07-06,16.875,17.465,16.77,17.17,1576800,0
2005-07-07,17.175,17.3,16.825,17.245,588800,0
2005-07-08,17.37,18.355,17.365,18.24,1100800,0
2005-07-11,18.45,18.955,18.41,18.535,874600,0
2005-07-12,18.54,18.54,17.29,17.825,1062600,0
2005-07-13,17.83,18.125,17.685,17.75,734400,0
2005-07-14,17.875,18.095,17.765,17.805,650800,0
2005-07-15,17.805,18.235,17.805,17.97,387000,0
2005-07-18,18.25,18.585,18.1,18.225,812200,0
2005-07-19,18.625,18.685,16.7,18,7571600,0
2005-07-20,18,18.72,17.915,18.69,1741000,0
2005-07-21,17.3,17.3,13.01,15.8,8207200,0
2005-07-22,15.765,16.32,15.375,16.305,2200600,0
2005-07-25,16.305,16.625,15.935,16.03,1332800,0
2005-07-26,15.975,15.98,14.575,15,2972600,0
2005-07-27,14.95,15.075,13.865,13.995,2901400,0
2005-07-28,14,14.865,14,14.62,2369800,0
2005-07-29,14.45,14.65,14.25,14.65,1017800,0
2005-08-01,14.65,15.065,14.45,14.75,1306400,0
2005-08-02,14.75,14.875,14.4,14.61,1756600,0
2005-08-03,14.61,14.915,14.555,14.75,1030400,0
2005-08-04,14.775,15.45,14.72,15.055,1894200,0
2005-08-05,15.06,15.2,14.96,15,1658400,0
2005-08-08,15.07,15.07,14.665,14.71,967600,0
2005-08-09,14.855,15.125,14.68,15.03,621400,0
2005-08-10,15.2,15.225,14.645,14.775,1352200,0
2005-08-11,14.78,15.09,14.385,14.895,1008600,0
2005-08-12,14.87,14.91,14.625,14.755,586200,0
2005-08-15,14.835,15.1,14.625,15.035,452200,0
2005-08-16,15.035,15.135,14.795,14.965,511200,0
2005-08-17,15.125,15.125,14.795,14.94,507200,0
2005-08-18,14.925,14.925,14.5,14.575,1009000,0
2005-08-19,14.575,14.64,14.505,14.58,477800,0
2005-08-22,14.58,14.77,14.445,14.56,511800,0
2005-08-23,14.61,14.635,14.255,14.455,436200,0
2005-08-24,14.4,14.79,14.4,14.605,434600,0
2005-08-25,14.605,14.675,14.535,14.675,438400,0
2005-08-26,14.675,14.675,14.5,14.5,416200,0
2005-08-29,14.425,14.75,14.38,14.75,329200,0
2005-08-30,14.7,14.835,14.6,14.725,605600,0
2005-08-31,14.725,15.25,14.7,15.24,493600,0
2005-09-01,15.225,15.515,15.2,15.45,432800,0
2005-09-02,15.445,15.525,15.395,15.41,408000,0
2005-09-06,15.47,15.47,15.285,15.43,695800,0
2005-09-07,15.45,15.565,15.375,15.565,725400,0
2005-09-08,15.55,15.55,15.21,15.25,824400,0
2005-09-09,15.175,15.175,14.875,15.17,1421200,0
2005-09-12,15.055,15.075,14.865,14.975,728400,0
2005-09-13,14.925,14.95,14.5,14.63,1000000,0
2005-09-14,14.315,14.945,14.315,14.91,1011800,0
2005-09-15,14.975,15.3,14.975,15.15,1009400,0
2005-09-16,15.21,15.4,15.05,15.105,1358800,0
2005-09-19,15.1,15.145,14.77,14.855,908200,0
2005-09-20,14.945,14.975,14.765,14.795,683600,0
2005-09-21,14.75,14.75,13.61,14.1,2456200,0
2005-09-22,14,14.1,13.775,13.975,1738000,0
2005-09-23,13.825,14.5,13.8,14.16,1107400,0
2005-09-26,14.35,14.55,14.09,14.3,984200,0
2005-09-27,14.425,14.535,13.835,13.99,1862000,0
2005-09-28,14.15,14.15,13.615,13.75,1470000,0
2005-09-29,12.025,12.805,11.3,12.59,6613200,0
2005-09-30,12.61,12.795,12.455,12.515,1700600,0
2005-10-03,12.2,12.69,12.195,12.24,1673600,0
2005-10-04,12.245,12.54,12,12.025,1240600,0
2005-10-05,12.035,12.04,11.44,11.47,1857600,0
2005-10-06,11.41,11.535,10.65,10.945,3312800,0
2005-10-07,11.125,11.33,10.96,11.23,2013000,0
2005-10-10,11.705,11.895,11.31,11.795,2581800,0
2005-10-11,11.795,12.28,11.725,11.725,2055600,0
2005-10-12,11.725,11.77,11.245,11.475,1455600,0
2005-10-13,11.4,11.425,10.925,11.25,1567200,0
2005-10-14,11.255,11.995,11.255,11.96,1443000,0
2005-10-17,11.925,11.93,11.45,11.785,1221800,0
2005-10-18,11.825,11.88,11.53,11.74,699800,0
2005-10-19,11.675,11.84,11.29,11.76,1157800,0
2005-10-20,11.945,12.3,11.85,12.15,1786600,0
2005-10-21,12.15,12.325,12.025,12.05,1177400,0
