Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,12.054,12.826,12.028,12.669,2951603,0
2005-02-28,12.956,13.092,12.211,12.333,5295266,0
2005-03-01,12.333,12.333,11.845,12.063,2944224,0
2005-03-02,11.966,12.324,11.925,12.314,2096428,0
2005-03-03,12.409,12.817,12.383,12.73,2462207,0
2005-03-04,12.764,13.173,12.697,13.068,3424397,0
2005-03-07,13,13,12.746,12.93,1661924,0
2005-03-08,12.93,12.981,12.756,12.801,1719578,0
2005-03-09,12.851,13.019,12.454,12.53,2611657,0
2005-03-10,12.374,12.374,11.873,12.081,3305390,0
2005-03-11,11.898,12.435,11.898,12.341,2487118,0
2005-03-14,12.333,12.479,12.089,12.454,1720496,0
2005-03-15,12.567,12.697,12.454,12.479,1600111,0
2005-03-16,12.472,12.72,12.366,12.575,2030466,0
2005-03-17,12.921,13.009,12.756,12.903,2175766,0
2005-03-18,12.93,13.068,12.774,12.835,1528155,0
2005-03-21,12.869,12.972,12.661,12.714,1385161,0
2005-03-22,12.887,12.887,12.333,12.409,2045689,0
2005-03-23,12.107,12.107,11.855,11.949,2417465,0
2005-03-24,12.037,12.193,11.916,12.002,2147628,0
2005-03-28,11.925,11.934,11.507,11.629,3626429,0
2005-03-29,11.568,11.89,11.403,11.606,2811843,0
2005-03-30,11.578,11.793,11.352,11.752,2530473,0
2005-03-31,12.115,12.383,12.081,12.324,2662853,0
2005-04-01,12.575,12.609,12.374,12.445,2958982,0
2005-04-04,12.583,12.746,12.391,12.479,2373186,0
2005-04-05,12.358,12.539,12.107,12.22,1937292,0
2005-04-06,12.22,12.497,11.993,12.487,2106113,0
2005-04-07,12.626,12.714,12.211,12.262,4941939,0
2005-04-08,12.115,12.262,11.949,12.099,1697896,0
2005-04-11,12.063,12.139,11.864,12.115,1823363,0
2005-04-12,12.245,12.262,11.818,11.925,2707138,0
2005-04-13,11.818,11.89,11.457,11.498,2005101,0
2005-04-14,11.515,11.587,11.238,11.283,2739423,0
2005-04-15,11.171,11.283,10.769,10.831,4094608,0
2005-04-18,10.711,11.136,10.613,11.064,3280944,0
2005-04-19,11.376,11.533,11.361,11.394,1601499,0
2005-04-20,11.475,11.725,11.283,11.308,2136557,0
2005-04-21,11.291,11.716,11.204,11.689,1909616,0
2005-04-22,11.793,11.975,11.614,11.645,1479724,0
2005-04-25,11.769,11.769,11.438,11.614,2904095,0
2005-04-26,11.49,11.661,11.465,11.645,2030931,0
2005-04-27,11.645,11.653,11.143,11.187,1534613,0
2005-04-28,10.884,11.09,10.805,10.893,2392555,0
2005-04-29,10.969,11.023,10.658,10.736,1833968,0
2005-05-02,10.685,11.334,10.685,11.3,1746330,0
2005-05-03,11.171,11.308,11.048,11.108,1592730,0
2005-05-04,11.117,11.498,11.032,11.376,2312757,0
2005-05-05,11.606,11.81,11.549,11.752,2649019,0
2005-05-06,11.957,12.245,11.916,12.22,3489896,0
2005-05-09,12.341,12.383,12.139,12.295,2328902,0
2005-05-10,12.341,12.454,12.202,12.254,2226964,0
2005-05-11,12.13,12.13,11.89,11.993,2082126,0
2005-05-12,11.827,11.881,11.549,11.597,2309988,0
2005-05-13,11.515,11.578,11.334,11.413,1829818,0
2005-05-16,11.308,11.317,11.064,11.23,2744959,0
2005-05-17,11.161,11.524,11.152,11.482,1565517,0
2005-05-18,11.606,11.934,11.475,11.587,3715449,0
2005-05-19,11.587,11.793,11.376,11.708,1149462,0
2005-05-20,11.735,11.769,11.482,11.49,1253705,0
2005-05-23,11.376,11.827,11.342,11.784,1358873,0
2005-05-24,11.744,11.966,11.744,11.898,2562300,0
2005-05-25,11.916,12.107,11.761,11.993,2504181,0
2005-05-26,12.009,12.158,11.925,12.115,1555366,0
2005-05-27,12.245,12.826,12.245,12.782,3357513,0
2005-05-31,12.782,12.817,12.366,12.652,1672065,0
2005-06-01,12.835,13.092,12.756,12.981,2125487,0
2005-06-02,13.051,13.25,12.895,12.895,1860954,0
2005-06-03,12.972,13.191,12.921,13.183,1114635,0
2005-06-06,13.312,13.545,13.13,13.258,1707125,0
2005-06-07,13.381,13.597,13.183,13.232,1568515,0
2005-06-08,13.111,13.597,13.059,13.173,1497483,0
2005-06-09,13.258,13.805,13.223,13.771,2360041,0
2005-06-10,13.832,14.091,13.832,13.952,1648543,0
2005-06-13,13.866,14.172,13.727,14.117,2059758,0
2005-06-14,13.962,14.629,13.918,14.605,2803536,0
2005-06-15,14.786,15.211,14.786,15.072,2961060,0
2005-06-16,15.279,15.783,15.194,15.783,3973757,0
2005-06-17,15.984,16.511,15.705,15.964,9365662,0
2005-06-20,16.175,16.329,15.939,16.13,3500042,0
2005-06-21,16.026,16.104,15.522,15.593,2508105,0
2005-06-22,15.185,15.627,15.185,15.505,3598984,0
2005-06-23,15.635,15.992,15.609,15.854,1948134,0
2005-06-24,16.026,16.026,15.729,15.984,1541995,0
2005-06-27,16.086,16.259,16.001,16.226,4497748,0
2005-06-28,15.808,16.259,15.808,16.051,2860274,0
2005-06-29,15.87,15.984,15.566,15.827,3181774,0
2005-06-30,15.775,16.086,15.696,15.775,3363048,0
2005-07-01,15.984,16.693,15.87,16.631,2092969,0
2005-07-05,16.304,16.711,16.183,16.511,2800774,0
2005-07-06,16.91,17.014,16.616,16.867,3518029,0
2005-07-07,16.738,17.059,16.583,17.059,1563905,0
2005-07-08,17.336,17.519,16.997,17.171,5499146,0
2005-07-11,16.997,17.109,16.755,17.109,5926737,0
2005-07-12,17.345,17.812,17.189,17.795,2971439,0
2005-07-13,17.778,17.995,17.733,17.882,2639100,0
2005-07-14,17.882,18.125,17.421,17.465,3141182,0
2005-07-15,17.544,17.684,17.189,17.248,2220967,0
2005-07-18,17.544,17.544,16.953,17.189,3506040,0
2005-07-19,17.248,17.472,17.085,17.449,3121118,0
2005-07-20,17.544,17.62,16.91,17.207,2072674,0
2005-07-21,17.109,17.439,17.101,17.109,1349416,0
2005-07-22,17.161,17.603,17.161,17.482,2139322,0
2005-07-25,17.472,17.579,17.125,17.404,3784177,0
2005-07-26,17.345,17.345,17.067,17.143,1472802,0
2005-07-27,17.143,17.561,17.109,17.526,1537381,0
2005-07-28,17.62,17.769,17.396,17.62,1747026,0
2005-07-29,17.917,18.167,17.917,18.031,1928070,0
2005-08-01,18.275,18.602,18.151,18.602,1541534,0
2005-08-02,18.685,19.684,18.685,19.494,5484384,0
2005-08-03,19.773,19.773,18.923,19.087,6038820,0
2005-08-04,19.197,19.709,19.095,19.709,4736682,0
2005-08-05,19.709,19.945,19.251,19.885,3227439,0
2005-08-08,20.337,21.184,20.337,20.692,4343690,0
2005-08-09,20.283,21.09,20.283,20.795,3960381,0
2005-08-10,21.01,21.01,20.457,20.857,3452532,0
2005-08-11,20.916,21.132,20.743,20.969,2283009,0
2005-08-12,21.064,21.307,20.988,21.029,2675076,0
