Date,Open,High,Low,Close,Volume,OpenInt
2006-05-10,8.351,8.351,8.351,8.351,0,0
2006-05-11,8.0996,8.4891,7.7986,8.3675,6442107,0
2006-05-12,8.4343,8.4343,8.351,8.3719,169370,0
2006-05-15,8.406,8.406,8.351,8.3675,35476,0
2006-05-16,8.351,8.3719,8.351,8.3719,52936,0
2006-05-17,8.406,8.406,8.351,8.3563,71670,0
2006-05-18,8.351,8.351,8.044,8.2947,1031715,0
2006-05-19,8.2947,8.2947,8.1275,8.1275,20395,0
2006-05-22,8.2118,8.5962,8.1611,8.406,290534,0
2006-05-23,8.3778,8.4616,8.1841,8.2118,216303,0
2006-05-24,8.2672,8.3451,8.1841,8.2336,56831,0
2006-05-25,8.1732,8.2905,8.1732,8.2386,29862,0
2006-05-26,8.2947,8.3451,8.1841,8.3233,30451,0
2006-05-30,8.351,8.351,8.2447,8.2447,29284,0
2006-05-31,8.3451,8.3451,8.2517,8.2517,236754,0
2006-06-01,8.3389,8.3389,8.2386,8.2386,19273,0
2006-06-02,8.3295,8.3389,8.2386,8.3295,61297,0
2006-06-05,8.3173,8.3389,8.3,8.3233,39981,0
2006-06-06,8.351,8.3719,8.2947,8.3719,64973,0
2006-06-07,8.3719,8.3778,8.3233,8.3233,43908,0
2006-06-08,8.351,8.3675,8.2947,8.3675,33194,0
2006-06-09,8.3719,8.3778,8.3338,8.351,26373,0
2006-06-12,8.351,8.3563,8.3173,8.3563,42604,0
2006-06-13,8.3778,8.3778,8.3233,8.351,114392,0
2006-06-14,8.3563,8.3563,8.2517,8.3233,33848,0
2006-06-15,8.2947,8.3233,8.2118,8.2947,211360,0
2006-06-16,8.2947,8.2947,8.0005,8.2386,146857,0
2006-06-19,8.2672,8.351,8.1732,8.1841,343747,0
2006-06-20,8.2447,8.2947,8.1841,8.2947,95621,0
2006-06-21,8.2118,8.351,8.2118,8.3233,40214,0
2006-06-22,8.2386,8.3233,8.2386,8.2724,59769,0
2006-06-23,8.3233,8.3451,8.256,8.2947,78233,0
2006-06-26,8.3173,8.3563,8.2336,8.3173,60162,0
2006-06-27,8.3173,8.3173,8.2386,8.2724,49097,0
2006-06-28,8.2947,8.2947,8.1781,8.2784,77148,0
2006-06-29,8.2905,8.3173,8.195,8.2517,169845,0
2006-06-30,8.2386,8.2611,7.9445,7.9445,2120909,0
2006-07-03,8.195,8.2947,8.1841,8.2836,48369,0
2006-07-05,8.2118,8.2784,8.0946,8.1115,77492,0
