Date,Open,High,Low,Close,Volume,OpenInt
2007-12-27,36,36,36,36,20,0
2008-01-02,35.5,35.5,35.5,35.5,300,0
2008-01-04,35.7,35.7,35.7,35.7,600,0
2008-01-08,35.7,35.75,35.7,35.7,28200,0
2008-01-09,35.7,35.7,35.7,35.7,2300,0
2008-01-10,36,36,35.75,35.8,3200,0
2008-01-11,35.85,35.85,35.85,35.85,20740,0
2008-01-14,36,36,35.75,35.75,600,0
2008-01-16,35.8,35.9,35.75,35.85,15860,0
2008-01-17,35.85,35.85,35.8,35.8,20800,0
2008-01-18,35.85,35.85,35.8,35.8,20800,0
2008-01-22,35.75,35.75,35.75,35.75,20440,0
2008-01-23,35.75,35.8,35.75,35.8,77960,0
2008-01-25,35.75,35.75,35.7,35.7,21000,0
2008-01-28,35.7,35.85,35.7,35.75,5320,0
2008-01-31,35.8,35.8,35.8,35.8,15000,0
2008-02-05,35.85,35.85,35.75,35.75,67040,0
2008-02-06,35.75,35.75,35.75,35.75,37300,0
2008-02-12,35.85,35.9,35.85,35.9,18340,0
2008-02-13,36.25,36.25,35.85,35.95,41200,0
2008-02-14,35.85,35.9,35.85,35.9,17900,0
2008-02-15,36.2,36.2,35.65,35.9,92940,0
2008-02-20,35.75,35.75,35.75,35.75,20,0
2008-02-21,35.75,35.75,35.75,35.75,20900,0
2008-02-27,35.75,35.75,35.75,35.75,500,0
2008-03-05,35.75,35.75,35.6,35.6,12000,0
2008-03-06,35.75,35.85,35.75,35.8,20140,0
2008-03-07,35.65,35.65,35.5,35.5,20000,0
2008-03-10,35.5,35.55,35.5,35.5,12420,0
2008-03-11,35.5,35.5,35.5,35.5,20000,0
2008-03-14,35.55,35.55,35.5,35.5,580,0
2008-03-17,35.55,35.55,35.5,35.55,15860,0
2008-03-24,35.55,35.55,35.55,35.55,40,0
2008-03-25,35.6,35.8,35.6,35.75,1260,0
2008-03-26,35.75,35.75,35.75,35.75,3080,0
2008-03-27,35.75,35.75,35.75,35.75,2000,0
2008-03-28,35.5,35.5,35.5,35.5,20000,0
2008-03-31,35.75,35.75,35.5,35.75,20820,0
2008-04-01,35.5,35.75,35.5,35.6,19220,0
2008-04-03,35.65,35.65,35.55,35.55,8000,0
2008-04-04,35.6,35.6,35.55,35.55,3420,0
2008-04-07,35.75,35.75,35.75,35.75,2500,0
2008-04-10,35.6,35.6,35.6,35.6,6900,0
2008-04-11,35.65,35.65,35.65,35.65,100,0
2008-04-18,35.8,35.8,35.75,35.75,800,0
2008-04-21,35.75,35.75,35.75,35.75,8000,0
2008-04-22,35.75,35.9,35.75,35.9,1660,0
2008-04-23,35.9,35.9,35.8,35.85,280,0
2008-04-24,35.9,36,35.85,35.85,1680,0
2008-04-25,36.35,36.35,35.85,35.85,8040,0
2008-04-28,36,36,35.95,35.95,3980,0
2008-05-01,36.05,36.05,36,36,16060,0
2008-05-05,35.75,35.75,35.75,35.75,35400,0
2008-05-09,35.75,35.75,35.75,35.75,40000,0
2008-05-13,35.6,36.2,35.6,36.2,400,0
2008-05-14,35.6,36.2,35.6,36.2,200,0
2008-05-16,35.7,35.7,35.7,35.7,45000,0
2008-05-23,35.85,35.85,35.85,35.85,20,0
2008-05-29,35.85,36.1,35.75,36.1,43980,0
2008-06-03,36.3,36.3,36.3,36.3,80,0
2008-06-04,36.2,36.25,36.2,36.25,820,0
2008-06-10,36.2,36.2,36.05,36.05,40,0
2008-06-12,36.35,36.35,36.35,36.35,20,0
2008-06-18,36.4,36.4,36.4,36.4,1200,0
2008-06-20,36.75,36.75,36.75,36.75,220,0
2008-06-23,36.75,36.75,36.75,36.75,180,0
2008-06-26,36.6,36.6,36.6,36.6,400,0
2008-06-30,36.7,36.7,36.6,36.6,9120,0
2008-07-01,36.85,36.9,36.85,36.9,220,0
2008-07-07,36.85,36.9,36.65,36.65,30200,0
2008-07-08,36.65,36.65,36.65,36.65,160,0
2008-07-09,36.6,36.6,36.6,36.6,400,0
2008-07-10,36.65,36.85,36.65,36.85,220,0
2008-07-14,36.6,36.6,36.6,36.6,300,0
2008-07-15,36.6,36.6,36.6,36.6,300,0
2008-07-29,36.5,36.65,36.5,36.65,700,0
2008-08-04,36.85,36.9,36.85,36.9,5000,0
2008-08-08,36.95,36.95,36.95,36.95,20,0
2008-08-11,36.95,36.95,36.95,36.95,35000,0
2008-08-12,36.7,36.7,36.7,36.7,30000,0
2008-08-26,36.65,36.65,36.65,36.65,300,0
2008-08-27,36.9,37.5,36.9,37.5,54140,0
2008-08-28,37.5,37.5,37.5,37.5,2180,0
2008-09-04,37.5,37.65,37.5,37.5,10120,0
2008-09-08,37,37,37,37,40,0
2008-09-09,37.2,37.2,37.2,37.2,1040,0
2008-09-10,37.15,37.15,37.15,37.15,1000,0
2008-09-17,36.05,36.05,36,36,200,0
2008-09-22,36.5,36.5,36.25,36.25,11540,0
2008-09-30,35.65,35.75,35.65,35.75,220,0
2008-10-01,35.7,35.7,34.6,34.75,8040,0
2008-10-02,34.5,35.45,34.05,35.35,11720,0
2008-10-03,35,35,35,35,100,0
2008-10-06,34.5,34.85,33.5,33.75,38780,0
2008-10-07,33.75,34,33.6,34,6040,0
2008-10-08,33.75,33.75,33.75,33.75,26560,0
2008-10-09,34.7,35.8,34.7,34.75,6220,0
2008-10-10,35.05,35.1,33.5,34.55,18840,0
2008-10-13,34.55,34.55,34.55,34.55,20,0
2008-10-14,34.6,34.6,34.6,34.6,40,0
2008-10-15,34.5,34.5,33.75,33.75,40,0
2008-10-16,33.75,34.15,33.75,34.15,19000,0
2008-10-17,34.5,34.5,34.25,34.45,10610,0
2008-10-20,34.95,35,34.95,35,1300,0
2008-10-21,35,35.5,35,35.5,6000,0
2008-10-22,36,36,36,36,180,0
2008-10-24,36,36,36,36,40000,0
2008-10-27,35.75,35.75,35.75,35.75,70092,0
2008-10-28,35.5,35.5,35.5,35.5,40,0
2008-10-31,35.25,35.25,35.25,35.25,620,0
2008-11-05,35.5,35.5,35.5,35.5,30000,0
2008-11-11,35.5,35.5,35.5,35.5,13200,0
2008-11-13,35.5,35.75,35.5,35.75,4800,0
2008-11-14,35.75,35.75,35.5,35.5,2878,0
2008-11-17,35.6,35.75,35.6,35.75,2080,0
2008-11-20,35.6,35.6,35.5,35.5,62700,0
2008-11-21,35.35,35.75,35.35,35.75,29626,0
2008-11-24,35.75,36,35.5,36,400,0
2008-11-25,35.75,36.25,35.5,36,980,0
2008-11-26,35.75,35.95,35.6,35.95,160,0
2008-11-28,35.45,35.95,35.4,35.5,5080,0
2008-12-01,35.5,35.5,35.5,35.5,4980,0
2008-12-02,35.8,35.8,35.8,35.8,60,0
2008-12-03,35.75,35.75,35.75,35.75,240,0
2008-12-04,35.55,35.55,35.5,35.5,500,0
2008-12-05,35.55,35.6,35.5,35.5,88600,0
2008-12-09,35.9,35.9,35.5,35.55,200,0
2008-12-10,35.75,35.75,35.5,35.7,41940,0
2008-12-11,35.75,35.8,35.55,35.75,12280,0
2008-12-12,35.75,35.75,35.75,35.75,21000,0
2008-12-18,35.75,35.75,35.75,35.75,30000,0
2008-12-19,35.75,35.75,35.75,35.75,50000,0
2008-12-24,35.75,35.75,35.65,35.65,280,0
2008-12-29,36,36,35.9,36,7480,0
2008-12-30,35.9,35.95,35.9,35.9,163680,0
2008-12-31,35.9,36.05,35.9,36.05,21445,0
2009-01-02,36.05,36.05,36.05,36.05,3480,0
2009-01-05,36.1,37,36.1,36.25,23547,0
2009-01-06,36.4,36.4,36.3,36.3,62040,0
2009-01-07,36.75,36.75,36.4,36.75,80,0
2009-01-12,36.45,36.45,36.4,36.4,274,0
2009-01-13,36.65,36.65,36.4,36.45,40400,0
2009-01-14,36.35,36.55,36.35,36.55,31974,0
2009-01-15,36.5,36.5,36.5,36.5,21630,0
2009-01-16,36.5,36.5,36.5,36.5,1200,0
2009-01-22,36.55,36.55,36.5,36.5,5860,0
2009-01-23,36.65,36.65,36.4,36.5,4100,0
2009-01-26,37,37,36.5,36.5,1040,0
2009-02-02,36.95,36.95,36.95,36.95,20,0
2009-02-03,37,37,37,37,100,0
2009-02-04,37.4,37.4,37.4,37.4,2000,0
2009-02-05,37.3,37.3,37.3,37.3,20,0
2009-02-06,37.4,37.4,37.4,37.4,1780,0
2009-02-12,37.25,37.25,37.25,37.25,40000,0
2009-02-13,37,37.25,37,37.25,360,0
2009-02-17,37,37.15,37,37.15,20440,0
2009-02-18,37.15,37.15,37.15,37.15,400,0
2009-02-19,37.25,37.35,37.25,37.35,60600,0
2009-02-20,37.3,37.35,37.15,37.3,23680,0
2009-02-23,37.35,37.35,37.35,37.35,100,0
2009-02-24,37.4,37.45,37.4,37.45,3920,0
2009-02-25,37.55,37.55,37.55,37.55,1440,0
2009-02-27,37.35,37.4,37.35,37.4,40,0
2009-03-02,37.35,37.35,37.35,37.35,160,0
2009-03-03,37.5,37.5,37.5,37.5,120,0
2009-03-04,37.4,37.4,37.4,37.4,294,0
2009-03-05,37.5,37.5,37.5,37.5,10000,0
2009-03-06,37.5,37.5,37.35,37.45,10620,0
2009-03-09,37.5,37.55,37.5,37.55,6780,0
2009-03-10,37.4,37.5,37.4,37.5,80,0
2009-03-12,37.55,37.6,37.55,37.6,31100,0
2009-03-13,37.6,37.6,37.6,37.6,26080,0
2009-03-16,37.6,37.6,37.55,37.55,40,0
2009-03-17,37.5,37.55,37.5,37.5,106060,0
2009-03-18,37.5,37.5,37.5,37.5,24300,0
2009-03-23,37.45,37.5,37.45,37.5,1100,0
2009-03-24,37.45,37.45,37.45,37.45,2460,0
2009-03-25,37.45,37.6,37.45,37.6,2780,0
2009-03-27,37.55,37.6,37.55,37.6,6800,0
2009-03-31,37.3,37.45,37.3,37.45,2400,0
2009-04-01,37.6,37.8,37.5,37.6,1600,0
2009-04-02,37.75,37.75,37.7,37.7,4080,0
2009-04-03,37.85,38.25,37.85,38.25,1150,0
2009-04-06,39,39,38.2,38.25,3300,0
2009-04-07,38.2,38.65,38.2,38.65,1840,0
2009-04-08,38.65,38.65,38.65,38.65,1200,0
2009-04-09,38.65,38.65,38.4,38.4,560,0
2009-04-13,38.4,38.4,38.3,38.3,140,0
2009-04-14,39,39,38.3,38.4,1960,0
2009-04-15,38.5,38.5,38.5,38.5,200,0
2009-04-16,38.75,38.95,38.6,38.6,1820,0
2009-04-17,38.6,38.6,38.5,38.5,52650,0
2009-04-20,39,39,38.25,38.35,5800,0
2009-04-21,38.5,38.65,38.4,38.4,26360,0
2009-04-22,38.4,38.4,38.4,38.4,700,0
2009-04-23,38.4,38.55,38.4,38.55,18560,0
2009-04-24,38.55,38.55,38.4,38.45,2120,0
2009-04-27,38.4,38.45,38.4,38.4,840,0
2009-04-28,38.45,38.45,38.45,38.45,1260,0
2009-04-29,38.45,38.45,38.45,38.45,620,0
2009-04-30,38.4,38.4,38.4,38.4,31760,0
2009-05-01,37.8,38.55,37.8,38.5,620,0
2009-05-04,38.5,38.5,38.4,38.45,3460,0
2009-05-06,38.5,38.5,38.45,38.45,39120,0
2009-05-08,38.45,38.45,38.4,38.4,1660,0
2009-05-11,38.5,38.5,38.5,38.5,20,0
2009-05-12,38.55,38.55,38.5,38.5,540,0
2009-05-13,38.55,38.55,38.35,38.4,920,0
2009-05-14,38.4,38.4,38.4,38.4,200,0
2009-05-15,38.5,38.5,38.5,38.5,400,0
2009-05-18,38.5,38.5,38.5,38.5,2936,0
2009-05-19,38.45,38.45,38.45,38.45,40,0
2009-05-20,38.35,38.35,38.35,38.35,860,0
2009-05-21,38.3,38.5,38.3,38.3,4800,0
2009-05-22,38.4,38.4,38.4,38.4,600,0
2009-05-27,38.5,38.85,38.5,38.7,15404,0
2009-05-28,38.55,38.7,38.55,38.7,3940,0
2009-05-29,38.7,38.75,38.7,38.7,1452,0
2009-06-01,38.75,38.8,38.7,38.7,21440,0
2009-06-02,38.7,38.7,38.7,38.7,1100,0
2009-06-03,38.65,38.7,38.65,38.7,120,0
2009-06-04,38.65,38.65,38.65,38.65,20,0
2009-06-05,38.75,38.85,38.75,38.85,5600,0
2009-06-08,39,39,38.75,38.8,8376,0
2009-06-10,38.5,38.6,38.4,38.6,480,0
2009-06-11,38.6,38.85,38.6,38.85,7510,0
2009-06-12,38.65,38.85,38.6,38.6,8600,0
2009-06-15,38.65,38.65,38.3,38.5,180,0
2009-06-16,38.35,38.5,38.35,38.4,100,0
2009-06-17,38.4,38.6,38,38.6,2280,0
2009-06-19,38.4,38.4,38.4,38.4,500,0
2009-06-22,39.3,39.3,38.55,38.55,240,0
2009-06-23,38.4,38.7,38.35,38.4,440,0
2009-06-24,38.45,38.45,38.45,38.45,40,0
2009-06-26,38.45,38.6,38.45,38.6,620,0
2009-06-29,38.6,38.6,38.45,38.6,880,0
2009-06-30,38.55,38.55,38.55,38.55,340,0
2009-07-01,38.55,38.6,38.55,38.6,60,0
2009-07-02,38.5,38.8,38.45,38.6,9700,0
2009-07-06,38.55,38.8,38.55,38.7,1660,0
2009-07-07,38.65,38.9,38.65,38.9,880,0
2009-07-08,38.7,39,38.7,38.8,4280,0
2009-07-09,38.8,38.9,38.65,38.7,1260,0
2009-07-10,38.75,38.9,38.7,38.9,300,0
2009-07-13,38.75,38.85,38.7,38.85,860,0
2009-07-14,38.75,38.85,38.75,38.85,1220,0
2009-07-15,38.8,38.85,38.75,38.8,1340,0
2009-07-16,38.75,39,38.55,38.75,5760,0
2009-07-17,38.75,38.9,38.7,38.7,2780,0
2009-07-20,38.8,38.9,38.7,38.8,2620,0
2009-07-21,38.75,38.85,38.75,38.8,140,0
