Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,610.95,610.95,601.45,610.32,641,0
2005-02-28,609.05,619.84,609.05,619.84,147,0
2005-03-01,613.51,614.11,610.32,610.32,493,0
2005-03-02,610.32,610.32,605.2,605.2,496,0
2005-03-03,606.5,610.32,606.5,610.32,174,0
2005-03-04,610.32,619.84,610.32,613.51,5733,0
2005-03-07,614.11,617.27,612.23,612.23,5467,0
2005-03-08,610.95,618.58,605.89,618.58,390,0
2005-03-09,616.68,623.67,615.39,617.96,214,0
2005-03-10,616.68,617.27,609.05,616.68,291,0
2005-03-11,619.84,626.24,610.95,616.05,579,0
2005-03-14,613.51,616.68,612.23,612.82,181,0
2005-03-15,612.82,613.51,603.94,603.94,438,0
2005-03-16,603.94,610.32,602.66,610.32,478,0
2005-03-17,597.59,599.48,594.43,599.48,184,0
2005-03-18,593.75,602.66,593.75,602.66,108,0
2005-03-21,602.06,616.68,601.45,616.68,117,0
2005-03-22,615.39,615.39,609.05,610.32,326,0
2005-03-23,610.32,610.32,600.77,603.94,368,0
2005-03-24,605.2,607.78,597.59,602.66,5359,0
2005-03-28,603.94,605.2,602.06,603.94,3945,0
2005-03-29,603.94,617.27,603.34,616.68,1735,0
2005-03-30,616.68,623,616.68,621.12,542,0
2005-03-31,621.12,622.39,619.84,620.5,1061,0
2005-04-01,620.5,621.12,616.68,619.23,657,0
2005-04-04,619.23,619.84,618.58,619.23,575,0
2005-04-05,617.96,621.71,617.96,621.71,411,0
2005-04-06,621.71,622.39,619.84,622.39,58,0
2005-04-07,616.68,621.71,613.51,621.71,886,0
2005-04-08,621.71,625.58,619.84,625.58,125,0
2005-04-11,625.58,625.58,623,623,40,0
2005-04-12,621.12,621.12,616.68,619.23,93,0
2005-04-13,616.68,621.12,616.68,617.27,249,0
2005-04-14,616.05,621.12,609.65,609.65,290,0
2005-04-15,610.32,610.32,600.77,606.5,297,0
2005-04-18,607.1,610.32,603.94,610.32,153,0
2005-04-19,609.65,609.65,603.94,604.6,178,0
2005-04-20,604.6,610.32,603.94,604.6,484,0
2005-04-21,610.32,613.51,607.1,613.51,98,0
2005-04-22,612.82,613.51,603.94,613.51,1067,0
2005-04-25,611.62,611.62,604.6,605.2,155,0
2005-04-26,603.94,603.94,603.94,603.94,249,0
2005-04-27,603.94,603.94,597.59,597.59,200,0
2005-04-28,597.59,598.19,590.59,591.25,426,0
2005-04-29,593.16,593.16,589.99,589.99,579,0
2005-05-02,591.25,595.05,584.85,584.85,453,0
2005-05-03,584.24,586.14,584.24,584.24,291,0
2005-05-04,584.85,588.04,583.57,584.85,221,0
2005-05-05,591.25,591.25,588.04,588.72,169,0
2005-05-06,587.45,593.16,582.97,588.04,589,0
