Date,Open,High,Low,Close,Volume,OpenInt
2013-10-17,55,56.85,54,55,6400,0
2013-10-18,54.95,54.95,54,54,2595,0
2013-10-21,54,54,51.76,52.99,1800,0
2013-10-22,52,53.5,51.46,53.5,4939,0
2013-10-23,54,54,53.5,53.5,200,0
2013-10-24,53.61,54.25,53.61,53.95,2700,0
2013-10-25,56.8,56.8,53,54,4985,0
2013-10-28,56.6,56.6,53.95,54,13533,0
2013-10-29,53.95,55.39,53.95,54.5,1650,0
2013-10-31,54,55.01,54,55.01,4300,0
2013-11-01,55.57,55.57,53,54,3600,0
2013-11-04,54,54.75,53.75,54.75,27887,0
2013-11-06,54.5,54.5,54.5,54.5,300,0
2013-11-07,54.51,54.51,53,53,525,0
2013-11-08,53.82,53.82,52,52.72,312,0
2013-11-12,50.02,52.39,48.99,52.39,1291,0
2013-11-13,52.27,52.27,52.27,52.27,100,0
2013-11-14,51.03,51.03,51,51,1100,0
2013-11-15,51.4,51.4,49.47,50,1315,0
2013-11-18,48.5,49.5,48.5,49.05,3066,0
2013-11-19,48.55,48.55,48.5,48.55,1000,0
2013-11-21,49.48,50.2,49.43,50.2,15086,0
2013-11-22,50.96,51.7,50,50.5,1500,0
2013-11-25,50.38,51,47.83,48.5,8272,0
2013-11-26,48.75,50,48.75,50,350,0
2013-11-27,48.75,48.75,48.75,48.75,100,0
2013-11-29,51,52,48.75,48.75,800,0
2013-12-02,50.95,50.95,50,50,28953,0
2013-12-03,50,50,50,50,11497,0
2013-12-04,49.5,50,49.5,50,1500,0
2013-12-05,48.75,50,48.75,50,900,0
2013-12-06,50,50,49,50,3000,0
2013-12-09,51.44,51.44,49.5,49.5,2345,0
2013-12-10,47.01,49.75,47.01,48,7927,0
2013-12-11,48.1,48.1,46.82,47,5750,0
2013-12-12,48,48,46.7,47,14383,0
2013-12-13,46.03,48.69,46,46.52,439299,0
2013-12-16,47.25,49.75,46.78,49.1,33470,0
2013-12-17,49,49.72,47.72,49.24,38022,0
2013-12-18,48.95,49.53,48.84,49.33,14452,0
2013-12-19,49.1,49.3,48.87,48.87,26434,0
2013-12-20,47.06,49.5,47.06,48.77,77271,0
2013-12-23,48.48,48.48,48,48.19,1962,0
2013-12-24,48.48,48.48,48,48,5458,0
2013-12-26,48.52,49.16,47.9,49.02,3664,0
2013-12-27,49,49,48.51,48.95,2097,0
2013-12-30,49.91,49.91,48.6,48.75,10025,0
2013-12-31,49.06,49.79,47.98,49.11,16474,0
2014-01-02,50.99,50.99,48.04,48.1,77513,0
2014-01-03,48.75,49,48.5,48.9,58153,0
2014-01-06,48.9,49.64,48.3,48.3,12274,0
2014-01-07,48.96,49.92,48.91,48.91,4642,0
2014-01-08,49,50.72,48.95,50.01,15431,0
2014-01-09,50.99,50.99,49.26,49.45,4432,0
2014-01-10,49.99,52.07,49.99,51.5,7990,0
2014-01-13,51.87,54.72,51.87,52.95,54360,0
2014-01-14,52.73,54.14,52.73,53.66,64820,0
2014-01-15,54.89,55.25,54.5,54.78,39980,0
2014-01-16,55.15,55.74,54.95,55.46,102885,0
2014-01-17,55.5,57.02,55.5,56.91,65343,0
2014-01-21,57.01,58.5,57.01,58.1,33755,0
2014-01-22,58.4,58.7,58.07,58.7,14456,0
2014-01-23,58.95,59.98,58.65,58.7,11203,0
2014-01-24,60.72,60.72,57.06,58.32,14639,0
2014-01-27,57.99,59.43,57.5,57.75,13398,0
2014-01-28,58.49,60.38,57.01,57.25,18955,0
2014-01-29,57.41,57.85,55.17,56.73,17901,0
2014-01-30,57,57.78,56.71,57.76,4678,0
2014-01-31,57.2,58.5,57.01,58,2091,0
2014-02-03,58.13,58.21,56.39,56.9,16713,0
2014-02-04,57.25,58.3,57.25,58.3,2777,0
2014-02-05,56.6,58.25,55.6,57.5,6942,0
2014-02-06,57.22,58,56.13,57.98,1784,0
2014-02-07,58,58.05,57.73,57.73,30048,0
2014-02-10,57.23,57.6,56.32,57.38,1570,0
