Date,Open,High,Low,Close,Volume,OpenInt
2013-12-13,19.33,19.417,18.735,18.951,12710806,0
2013-12-16,18.696,19.001,18.696,18.824,544540,0
2013-12-17,18.824,19.041,18.824,19.031,753686,0
2013-12-18,19.031,19.181,18.883,19.131,1396671,0
2013-12-19,19.131,19.131,18.735,18.834,450295,0
2013-12-20,18.834,18.873,17.977,18.834,472896,0
2013-12-23,18.863,18.941,18.863,18.892,146435,0
2013-12-24,18.892,19.071,18.892,18.981,92937,0
2013-12-26,18.863,19.031,18.735,18.735,66412,0
2013-12-27,18.745,18.785,18.491,18.491,1013011,0
2013-12-30,18.531,18.725,18.246,18.461,1435109,0
2013-12-31,18.46,18.725,18.46,18.49,836623,0
2014-01-02,18.666,18.735,18.265,18.284,189597,0
2014-01-03,18.302,18.431,18.246,18.302,207747,0
2014-01-06,18.265,18.362,18.097,18.236,567769,0
2014-01-07,18.696,18.981,18.391,18.686,1007186,0
2014-01-08,18.589,18.844,18.589,18.608,533645,0
2014-01-09,18.735,18.735,18.491,18.531,365378,0
2014-01-10,18.541,18.686,18.265,18.541,2001651,0
2014-01-13,18.491,18.589,18.381,18.391,777495,0
2014-01-14,18.332,18.441,18.246,18.352,1083648,0
2014-01-15,18.342,18.441,17.997,18.352,555573,0
2014-01-16,18.246,18.451,18.206,18.451,444298,0
2014-01-17,18.431,18.431,18.007,18.352,505972,0
2014-01-21,18.501,18.932,18.342,18.834,1317777,0
2014-01-22,18.922,19.161,18.834,18.981,253085,0
2014-01-23,18.981,19.121,18.745,18.951,385424,0
2014-01-24,18.981,19.111,18.511,18.686,298109,0
2014-01-27,18.735,18.755,18.342,18.541,128058,0
2014-01-28,18.491,18.794,18.491,18.716,121399,0
2014-01-29,18.638,19.031,18.246,18.411,652181,0
2014-01-30,18.501,18.725,18.501,18.618,541287,0
2014-01-31,18.46,18.666,18.216,18.441,249124,0
2014-02-03,18.441,18.471,17.562,17.907,307541,0
2014-02-04,18.087,18.265,17.837,18.097,99298,0
2014-02-05,17.997,18.246,17.837,18.157,192322,0
2014-02-06,18.077,18.284,17.997,18.216,271446,0
2014-02-07,18.167,18.293,18.097,18.117,930125,0
2014-02-10,18.127,18.755,18.027,18.236,337927,0
2014-02-11,18.177,18.322,18.007,18.107,503747,0
2014-02-12,18.027,18.735,17.767,18.735,775727,0
2014-02-13,18.549,19.131,18.441,18.883,664261,0
2014-02-14,19.011,19.31,18.735,19.101,473619,0
2014-02-18,19.171,19.427,18.971,19.161,537798,0
2014-02-19,19.098,19.317,18.998,19.058,246254,0
2014-02-20,19.158,19.434,18.998,19.118,317868,0
2014-02-21,19.297,19.297,18.998,19.217,95861,0
2014-02-24,19.247,19.444,19.148,19.287,455675,0
2014-02-25,19.257,19.337,19.247,19.247,22346,0
2014-02-26,19.297,19.582,19.148,19.582,209998,0
2014-02-27,19.631,19.631,19.267,19.414,311048,0
2014-02-28,19.317,19.631,19.317,19.492,242545,0
2014-03-03,19.492,19.522,19.347,19.473,215555,0
2014-03-04,19.592,19.66,19.395,19.542,327143,0
2014-03-05,19.502,20.311,19.492,19.888,1145624,0
2014-03-06,20.026,20.5,19.936,20.48,1149343,0
2014-03-07,20.51,21.851,20.51,21.447,1229645,0
2014-03-10,21.407,21.635,20.726,20.826,512972,0
2014-03-11,20.916,21.357,20.746,20.974,157948,0
2014-03-12,20.974,21.122,20.906,20.984,130774,0
2014-03-13,20.974,21.024,20.44,20.579,291020,0
2014-03-14,20.648,20.984,20.046,20.726,567001,0
2014-03-17,20.599,20.806,20.54,20.776,504993,0
2014-03-18,20.746,20.816,20.629,20.726,227695,0
2014-03-19,20.696,20.806,20.629,20.657,115809,0
2014-03-20,20.657,20.776,20.48,20.657,122104,0
2014-03-21,20.816,20.826,20.46,20.46,96904,0
2014-03-24,20.726,20.816,20.331,20.49,155561,0
2014-03-25,20.657,20.657,20.026,20.43,360081,0
2014-03-26,20.38,20.866,20.243,20.609,159983,0
2014-03-27,20.53,20.686,20.331,20.48,131274,0
2014-03-28,20.41,21.219,20.4,20.935,300912,0
2014-03-31,21.024,21.625,20.726,21.309,172394,0
2014-04-01,21.269,21.556,20.866,21.309,327407,0
2014-04-02,21.338,21.823,21.338,21.566,412310,0
2014-04-03,21.486,22.198,21.024,22.058,355928,0
2014-04-04,22.168,22.582,21.723,21.841,570082,0
2014-04-07,22.068,22.612,21.723,22.108,972739,0
2014-04-08,22.178,22.592,21.981,22.327,342192,0
2014-04-09,22.337,22.82,22.287,22.307,120505,0
2014-04-10,22.198,22.444,21.911,21.911,177940,0
2014-04-11,21.763,22.198,21.714,21.971,68446,0
2014-04-14,22.088,22.562,22.009,22.394,54641,0
2014-04-15,23.084,23.669,22.287,22.337,261440,0
2014-04-16,22.543,22.79,22.404,22.77,168589,0
2014-04-17,22.77,23.193,22.701,22.701,162127,0
2014-04-21,22.879,22.927,22.602,22.711,157716,0
2014-04-22,22.612,23.143,22.612,22.721,113330,0
2014-04-23,22.652,22.85,22.602,22.701,138117,0
2014-04-24,22.701,22.8,22.612,22.741,87091,0
2014-04-25,22.701,22.879,22.307,22.464,79577,0
2014-04-28,22.503,22.652,22.228,22.287,54379,0
2014-04-29,22.208,22.572,22.168,22.188,285285,0
2014-04-30,22.168,22.701,21.566,21.714,413910,0
2014-05-01,21.704,22.248,21.506,22.068,425716,0
2014-05-02,22.592,22.652,22,22.317,574532,0
2014-05-05,22.228,22.444,22.068,22.248,369198,0
2014-05-06,22.543,22.8,22.307,22.533,395395,0
2014-05-07,22.503,22.652,22.444,22.572,120645,0
2014-05-08,22.464,22.711,22.355,22.414,164743,0
2014-05-09,22.346,22.513,22.098,22.148,129392,0
2014-05-12,22.327,22.454,22.198,22.307,118253,0
2014-05-13,22.404,22.582,22.267,22.414,217081,0
2014-05-14,22.572,23.024,22.424,23.024,106980,0
2014-05-15,22.946,23.323,22.671,23.293,123056,0
2014-05-16,23.044,23.62,22.966,23.044,612690,0
2014-05-19,22.956,23.223,22.82,22.918,203745,0
2014-05-20,22.711,23.213,22.711,23.153,118292,0
2014-05-21,23.212,23.272,22.898,23.102,207378,0
2014-05-22,23.212,23.262,23.073,23.102,75510,0
2014-05-23,23.192,23.411,23.053,23.361,283376,0
2014-05-27,23.58,23.58,22.975,23.053,397172,0
2014-05-28,23.053,23.202,22.819,22.819,178882,0
2014-05-29,22.955,23.756,22.72,23.707,224433,0
2014-05-30,23.865,26.817,23.845,26.432,2164240,0
2014-06-02,26.482,26.482,25.711,25.95,330358,0
2014-06-03,25.88,26.383,25.12,25.2,258154,0
2014-06-04,25.414,25.682,24.873,24.961,279939,0
2014-06-05,24.913,25.248,24.557,24.586,290556,0
2014-06-06,24.577,25.001,24.377,24.745,194006,0
2014-06-09,24.745,25.258,24.517,24.941,274645,0
2014-06-10,24.357,25.17,24.357,25.041,328716,0
2014-06-11,24.804,24.941,24.517,24.745,455959,0
2014-06-12,24.507,24.873,24.377,24.517,146773,0
2014-06-13,24.507,25.09,24.507,24.843,116296,0
2014-06-16,24.547,24.814,24.547,24.656,82958,0
2014-06-17,24.774,25.17,24.774,24.833,21482,0
2014-06-18,24.932,24.932,24.646,24.715,62343,0
2014-06-19,24.616,24.843,24.547,24.695,65521,0
2014-06-20,24.656,24.833,24.537,24.537,99415,0
2014-06-23,24.527,25.001,24.527,24.755,124568,0
2014-06-24,24.774,24.843,24.219,24.596,105630,0
2014-06-25,24.735,24.735,24.337,24.666,649654,0
2014-06-26,24.695,24.695,24.318,24.447,127503,0
2014-06-27,24.557,24.764,23.914,24.437,240361,0
2014-06-30,24.328,24.537,24.072,24.537,53207,0
2014-07-01,24.367,24.745,24.367,24.577,89496,0
2014-07-02,24.676,24.745,24.347,24.586,223124,0
2014-07-03,24.487,24.616,24.2,24.2,36657,0
2014-07-07,24.347,24.357,23.609,23.736,85831,0
2014-07-08,23.736,24.102,23.242,23.541,198474,0
2014-07-09,23.541,24.122,23.481,23.954,164441,0
2014-07-10,23.707,24.122,23.242,23.726,94926,0
2014-07-11,23.835,24.477,23.736,24.181,184824,0
2014-07-14,24.092,24.606,23.707,24.092,18320,0
2014-07-15,24.132,24.784,24.092,24.387,365750,0
2014-07-16,24.278,24.567,23.875,24.347,256248,0
2014-07-17,24.102,24.2,23.944,24.044,69127,0
2014-07-18,23.954,24.318,23.954,24.2,79524,0
2014-07-21,23.994,23.994,23.58,23.756,155842,0
2014-07-22,23.884,24.014,23.599,23.687,86249,0
2014-07-23,23.795,23.894,23.292,23.421,144324,0
2014-07-24,23.461,23.924,23.421,23.805,192547,0
2014-07-25,23.805,24.171,23.56,23.726,370229,0
2014-07-28,23.726,24.229,23.292,23.707,143222,0
2014-07-29,23.736,23.954,23.322,23.589,365441,0
2014-07-30,23.717,23.785,23.341,23.776,159386,0
2014-07-31,23.707,23.805,23.222,23.292,342911,0
2014-08-01,23.212,23.232,22.462,23.132,306647,0
2014-08-04,22.975,23.707,22.849,23.371,174400,0
2014-08-05,23.242,23.381,22.839,23.341,182879,0
2014-08-06,23.431,23.736,23.162,23.599,148204,0
2014-08-07,23.717,23.924,23.55,23.707,180186,0
2014-08-08,23.619,24.152,23.599,23.795,110468,0
2014-08-11,23.756,24.567,23.756,24.229,147223,0
2014-08-12,24.288,24.745,24.288,24.567,73779,0
2014-08-13,24.567,24.784,24.328,24.427,47884,0
2014-08-14,24.091,24.307,23.923,23.993,217105,0
2014-08-15,24.238,24.714,23.993,24.297,147175,0
2014-08-18,24.317,24.526,24.238,24.526,79187,0
2014-08-19,24.526,24.832,24.526,24.773,28263,0
2014-08-20,24.714,24.931,24.714,24.803,47776,0
2014-08-21,24.96,24.96,24.595,24.655,89303,0
2014-08-22,24.645,24.665,24.456,24.605,42386,0
2014-08-25,25.05,25.05,24.516,24.665,73969,0
2014-08-26,24.724,24.832,24.376,24.466,52892,0
2014-08-27,24.416,24.95,24.218,24.655,74337,0
2014-08-28,24.476,24.655,24.356,24.536,136787,0
2014-08-29,24.645,25.09,24.516,25.09,78579,0
2014-09-02,24.96,25.592,24.96,25.365,39958,0
2014-09-03,25.318,25.721,25.23,25.404,66189,0
2014-09-04,25.298,25.347,25.1,25.337,20070,0
2014-09-05,25.453,25.453,25.1,25.19,12284,0
2014-09-08,25.21,25.347,25.21,25.337,6736,0
2014-09-09,25.503,25.563,24.366,24.96,251561,0
2014-09-10,25.18,25.384,24.724,25.11,82479,0
2014-09-11,25.19,25.19,24.744,24.832,32364,0
2014-09-12,24.96,24.96,24.307,24.714,82415,0
2014-09-15,24.546,24.605,24.17,24.486,23123,0
2014-09-16,23.794,24.813,23.794,24.754,112121,0
2014-09-17,24.456,24.783,23.844,24.287,87655,0
2014-09-18,24.336,24.724,24.081,24.506,68047,0
2014-09-19,24.724,24.98,24.228,24.228,119929,0
2014-09-22,24.111,24.665,23.973,24.665,37461,0
2014-09-23,24.366,24.714,23.774,23.993,124252,0
2014-09-24,23.824,24.396,23.804,24.072,69130,0
2014-09-25,24.307,24.436,24.072,24.208,191102,0
2014-09-26,24.396,24.645,24.121,24.267,150513,0
2014-09-29,24.366,24.406,24.111,24.199,116363,0
2014-09-30,24.043,25.78,24.043,24.18,120712,0
2014-10-01,24.406,25.15,24.208,25.15,187643,0
2014-10-02,25.298,25.298,24.043,24.872,253985,0
2014-10-03,24.99,25,24.151,24.496,67570,0
2014-10-06,24.496,24.496,24.238,24.416,80915,0
2014-10-07,24.516,24.734,24.091,24.17,322793,0
2014-10-08,24.199,24.238,23.23,23.864,146617,0
2014-10-09,23.389,23.597,22.807,23.29,115367,0
2014-10-10,23.051,23.32,22.748,22.993,159512,0
2014-10-13,22.993,23.2,22.103,22.143,116728,0
2014-10-14,21.748,21.956,20.719,21.501,198553,0
2014-10-15,21.203,22.272,20.839,22.073,311658,0
2014-10-16,21.956,23.814,21.778,23.28,562340,0
2014-10-17,23.647,24.218,23.26,23.923,574557,0
2014-10-20,23.597,24.003,23.469,24.003,158462,0
2014-10-21,23.943,24.406,23.489,24.013,74969,0
2014-10-22,23.834,24.17,23.529,23.627,76408,0
2014-10-23,23.724,24.218,23.627,23.637,63808,0
2014-10-24,23.587,23.724,23.489,23.568,23490,0
2014-10-27,23.617,24.003,23.31,23.647,157197,0
2014-10-28,23.647,24.416,23.409,24.023,149944,0
2014-10-29,24.18,24.307,23.774,23.824,31272,0
2014-10-30,23.529,23.874,23.509,23.724,74132,0
2014-10-31,23.734,24.151,23.23,23.883,45830,0
2014-11-03,24.023,25.1,23.784,24.665,103864,0
2014-11-04,24.476,24.763,23.864,24.317,102330,0
2014-11-05,24.287,24.476,23.883,24.111,57076,0
2014-11-06,24.189,24.456,23.744,24.257,45395,0
2014-11-07,24.248,24.704,24.121,24.257,29365,0
2014-11-10,24.526,24.645,24.033,24.101,48990,0
2014-11-11,24.277,24.466,23.685,23.874,161163,0
2014-11-12,23.874,24.053,23.578,23.715,194767,0
2014-11-13,23.676,23.744,23.529,23.637,91092,0
2014-11-14,22.767,23.23,22.629,22.886,1756572,0
2014-11-17,22.886,23.071,22.389,22.639,93514,0
2014-11-18,22.529,22.807,22.262,22.429,99708,0
2014-11-19,22.311,22.518,22.072,22.232,61124,0
2014-11-20,22.182,22.388,21.925,22.052,123914,0
2014-11-21,21.796,22.349,21.796,22.349,126456,0
2014-11-24,22.142,22.331,21.776,21.865,334981,0
2014-11-25,21.766,22.004,21.746,21.925,116278,0
2014-11-26,22.132,22.588,21.766,22.588,99788,0
2014-11-28,22.349,22.349,21.074,21.291,95513,0
2014-12-01,21.351,22.438,21.123,22.152,342771,0
2014-12-02,22.232,22.766,22.122,22.182,417191,0
2014-12-03,22.192,22.34,21.766,22.112,143977,0
2014-12-04,21.985,22.212,21.786,22.132,144880,0
2014-12-05,22.004,22.122,21.677,21.875,127865,0
2014-12-08,21.717,21.717,20.639,20.707,170180,0
2014-12-09,20.4,20.897,20.321,20.619,103549,0
2014-12-10,20.747,20.747,19.728,20.035,149227,0
2014-12-11,20.035,20.37,19.658,19.847,130478,0
2014-12-12,19.778,19.876,19.025,19.708,456798,0
2014-12-15,19.678,20.144,19.639,19.639,158810,0
2014-12-16,19.688,20.609,19.234,19.788,352492,0
2014-12-17,19.955,20.351,19.54,19.788,494390,0
2014-12-18,19.925,20.5,19.906,20.271,537469,0
2014-12-19,20.193,20.37,20.035,20.213,339424,0
2014-12-22,20.115,20.301,19.441,20.055,272814,0
2014-12-23,20.223,20.975,19.866,20.837,205305,0
2014-12-24,20.837,21.123,20.53,21.084,51500,0
2014-12-26,21.074,21.321,21.055,21.271,42303,0
2014-12-29,21.351,22.448,21.341,22.349,103013,0
2014-12-30,22.192,22.34,21.835,21.885,127719,0
2014-12-31,21.746,22.707,21.717,22.291,207976,0
2015-01-02,22.478,22.806,22.331,22.806,69403,0
2015-01-05,22.578,22.677,21.687,21.875,119479,0
2015-01-06,21.786,22.082,21.141,21.608,114462,0
