Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,54.5,54.5,54.5,54.5,20,0
2005-03-01,50.5,50.5,50.5,50.5,50,0
2005-03-07,50,51,50,51,25,0
2005-03-08,51,51,45.2,45.2,55,0
2005-03-09,45.2,45.2,45.1,45.1,40,0
2005-03-10,48.3,48.3,48.3,48.3,120,0
2005-03-11,51,51,50,50,200,0
2005-03-14,52,52,50.5,51,110,0
2005-03-16,52,52,52,52,140,0
2005-03-17,52,52,52,52,225,0
2005-03-21,52,52,52,52,10,0
2005-03-23,52,52,52,52,10,0
2005-03-30,52.5,52.5,47.5,47.5,170,0
2005-03-31,45.1,45.1,45.1,45.1,70,0
2005-04-05,51.9,51.9,51.9,51.9,50,0
2005-04-06,52,52,52,52,97,0
2005-04-07,47.5,51.9,41,41,860,0
2005-04-08,35.1,40.4,32.5,32.5,675,0
2005-04-11,33.5,33.5,30,30,545,0
2005-04-12,30,30,22.5,25,495,0
2005-04-13,25,25,25,25,200,0
2005-04-14,25,25,25,25,15,0
2005-04-19,30,30,28,28,500,0
2005-04-20,28.5,28.5,25.5,25.5,802,0
2005-04-21,25.5,25.5,25.1,25.1,89,0
2005-04-25,25.8,25.8,25.8,25.8,30,0
2005-04-29,25.8,30,25,25.8,465,0
2005-05-02,25,25,23,23,195,0
2005-05-03,22,23,20,23,40,0
2005-05-05,25,25,25,25,825,0
2005-05-10,25,25,25,25,20,0
2005-05-11,23,23,23,23,20,0
2005-05-12,23.3,23.3,23,23,220,0
2005-05-13,22,22,22,22,50,0
2005-05-16,19.6,19.6,19.6,19.6,100,0
2005-05-17,19.6,19.6,18.5,19.6,243,0
2005-05-18,20,20,20,20,180,0
2005-05-19,20,20,20,20,25,0
2005-05-23,18,18,18,18,34,0
2005-05-24,18,18,18,18,130,0
2005-05-25,20,20,20,20,30,0
2005-05-26,20,20,20,20,225,0
2005-05-27,16.1,19.5,16.1,19.5,470,0
2005-06-02,20,20,20,20,110,0
2005-06-03,19,19,14,14,777,0
2005-06-06,17,17,17,17,80,0
2005-06-07,17,17.5,17,17.5,301,0
2005-06-08,17.5,17.5,17.5,17.5,173,0
2005-06-10,17.5,18,17.5,18,190,0
2005-06-14,18.5,18.5,18.5,18.5,10,0
2005-06-16,20,20,19,19,210,0
2005-06-17,19,19,18.9,18.9,70,0
2005-06-20,14,14,14,14,10,0
2005-06-21,14,15,14,15,218,0
2005-06-22,15,15.1,15,15,100,0
2005-06-27,14,17.5,14,15,279,0
2005-06-28,16.5,16.5,16,16,650,0
2005-06-29,20,20,16,16,90,0
2005-07-01,14.2,14.5,14.2,14.2,1020,0
2005-07-06,14.2,14.2,14.2,14.2,100,0
2005-07-07,14.5,14.5,14.5,14.5,120,0
2005-07-08,14.2,14.2,14.2,14.2,100,0
2005-07-11,16.8,18,16.8,17.5,300,0
2005-07-12,17,17,16.8,16.8,121,0
2005-07-13,16.8,16.8,16.8,16.8,48,0
2005-07-14,16.8,16.8,16.8,16.8,20,0
2005-07-15,15,15.1,15,15,400,0
2005-07-18,14.2,14.5,14.1,14.1,598,0
2005-07-19,14.1,22.5,14.1,21,3340,0
2005-07-20,20.5,21,16.5,18,1560,0
2005-07-21,18.5,19.8,18,19.3,1355,0
2005-07-22,19.8,19.8,19,19.8,1111,0
2005-07-25,20.5,22.5,19.9,22.5,2068,0
2005-07-26,23,31.8,23,25.1,6327,0
2005-07-27,28,29.5,28,28.1,1614,0
2005-07-28,29.5,30.1,28.1,30.1,1208,0
2005-07-29,32,32.5,27.5,28.7,2199,0
2005-08-01,28.8,29,22,27,1231,0
2005-08-02,27,27.5,22.4,23,631,0
2005-08-03,26.9,26.9,22.5,23,877,0
2005-08-04,23,23,23,23,60,0
2005-08-05,23,23.1,19.8,20.2,939,0
2005-08-08,20.5,25,20.5,25,2010,0
2005-08-09,26.1,26.1,20.9,25,536,0
2005-08-10,26.2,26.2,21,26,954,0
2005-08-11,21,24,21,24,216,0
2005-08-12,25,25,22,25,415,0
2005-08-15,25,25.5,21.6,21.6,871,0
2005-08-16,21.6,24.9,21.6,24,75,0
2005-08-17,22.5,23.3,20.1,21,625,0
2005-08-18,20,21.6,20,21.6,245,0
2005-08-19,22,23.7,21.5,22,485,0
2005-08-22,22.5,23.6,21,23.6,408,0
2005-08-23,23.6,23.6,23.6,23.6,42,0
2005-08-24,22.6,22.6,21.5,22.6,210,0
2005-08-25,25,25,25,25,220,0
2005-08-26,22,22,20.5,20.5,20,0
2005-08-29,21,28,20.5,28,1125,0
2005-08-30,27,27,25,25,314,0
2005-08-31,25,26.5,23,26.5,905,0
2005-09-01,26.5,26.5,26,26,726,0
2005-09-02,26.5,28,26,26,534,0
2005-09-06,28,28,26,28,484,0
2005-09-07,28,28.5,26.5,26.5,910,0
2005-09-08,28.5,28.5,27.9,27.9,234,0
2005-09-09,27.5,28.5,27.5,27.5,365,0
2005-09-12,28.5,28.5,27.5,27.5,866,0
