Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,18.614,18.831,18.499,18.72,226623,0
2005-02-28,18.72,19.07,18.691,18.878,402442,0
2005-03-01,18.841,18.841,18.547,18.614,495620,0
2005-03-02,18.614,18.614,18.48,18.49,303568,0
2005-03-03,18.49,18.605,18.471,18.499,411929,0
2005-03-04,18.499,19.28,18.499,19.115,900802,0
2005-03-07,18.976,19.23,18.869,19.191,225569,0
2005-03-08,19.144,19.144,18.897,18.976,208282,0
2005-03-09,18.995,18.995,18.831,18.831,355217,0
2005-03-10,18.801,18.841,18.72,18.756,216294,0
2005-03-11,18.756,19.078,18.756,18.976,178983,0
2005-03-14,18.859,18.927,18.737,18.907,197954,0
2005-03-15,18.907,19.306,18.907,19.298,449874,0
2005-03-16,19.298,19.497,19.298,19.343,620631,0
2005-03-17,19.353,19.516,19.26,19.43,263729,0
2005-03-18,19.544,19.544,19.343,19.449,167173,0
2005-03-21,19.449,19.468,19.24,19.371,81795,0
2005-03-22,19.42,19.497,19.211,19.23,321701,0
2005-03-23,19.23,19.23,18.71,18.756,298300,0
2005-03-24,18.783,18.927,18.756,18.897,219667,0
2005-03-28,18.878,18.878,18.557,18.585,283543,0
2005-03-29,18.585,18.585,17.995,18.141,432375,0
2005-03-30,18.168,18.452,18.168,18.377,211023,0
2005-03-31,18.385,18.917,18.311,18.859,340673,0
2005-04-01,18.976,18.995,18.801,18.841,303781,0
2005-04-04,18.841,18.878,18.537,18.567,189943,0
2005-04-05,18.567,18.653,18.301,18.36,287758,0
2005-04-06,18.405,18.413,18.264,18.311,224937,0
2005-04-07,18.282,18.282,18.014,18.073,121008,0
2005-04-08,18.093,18.644,17.876,18.48,293662,0
2005-04-11,18.518,18.518,18.291,18.413,215873,0
2005-04-12,18.36,19.554,18.33,19.497,555068,0
2005-04-13,19.497,20.095,19.497,19.921,418251,0
2005-04-14,19.921,19.99,19.704,19.81,241379,0
2005-04-15,19.81,19.921,19.497,19.582,235687,0
2005-04-18,19.582,19.685,19.458,19.618,202379,0
2005-04-19,19.618,20.075,19.608,19.857,193737,0
2005-04-20,19.847,20.113,19.781,19.921,234424,0
2005-04-21,19.921,20.133,19.791,19.903,306522,0
2005-04-22,19.97,20.208,19.685,19.781,298087,0
2005-04-25,19.772,19.903,19.362,19.685,176869,0
2005-04-26,19.704,19.733,19.381,19.497,224514,0
2005-04-27,19.733,19.801,18.291,18.737,823223,0
2005-04-28,18.765,18.887,18.149,18.395,385155,0
2005-04-29,18.395,18.527,17.838,17.893,360909,0
2005-05-02,17.808,18.291,17.693,18.215,282277,0
2005-05-03,18.34,19.088,18.264,18.907,448608,0
2005-05-04,18.859,19.381,18.701,18.966,219456,0
2005-05-05,19.023,19.554,19.023,19.343,279536,0
2005-05-06,19.391,20.767,19.391,20.055,518808,0
2005-05-09,20.075,20.349,19.791,19.921,365337,0
2005-05-10,19.97,19.97,19.078,19.43,419096,0
2005-05-11,20.399,21.934,20.301,21.705,2117820,0
2005-05-12,21.584,21.584,21.06,21.456,765249,0
2005-05-13,21.564,21.564,20.281,20.872,930947,0
2005-05-16,20.995,21.535,20.922,21.516,516488,0
2005-05-17,21.486,21.82,21.368,21.652,181717,0
2005-05-18,21.632,22.428,21.584,22.275,604189,0
2005-05-19,22.438,23.481,22.438,22.635,734681,0
2005-05-20,22.596,22.596,21.155,21.447,500892,0
2005-05-23,21.496,22.275,21.496,22.123,775158,0
2005-05-24,22.123,22.133,21.914,21.992,321278,0
2005-05-25,21.992,22.01,21.614,21.793,152627,0
2005-05-26,21.885,21.924,21.584,21.725,242223,0
2005-05-27,21.774,21.953,21.774,21.866,157899,0
2005-05-31,21.963,22.331,21.866,22.123,310947,0
2005-06-01,22.181,22.789,22.181,22.655,485500,0
2005-06-02,22.625,23.025,22.58,22.665,238428,0
2005-06-03,22.75,22.855,22.702,22.75,156002,0
2005-06-06,22.77,23.993,22.77,23.84,673543,0
2005-06-07,23.956,24.373,23.792,23.89,525134,0
2005-06-08,23.811,23.89,23.358,23.396,351001,0
2005-06-09,23.434,23.956,23.291,23.718,192893,0
2005-06-10,23.737,23.946,23.718,23.765,162535,0
2005-06-13,23.783,24.476,23.783,24.411,494988,0
2005-06-14,24.476,24.969,24.476,24.949,177084,0
2005-06-15,24.969,24.969,24.703,24.912,126910,0
2005-06-16,24.903,25.141,24.762,24.885,316006,0
2005-06-17,25.008,25.712,25.008,25.595,269839,0
2005-06-20,25.501,25.614,25.075,25.578,162746,0
2005-06-21,25.731,25.803,25.501,25.749,258246,0
2005-06-22,26.564,27.228,26.089,27.171,651200,0
2005-06-23,27.608,28.025,27.485,27.683,718659,0
2005-06-24,27.683,27.683,26.138,27.218,1723813,0
2005-06-27,27.266,27.494,27.039,27.104,558233,0
2005-06-28,27.21,28.331,27.171,28.215,399910,0
2005-06-29,28.273,28.698,27.94,28.035,685140,0
2005-06-30,28.035,28.063,27.54,27.692,289866,0
2005-07-01,27.701,28.054,27.559,27.683,208495,0
2005-07-05,27.683,28.175,27.665,28.175,355640,0
2005-07-06,28.292,28.641,27.514,27.701,240328,0
2005-07-07,27.627,27.683,26.868,27.086,533356,0
2005-07-08,27.086,27.569,27.029,27.447,285231,0
2005-07-11,27.321,28.083,27.321,27.921,355428,0
2005-07-12,27.845,28.205,27.683,27.987,207436,0
2005-07-13,27.863,27.921,26.26,26.564,768199,0
2005-07-14,26.507,26.631,25.405,26.119,1133748,0
2005-07-15,25.948,26.26,25.899,26.138,330764,0
2005-07-18,26.089,26.517,26.07,26.288,210814,0
2005-07-19,26.374,27.494,26.374,27.283,226411,0
2005-07-20,27.228,27.768,27.228,27.749,241801,0
2005-07-21,27.729,27.729,26.801,27.257,193737,0
2005-07-22,27.274,27.531,27.058,27.361,168230,0
2005-07-25,27.331,27.371,27.086,27.113,143351,0
2005-07-26,27.086,27.086,26.564,27.086,351001,0
2005-07-27,27.987,29.267,27.514,28.766,1143445,0
