Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,27.499,27.856,27.412,27.624,31711,0
2005-02-28,27.624,27.831,27.407,27.683,26644,0
2005-03-01,27.683,27.683,27.166,27.395,30728,0
2005-03-02,27.194,27.395,27.166,27.311,37427,0
2005-03-03,27.247,27.254,26.736,26.92,68814,0
2005-03-04,26.645,26.665,26.185,26.34,53941,0
2005-03-07,26.34,26.34,25.348,25.603,65548,0
2005-03-08,25.298,25.972,25.091,25.946,64887,0
2005-03-09,25.946,26.238,25.696,25.709,107876,0
2005-03-10,25.709,25.709,24.656,24.89,62928,0
2005-03-11,24.625,25.177,24.625,25.134,35959,0
2005-03-14,24.779,25.058,24.703,24.762,45271,0
2005-03-15,24.872,25.628,24.872,25.543,27459,0
2005-03-16,25.572,26,25.572,25.818,28771,0
2005-03-17,25.972,26.654,25.787,26.51,50187,0
2005-03-18,27.074,27.135,26.736,27.095,42984,0
2005-03-21,27.247,27.317,26.373,26.796,63583,0
2005-03-22,26.706,26.727,26.499,26.529,19457,0
2005-03-23,25.908,25.908,24.748,24.901,79936,0
2005-03-24,24.901,25.211,24.502,24.66,38093,0
2005-03-28,24.479,24.479,23.311,23.444,114907,0
2005-03-29,23.153,23.403,22.512,23.102,121447,0
2005-03-30,23.102,23.311,22.647,23.095,47732,0
2005-03-31,23.249,24.167,23.249,23.921,43159,0
2005-04-01,23.985,24.472,23.892,24.448,40214,0
2005-04-04,24.294,24.994,24.167,24.167,43643,0
2005-04-05,24.228,24.287,23.741,23.866,17327,0
2005-04-06,23.952,24.656,23.952,24.472,40704,0
2005-04-07,25.086,25.086,24.552,24.779,25342,0
2005-04-08,24.685,24.779,24.405,24.63,23856,0
2005-04-11,24.625,24.625,23.377,23.65,54259,0
2005-04-12,23.828,23.921,23.403,23.53,26478,0
2005-04-13,23.461,23.461,23.034,23.043,42340,0
2005-04-14,22.976,22.976,22.652,22.791,41028,0
2005-04-15,22.647,22.758,22.208,22.325,55245,0
2005-04-18,22.472,22.472,22.055,22.085,52133,0
2005-04-19,22.055,22.784,22.055,22.706,63746,0
2005-04-20,22.784,23.377,22.706,22.851,36942,0
2005-04-21,22.912,23.274,22.82,23.266,39220,0
2005-04-22,23.266,23.733,22.949,23.461,36454,0
2005-04-25,23.555,24.104,23.555,23.802,23856,0
2005-04-26,23.828,24.135,23.587,24.036,32525,0
2005-04-27,23.985,23.985,23.53,23.598,43643,0
2005-04-28,23.598,23.746,23.249,23.28,40214,0
2005-04-29,23.34,24.379,23.34,23.581,60478,0
2005-05-02,23.487,23.581,23.274,23.581,10949,0
2005-05-03,23.444,23.525,23.356,23.356,10299,0
2005-05-04,23.274,23.701,23.274,23.682,16674,0
2005-05-05,23.615,24.068,23.615,24.024,25342,0
2005-05-06,24.182,24.465,24.111,24.139,35473,0
2005-05-09,24.13,24.167,24.007,24.167,19289,0
2005-05-10,24.182,24.182,23.952,23.997,20920,0
2005-05-11,23.997,24.013,23.654,23.662,14387,0
2005-05-12,23.549,23.662,22.758,22.943,33503,0
2005-05-13,22.851,23.123,22.791,22.791,22391,0
2005-05-16,22.943,22.943,22.315,22.507,43159,0
2005-05-17,22.422,22.791,22.315,22.627,48548,0
2005-05-18,22.723,22.791,22.331,22.414,29747,0
2005-05-19,22.331,22.381,22.245,22.321,19620,0
2005-05-20,22.208,22.641,22.174,22.641,38739,0
2005-05-23,22.641,23.003,22.641,23.003,36120,0
2005-05-24,23.063,23.461,22.912,23.419,33179,0
2005-05-25,23.494,24.101,23.494,23.741,37427,0
2005-05-26,23.555,23.741,23.395,23.461,23046,0
2005-05-27,23.395,24.013,23.395,23.985,29747,0
2005-05-31,23.858,23.858,23.327,23.593,17655,0
2005-06-01,23.461,24.068,23.461,23.898,30564,0
2005-06-02,23.741,23.972,23.741,23.905,10133,0
2005-06-03,24.042,24.135,23.866,24.042,25011,0
2005-06-06,23.741,24.167,23.581,24.09,22391,0
2005-06-07,24.104,24.16,23.985,24.082,17655,0
2005-06-08,24.082,24.625,24.082,24.472,34811,0
2005-06-09,24.484,24.584,24.393,24.533,6054,0
2005-06-10,24.625,24.748,24.625,24.748,15691,0
2005-06-13,24.715,25.696,24.715,25.628,74698,0
2005-06-14,25.513,25.896,25.508,25.696,37106,0
2005-06-15,25.76,25.88,25.696,25.731,36285,0
