Date,Open,High,Low,Close,Volume,OpenInt
2015-08-26,5,5.19,4.28,5,3300,0
2015-08-27,5,5,5,5,200,0
2015-08-28,9,9,5.1,6.29,4800,0
2015-09-01,6.79,7,6.79,7,2100,0
2015-09-02,6.75,6.83,6.75,6.75,2800,0
2015-09-03,6.79,6.79,6.75,6.75,300,0
2015-09-04,7,7,7,7,200,0
2015-09-08,7,7,6.97,6.97,1600,0
2015-09-09,6.8,6.8,6.8,6.8,300,0
2015-09-14,7,7.1,6.8,6.8,2200,0
2015-09-15,6.75,6.75,6.75,6.75,100,0
2015-09-16,7.22,7.22,7.22,7.22,200,0
2015-09-17,7.5,7.5,7.5,7.5,100,0
2015-09-18,7.3,7.3,7.3,7.3,100,0
2015-09-22,6.75,7.15,6.08,7.15,600,0
2015-09-23,6.5,6.5,6.5,6.5,1000,0
2015-09-24,6.33,6.34,5.75,6.0572,3516,0
2015-09-25,6.06,6.06,5.84,5.84,300,0
2015-09-29,5.31,5.4,5.31,5.35,2100,0
2015-10-08,5.1,5.3,5.1,5.3,700,0
2015-10-12,4.65,4.65,4.65,4.65,544,0
2015-10-13,5.49,5.49,5.35,5.35,600,0
2015-10-16,5.25,5.25,5.25,5.25,200,0
2015-10-28,5.46,5.46,5.46,5.46,200,0
2015-11-05,4,5.35,4,5.35,400,0
2015-11-06,5.25,5.25,5,5,600,0
2015-11-09,5,5,4.88,4.88,1171,0
2015-11-10,4.6,4.6,4.6,4.6,400,0
2015-11-17,4.5,4.55,4.3,4.55,4800,0
2015-12-02,4.01,4.244,4.01,4.244,283,0
2015-12-07,4.01,4.01,3.89,4,1200,0
2015-12-08,4,4,4,4,100,0
2015-12-09,3.92,3.99,3.85,3.93,3800,0
2015-12-10,4,4,4,4,500,0
2015-12-11,3.9,3.9,3.85,3.85,900,0
2015-12-14,3.62,3.62,3.62,3.62,186,0
2015-12-15,3.75,4,3.75,3.9,3500,0
2015-12-17,4,4,4,4,100,0
2015-12-18,3.5,3.5,3.5,3.5,300,0
2015-12-21,3.5,3.57,3.22,3.57,900,0
2015-12-22,3.5,4.03,3.5,4.03,1488,0
2015-12-23,4,4,3.85,4,500,0
2015-12-24,3.24,3.95,3.24,3.95,899,0
2015-12-29,3.7501,3.7501,3.7501,3.7501,527,0
2015-12-30,3.3985,3.96,3.29,3.75,18759,0
2015-12-31,3.4,3.65,3.4,3.57,3966,0
2016-01-04,3.5985,3.91,3.45,3.78,14913,0
2016-01-05,3.78,3.89,3.39,3.83,11100,0
2016-01-06,3.8301,3.8301,3.83,3.83,300,0
2016-01-08,3.8,3.8,3.8,3.8,100,0
2016-01-13,3.8,3.92,3.38,3.71,21059,0
2016-01-14,3.58,3.85,3.23,3.62,31161,0
2016-01-15,3.6,3.85,3.38,3.767,9064,0
2016-01-19,3.65,3.84,3.4,3.72,11500,0
2016-01-20,3.56,3.74,3.49,3.65,3215,0
2016-01-22,3.5,3.61,3.46,3.55,2100,0
2016-01-25,3.75,3.75,3.75,3.75,441,0
2016-01-27,3.6,3.6,3.55,3.56,400,0
2016-01-28,3.58,3.65,3.58,3.62,400,0
2016-02-02,3.5377,3.5377,3.5377,3.5377,166,0
2016-02-08,3.56,3.72,3.56,3.72,700,0
2016-02-10,3.5,3.53,3.5,3.503,600,0
2016-02-12,3.55,3.55,3.4,3.45,2616,0
2016-02-17,3.4001,3.4001,3.4001,3.4001,333,0
2016-02-18,3.96,3.96,3.4999,3.6,3100,0
2016-02-19,3.5,3.9793,3.5,3.65,25761,0
2016-02-22,3.52,3.6,3.52,3.6,842,0
2016-02-29,3.25,3.65,3.25,3.65,3000,0
