Date,Open,High,Low,Close,Volume,OpenInt
2011-09-20,8.2507,8.2928,8.0414,8.0582,802801,0
2011-09-21,8.0163,8.1084,7.698,7.7479,978193,0
2011-09-22,7.4803,7.6645,7.2792,7.4131,968447,0
2011-09-23,7.3843,7.3843,7.1644,7.2661,2027162,0
2011-09-26,7.3208,7.3965,7.2204,7.3714,1763627,0
2011-09-27,7.5112,7.5195,7.2999,7.3589,2340311,0
2011-09-28,7.4266,7.4519,7.2155,7.2239,1190588,0
2011-09-29,7.4098,7.5448,7.2322,7.3928,2118591,0
2011-09-30,7.0659,7.3125,6.9805,7.1423,1749411,0
2011-10-03,7.0464,7.1393,6.7339,6.7423,1273792,0
2011-10-04,6.6831,6.9025,6.531,6.8435,2078402,0
2011-10-05,6.8268,6.8774,6.4549,6.8352,809451,0
2011-10-06,6.7845,7.0464,6.7339,7.038,898252,0
2011-10-07,7.038,7.038,6.7001,6.7925,946331,0
2011-10-10,6.945,7.1141,6.8944,7.1141,648863,0
2011-10-11,7.08,7.0972,6.8521,6.945,797354,0
2011-10-12,7.0295,7.3843,7.0125,7.3169,1251392,0
2011-10-13,7.2492,7.4519,7.2409,7.3589,1182485,0
2011-10-14,7.418,7.6885,7.418,7.5789,1050662,0
2011-10-17,7.4773,7.5195,7.3338,7.3589,1124861,0
2011-10-18,7.418,7.722,7.3169,7.6463,923527,0
2011-10-19,7.6043,7.722,7.5535,7.5617,1172167,0
2011-10-20,7.587,7.6969,7.4519,7.6801,1281425,0
2011-10-21,7.8237,8.0942,7.7899,8.0942,1105446,0
2011-10-24,8.0855,8.3221,7.9841,8.2375,591284,0
2011-10-25,7.8069,7.8323,7.6885,7.7985,13755064,0
2011-10-26,7.8154,7.8574,7.6885,7.8069,2725007,0
2011-10-27,7.8997,8.2462,7.8574,8.1954,3272160,0
2011-10-28,7.9586,8.4151,7.9586,8.2462,2085774,0
2011-10-31,8.0959,8.4105,7.9766,8.2917,1838949,0
2011-11-01,8.0348,8.2375,7.9586,8.1194,1603783,0
2011-11-02,8.204,8.3137,8.1024,8.2375,1326523,0
2011-11-03,8.3644,8.3644,8.0603,8.3054,1001188,0
2011-11-04,8.036,8.2404,7.9937,8.2148,1765299,0
2011-11-07,8.2208,8.3306,7.9841,8.2123,517867,0
2011-11-08,8.3054,8.3474,8.0266,8.2208,772502,0
2011-11-09,8.0603,8.0603,7.7729,7.7899,977327,0
2011-11-10,7.9334,8.0348,7.7899,8.0266,1592808,0
2011-11-11,8.0771,8.2715,7.9926,8.1786,1624408,0
2011-11-14,8.1024,8.1194,7.9503,8.0266,1324757,0
2011-11-15,8.0012,8.1448,7.9165,8.0855,1345679,0
2011-11-16,8.0688,8.204,7.9926,8.1869,2230816,0
2011-11-17,8.1363,8.1615,7.9418,8.0603,1066769,0
2011-11-18,8.0942,8.1869,7.8913,8.1869,1035335,0
2011-11-21,7.9841,8.0603,7.7985,7.9251,871514,0
2011-11-22,7.9082,7.9586,7.7985,7.9334,718064,0
2011-11-23,7.849,7.866,7.6296,7.7392,837731,0
2011-11-25,7.7729,7.9082,7.6885,7.7139,373762,0
2011-11-28,7.9841,7.9926,7.8154,7.9082,967768,0
2011-11-29,7.9334,8.1111,7.8574,8.1024,944642,0
2011-11-30,8.3342,8.4705,8.1556,8.4277,2891032,0
2011-12-01,8.356,8.4068,8.2208,8.2968,682520,0
2011-12-02,8.3981,8.4738,8.2968,8.3137,1526050,0
2011-12-05,8.4403,8.4571,8.263,8.3474,820023,0
2011-12-06,8.3171,8.6146,8.2831,8.4705,2453422,0
2011-12-07,8.4366,8.6661,8.385,8.649,2090515,0
2011-12-08,8.5471,8.5986,8.2404,8.3512,1653021,0
2011-12-09,8.3766,8.649,8.3427,8.5986,834312,0
2011-12-12,8.4738,8.5932,8.3898,8.5844,1177011,0
2011-12-13,8.6261,8.7444,8.2968,8.3981,649307,0
2011-12-14,8.3389,8.466,8.2968,8.3389,1243085,0
2011-12-15,8.4403,8.567,8.356,8.4997,884263,0
2011-12-16,8.5634,8.768,8.5301,8.6744,4687210,0
2011-12-19,8.7444,8.8039,8.5749,8.5932,684119,0
2011-12-20,8.7194,8.9397,8.6947,8.8621,1149828,0
2011-12-21,8.8039,8.8621,8.711,8.8298,528048,0
2011-12-22,8.8882,8.9892,8.8023,8.9388,976753,0
2011-12-23,8.9209,9.0409,8.8697,8.9732,501503,0
2011-12-27,8.8966,9.0835,8.7599,9.0063,614251,0
2011-12-28,9.0148,9.0148,8.8966,8.9135,600248,0
2011-12-29,8.9135,9.0484,8.8697,8.9808,547246,0
2011-12-30,8.9433,9.0979,8.9433,8.9845,516521,0
2012-01-03,9.1941,9.3486,8.9388,8.9732,932690,0
2012-01-04,8.9303,8.9303,8.7421,8.768,1411514,0
2012-01-05,8.7085,9.0148,8.6317,8.9808,945215,0
2012-01-06,9.0063,9.0665,8.8789,8.9135,526584,0
2012-01-09,8.8966,8.9209,8.7848,8.8196,625977,0
2012-01-10,8.9558,9.0148,8.8697,8.9892,754801,0
2012-01-11,8.9651,9.2035,8.9051,9.1414,762909,0
2012-01-12,9.1941,9.1941,8.9732,8.9892,1156554,0
2012-01-13,8.8882,9.107,8.8882,9.0148,1103262,0
2012-01-17,9.1252,9.2355,9.0409,9.1941,1134738,0
2012-01-18,9.151,9.33,9.151,9.2967,925861,0
2012-01-19,9.2529,9.3799,9.1845,9.2781,943405,0
2012-01-20,9.3055,9.4083,9.2122,9.4083,1300729,0
2012-01-23,9.644,9.763,9.3711,9.4994,948759,0
2012-01-24,9.4331,9.706,9.3711,9.617,911698,0
2012-01-25,9.579,9.706,9.4835,9.673,707263,0
2012-01-26,9.73,9.78,9.689,9.744,1110797,0
2012-01-27,9.698,9.744,9.617,9.663,700953,0
2012-01-30,9.602,9.689,9.4895,9.57,650469,0
2012-01-31,9.561,9.715,9.507,9.689,959647,0
2012-02-01,9.73,9.86,9.663,9.736,1647715,0
2012-02-02,9.736,9.852,9.663,9.715,1193775,0
2012-02-03,10,10.036,9.723,9.926,2195104,0
2012-02-06,9.954,9.987,9.873,9.945,1709217,0
2012-02-07,9.889,9.978,9.866,9.917,1384577,0
2012-02-08,9.926,10.046,9.866,9.899,1123701,0
2012-02-09,9.963,9.987,9.78,9.834,558158,0
2012-02-10,9.736,9.824,9.585,9.593,554841,0
2012-02-13,9.73,9.899,9.617,9.881,757785,0
2012-02-14,9.852,9.945,9.673,9.945,2457259,0
2012-02-15,9.954,10,9.808,9.881,609746,0
2012-02-16,9.908,10.099,9.908,10.061,1260388,0
2012-02-17,10.061,10.146,9.978,10,3695880,0
2012-02-21,10.08,10.08,9.78,9.808,1314288,0
2012-02-22,9.881,10.121,9.818,9.889,1669609,0
2012-02-23,9.945,10.054,9.763,10.054,1751978,0
2012-02-24,9.2355,9.987,9.2355,9.852,3200181,0
2012-02-27,9.772,9.852,9.579,9.772,2211375,0
2012-02-28,9.763,9.852,9.57,9.663,2300776,0
2012-02-29,9.654,9.736,9.4994,9.602,1714904,0
2012-03-01,9.635,9.715,9.553,9.663,1056207,0
2012-03-02,9.68,9.689,9.527,9.585,1743960,0
2012-03-05,9.593,9.68,9.4499,9.68,1228686,0
2012-03-06,9.654,9.689,9.508,9.561,1000001,0
2012-03-07,9.585,9.644,9.4667,9.561,349923,0
2012-03-08,9.644,9.698,9.579,9.68,638572,0
2012-03-09,9.644,9.881,9.61,9.818,940000,0
