Date,Open,High,Low,Close,Volume,OpenInt
2014-06-04,22.769,23.113,22.199,22.455,2299440,0
2014-06-05,22.484,22.887,22.219,22.287,1798545,0
2014-06-06,22.287,22.847,22.081,22.366,2490198,0
2014-06-09,22.465,23.28,22.268,22.573,2108789,0
2014-06-10,23.035,23.585,22.445,23.25,2972776,0
2014-06-11,23.28,25.02,22.867,24.43,2042158,0
2014-06-12,24.509,25.885,24.43,25.335,2110398,0
2014-06-13,25.286,26.78,25.07,26.584,1393028,0
2014-06-16,26.604,27.921,26.574,27.528,2158579,0
2014-06-17,27.518,27.891,25.738,26.338,2555811,0
2014-06-18,26.043,26.328,25.148,25.964,1944242,0
2014-06-19,25.944,26.328,25.07,25.374,2045597,0
2014-06-20,25.315,26.053,24.696,24.824,2990770,0
2014-06-23,24.764,25.128,24.283,25.001,1408182,0
2014-06-24,25.04,25.257,24.677,24.774,1270680,0
2014-06-25,24.529,25.384,24.529,24.814,1898173,0
2014-06-26,24.804,25.364,24.43,25.02,992560,0
2014-06-27,24.883,25.847,24.764,25.571,7772648,0
2014-06-30,25.591,25.64,24.5,24.607,1450211,0
2014-07-01,24.578,26.072,24.578,25.521,1949217,0
2014-07-02,25.384,26.475,25.148,26.102,912400,0
2014-07-03,26.141,26.928,25.954,26.711,332154,0
2014-07-07,26.642,27.714,26.437,26.594,1232835,0
2014-07-08,26.662,26.741,26.2,26.594,2662039,0
2014-07-09,26.692,27.212,26.25,26.987,734930,0
2014-07-10,26.475,26.711,26.131,26.21,969748,0
2014-07-11,26.131,26.613,26.053,26.377,742183,0
2014-07-14,26.633,26.682,26.053,26.181,1106507,0
2014-07-15,26.072,26.308,25.591,26.24,490019,0
2014-07-16,26.298,26.298,25.66,25.847,673403,0
2014-07-17,25.708,25.994,24.863,24.931,827739,0
2014-07-18,24.863,25.728,24.824,25.296,758093,0
2014-07-21,25.354,25.354,24.716,25.03,617230,0
2014-07-22,25.207,25.335,24.941,25.09,392672,0
2014-07-23,25.09,25.227,24.706,25.158,481560,0
2014-07-24,25.266,25.266,24.834,24.951,516216,0
2014-07-25,24.774,25.05,24.48,24.883,592919,0
2014-07-28,24.981,25.954,24.509,25.758,1422844,0
2014-07-29,25.718,25.876,25.276,25.531,927961,0
2014-07-30,25.698,26.004,25.384,25.61,1069356,0
2014-07-31,25.315,25.483,24.519,24.971,1479946,0
2014-08-01,25.03,25.453,24.588,25.168,2430525,0
2014-08-04,25.197,25.473,24.824,25.257,2824750,0
2014-08-05,25.06,25.404,24.617,24.931,1167639,0
2014-08-06,24.745,25.306,23.457,24.136,2910916,0
2014-08-07,24.166,24.706,23.959,24.529,1037910,0
2014-08-08,24.716,25.128,24.323,24.923,1678129,0
2014-08-11,25.06,25.207,24.647,25.06,814132,0
2014-08-12,24.913,25.227,24.549,24.647,485347,0
2014-08-13,24.617,25.833,24.617,25.457,1620719,0
2014-08-14,25.418,25.566,24.084,24.212,1004952,0
2014-08-15,24.479,24.508,23.846,24.232,1451979,0
2014-08-18,24.449,25.289,24.212,24.686,1722422,0
2014-08-19,24.736,24.736,24.38,24.558,689039,0
2014-08-20,24.439,24.667,24.321,24.508,1052627,0
2014-08-21,24.588,25.368,24.518,25.161,966053,0
2014-08-22,25.161,25.25,24.795,24.805,349723,0
2014-08-25,24.953,25.181,24.627,24.696,373001,0
2014-08-26,24.726,24.924,24.686,24.726,346928,0
2014-08-27,24.805,24.904,24.617,24.716,247987,0
2014-08-28,24.568,25.171,24.518,24.924,392263,0
2014-08-29,24.924,25.131,24.686,25.111,326990,0
2014-09-02,25.25,25.368,24.805,25.19,1169804,0
2014-09-03,25.181,25.823,24.775,24.835,1295804,0
2014-09-04,24.825,24.963,24.479,24.627,877890,0
2014-09-05,24.538,24.884,24.34,24.716,676249,0
2014-09-08,24.756,25.19,24.736,25.092,723891,0
2014-09-09,25.003,25.013,24.528,24.548,651028,0
2014-09-10,24.538,24.864,24.212,24.815,451207,0
2014-09-11,24.686,25.042,24.617,24.894,719785,0
2014-09-12,24.924,24.953,24.42,24.706,677752,0
2014-09-15,24.765,24.815,24.439,24.578,437162,0
2014-09-16,24.489,24.914,24.36,24.499,596956,0
2014-09-17,24.429,24.963,24.429,24.548,835268,0
2014-09-18,24.657,25.507,24.568,25.22,696571,0
2014-09-19,25.447,25.813,24.924,25.062,1377257,0
2014-09-22,24.963,25.062,24.261,24.499,911171,0
