Date,Open,High,Low,Close,Volume,OpenInt
2014-01-29,0.182,0.21,0.18,0.21,2500,0
2014-01-31,0.2,0.2,0.2,0.2,3100,0
2014-02-06,0.25,0.25,0.25,0.25,5800,0
2014-03-13,0.24,0.253,0.24,0.25,3750,0
2014-03-18,0.26,0.26,0.26,0.26,6350,0
2014-04-11,0.17,0.17,0.17,0.17,2000,0
2014-05-23,0.2199,0.39,0.2199,0.39,38238,0
2014-05-27,0.39,0.39,0.39,0.39,5650,0
2014-05-28,0.35,0.38,0.35,0.38,5000,0
2014-05-30,0.38,0.38,0.38,0.38,700,0
2014-06-02,0.36,0.36,0.36,0.36,1000,0
2014-06-03,0.36,0.36,0.2999,0.35,6039,0
2014-06-04,0.37,0.37,0.37,0.37,4161,0
2014-06-06,0.37,0.37,0.37,0.37,650,0
2014-06-12,0.34,0.34,0.34,0.34,2000,0
2014-06-13,0.34,0.34,0.34,0.34,144,0
2014-06-17,0.18,0.2001,0.1651,0.1651,86256,0
2014-06-18,0.16,0.16,0.16,0.16,11000,0
2014-06-19,0.1599,0.1599,0.1599,0.1599,1700,0
2014-06-20,0.11,0.13,0.11,0.13,10100,0
2014-06-23,0.34,0.34,0.17,0.17,107729,0
2014-06-24,0.25,0.25,0.1401,0.2,72400,0
2014-06-25,0.1401,0.16,0.1401,0.1501,117100,0
2014-06-26,0.15,0.17,0.15,0.158,142500,0
2014-06-27,0.16,0.16,0.15,0.16,9800,0
2014-07-01,0.1401,0.1401,0.14,0.14,80000,0
2014-07-02,0.15,0.15,0.15,0.15,10000,0
2014-07-03,0.15,0.2,0.15,0.2,14988,0
2014-07-07,0.2,0.23,0.2,0.2,675,0
2014-07-09,0.21,0.2296,0.2,0.2,6344,0
2014-07-10,0.23,0.23,0.19,0.19,2200,0
2014-07-14,0.15,0.1501,0.15,0.15,85500,0
2014-07-16,0.15,0.1749,0.15,0.1749,11275,0
2014-07-25,0.15,0.15,0.15,0.15,9900,0
2014-08-12,0.18,0.18,0.18,0.18,2000,0
2014-08-14,0.14,0.14,0.14,0.14,3900,0
2014-08-15,0.1597,0.1597,0.1597,0.1597,3500,0
2014-08-19,0.14,0.14,0.14,0.14,15200,0
2014-08-22,0.16,0.16,0.16,0.16,5000,0
2014-08-25,0.1741,0.1741,0.1741,0.1741,275,0
2014-08-26,0.1208,0.1208,0.12,0.12,35000,0
2014-08-28,0.156,0.17,0.1305,0.15,26675,0
2014-08-29,0.1501,0.1501,0.15,0.15,13328,0
2014-09-05,0.134,0.134,0.12,0.12,9700,0
2014-09-08,0.1501,0.17,0.1501,0.17,1900,0
2014-09-10,0.13,0.13,0.1201,0.1201,1400,0
2014-09-12,0.12,0.12,0.12,0.12,1000,0
2014-09-16,0.1216,0.1416,0.1216,0.1412,4200,0
2014-09-17,0.16,0.3,0.16,0.25,123680,0
2014-09-18,0.24,0.3001,0.24,0.25,81200,0
2014-09-22,0.25,0.27,0.22,0.22,50075,0
2014-09-23,0.286,0.35,0.28,0.3001,120249,0
2014-09-24,0.3,0.3,0.26,0.3,43700,0
2014-09-25,0.379,0.39,0.379,0.38,19375,0
2014-09-30,0.4,0.47,0.39,0.4,15100,0
2014-10-01,0.42,0.42,0.4,0.4,2372,0
2014-10-02,0.39,0.39,0.39,0.39,100,0
2014-10-03,0.35,0.35,0.29,0.3,39935,0
2014-10-10,0.32,0.32,0.25,0.32,750,0
2014-10-15,0.2499,0.25,0.2499,0.25,40200,0
2014-10-16,0.25,0.28,0.23,0.28,68500,0
2014-10-17,0.25,0.25,0.25,0.25,400,0
2014-10-22,0.3,0.32,0.3,0.32,25128,0
2014-10-23,0.32,0.32,0.29,0.29,3100,0
2014-10-24,0.32,0.32,0.32,0.32,5900,0
2014-10-27,0.3,0.3,0.3,0.3,300,0
2014-10-29,0.3199,0.4,0.3199,0.36,16600,0
2014-10-30,0.4,0.4,0.4,0.4,1000,0
2014-10-31,0.39,0.39,0.39,0.39,500,0
2014-11-04,0.36,0.39,0.36,0.39,900,0
2014-11-06,0.35,0.39,0.35,0.39,10100,0
2014-11-13,0.37,0.4,0.35,0.39,1500,0
2014-11-14,0.39,0.39,0.39,0.39,200,0
2014-11-20,0.35,0.35,0.35,0.35,600,0
2014-12-01,0.36,0.36,0.36,0.36,100,0
