Date,Open,High,Low,Close,Volume,OpenInt
2015-12-17,24.338,24.396,24.254,24.254,3678,0
2015-12-18,23.882,23.882,23.776,23.776,1680,0
2015-12-21,23.786,23.843,23.701,23.796,9665,0
2015-12-22,23.892,24.083,23.892,24.083,2792,0
2015-12-23,24.083,24.083,24.083,24.083,107,0
2015-12-24,24.328,24.328,24.328,24.328,10929,0
2015-12-28,24.2,24.2,24.2,24.2,503,0
2015-12-29,24.51,24.51,24.51,24.51,851,0
2015-12-30,24.454,24.48,24.44,24.48,1472,0
2016-01-04,24.034,24.034,23.563,23.624,3044,0
2016-01-06,23.529,23.614,23.434,23.446,2262,0
2016-01-07,23.329,23.329,22.987,22.987,4244,0
2016-01-08,23.025,23.075,22.798,22.798,2052,0
2016-01-11,23.11,23.11,23.11,23.11,325,0
2016-01-12,22.91,22.938,22.682,22.938,1056,0
2016-01-13,22.807,22.807,22.654,22.654,610,0
2016-01-14,22.537,22.9,22.537,22.9,16722,0
2016-01-15,22.311,22.394,22.282,22.303,1391,0
2016-01-19,22.434,22.492,22.358,22.358,840,0
2016-01-20,21.833,22.072,21.748,22.072,2203,0
2016-01-21,22.214,22.282,22.119,22.119,1693,0
2016-01-22,22.748,22.748,22.37,22.37,1164,0
2016-01-29,22.882,22.882,22.739,22.739,315,0
2016-02-02,22.739,22.739,22.709,22.709,208,0
2016-02-03,22.692,22.692,22.615,22.615,1586,0
2016-02-05,22.919,22.919,22.777,22.777,1576,0
2016-02-08,22.377,22.377,22.377,22.377,108,0
2016-02-09,22.529,22.529,22.519,22.519,208,0
2016-02-11,22.308,22.308,22.308,22.308,107,0
2016-02-12,22.434,22.434,22.434,22.434,420,0
2016-02-16,22.938,22.938,22.938,22.938,315,0
2016-02-23,23.329,23.329,23.329,23.329,282,0
2016-02-24,23.292,23.292,23.292,23.292,810,0
2016-02-25,23.47,23.491,23.47,23.491,525,0
2016-02-26,23.996,23.996,23.567,23.567,3204,0
2016-02-29,23.529,23.609,23.481,23.481,730,0
2016-03-01,23.421,23.491,23.421,23.491,208,0
2016-03-02,23.853,23.853,23.853,23.853,938,0
2016-03-03,23.815,23.834,23.815,23.834,1649,0
2016-03-04,23.996,23.996,23.883,23.883,808,0
2016-03-07,24.083,24.254,24.006,24.148,2778,0
2016-03-08,24.006,24.093,23.957,23.967,2253,0
2016-03-09,24.328,24.328,24.16,24.186,4579,0
2016-03-10,24.278,24.278,24.101,24.101,2165,0
2016-03-11,24.435,24.473,24.425,24.458,5499,0
2016-03-14,24.444,24.464,24.444,24.464,1339,0
2016-03-15,24.328,24.473,24.328,24.473,1806,0
2016-03-16,24.444,24.635,24.435,24.635,1646,0
2016-03-17,24.672,24.807,24.672,24.779,2133,0
2016-03-18,24.82,24.826,24.82,24.826,1050,0
2016-03-21,24.93,24.996,24.882,24.996,1370,0
2016-03-22,24.985,24.985,24.985,24.985,15852,0
2016-03-23,24.862,24.878,24.842,24.842,2047,0
2016-03-24,24.662,24.826,24.662,24.826,1397,0
2016-03-28,24.835,24.893,24.779,24.824,3781,0
2016-03-29,24.691,24.999,24.686,24.999,4216,0
2016-03-31,25.134,25.134,24.999,24.999,2748,0
2016-04-01,24.918,25.036,24.918,25.013,626,0
2016-04-04,25.229,25.229,25.096,25.096,3026,0
2016-04-05,24.962,25.017,24.903,24.915,6631,0
2016-04-06,25.046,25.114,25.046,25.046,530,0
2016-04-07,24.97,24.97,24.962,24.962,943,0
2016-04-08,25.096,25.096,24.942,24.942,1575,0
2016-04-11,24.942,24.942,24.942,24.942,106,0
2016-04-14,25.297,25.373,25.297,25.373,400,0
2016-04-15,25.311,25.311,25.243,25.252,2190,0
2016-04-18,25.376,25.376,25.376,25.376,359,0
2016-04-19,25.835,25.835,25.599,25.599,2264,0
2016-04-20,25.562,25.653,25.562,25.653,554,0
2016-04-21,25.584,25.584,25.555,25.584,1330,0
2016-04-25,25.313,25.313,25.313,25.313,1438,0
2016-04-28,25.507,25.507,25.507,25.507,548,0
2016-05-02,24.999,25.067,24.999,25.067,2263,0
2016-05-05,25.249,25.249,25.046,25.046,470,0
2016-05-06,24.944,24.944,24.944,24.944,354,0
2016-05-09,25.219,25.219,25.006,25.006,1234,0
2016-05-11,25.259,25.259,25.162,25.181,2178,0
2016-05-13,24.826,24.979,24.826,24.979,493,0
2016-05-16,24.942,25.219,24.942,25.219,5248,0
2016-05-20,25.046,25.046,24.849,24.886,6836,0
2016-05-23,25.114,25.114,24.874,24.909,923,0
2016-05-24,25.219,25.229,25.219,25.229,391,0
2016-05-25,25.229,25.47,25.229,25.47,672,0
2016-05-26,25.766,25.766,25.469,25.469,5526,0
2016-05-27,25.513,25.513,25.478,25.507,976,0
2016-05-31,25.354,25.411,25.354,25.411,1459,0
2016-06-01,25.251,25.411,25.251,25.395,1083,0
2016-06-02,25.471,25.471,25.471,25.471,521,0
2016-06-06,25.536,25.536,25.536,25.536,235,0
2016-06-07,25.835,25.835,25.821,25.821,573,0
2016-06-08,26.044,26.044,25.852,25.862,3317,0
2016-06-09,25.785,25.785,25.785,25.785,1159,0
2016-06-10,25.766,25.776,25.67,25.679,1876,0
2016-06-13,25.67,25.69,25.67,25.69,417,0
2016-06-14,25.297,25.469,25.297,25.373,2135,0
2016-06-16,25.421,25.536,25.373,25.536,17090,0
2016-06-17,25.497,25.497,25.362,25.46,788,0
2016-06-20,25.852,25.862,25.852,25.852,1981,0
2016-06-22,25.728,25.728,25.557,25.557,3227,0
2016-06-23,25.766,25.92,25.757,25.92,2154,0
2016-06-24,25.468,25.496,25.092,25.092,3653,0
2016-06-27,24.918,24.918,24.55,24.579,2454,0
2016-06-28,25.072,25.092,24.888,25.091,4734,0
2016-06-29,25.215,25.487,25.215,25.461,3879,0
2016-06-30,25.485,25.853,24.947,25.853,5790,0
2016-07-01,25.989,25.989,25.831,25.97,1865,0
2016-07-05,25.816,25.816,25.709,25.786,573,0
2016-07-06,25.526,25.917,25.526,25.917,1404,0
2016-07-07,26.047,26.047,25.755,25.755,2226,0
2016-07-08,26.193,26.297,26.067,26.297,3438,0
2016-07-11,26.55,26.55,26.391,26.464,1313,0
2016-07-12,27.515,27.515,26.433,26.573,2749,0
2016-07-13,26.416,26.616,26.416,26.511,3809,0
2016-07-14,26.83,26.917,26.79,26.851,3325,0
2016-07-15,26.771,26.81,26.655,26.655,1749,0
2016-07-18,26.66,26.79,26.66,26.78,927,0
2016-07-19,26.626,26.626,26.626,26.626,235,0
2016-07-20,26.728,26.8,26.723,26.771,4764,0
