Date,Open,High,Low,Close,Volume,OpenInt
2012-11-02,16.63,17.083,16.083,16.083,9121489,0
2012-11-05,16.156,16.486,15.652,16.335,1233679,0
2012-11-06,16.477,16.477,16.103,16.19,161125,0
2012-11-07,16.19,16.436,15.687,16.321,318774,0
2012-11-08,16.256,16.326,15.975,16.004,86948,0
2012-11-09,15.938,16.349,15.91,16.198,80346,0
2012-11-12,16.19,16.206,15.702,15.876,110993,0
2012-11-13,15.833,15.833,15.399,15.616,242948,0
2012-11-14,15.551,15.751,15.343,15.494,138565,0
2012-11-15,15.328,15.531,15.255,15.371,63606,0
2012-11-16,15.336,15.456,14.768,15.285,205388,0
2012-11-19,15.47,15.579,15.293,15.437,64683,0
2012-11-20,15.183,15.379,15.003,15.328,195717,0
2012-11-21,15.277,15.506,15.083,15.437,273871,0
2012-11-23,15.596,16.372,15.557,15.745,55414,0
2012-11-26,15.788,15.97,15.775,15.946,102031,0
2012-11-27,16.163,16.551,16.083,16.551,236387,0
2012-11-28,16.477,16.588,16.223,16.477,65070,0
2012-11-29,16.459,16.594,16.062,16.12,41797,0
2012-11-30,16.229,16.259,15.562,16.159,61087,0
2012-12-03,16.464,16.666,16.349,16.436,140462,0
2012-12-04,16.304,16.36,16.122,16.252,27075,0
2012-12-05,16.112,16.326,16.019,16.271,54962,0
2012-12-06,16.241,16.63,16.075,16.355,66454,0
2012-12-07,16.436,16.436,16.156,16.372,49245,0
2012-12-10,16.436,16.436,16.198,16.3,31841,0
2012-12-11,16.283,16.283,16.048,16.098,47469,0
2012-12-12,16.033,16.14,16.033,16.134,31945,0
2012-12-13,16.083,16.083,15.652,15.695,31412,0
2012-12-14,15.659,15.709,15.637,15.687,9899,0
2012-12-17,15.596,15.817,15.47,15.817,11797,0
2012-12-18,15.91,16.544,15.672,16.083,70350,0
2012-12-19,16.178,16.326,16.083,16.19,55352,0
2012-12-20,16.508,16.515,16.134,16.471,37386,0
2012-12-21,16.464,16.716,16.004,16.004,76495,0
2012-12-24,16.039,16.716,16.039,16.566,37172,0
2012-12-26,16.607,16.658,16.256,16.307,17105,0
2012-12-27,16.349,16.508,16.198,16.214,14423,0
2012-12-28,16.198,16.355,16.171,16.264,4795,0
2012-12-31,15.51,16.629,15.33,16.549,33849,0
2013-01-02,16.716,17.256,16.624,17.162,134235,0
2013-01-03,17.14,17.537,16.925,17.256,117250,0
2013-01-04,17.32,17.572,17.177,17.205,84148,0
2013-01-07,17.205,17.393,17.083,17.127,77619,0
2013-01-08,17.112,17.156,16.601,16.788,59061,0
2013-01-09,16.709,17.058,16.375,16.971,54129,0
2013-01-10,17.144,17.601,16.941,17.527,287108,0
2013-01-11,17.501,17.99,17.487,17.875,106443,0
2013-01-14,17.905,17.978,17.581,17.623,101053,0
2013-01-15,17.437,17.782,17.437,17.732,26853,0
2013-01-16,17.594,17.99,17.594,17.639,243382,0
2013-01-17,17.953,17.953,17.702,17.739,43806,0
2013-01-18,17.725,17.805,17.413,17.623,17537,0
