Date,Open,High,Low,Close,Volume,OpenInt
2014-10-15,20.191,25.521,19.908,24.106,15038760,0
2014-10-16,23.853,26.871,23.559,25.924,1223876,0
2014-10-17,24.462,26.652,24.187,25.394,741515,0
2014-10-20,26.516,26.516,24.828,24.873,312102,0
2014-10-21,24.882,26.177,24.662,24.964,982306,0
2014-10-22,25.318,25.558,24.643,24.682,371532,0
2014-10-23,25.111,25.648,24.801,25.328,199043,0
2014-10-24,25.558,26.06,25.328,25.466,98579,0
2014-10-27,25.449,26.067,25.303,25.969,45151,0
2014-10-28,26.471,27.384,26.196,26.837,199586,0
2014-10-29,27.218,28.797,26.819,27.082,320335,0
2014-10-30,26.974,27.403,26.416,27.109,139274,0
2014-10-31,27.202,27.384,26.936,27.246,111029,0
2014-11-03,27.384,28.488,27.018,28.386,144005,0
2014-11-04,28.059,28.113,27.622,27.657,144786,0
2014-11-05,28.415,29.145,28.023,28.696,128399,0
2014-11-06,28.516,29.647,28.187,29.436,174058,0
2014-11-07,29.985,32.687,29.62,30.159,251729,0
2014-11-10,30.476,32.523,30.476,30.687,218493,0
2014-11-11,31.033,32.413,30.841,31.317,357194,0
2014-11-12,31.033,32.302,30.841,31.309,236649,0
2014-11-13,31.628,32.121,31.381,31.555,147435,0
2014-11-14,31.59,32.011,31.18,31.492,211316,0
2014-11-17,31.746,31.938,30.259,30.687,302468,0
2014-11-18,30.614,30.642,29.519,29.848,175078,0
2014-11-19,29.792,29.957,29.026,29.355,228160,0
2014-11-20,29.319,30.377,29.135,29.392,260510,0
2014-11-21,29.912,30.176,29.3,29.41,488399,0
2014-11-24,29.3,30.66,28.67,29.026,283184,0
2014-11-25,28.982,29.629,28.386,28.843,500784,0
2014-11-26,29.073,30.444,28.241,29.656,531848,0
2014-11-28,29.099,29.612,27.612,28.343,182341,0
2014-12-01,28.142,28.908,26.917,27.082,270087,0
2014-12-02,27.155,31.007,26.745,28.935,521846,0
2014-12-03,29.281,30.989,28.99,30.12,237626,0
2014-12-04,30.486,32.533,30.139,32.14,304706,0
2014-12-05,32.185,32.404,30.915,31.518,161862,0
2014-12-08,31.427,31.709,28.843,29.484,505907,0
2014-12-09,28.297,29.107,28.003,28.754,570163,0
2014-12-10,28.587,28.899,27.941,28.479,185882,0
2014-12-11,28.754,31.784,28.507,29.09,160741,0
2014-12-12,28.688,31.547,28.316,30.12,244521,0
2014-12-15,30.304,30.808,29.402,30.076,278468,0
2014-12-16,30.249,30.77,29.921,30.104,288584,0
2014-12-17,30.357,31.938,29.966,31.4,331528,0
2014-12-18,32.55,34.057,30.723,31.718,342896,0
2014-12-19,31.866,32.43,31.371,32.036,301179,0
2014-12-22,31.947,32.687,31.947,32.421,293340,0
2014-12-23,32.43,33.16,31.408,32.858,220727,0
2014-12-24,33.179,33.938,32.55,33.226,237364,0
2014-12-26,33.269,34.284,33.16,33.954,245724,0
2014-12-29,34.366,35.671,33.791,34.795,553324,0
2014-12-30,34.795,35.533,34.284,35.216,155808,0
2014-12-31,35.37,35.965,34.522,35.781,354037,0
2015-01-02,35.691,35.946,34.348,35.216,372292,0
2015-01-05,34.833,35.169,32.131,32.697,292176,0
2015-01-06,33.016,33.58,32.113,32.121,195360,0
2015-01-07,32.495,32.614,31.572,32.018,448869,0
2015-01-08,32.658,33.059,32.131,32.834,433789,0
2015-01-09,32.858,33.253,32.449,32.97,291175,0
2015-01-12,32.605,33.016,31.791,32.193,312219,0
2015-01-13,32.678,32.834,31.309,31.362,112029,0
2015-01-14,30.999,32.807,30.486,30.761,212855,0
2015-01-15,30.825,31.59,30.267,30.476,123062,0
2015-01-16,30.333,31.033,30.304,30.377,53119,0
2015-01-20,31.033,32.036,30.669,31.153,247904,0
2015-01-21,31.29,31.893,31.033,31.893,143976,0
2015-01-22,32.266,32.331,31.273,31.866,145693,0
2015-01-23,31.647,33.836,31.647,31.957,210218,0
2015-01-26,32.185,32.723,31.828,32.201,105633,0
2015-01-27,31.928,32.258,31.499,31.618,103762,0
2015-01-28,32.027,32.027,31.254,31.327,98564,0
2015-01-29,31.362,31.911,30.816,30.915,77621,0
2015-01-30,30.722,32.07,30.722,31.941,79071,0
2015-02-02,32.079,32.72,31.84,32.582,87991,0
2015-02-03,32.903,35.003,32.601,34.921,138451,0
2015-02-04,34.618,35.258,34.14,34.461,175929,0
2015-02-05,34.829,35.864,34.535,35.185,133447,0
2015-02-06,35.176,37.101,34.552,36.661,188521,0
2015-02-09,37.021,37.514,34.846,35.158,152105,0
2015-02-10,35.397,36.02,34.417,35.443,111963,0
2015-02-11,35.149,36.661,34.672,35.909,154306,0
2015-02-12,36.314,37.394,35.764,36.608,70839,0
2015-02-13,36.57,37.111,36.57,36.608,47207,0
2015-02-17,36.616,37.604,36.477,36.661,60040,0
2015-02-18,36.616,36.707,36.24,36.434,47877,0
2015-02-19,36.524,36.524,35.927,36.039,20164,0
2015-02-20,35.891,38.074,35.479,37.349,93790,0
2015-02-23,37.432,38.201,37.211,38.128,65523,0
2015-02-24,38.384,38.493,37.313,37.679,64913,0
2015-02-25,37.604,38.486,37.357,38.403,53572,0
2015-02-26,38.476,38.493,37.331,37.558,32531,0
2015-02-27,37.743,38.493,37.441,37.578,51980,0
2015-03-02,37.944,38.403,37.011,37.651,94595,0
2015-03-03,37.524,38.779,37.157,37.524,164205,0
2015-03-04,37.167,37.524,36.9,36.964,43753,0
2015-03-05,37.524,38.026,36.02,36.608,77029,0
2015-03-06,36.424,37.468,36.24,36.608,107143,0
2015-03-09,36.424,36.873,34.855,34.865,85867,0
2015-03-10,34.417,36.634,33.058,36.616,98742,0
2015-03-11,36.57,37.248,34.983,35.323,62192,0
2015-03-12,35.533,35.697,33.765,34.819,60117,0
2015-03-13,34.509,35.268,33.939,34.224,88922,0
2015-03-16,34.003,34.15,32.841,33.077,250837,0
2015-03-17,32.884,34.819,32.765,33.876,167369,0
2015-03-18,33.637,35.755,33.243,33.947,83904,0
2015-03-19,33.746,36.092,33.746,34.224,53789,0
2015-03-20,34.307,35.957,33.82,34.7,81831,0
2015-03-23,34.48,34.765,33.647,34.645,59355,0
2015-03-24,34.242,35.827,34.059,35.194,66663,0
2015-03-25,35.277,36.524,34.662,35.817,334629,0
2015-03-26,35.901,36.8,35.836,36.477,129400,0
2015-03-27,36.826,36.891,35.387,35.717,67318,0
2015-03-30,36.056,36.909,35.764,36.836,94921,0
2015-03-31,36.589,38.384,36.286,38.045,172060,0
2015-04-01,38.1,38.493,37.111,37.304,65465,0
2015-04-02,37.679,37.807,35.514,35.523,72993,0
2015-04-06,35.572,36.202,34.233,34.461,1152274,0
2015-04-07,34.682,36.452,33.82,34.021,249824,0
2015-04-08,34.031,35.855,34.031,35.582,112380,0
2015-04-09,35.697,35.901,34.993,35.697,109926,0
2015-04-10,35.514,36.339,35.471,36.332,37750,0
2015-04-13,36.339,36.56,36.048,36.366,246471,0
2015-04-14,36.332,36.661,36.202,36.396,73536,0
2015-04-15,36.46,37.394,36.101,37.276,109080,0
2015-04-16,37.385,38.146,37.064,37.458,141646,0
2015-04-17,37.331,37.844,37.157,37.816,125583,0
2015-04-20,37.854,37.854,37.331,37.375,53694,0
2015-04-21,37.514,37.854,37.167,37.394,76890,0
2015-04-22,37.524,37.762,37.404,37.578,35443,0
2015-04-23,37.219,37.854,37.219,37.854,30005,0
2015-04-24,37.854,38.165,37.448,37.66,50409,0
2015-04-27,37.643,37.934,37.357,37.724,92194,0
2015-04-28,38.1,38.1,37.357,37.624,30878,0
2015-04-29,37.604,37.698,37.357,37.542,54445,0
2015-04-30,37.596,37.643,37.266,37.441,54664,0
2015-05-01,37.685,37.999,37.538,37.739,59860,0
2015-05-04,37.739,38.66,36.239,36.358,58338,0
2015-05-05,36.717,36.976,36.452,36.811,64641,0
2015-05-06,37.049,37.049,36.358,36.551,62206,0
2015-05-07,36.635,37.27,35.779,37.197,60327,0
2015-05-08,37.214,37.399,36.819,37.28,39871,0
2015-05-11,37.095,37.38,35.511,37.049,85282,0
2015-05-12,36.976,36.976,36.037,36.589,142093,0
2015-05-13,36.46,37.024,36.266,36.635,52146,0
2015-05-14,36.452,37.058,36.065,36.772,113093,0
2015-05-15,36.772,37.187,36.358,36.709,210389,0
2015-05-18,36.754,37.076,36.652,36.819,57700,0
2015-05-19,36.811,38.237,36.358,38.015,216625,0
2015-05-20,37.999,38.698,37.584,38.66,26399,0
2015-05-21,38.503,39.259,38.127,38.33,78763,0
2015-05-22,38.476,40.814,38.117,38.954,83977,0
2015-05-26,38.852,39.001,38.144,38.807,44783,0
2015-05-27,38.476,39.066,37.923,38.669,81262,0
2015-05-28,39.066,39.682,38.45,38.761,67785,0
2015-05-29,38.852,39.406,38.458,38.807,132757,0
2015-06-01,38.596,39.001,37.98,38.698,162197,0
2015-06-02,38.669,39.046,38.486,38.651,231048,0
2015-06-03,38.77,39.137,37.786,37.861,94843,0
2015-06-04,37.704,37.895,36.366,37.058,104294,0
2015-06-05,37.316,38.006,36.912,37.151,157637,0
2015-06-08,37.187,37.729,37.049,37.298,74634,0
2015-06-09,36.884,37.362,36.525,36.635,97956,0
2015-06-10,36.727,37.316,36.727,37.17,147580,0
2015-06-11,37.206,37.206,36.929,37.03,29977,0
2015-06-12,37.076,37.353,36.912,37.049,247914,0
2015-06-15,36.811,37.786,36.645,37.399,146229,0
2015-06-16,37.721,37.951,37.463,37.749,184687,0
2015-06-17,37.951,38.237,36.534,37.721,209238,0
2015-06-18,38.154,38.493,37.298,37.851,151227,0
2015-06-19,37.879,38.117,37.463,37.62,620548,0
2015-06-22,37.685,37.804,36.507,37.593,176974,0
2015-06-23,37.473,37.759,37.039,37.656,150404,0
2015-06-24,37.463,37.841,37.38,37.729,86910,0
2015-06-25,37.749,38.098,37.584,37.794,181862,0
2015-06-26,37.704,37.721,36.571,37.187,87238,0
2015-06-29,37.133,37.289,36.542,36.681,114289,0
2015-06-30,36.727,36.884,34.712,35.263,180016,0
2015-07-01,35.088,35.899,35.043,35.511,77025,0
2015-07-02,35.649,36.478,35.292,35.788,286699,0
2015-07-06,35.752,35.844,33.605,34.058,241395,0
2015-07-07,34.012,35.06,32.558,34.977,134931,0
2015-07-08,34.822,35.161,34.049,34.914,89410,0
2015-07-09,35.227,36.065,34.914,35.06,105595,0
2015-07-10,35.347,35.824,35.127,35.704,57688,0
2015-07-13,35.688,35.925,34.519,34.887,126563,0
2015-07-14,34.646,35.356,34.519,34.526,72206,0
2015-07-15,34.471,35.016,33.137,33.183,143222,0
2015-07-16,33.193,34.62,31.047,33.809,434558,0
2015-07-17,33.783,33.901,32.235,32.723,122872,0
2015-07-20,32.732,32.972,31.416,31.737,113636,0
2015-07-21,31.665,33.054,30.928,32.134,144815,0
2015-07-22,31.95,32.41,31.59,31.903,176754,0
2015-07-23,32.272,33.293,31.885,32.289,116351,0
2015-07-24,33.045,33.045,31.066,31.306,187947,0
2015-07-27,31.104,31.507,30.864,31.114,120699,0
2015-07-28,31.158,31.94,30.928,31.269,202395,0
2015-07-29,30.966,32.86,30.966,32.584,110703,0
2015-07-30,32.483,32.749,31.92,32.364,116570,0
2015-07-31,32.362,32.944,31.965,32.501,132049,0
2015-08-03,32.519,33.103,32.018,32.195,202557,0
2015-08-04,32.214,32.389,30.891,31.381,135399,0
2015-08-05,31.447,32.046,29.511,30.076,265287,0
2015-08-06,30.121,30.706,28.143,30.14,329702,0
2015-08-07,30.216,31.4,29.242,31.028,193427,0
2015-08-10,31.139,31.668,30.085,31.298,101253,0
2015-08-11,31.185,31.39,30.54,30.853,245122,0
2015-08-12,30.752,31.601,30.632,31.114,115085,0
2015-08-13,30.945,31.205,30.622,30.853,139720,0
2015-08-14,30.927,31.565,30.439,31.4,93363,0
2015-08-17,31.863,32.435,31.437,31.621,105792,0
2015-08-18,31.761,32.242,31.677,32.14,92716,0
2015-08-19,32.454,32.758,31.621,32.269,50681,0
2015-08-20,32.113,32.657,31.315,31.611,109358,0
2015-08-21,31.437,31.51,29.918,31.094,157336,0
2015-08-24,25.847,31.139,24.986,29.529,299626,0
2015-08-25,30.439,30.439,29.354,30.308,89041,0
2015-08-26,30.439,31.121,29.947,31.114,122649,0
2015-08-27,31.114,33.528,31.114,33.352,213957,0
2015-08-28,32.973,35.101,32.973,34.322,155498,0
2015-08-31,34.306,34.306,33.157,33.907,217309,0
2015-09-01,33.305,33.659,32.491,32.807,95202,0
2015-09-02,32.869,33.499,32.445,32.918,101036,0
2015-09-03,33.251,33.557,32.835,33.269,65052,0
2015-09-04,33.019,33.445,32.758,32.935,58460,0
2015-09-08,33.037,33.26,31.463,32.232,98658,0
2015-09-09,32.732,32.835,31.195,31.437,139289,0
2015-09-10,31.732,31.732,30.371,30.54,119945,0
2015-09-11,29.242,29.798,28.465,28.865,280200,0
2015-09-14,28.966,29.113,27.114,28.113,308619,0
2015-09-15,28.677,28.677,27.031,27.66,251346,0
2015-09-16,27.974,28.411,27.364,27.974,192023,0
2015-09-17,28.215,28.215,27.161,27.282,166737,0
2015-09-18,27.031,28.051,26.977,27.578,202504,0
2015-09-21,27.873,28.687,25.615,25.912,382965,0
2015-09-22,25.8,26.246,25.346,25.541,381990,0
2015-09-23,25.847,25.985,24.256,25.191,411708,0
2015-09-24,24.986,26.494,24.061,26.216,404620,0
2015-09-25,26.162,27.123,25.967,26.698,398092,0
2015-09-28,26.532,26.606,24.939,25.216,224031,0
2015-09-29,25.551,25.865,22.673,23.181,374429,0
2015-09-30,23.33,25.68,23.31,24.847,370430,0
2015-10-01,25.022,25.68,24.652,25.164,253509,0
2015-10-02,24.977,25.967,24.616,25.746,390311,0
2015-10-05,26.282,27.031,25.856,25.995,600596,0
2015-10-06,26.236,26.236,25.366,25.504,344926,0
2015-10-07,26.014,26.421,24.754,26.086,579633,0
2015-10-08,26.086,27.974,25.791,27.263,478164,0
2015-10-09,27.605,28.113,27.123,27.891,65270,0
2015-10-12,28.068,28.391,27.605,28.27,130553,0
2015-10-13,27.957,28.456,27.726,28.29,74453,0
2015-10-14,28.456,29.984,27.754,29.595,178298,0
2015-10-15,29.29,30.752,28.652,30.696,109032,0
2015-10-16,30.696,31.224,29.798,31.104,310240,0
2015-10-19,30.843,31.195,30.464,30.798,98767,0
2015-10-20,30.798,30.965,30.556,30.566,55914,0
2015-10-21,30.447,30.641,28.875,28.882,76722,0
2015-10-22,28.835,28.956,27.983,28.652,180460,0
2015-10-23,28.687,29.445,27.865,29.429,68079,0
2015-10-26,29.529,30.187,28.373,29.605,206611,0
2015-10-27,29.232,29.232,27.568,27.633,108493,0
2015-10-28,27.495,28.318,27.171,28.215,82665,0
2015-10-29,28.042,29.049,27.891,29.011,48951,0
2015-10-30,29.105,31.563,28.909,30.511,146882,0
2015-11-02,30.753,31.444,29.049,30.027,148206,0
2015-11-03,29.943,32.318,29.533,32.271,137327,0
2015-11-04,32.439,32.467,30.167,30.214,96722,0
2015-11-05,30.119,30.268,29.011,29.375,57122,0
2015-11-06,29.021,29.691,28.48,29.272,43807,0
2015-11-09,29.039,30.744,28.5,29.506,75620,0
2015-11-10,29.498,30.36,29.385,29.915,31566,0
2015-11-11,29.841,30.148,28.975,29.346,200568,0
2015-11-12,28.918,29.068,28.275,28.528,52720,0
2015-11-13,28.164,29.272,27.651,28.045,111342,0
2015-11-16,28.146,29.478,28.146,29.356,95130,0
2015-11-17,29.292,30.046,28.805,29.841,99104,0
2015-11-18,30.027,31.276,30.027,30.846,111021,0
2015-11-19,30.511,31.377,29.021,29.263,103396,0
2015-11-20,29.105,31.117,29.105,30.464,200247,0
2015-11-23,30.223,30.846,28.257,28.378,111342,0
2015-11-24,28.658,30.158,28.658,29.114,111559,0
2015-11-25,28.966,29.879,28.407,29.253,87076,0
2015-11-27,29.432,30.102,28.844,29.924,53792,0
2015-11-30,29.812,30.317,29.16,29.422,139261,0
2015-12-01,29.953,30.185,27.942,28.864,177556,0
2015-12-02,28.519,28.89,27.847,28.053,173846,0
2015-12-03,28.257,28.407,26.925,26.954,227325,0
2015-12-04,26.785,27.402,26.077,26.301,184892,0
2015-12-07,25.891,26.217,24.215,24.97,380948,0
2015-12-08,24.28,27.008,24.262,26.824,278178,0
2015-12-09,27.076,28.48,26.086,26.74,413484,0
2015-12-10,26.637,27.446,25.92,25.984,319750,0
2015-12-11,25.603,25.621,24.235,24.998,390507,0
2015-12-14,24.812,24.932,23.88,24.299,577685,0
2015-12-15,24.616,25.613,24.141,24.55,282814,0
2015-12-16,24.113,25.994,24.113,25.593,568204,0
2015-12-17,25.845,26.067,24.681,25.073,275512,0
2015-12-18,25.22,26.256,25.127,25.733,172007,0
2015-12-21,25.828,26.516,25.444,26.013,394802,0
2015-12-22,26.145,27.456,25.716,27.056,327303,0
2015-12-23,27.419,28.202,27.261,27.875,156117,0
2015-12-24,28.005,28.471,27.698,27.698,86066,0
2015-12-28,27.436,27.625,26.491,27.383,325671,0
2015-12-29,27.373,27.782,26.999,27.344,204212,0
2015-12-30,27.008,27.651,25.808,26.376,263960,0
2015-12-31,26.403,28.65,26.403,28.554,310823,0
2016-01-04,28.519,29.096,27.829,28.797,146612,0
2016-01-05,28.742,28.95,28.248,28.779,88581,0
2016-01-06,28.23,28.443,27.495,27.708,91849,0
2016-01-07,26.665,27.923,26.339,26.497,257260,0
2016-01-08,26.785,26.843,26.05,26.413,167438,0
2016-01-11,26.198,26.301,24.599,24.719,262687,0
2016-01-12,25.127,26.153,24.205,24.606,251407,0
2016-01-13,24.895,25.274,23.646,23.684,131708,0
2016-01-14,23.75,24.914,23.517,24.736,229111,0
2016-01-15,23.843,25.426,23.796,24.876,140318,0
2016-01-19,25.073,25.118,23.443,23.535,196381,0
2016-01-20,23.219,24.066,21.533,23.341,238007,0
2016-01-21,23.097,24.941,23.097,24.467,258818,0
2016-01-22,25.38,26.74,25.38,26.403,178244,0
2016-01-25,25.854,26.237,24.458,25.073,219880,0
2016-01-26,25.435,25.711,24.485,25.22,176747,0
2016-01-27,25.229,25.538,24.346,25.288,114141,0
2016-01-28,26.227,26.609,25.658,25.668,83194,0
2016-01-29,25.864,27.324,25.631,25.984,210097,0
2016-02-01,25.621,26.004,23.396,24.449,786015,0
2016-02-02,24.579,24.886,23.362,24.039,248549,0
2016-02-03,24.549,24.7,23.741,24.615,210455,0
2016-02-04,24.877,26.896,24.747,26.295,144018,0
2016-02-05,26.295,26.944,26.22,26.531,155518,0
2016-02-08,25.901,25.901,23.684,24.408,325390,0
2016-02-09,24.07,24.868,23.854,24.267,81856,0
2016-02-10,24.2,24.887,24.003,24.286,121933,0
2016-02-11,23.948,24.334,23.591,23.948,132913,0
2016-02-12,24.482,24.764,24.088,24.464,220642,0
2016-02-16,25.732,26.137,24.68,25.967,100629,0
2016-02-17,26.436,28.107,26.295,27.667,141708,0
2016-02-18,27.941,28.315,26.343,27.994,103321,0
2016-02-19,27.525,27.544,26.353,26.625,95671,0
2016-02-22,27.311,28.973,27.215,28.811,193207,0
2016-02-23,28.85,29.057,26.999,27.489,84553,0
2016-02-24,26.718,28.38,26.333,28.249,75402,0
2016-02-25,28.662,29.066,27.745,28.568,137584,0
2016-02-26,28.306,29.023,27.553,27.677,88888,0
2016-02-29,27.966,28.84,27.723,28.531,142801,0
2016-03-01,28.84,29.573,28.296,29.169,75364,0
2016-03-02,28.943,30.108,28.776,30.108,119968,0
2016-03-03,30.062,31.555,29.817,31.498,216312,0
2016-03-04,31.733,32.193,30.483,31.686,212733,0
2016-03-07,31.695,31.92,31.075,31.63,121396,0
2016-03-08,31.695,31.893,30.024,30.326,148969,0
2016-03-09,30.483,30.702,29.272,29.366,107816,0
2016-03-10,29.583,31.443,29.208,31.424,122045,0
2016-03-11,31.875,32.109,30.944,31.752,159719,0
2016-03-14,31.338,31.929,30.769,31.057,99145,0
2016-03-15,30.804,31.131,29.743,30.429,98153,0
2016-03-16,30.756,32.643,30.389,32.409,98162,0
2016-03-17,32.474,33.694,32.052,33.105,206401,0
2016-03-18,33.217,33.306,32.315,32.343,144618,0
2016-03-21,32.296,32.818,30.662,30.84,87878,0
2016-03-22,30.977,32.343,30.977,31.875,39498,0
2016-03-23,31.752,32.343,30.814,30.822,54397,0
2016-03-24,30.532,30.992,30.043,30.512,50012,0
2016-03-28,30.715,30.775,29.779,30.493,49063,0
2016-03-29,30.193,30.992,29.874,30.447,53289,0
2016-03-30,30.701,31.798,29.874,31.742,146910,0
2016-03-31,31.798,32.042,30.901,31.695,113637,0
2016-04-01,30.992,31.45,30.146,30.465,72012,0
2016-04-04,30.136,31.141,29.597,30.389,151811,0
2016-04-05,30.389,30.473,29.583,30.267,85917,0
2016-04-06,30.625,30.625,30.062,30.493,39108,0
2016-04-07,30.156,31.283,29.817,31.01,26928,0
2016-04-08,31.037,31.695,30.359,31.226,64323,0
2016-04-11,31.414,31.414,30.071,30.212,205886,0
2016-04-12,30.502,30.953,29.945,30.37,99344,0
2016-04-13,30.493,30.493,28.982,29.253,141711,0
2016-04-14,29.32,29.32,28.254,29.131,121880,0
2016-04-15,29.01,29.01,28.173,28.221,80472,0
2016-04-18,28.146,29.723,27.844,29.404,56607,0
2016-04-19,29.48,30.522,29.48,30.409,102530,0
2016-04-20,30.306,30.429,29.029,29.563,179005,0
2016-04-21,29.602,30.229,28.24,28.493,173304,0
2016-04-22,28.737,29.911,28.644,29.817,85856,0
2016-04-25,29.612,30.277,29.179,30.156,62390,0
2016-04-26,30.532,31.329,30.099,30.522,84619,0
2016-04-27,30.934,31.836,30.522,31.028,82856,0
2016-04-28,30.945,32.372,30.014,31.31,112329,0
2016-04-29,31.864,32.366,31.078,31.711,69009,0
2016-05-02,31.674,32.2,31.144,31.569,70755,0
2016-05-03,31.183,31.183,29.347,29.878,143813,0
2016-05-04,29.999,30.54,29.215,29.575,64784,0
2016-05-05,30.009,30.577,28.857,29.253,61943,0
2016-05-06,28.798,28.961,28.08,28.497,187314,0
2016-05-09,28.563,28.686,26.918,27.713,146179,0
2016-05-10,28.035,28.44,27.646,27.873,75249,0
2016-05-11,27.967,28.09,27.09,27.958,86971,0
2016-05-12,28.204,28.204,26.898,27.343,62045,0
2016-05-13,27.031,27.693,27.012,27.343,58412,0
2016-05-16,27.684,27.854,26.266,26.757,93016,0
2016-05-17,26.776,27.012,26.531,26.606,59399,0
2016-05-18,26.512,27.09,26.001,26.001,126481,0
