Date,Open,High,Low,Close,Volume,OpenInt
2010-02-23,8.5435,8.5435,8.5435,8.5435,0,0
2010-02-24,8.566,8.5809,8.5435,8.5622,381229,0
2010-02-25,8.566,8.5809,8.5533,8.5622,42876,0
2010-02-26,8.5686,8.5917,8.5533,8.566,29474,0
2010-03-01,8.5622,8.5686,8.5533,8.5622,29739,0
2010-03-02,8.5686,8.5686,8.5622,8.566,25863,0
2010-03-03,8.566,8.566,8.5498,8.5622,69530,0
2010-03-04,8.5622,8.5622,8.5498,8.5533,7020,0
2010-03-05,8.5622,8.566,8.5435,8.5435,60152,0
2010-03-08,8.5622,8.5622,8.5435,8.5533,92514,0
2010-03-09,8.5498,8.5533,8.5435,8.5498,112454,0
2010-03-10,8.5498,8.5533,8.5435,8.5533,97151,0
2010-03-11,8.566,8.5809,8.5498,8.5686,37681,0
2010-03-12,8.5498,8.557,8.5435,8.5498,44717,0
2010-03-15,8.557,8.5765,8.557,8.5765,14735,0
2010-03-16,8.5728,8.5728,8.5686,8.5686,12285,0
2010-03-17,8.5686,8.5728,8.5435,8.566,31653,0
2010-03-18,8.5728,8.5728,8.5435,8.557,15627,0
2010-03-19,8.5765,8.6152,8.5686,8.5765,44945,0
2010-03-22,8.607,8.607,8.557,8.557,16854,0
2010-03-23,8.5765,8.5765,8.5435,8.5435,40265,0
2010-03-24,8.5533,8.5533,8.5435,8.5435,16094,0
2010-03-25,8.5533,8.5728,8.5435,8.5498,478964,0
2010-03-26,8.5765,8.5765,8.5435,8.5435,82605,0
2010-03-29,8.5498,8.566,8.5435,8.5435,27720,0
2010-03-30,8.566,8.566,8.5435,8.5435,139665,0
2010-03-31,8.5498,8.5533,8.5435,8.5533,108772,0
2010-04-01,8.5533,8.5533,8.5391,8.5435,136597,0
2010-04-05,8.5435,8.5498,8.5435,8.5435,105595,0
2010-04-06,8.5435,8.5498,8.5435,8.5435,185054,0
2010-04-07,8.5435,8.5498,8.5435,8.5435,65189,0
2010-04-08,8.5533,8.5533,8.5435,8.5435,108622,0
2010-04-09,8.557,8.557,8.5435,8.5435,192048,0
2010-04-12,8.5435,8.5435,8.377,8.4165,196789,0
2010-04-13,8.4988,8.4988,8.2883,8.3945,126666,0
2010-04-14,8.3594,8.4482,8.3558,8.4368,85158,0
2010-04-15,8.4803,8.4847,8.3945,8.4465,107124,0
2010-04-16,8.4761,8.5095,8.4482,8.4988,31127,0
2010-04-19,8.4988,8.5765,8.4847,8.5239,153818,0
2010-04-20,8.9601,8.9601,8.3524,8.5435,94003,0
2010-04-21,8.5533,8.5864,8.5042,8.5864,84803,0
2010-04-22,8.5435,8.5917,8.5435,8.557,60835,0
2010-04-23,8.5971,8.6804,8.5632,8.6804,173154,0
2010-04-26,8.6813,8.7443,8.566,8.6334,141550,0
2010-04-27,8.607,8.6722,8.607,8.6514,69876,0
2010-04-28,8.6514,8.7123,8.607,8.7123,136314,0
2010-04-29,8.6722,8.8432,8.6514,8.6959,110957,0
2010-04-30,8.7983,8.7983,8.6433,8.7634,100463,0
2010-05-03,8.7882,8.8908,8.6478,8.6904,201074,0
2010-05-04,8.6514,8.7983,8.5809,8.7168,147288,0
2010-05-05,8.7799,8.8628,8.6722,8.7577,137360,0
2010-05-06,8.8544,8.9009,8.7405,8.7405,86575,0
2010-05-07,8.8675,8.8675,8.607,8.8675,111542,0
2010-05-10,8.9291,8.9291,8.607,8.7983,59114,0
2010-05-11,8.8488,8.8488,8.6813,8.7405,74139,0
2010-05-12,8.7343,8.8057,8.6959,8.7168,87417,0
2010-05-13,8.7323,8.8628,8.6813,8.7726,80216,0
2010-05-14,8.7688,8.9233,8.6995,8.7799,70931,0
2010-05-17,8.7443,8.8675,8.7223,8.7577,36640,0
2010-05-18,8.727,8.9037,8.607,8.6514,105101,0
2010-05-19,8.6514,8.7343,8.6152,8.6959,110602,0
2010-05-20,8.8675,8.8675,8.4847,8.5917,183772,0
2010-05-21,8.5917,8.7343,8.5435,8.655,125733,0
2010-05-24,8.6297,8.6297,8.5435,8.566,64244,0
2010-05-25,8.5435,8.5765,8.2919,8.4847,82938,0
2010-05-26,8.4165,8.5391,8.392,8.4105,44476,0
2010-05-27,8.3945,8.4628,8.3945,8.4165,19478,0
2010-05-28,8.458,8.4847,8.2283,8.3232,104350,0
2010-06-01,8.3302,8.4165,8.3302,8.3945,31127,0
2010-06-02,8.3981,8.4925,8.392,8.4281,32272,0
2010-06-03,8.4424,8.5435,8.392,8.3981,29507,0
2010-06-04,8.4218,8.4218,8.377,8.3816,26927,0
2010-06-07,8.3622,8.4655,8.3622,8.4368,29110,0
2010-06-08,8.5435,8.5435,8.3524,8.4324,97682,0
2010-06-09,8.4368,8.5622,8.3664,8.5346,94064,0
2010-06-10,8.4988,8.4988,8.4465,8.4482,31496,0
2010-06-11,8.4218,8.5312,8.4218,8.4847,22985,0
2010-06-14,8.4424,8.5042,8.4424,8.4847,16404,0
2010-06-15,8.5141,8.5176,8.4324,8.4655,48938,0
2010-06-16,8.4254,8.4324,8.2919,8.392,67343,0
2010-06-17,8.3664,8.4324,8.2919,8.3428,88659,0
2010-06-18,8.377,8.4465,8.3388,8.4465,21512,0
2010-06-21,8.3945,8.4324,8.3302,8.348,42295,0
2010-06-22,8.3075,8.4218,8.2919,8.405,38386,0
2010-06-23,8.4016,8.4541,8.2456,8.4424,59680,0
2010-06-24,8.3622,8.4882,8.3622,8.4368,38779,0
2010-06-25,8.458,8.4847,8.4105,8.458,60773,0
2010-06-28,8.5435,8.5435,8.4925,8.4925,50052,0
2010-06-29,8.5239,8.5391,8.458,8.458,70774,0
2010-06-30,8.5203,8.5427,8.4925,8.5203,60420,0
2010-07-01,8.5435,8.5435,8.5095,8.5346,30986,0
2010-07-02,8.4925,8.5391,8.4368,8.4803,24918,0
2010-07-06,8.4988,8.5312,8.4465,8.4988,20293,0
2010-07-07,8.5435,8.5435,8.4988,8.5435,29121,0
2010-07-08,8.5435,8.5435,8.4988,8.5176,78516,0
2010-07-09,8.5435,8.5435,8.458,8.5264,57123,0
2010-07-12,8.5435,8.5435,8.458,8.4925,22361,0
2010-07-13,8.5435,8.5435,8.5141,8.5239,22685,0
2010-07-14,8.566,8.566,8.5042,8.5312,29739,0
2010-07-15,8.5728,8.5728,8.4882,8.5312,39136,0
2010-07-16,8.5498,8.5498,8.5312,8.5312,42716,0
2010-07-19,8.5312,8.5435,8.5176,8.5346,21485,0
2010-07-20,8.5435,8.5435,8.4324,8.5239,56528,0
2010-07-21,8.4988,8.5435,8.4988,8.5312,51756,0
2010-07-22,8.5264,8.5435,8.2658,8.5176,147402,0
2010-07-23,8.5141,8.5239,8.4803,8.5239,39790,0
2010-07-26,8.5435,8.7032,8.4368,8.7032,74700,0
2010-07-27,8.6722,8.6722,8.3945,8.5346,60807,0
2010-07-28,8.5435,8.5917,8.4882,8.5312,126279,0
2010-07-29,8.4988,8.5435,8.4368,8.4988,97423,0
