Date,Open,High,Low,Close,Volume,OpenInt
2017-06-29,19.25,20.8,18.185,19.81,2054777,0
2017-06-30,20.2,22.4,19.54,22.29,423265,0
2017-07-03,22.7,23.4999,22.51,23.33,195421,0
2017-07-05,23.52,23.6703,22.078,22.57,142444,0
2017-07-06,22.74,23.71,22.01,23.32,264343,0
2017-07-07,23.4,25.25,22.98,25.17,112807,0
2017-07-10,24.96,28.59,24.8673,27.45,184575,0
2017-07-11,27.37,27.82,25.9,26.81,122253,0
2017-07-12,26.5,26.5,25.101,25.4,126065,0
2017-07-13,25.61,26.2519,22.81,24.99,160931,0
2017-07-14,25,25.25,24,24.03,99901,0
2017-07-17,24.37,25.7,23.02,23.9,107758,0
2017-07-18,24.17,24.75,23.5665,24,122639,0
2017-07-19,24.27,24.5764,22.5,23.07,210200,0
2017-07-20,22.81,23.49,21.7,22.77,150679,0
2017-07-21,22.95,22.95,21.95,22.75,138727,0
2017-07-24,22.43,23.011,21.7,22.27,154433,0
2017-07-25,22.1,22.97,20.26,21.35,195582,0
2017-07-26,21.26,21.26,20.05,20.05,254695,0
2017-07-27,19.84,20.815,19.25,19.87,249369,0
2017-07-28,19.77,20.49,19.05,19.5,274006,0
2017-07-31,19.41,19.8028,18.1,18.5,200929,0
2017-08-01,18.56,19.39,16.98,18.27,210768,0
2017-08-02,18.15,18.65,17.1,18.5,127681,0
2017-08-03,18.57,20.2,18.57,20,152366,0
2017-08-04,20.03,20.75,19.5,19.91,213501,0
2017-08-07,19.97,20.49,18.13,18.58,88661,0
2017-08-08,18.55,19,18.08,18.35,124038,0
2017-08-09,18.24,20.22,18.2,18.55,119793,0
2017-08-10,18.74,18.864,17.55,18.2,96154,0
2017-08-11,18.14,18.3928,17.92,18.25,66318,0
2017-08-14,18.68,21.81,18.57,21.81,272165,0
2017-08-15,21.57,27.18,20.51,26.61,205148,0
2017-08-16,26.41,27.5,23.3,26.21,206962,0
2017-08-17,24.22,26.2,24,25.63,89508,0
2017-08-18,26.14,26.82,24.7011,25.65,84452,0
2017-08-21,26.25,27.83,25.1975,26.33,116334,0
2017-08-22,26.74,27.1894,25.2415,25.72,96096,0
2017-08-23,25.61,26.89,25.0375,25.77,81609,0
2017-08-24,26.16,26.268,24.75,25.32,163478,0
2017-08-25,25.2,26.348,23.5,24.89,126098,0
2017-08-28,24.77,25.3,23.9067,24.98,64138,0
2017-08-29,25,25.94,24.18,24.94,92579,0
2017-08-30,25.22,26,24.001,24.74,95004,0
2017-08-31,24.5,26.0092,24.3468,24.7,116624,0
2017-09-01,24.45,25.38,23.2001,24.7,116740,0
2017-09-05,25.73,28.2435,23.9169,26.04,193312,0
2017-09-06,26.24,26.88,25.3,26.21,83494,0
2017-09-07,26.1,27.675,25.72,26.64,88520,0
2017-09-08,26.43,27.5,26.41,26.95,71551,0
2017-09-11,27.64,27.93,26.17,26.81,83087,0
2017-09-12,26.8,27.42,26.41,26.74,101382,0
2017-09-13,26.57,27.3724,25.4,26.24,119903,0
2017-09-14,26.5,27.47,25.5,26.5,76338,0
2017-09-15,26.49,27.55,26.12,26.38,601529,0
2017-09-18,26.35,27.1878,24.85,26.16,107747,0
2017-09-19,26.35,26.96,25.17,25.83,117789,0
2017-09-20,26.5216,26.74,25.01,25.61,115711,0
2017-09-21,25.42,26.27,25.1,25.37,82099,0
2017-09-22,25.63,26,24,24.54,257078,0
2017-09-25,24.4,25.3002,21.825,22.45,170860,0
2017-09-26,23.8,24.45,23.19,24.04,148208,0
2017-09-27,24.19,24.78,23.56,24.47,126695,0
2017-09-28,24.67,25,24.04,24.46,84634,0
2017-09-29,24.5,24.8,23.91,24.28,108929,0
2017-10-02,24.48,26,24.03,25.57,85256,0
2017-10-03,25.91,26.0083,25.13,25.48,92915,0
2017-10-04,25.68,26.5,25.0003,26.04,73379,0
2017-10-05,26.29,26.72,25.8675,26.63,58816,0
2017-10-06,26.6,27.93,26.6,27.69,33214,0
2017-10-09,27.9869,29.99,27.96,28.27,81596,0
2017-10-10,28,29.16,27.295,27.63,102782,0
2017-10-11,28.06,29.37,27.69,27.81,83303,0
2017-10-12,28.27,28.79,27.56,27.99,31575,0
2017-10-13,28.17,29.37,28.05,28.46,78345,0
2017-10-16,29,29.26,28.2286,28.46,104059,0
2017-10-17,28.17,28.71,27.51,27.81,69598,0
2017-10-18,27.41,28.25,27,27.47,59879,0
2017-10-19,27.39,27.5,26.17,27.13,137750,0
2017-10-20,27,27,26.32,26.73,57832,0
2017-10-23,26,27.45,25.91,26.5,73642,0
2017-10-24,26.85,26.85,25.17,26.42,110517,0
2017-10-25,26.92,26.92,25,25.36,49516,0
2017-10-26,25.775,26.38,25.32,25.42,32561,0
2017-10-27,25.62,25.68,24.45,24.8,55809,0
2017-10-30,24.86,26.44,24.72,25.34,90670,0
2017-10-31,25.5,25.5,24.78,25.06,58439,0
2017-11-01,25.12,25.2,24.01,24.99,81881,0
2017-11-02,25.05,25.5,24.59,25.09,54133,0
2017-11-03,24.95,25.29,24.26,24.95,34377,0
2017-11-06,25.14,25.98,24.93,25.51,55333,0
2017-11-07,25.35,25.45,23.97,24.11,72814,0
2017-11-08,24.28,24.58,23.11,24.19,94204,0
2017-11-09,24.06,24.68,23.53,23.82,41904,0
2017-11-10,22,24.42,22,23.13,52908,0
