Date,Open,High,Low,Close,Volume,OpenInt
2014-10-10,16,17.75,15.04,16.02,8048955,0
2014-10-13,15.89,16.88,15.8,16.02,843955,0
2014-10-14,16.3,16.4,15.61,15.72,510204,0
2014-10-15,15.6,16.44,15.45,16.25,501315,0
2014-10-16,16.14,19.48,15.99,18.81,419812,0
2014-10-17,19.65,19.99,19.1,19.38,310144,0
2014-10-20,19.46,19.69,18,19.19,318273,0
2014-10-21,19.2,20.4,19,19.53,739295,0
2014-10-22,19.65,20.2,18.9,19.74,321365,0
2014-10-23,19.8,22,19.8,21.05,300631,0
2014-10-24,21.25,21.45,20.64,21.03,210254,0
2014-10-27,21.52,21.59,21,21.5,98879,0
2014-10-28,21.4,21.94,20.79,21.56,428861,0
2014-10-29,21.17,21.82,20.82,21.14,311640,0
2014-10-30,21,21.74,20.73,21.61,94147,0
2014-10-31,22,22,21.01,21.5,154403,0
2014-11-03,21.7,21.99,21.51,21.53,192378,0
2014-11-04,21.5,21.87,21.34,21.75,192232,0
2014-11-05,21.91,22.41,20.81,21.1,218783,0
2014-11-06,20.85,21.35,19.25,20.5,256246,0
2014-11-07,20.67,21.83,20.67,21.6,208045,0
2014-11-10,21.93,23.49,20.38,20.52,270542,0
2014-11-11,20.71,21.6,20.66,21.39,338683,0
2014-11-12,21.21,22.31,21.21,22.02,195085,0
2014-11-13,22,22.23,21.67,22.05,188283,0
2014-11-14,21.84,23.47,21.84,23.03,518598,0
2014-11-17,23.45,24.87,23.45,24.1,656324,0
2014-11-18,24.11,24.38,23.77,24.01,275514,0
2014-11-19,24,24.9,23.55,24.5,316665,0
2014-11-20,25.79,25.79,24.68,24.87,345891,0
2014-11-21,25.6,26.4,25,26.28,205508,0
2014-11-24,26.63,28,26.55,27.69,318962,0
2014-11-25,27.99,28.08,27.22,27.8,239188,0
2014-11-26,27.54,28.23,25.08,26.18,288910,0
2014-11-28,25.89,26.87,25.72,26.86,95765,0
2014-12-01,26.85,27.31,24.3,25.79,350035,0
2014-12-02,25.08,27,25.08,26.65,163138,0
2014-12-03,26.81,27.31,26,26.76,228181,0
2014-12-04,27,27.25,26.32,27.16,260598,0
2014-12-05,27.14,27.91,26.91,27.5,319785,0
2014-12-08,27.8,30.08,27.8,29.05,643663,0
2014-12-09,28.91,29.5,27.5,27.85,424229,0
2014-12-10,27.6,28.49,26.09,26.75,247767,0
2014-12-11,27.48,30.76,26.9,28.42,302056,0
2014-12-12,29.75,29.75,27.29,28.49,176361,0
2014-12-15,28.95,31.37,28.59,29.73,475273,0
2014-12-16,29.81,31.36,29.7,29.9,450541,0
2014-12-17,29.8,31.64,29.8,31.18,352277,0
2014-12-18,31.73,32.6,30.65,31.95,412145,0
2014-12-19,32.37,32.37,28.24,29.3,1960257,0
2014-12-22,29.15,29.91,28.75,29.51,398014,0
2014-12-23,29.72,29.77,28.76,29.41,264413,0
2014-12-24,29.29,30.15,28.37,29.9,282356,0
2014-12-26,29.9,30.26,28.05,28.84,176265,0
2014-12-29,28.84,29.18,25.57,26.3,409345,0
2014-12-30,26.43,27.29,26.02,27.18,247315,0
2014-12-31,27.4,27.49,26.93,27.37,194896,0
2015-01-02,27.4,28.56,27.32,28.46,237901,0
2015-01-05,28.5,29.1,27.61,28.47,463951,0
2015-01-06,28.78,28.86,25.27,26.07,402367,0
2015-01-07,26.2,26.65,25.25,26,194763,0
2015-01-08,26.02,26.95,25.98,26.49,254675,0
2015-01-09,26.5,26.8,25.39,25.83,195132,0
2015-01-12,25.83,26.37,25.51,26.23,230558,0
2015-01-13,26.45,26.45,24.57,24.85,320712,0
2015-01-14,24.41,25,24.13,24.62,254317,0
2015-01-15,24.56,25.26,22.12,22.41,610137,0
2015-01-16,22.43,23.84,22.1,23.61,317003,0
2015-01-20,23.55,24.26,22.88,23.78,311174,0
2015-01-21,23.67,24.7,23.65,24.2,205241,0
2015-01-22,24.32,24.86,23.6,24.42,265836,0
2015-01-23,24.35,26.17,24.13,25.61,218550,0
2015-01-26,25.69,26.16,24.92,26.13,237720,0
2015-01-27,25.98,26.45,25.59,26.04,179655,0
2015-01-28,26.82,28,26.64,26.99,439143,0
2015-01-29,27.21,27.24,25.74,25.97,443641,0
2015-01-30,25.73,25.92,24.56,24.57,169564,0
2015-02-02,24.65,25.11,24.2,24.71,161332,0
2015-02-03,24.97,25.09,23.35,24.46,375165,0
2015-02-04,24.6,24.94,23.96,24.19,184499,0
2015-02-05,24.34,24.74,23.71,24.55,257747,0
2015-02-06,24.5,24.79,24.24,24.56,167710,0
2015-02-09,24.42,24.77,24,24.25,112701,0
2015-02-10,24.6,24.67,24,24.57,212785,0
2015-02-11,24.59,25.81,24.3,25.77,135533,0
2015-02-12,25.75,26.78,25.75,25.97,197521,0
2015-02-13,25.96,26.25,24.84,26.14,116362,0
2015-02-17,26.32,26.32,25.29,25.93,117294,0
2015-02-18,25.97,26.21,25.49,25.89,69277,0
2015-02-19,25.94,26.05,25.63,25.99,76163,0
2015-02-20,26.08,26.87,25.8,26.45,160471,0
2015-02-23,26.5,26.63,25.43,25.72,90336,0
2015-02-24,25.9,26.35,25.53,25.81,108140,0
2015-02-25,25.92,26.26,25.45,25.52,96042,0
2015-02-26,26,30.46,25.69,30.09,550404,0
2015-02-27,30.28,30.3,29.51,30,197554,0
2015-03-02,30.02,31.67,29.59,31.53,412800,0
2015-03-03,31.7,33.49,29.78,30.97,846900,0
2015-03-04,31.04,31.16,29.5,30.78,361000,0
2015-03-05,30.74,30.92,29.61,30.48,248000,0
2015-03-06,30.14,30.39,28.51,28.94,231800,0
2015-03-09,29.01,29.01,27.14,28.43,190800,0
2015-03-10,28.37,28.51,27.22,27.63,151500,0
2015-03-11,27.63,28.81,27.4,28.69,201700,0
2015-03-12,28.76,28.97,28,28.04,124300,0
2015-03-13,28.07,28.26,27.41,27.99,124100,0
2015-03-16,27.7,27.76,26.51,27.18,172600,0
2015-03-17,27.4,28.35,26.79,28.17,180100,0
2015-03-18,28.46,28.6,27.2,27.25,277900,0
2015-03-19,27.33,27.33,26.42,27.08,287500,0
2015-03-20,27,28.7,26.97,27.89,1296500,0
2015-03-23,28.08,28.6,27.23,27.79,317500,0
2015-03-24,27.94,32.69,27.9,31.96,955500,0
2015-03-25,32.21,32.21,30.09,30.35,639700,0
2015-03-26,30.09,35,30.09,34.63,6021100,0
2015-03-27,34.5,35.33,33.18,33.72,807800,0
2015-03-30,33.92,35.24,33.72,34.54,635100,0
2015-03-31,34.63,35.9,34.22,34.58,616200,0
2015-04-01,34.55,34.75,33.16,33.53,404400,0
2015-04-02,33.55,35,33.55,33.89,537300,0
2015-04-06,33.86,34.61,32.21,32.87,408100,0
2015-04-07,32.77,33.52,32.72,33.04,270782,0
2015-04-08,33.22,35.11,33.06,33.91,553900,0
2015-04-09,34.01,34.73,32.85,34.39,323311,0
2015-04-10,34.37,35.26,33.51,34.73,314600,0
2015-04-13,34.97,36.41,34.86,35.54,456800,0
2015-04-14,35.45,35.8,34.33,34.37,245800,0
2015-04-15,34.4,35,34.4,34.62,155324,0
2015-04-16,34.63,35.11,34.39,35.06,197916,0
2015-04-17,34.9,35.31,34,34.33,375100,0
2015-04-20,34.16,34.64,33.26,33.88,284016,0
2015-04-21,33.92,34.3,33.63,34.26,132066,0
2015-04-22,34.25,35.02,33.71,34.52,329796,0
2015-04-23,35.37,37.13,35.1,36.25,702500,0
2015-04-24,36.15,36.97,36.03,36.71,419600,0
2015-04-27,36.93,38.1,36.16,36.31,415200,0
2015-04-28,36.28,37.46,35.46,36.96,358700,0
