Date,Open,High,Low,Close,Volume,OpenInt
2016-12-21,73.72,73.72,73.72,73.72,300,0
2017-01-19,74.72,74.72,74.72,74.72,400,0
2017-01-24,75.27,75.87,73.95,75.87,300,0
2017-01-30,73.53,73.6034,73.42,73.53,800,0
2017-02-14,74.73,74.73,74.73,74.73,1088,0
2017-03-07,74.71,74.71,74.71,74.71,218,0
2017-03-15,74.7,74.71,74.7,74.71,657,0
2017-04-06,76.61,76.61,76.61,76.61,143,0
2017-10-06,77.5239,77.5239,77.5239,77.5239,100,0
2017-10-25,77.34,77.34,77.34,77.34,268,0
2017-11-03,77.72,77.8787,77.72,77.8787,300,0
