Date,Open,High,Low,Close,Volume,OpenInt
2013-01-16,19.606,19.683,19.583,19.639,2666730,0
2013-01-17,19.639,19.701,19.631,19.683,1496139,0
2013-01-18,19.701,19.719,19.647,19.693,933384,0
2013-01-22,19.701,19.719,19.591,19.647,753466,0
2013-01-23,19.661,19.661,19.56,19.606,394807,0
2013-01-24,19.576,19.622,19.498,19.529,561529,0
2013-01-25,19.552,19.583,19.49,19.544,854320,0
2013-01-28,19.529,19.568,19.459,19.568,566623,0
2013-01-29,19.49,19.529,19.459,19.513,430055,0
2013-01-30,19.467,19.504,19.45,19.49,485525,0
2013-01-31,19.49,19.568,19.467,19.49,742301,0
2013-02-01,19.481,19.504,19.397,19.467,531393,0
2013-02-04,19.45,19.467,19.363,19.412,477742,0
2013-02-05,19.412,19.529,19.379,19.513,3412483,0
2013-02-06,19.513,19.583,19.498,19.568,354033,0
2013-02-07,19.568,19.606,19.513,19.568,255056,0
2013-02-08,19.583,19.606,19.544,19.606,119532,0
2013-02-11,19.598,19.598,19.529,19.552,193701,0
2013-02-12,19.552,19.568,19.529,19.56,161519,0
2013-02-13,19.536,19.568,19.529,19.544,342527,0
2013-02-14,19.544,19.552,19.498,19.529,170290,0
2013-02-15,19.536,19.56,19.498,19.56,254401,0
2013-02-19,19.568,19.568,19.513,19.568,120061,0
2013-02-20,19.568,19.568,19.529,19.568,141953,0
2013-02-21,19.56,19.56,19.536,19.552,97704,0
2013-02-22,19.552,19.568,19.52,19.544,168485,0
2013-02-25,19.56,19.583,19.544,19.583,251068,0
2013-02-26,19.583,19.661,19.536,19.552,224535,0
2013-02-27,19.552,19.598,19.536,19.598,385864,0
2013-02-28,19.598,19.639,19.568,19.568,177916,0
2013-03-01,19.598,19.639,19.552,19.622,155637,0
2013-03-04,19.639,19.647,19.591,19.622,198865,0
2013-03-05,19.622,19.631,19.583,19.631,256673,0
2013-03-06,19.622,19.676,19.598,19.661,402167,0
2013-03-07,19.661,19.919,19.613,19.647,250233,0
2013-03-08,19.647,19.653,19.613,19.647,115836,0
2013-03-11,19.676,19.676,19.613,19.639,145816,0
2013-03-12,19.622,19.647,19.583,19.631,380120,0
2013-03-13,19.647,19.683,19.606,19.647,107407,0
2013-03-14,19.683,19.724,19.631,19.724,111314,0
2013-03-15,19.788,19.788,19.683,19.747,99425,0
2013-03-18,19.753,19.763,19.693,19.73,99302,0
2013-03-19,19.73,19.73,19.647,19.661,235361,0
2013-03-20,19.683,19.709,19.647,19.709,148812,0
