Date,Open,High,Low,Close,Volume,OpenInt
2016-05-31,23.592,23.592,23.464,23.473,1975,0
2016-06-01,23.444,23.606,23.416,23.606,3163,0
2016-06-02,23.531,23.531,23.531,23.531,125,0
2016-06-03,23.824,23.824,23.824,23.824,105,0
2016-06-06,23.824,23.824,23.824,23.824,0,0
2016-06-07,24.312,24.579,24.312,24.579,3429,0
2016-06-08,24.76,24.76,24.76,24.76,219,0
2016-06-09,24.445,24.445,24.445,24.445,127,0
2016-06-10,24.11,24.11,23.93,23.968,2177,0
2016-06-13,23.824,23.836,23.678,23.702,2979,0
2016-06-14,23.474,23.474,23.474,23.474,314,0
2016-06-15,23.834,23.834,23.779,23.779,887,0
2016-06-16,23.267,23.646,23.267,23.619,5434,0
2016-06-17,23.75,23.759,23.75,23.75,2012,0
2016-06-20,24.28,24.28,24.28,24.28,748,0
2016-06-21,24.405,24.405,24.405,24.405,312,0
2016-06-22,24.405,24.405,24.405,24.405,0,0
2016-06-23,24.646,24.769,24.646,24.769,676,0
2016-06-24,23.917,23.974,23.687,23.735,14836,0
2016-06-27,23.227,23.39,23.227,23.313,13082,0
2016-06-28,23.829,23.829,23.829,23.829,721,0
2016-06-29,24.463,24.463,24.453,24.453,799,0
2016-06-30,24.668,24.668,24.668,24.668,400,0
2016-07-01,24.808,24.875,24.805,24.875,4969,0
2016-07-05,24.548,24.548,24.548,24.548,281,0
2016-07-06,24.237,24.328,24.237,24.328,1132,0
2016-07-07,24.328,24.328,24.328,24.328,0,0
2016-07-08,24.626,24.769,24.626,24.769,5160,0
2016-07-11,24.998,24.998,24.996,24.996,208,0
2016-07-12,25.355,25.355,25.314,25.314,944,0
2016-07-13,25.305,25.325,25.22,25.296,2622,0
2016-07-14,25.593,25.641,25.593,25.641,2240,0
2016-07-15,25.641,25.641,25.641,25.641,0,0
2016-07-18,25.641,25.641,25.641,25.641,0,0
2016-07-19,25.563,25.584,25.529,25.545,1464,0
2016-07-20,25.718,25.718,25.709,25.709,548,0
2016-07-21,25.749,25.749,25.641,25.641,1014,0
2016-07-22,25.784,25.796,25.784,25.796,922,0
2016-07-25,25.796,25.796,25.796,25.796,0,0
2016-07-26,25.765,25.765,25.679,25.679,2564,0
2016-07-27,25.771,25.774,25.726,25.726,842,0
2016-07-28,25.708,25.708,25.689,25.689,1055,0
2016-07-29,25.689,25.689,25.689,25.689,0,0
2016-08-01,25.952,25.957,25.952,25.957,2459,0
2016-08-02,25.823,25.823,25.621,25.621,902,0
2016-08-03,25.751,25.751,25.751,25.751,347,0
2016-08-04,25.826,25.957,25.826,25.957,483,0
2016-08-05,25.957,25.957,25.957,25.957,0,0
2016-08-08,25.957,25.957,25.957,25.957,0,0
2016-08-09,26.608,26.714,26.608,26.666,3222,0
2016-08-10,26.598,26.636,26.598,26.636,848,0
2016-08-11,26.636,26.636,26.636,26.636,0,0
2016-08-12,26.636,26.636,26.636,26.636,0,0
2016-08-15,26.636,26.636,26.636,26.636,0,0
2016-08-16,26.926,26.926,26.926,26.926,642,0
2016-08-17,26.723,26.723,26.618,26.618,227,0
2016-08-18,26.905,26.905,26.905,26.905,208,0
2016-08-19,26.732,26.732,26.732,26.732,255,0
2016-08-22,26.56,26.561,26.492,26.503,3135,0
2016-08-23,26.685,26.685,26.532,26.532,4645,0
2016-08-24,26.532,26.532,26.532,26.532,0,0
2016-08-25,26.454,26.454,26.432,26.432,686,0
2016-08-26,26.366,26.368,26.093,26.093,2152,0
2016-08-29,26.321,26.368,26.321,26.326,3565,0
2016-08-30,26.425,26.425,26.312,26.312,1358,0
2016-08-31,26.121,26.121,26.114,26.114,414,0
2016-09-01,26.004,26.121,25.997,26.121,1293,0
2016-09-02,26.397,26.512,26.397,26.512,5672,0
2016-09-06,26.819,27.029,26.819,27.029,526,0
2016-09-07,26.992,26.992,26.945,26.968,2670,0
2016-09-08,26.973,26.973,26.915,26.915,1095,0
2016-09-09,26.578,26.578,26.312,26.312,4057,0
2016-09-12,25.861,26.358,25.861,26.358,3512,0
2016-09-13,25.841,25.841,25.641,25.641,552,0
2016-09-14,25.837,25.837,25.837,25.837,553,0
2016-09-15,25.837,25.837,25.837,25.837,0,0
2016-09-16,26.014,26.014,26.014,26.014,1356,0
2016-09-19,26.34,26.34,26.265,26.265,1212,0
2016-09-20,26.321,26.349,26.321,26.331,3321,0
2016-09-21,26.503,26.542,26.409,26.503,856,0
2016-09-22,26.992,26.992,26.983,26.983,1621,0
2016-09-23,26.637,26.646,26.637,26.646,411,0
2016-09-26,26.535,26.535,26.535,26.535,276,0
2016-09-27,26.455,26.455,26.449,26.449,249,0
2016-09-28,26.449,26.449,26.449,26.449,0,0
2016-09-29,26.797,26.797,26.572,26.572,3070,0
2016-09-30,26.659,26.659,26.612,26.612,403,0
2016-10-03,26.612,26.612,26.612,26.612,0,0
2016-10-04,26.446,26.525,26.446,26.519,3790,0
2016-10-05,26.519,26.519,26.519,26.519,0,0
2016-10-06,26.712,26.72,26.712,26.72,3891,0
2016-10-07,26.787,26.797,26.642,26.779,3255,0
2016-10-10,26.992,27.025,26.992,27.025,1435,0
2016-10-11,26.476,26.476,26.328,26.328,2822,0
2016-10-12,26.301,26.367,26.301,26.367,1022,0
2016-10-13,26.135,26.202,25.998,26.194,3888,0
2016-10-14,26.328,26.33,26.328,26.33,1496,0
2016-10-17,26.291,26.291,26.253,26.253,1464,0
2016-10-18,26.696,26.729,26.696,26.729,6552,0
2016-10-19,26.817,26.867,26.817,26.867,2799,0
2016-10-20,26.797,26.797,26.796,26.796,4040,0
2016-10-21,26.709,26.709,26.709,26.709,272,0
2016-10-24,26.709,26.709,26.709,26.709,0,0
2016-10-25,26.938,26.938,26.937,26.937,408,0
2016-10-26,26.797,26.797,26.622,26.622,5096,0
2016-10-27,26.564,26.564,26.535,26.535,2614,0
2016-10-28,26.328,26.328,26.328,26.328,154,0
