Date,Open,High,Low,Close,Volume,OpenInt
2014-10-17,94.735,94.735,94.735,94.735,15305,0
2014-10-20,92.994,93.043,92.502,92.502,3171,0
2014-10-21,94.027,96.084,94.027,94.637,559,0
2014-10-22,96.585,97.717,95.66,96.438,21442,0
2014-10-23,96.635,97.914,96.251,97.412,22946,0
2014-10-24,95.946,97.422,95.946,97.422,811,0
2014-10-27,95.454,95.454,95.365,95.365,559,0
2014-10-28,94.745,94.745,94.125,94.125,508,0
2014-10-29,96.438,97.186,96.192,96.192,11763,0
2014-10-30,97.422,97.422,97.422,97.422,81398,0
2014-10-31,98.386,99.242,98.386,98.898,4357,0
2014-11-03,100.18,101.85,99.88,99.88,17037,0
2014-11-04,100.68,100.96,99.292,100.96,42479,0
2014-11-05,102.34,104.85,102.34,104.44,14607,0
2014-11-06,102.34,107.99,102.34,107.99,61307,0
2014-11-07,108.68,108.68,108.68,108.68,111934,0
2014-11-10,107.26,110.05,107.26,108.98,6801,0
2014-11-11,106.77,109.51,106.77,108.74,12503,0
2014-11-12,109.02,109.12,107.4,107.4,222908,0
2014-11-13,110.21,110.21,107.12,107.13,1275,0
2014-11-14,105.47,106,105.29,105.29,2182,0
2014-11-17,106.7,108.97,106.7,108.97,1085,0
2014-11-18,108.25,108.25,108.25,108.25,327,0
2014-11-19,106,106.77,106,106.77,412,0
2014-11-20,108.97,108.97,107.26,107.26,964,0
2014-11-21,108.97,108.97,108.61,108.61,916,0
2014-11-25,110.04,110.04,110.04,110.04,307,0
2014-11-26,106.34,109.57,106.34,109.57,321,0
2014-12-01,105,105,104.95,104.95,3857,0
2014-12-02,104.68,107.26,104.61,105.79,22439,0
2014-12-03,100.77,103.34,100.67,103.34,138203,0
2014-12-04,102.09,105.04,100.93,100.93,93639,0
2014-12-05,100.37,100.37,100.36,100.36,1582,0
2014-12-10,100.27,103.61,96.438,96.438,1883,0
2014-12-11,97.225,98.406,97.225,97.648,915,0
2014-12-12,99.39,99.39,96.241,96.241,27043,0
2014-12-15,96.192,96.192,95.208,95.296,37226,0
2014-12-17,98.357,100.39,97.914,100.39,41405,0
2014-12-18,100.73,103.15,100.62,100.62,381,0
2014-12-19,104.97,104.97,103.94,103.94,321,0
2014-12-22,99.68,99.68,96.684,96.684,975,0
2014-12-23,97.855,98.062,96.812,96.812,18306,0
2014-12-24,101.58,101.58,96.015,96.015,467,0
2014-12-26,95.454,96.33,95.454,96.33,806,0
2014-12-29,100.76,100.76,99.83,100.76,1822,0
2014-12-30,101.26,102.8,101.26,102.8,384,0
2014-12-31,103.33,103.33,99.42,99.42,670,0
2015-01-02,102.6,102.6,102.6,102.6,167,0
2015-01-05,99.75,100.03,99.75,99.88,41668,0
2015-01-06,100.59,100.59,98.908,100.53,970,0
2015-01-07,103.33,103.33,100.51,100.55,5925,0
2015-01-08,100.18,100.18,100.13,100.13,2326,0
2015-01-09,100.27,100.61,100.27,100.61,2127,0
2015-01-12,101.13,101.46,100.39,101.39,8081,0
2015-01-13,102.61,105.81,102.61,105.29,7739,0
2015-01-14,104.99,107.48,104.82,107.25,15799,0
2015-01-15,107.68,111,105.3,110.4,16289,0
2015-01-16,107.38,108.35,105.14,108.15,117026,0
2015-01-20,103.44,108.15,102.85,104.85,111043,0
2015-01-21,103,108.68,103,105.74,200622,0
2015-01-22,105.74,105.99,103.78,105.43,104079,0
2015-01-23,108.67,108.67,105.64,106.7,12051,0
2015-01-26,105,105.75,104,105.75,10297,0
2015-01-27,109.83,109.83,107,107,4611,0
2015-01-28,107,107,103.23,105.18,5081,0
2015-01-29,103,104.41,103,104.41,2273,0
2015-01-30,103.5,104.6,103.1,103.5,1575,0
2015-02-03,104.66,105.28,103.86,105.28,2036,0
2015-02-04,104.07,104.07,104,104,2131,0
2015-02-05,104.05,104.21,103.4,103.4,9183,0
2015-02-06,102.53,102.53,100.75,100.75,13414,0
2015-02-09,105.7,106.95,103.52,104,72287,0
2015-02-10,104,104,104,104,684,0
2015-02-11,104.5,104.5,104.43,104.43,1591,0
2015-02-12,105.94,105.94,103.14,103.14,384,0
2015-02-13,107,107,105,105,14652,0
2015-02-19,102.53,104.9,102.53,103.66,1145,0
2015-02-20,103.86,104,103.26,103.34,15579,0
2015-02-23,104.5,105.08,104.05,105.02,7570,0
2015-02-24,106.99,106.99,106.5,106.5,8155,0
2015-02-25,107.65,107.78,103,103,84721,0
2015-02-26,102.69,103.27,102.69,103.27,694,0
2015-02-27,104.99,104.99,100,102,55034,0
2015-03-02,100.4,103.99,98.78,103.08,5077,0
2015-03-03,102.23,102.98,99.32,102.79,3829,0
2015-03-04,103.57,105.27,102.49,102.8,4072,0
2015-03-05,104.49,104.49,100.42,101.09,3532,0
2015-03-06,103.7,103.7,99,102.6,2664,0
2015-03-09,104.5,104.5,102,102,1434,0
2015-03-10,103.5,103.5,99,101.05,3104,0
2015-03-12,99,99.35,98.32,99.35,2401,0
2015-03-13,100.49,100.49,96.01,96.01,280,0
2015-03-16,102.4,102.5,102.18,102.18,400,0
2015-03-17,103,104,102.69,103.75,1748,0
2015-03-18,104.99,105.38,103.08,104.6,3419,0
2015-03-19,104.6,104.99,103.97,103.97,942,0
2015-03-23,105.78,107.15,104,104,1143,0
2015-03-24,106.9,107.19,104.8,104.87,780,0
2015-03-25,104.57,104.6,102.67,102.67,696,0
2015-03-26,103.4,103.4,103.35,103.35,948,0
2015-03-27,95.46,105.3,95.46,105.3,1112,0
2015-03-30,108,109.5,108,109.5,7014,0
2015-03-31,109.53,111,108.58,109.15,30061,0
2015-04-01,107.78,107.78,105.25,106.17,8813,0
2015-04-02,108.09,108.12,108.08,108.12,982,0
2015-04-07,116.73,116.73,109.15,109.15,4195,0
2015-04-08,110.93,110.93,110.93,110.93,223,0
2015-04-09,108.1,108.1,108.05,108.05,781,0
2015-04-10,106.01,110.75,106.01,110.75,1188,0
2015-04-13,107.85,107.85,107.39,107.39,719,0
2015-04-14,109.99,109.99,109.99,109.99,102,0
2015-04-15,109.51,112.3,109.51,110.97,2234,0
2015-04-16,107.13,110.1,107.13,110,1198,0
2015-04-17,110,111.88,106.51,106.51,6993,0
2015-04-20,111.75,115.44,110.51,111,3396,0
2015-04-21,110.15,114.8,109.18,112.11,5986,0
2015-04-22,112.05,112.06,111.07,111.08,65766,0
2015-04-23,110.5,110.5,110.5,110.5,100,0
2015-04-24,109.8,109.8,109.8,109.8,500,0
2015-04-27,110,110,110,110,114,0
2015-04-28,110.82,114.01,110.82,112.44,504,0
2015-04-29,113,113,111,111,596,0
2015-04-30,110,113.51,110,113.51,234,0
2015-05-01,113.51,113.51,110.56,110.56,6122,0
2015-05-04,112.83,113.81,112.83,113.24,392,0
2015-05-05,111.18,113.3,111.18,113.3,2900,0
2015-05-06,118.89,118.89,107.35,108.31,2918,0
2015-05-07,107.19,107.3,107.19,107.3,475,0
2015-05-08,109.91,112,109.91,111.88,679,0
2015-05-11,111,111,110.99,110.99,1257,0
2015-05-12,110,110,109.97,109.97,400,0
2015-05-13,110.01,111.9,110,111.58,7963,0
2015-05-14,112.5,113.62,110.94,113.16,2037,0
2015-05-15,113.16,113.16,108.51,111.17,58466,0
2015-05-18,111.01,111.01,111,111,500,0
2015-05-19,111.35,111.35,111.35,111.35,350,0
2015-05-20,109.22,109.22,109.04,109.04,200,0
2015-05-21,110.5,110.5,110.5,110.5,164,0
2015-05-26,107.5,111.4,107.5,111.39,1750,0
2015-05-27,111.37,112.12,108.61,112.12,6096,0
2015-05-29,112.29,112.29,111.08,111.98,845,0
2015-06-01,111.57,111.57,111.57,111.57,194,0
2015-06-02,117.94,117.94,108.78,108.78,816,0
2015-06-03,107.73,109.05,107.73,109.05,500,0
2015-06-04,109.8,110.97,109.8,110.14,1151,0
2015-06-05,110.14,110.14,110.14,110.14,100,0
2015-06-08,112.1,112.1,112.02,112.02,300,0
2015-06-09,109.67,110.07,109.6,110.07,1816,0
2015-06-10,112.75,113.03,110.62,110.93,87865,0
2015-06-11,118.76,118.76,118.76,118.76,123,0
2015-06-12,110.9,110.9,110.9,110.9,300,0
2015-06-15,103.19,103.19,103.19,103.19,180,0
2015-06-17,108.02,110.86,108.02,110.86,400,0
2015-06-18,109.74,109.94,109.74,109.76,960,0
2015-06-19,109.24,109.74,109.24,109.65,930,0
2015-06-24,108.3,108.3,107.62,107.72,5415,0
2015-06-25,107.23,107.38,107.23,107.38,13612,0
2015-06-29,105.88,105.88,100.9,100.9,4751,0
2015-06-30,99.04,99.96,98.85,99.4,2090,0
2015-07-01,99.6,102.59,99.08,99.2,8424,0
2015-07-02,99.49,100.9,98.64,98.68,10722,0
2015-07-06,96.17,100.5,96.17,100.5,3207,0
2015-07-07,100.48,100.5,99.63,100.5,6068,0
2015-07-08,99.62,100.5,99.62,100.5,7879,0
2015-07-09,100.46,100.93,99.98,100.82,6001,0
