Date,Open,High,Low,Close,Volume,OpenInt
2015-10-21,0.5,0.5,0.5,0.5,5000,0
2015-12-23,0.37,0.37,0.37,0.37,10000,0
2016-01-19,0.33,0.33,0.33,0.33,5000,0
2016-01-20,0.33,0.33,0.33,0.33,2000,0
2016-01-22,0.37,0.37,0.33,0.33,300,0
2016-02-01,0.33,0.37,0.32,0.37,59100,0
2016-02-26,0.3601,0.3601,0.36,0.36,127000,0
2016-02-29,0.37,0.37,0.37,0.37,500,0
2016-03-07,0.3699,0.37,0.3699,0.37,21200,0
2016-03-09,0.35,0.35,0.35,0.35,22906,0
2016-03-31,0.4,0.4,0.4,0.4,100,0
2016-04-08,0.35,0.35,0.35,0.35,1000,0
2016-04-11,0.31,0.31,0.31,0.31,10000,0
2016-04-12,0.33,0.33,0.33,0.33,10000,0
2016-04-14,0.31,0.31,0.31,0.31,10000,0
2016-04-18,0.31,0.3101,0.31,0.31,20500,0
2016-04-19,0.31,0.35,0.31,0.35,55000,0
2016-04-21,0.33,0.3302,0.33,0.3302,72358,0
2016-05-02,0.3302,0.35,0.3302,0.35,28500,0
2016-05-04,0.3302,0.3302,0.3302,0.3302,20000,0
2016-05-11,0.3302,0.35,0.3,0.35,103884,0
2016-05-17,0.35,0.35,0.35,0.35,100,0
2016-06-09,0.3,0.3,0.3,0.3,1000,0
2016-06-22,0.35,0.35,0.35,0.35,12500,0
2016-06-28,0.38,0.4,0.38,0.4,24000,0
2016-06-29,0.5,0.81,0.5,0.6,783826,0
2016-06-30,0.65,0.68,0.63,0.66,46100,0
2016-07-01,0.65,0.65,0.65,0.65,100,0
2016-07-05,0.605,0.7,0.605,0.69,8475,0
2016-07-06,0.68,0.69,0.605,0.65,15229,0
2016-07-07,0.63,0.6899,0.63,0.6899,44170,0
2016-07-08,0.631,0.7,0.631,0.7,492,0
2016-07-11,0.631,0.6741,0.61,0.6741,61008,0
2016-07-12,0.655,0.655,0.655,0.655,100,0
2016-07-13,0.66,0.68,0.6569,0.68,70000,0
2016-07-14,0.63,0.65,0.63,0.65,5006,0
2016-07-18,0.625,0.6599,0.625,0.6487,64300,0
2016-07-19,0.625,0.675,0.625,0.675,101100,0
2016-07-20,0.625,0.65,0.625,0.65,103750,0
2016-07-21,0.625,0.6475,0.625,0.6475,1957,0
2016-07-22,0.625,0.6475,0.625,0.6475,1300,0
2016-07-25,0.625,0.6376,0.625,0.6376,26900,0
2016-07-26,0.625,0.64,0.625,0.64,1250,0
2016-07-27,0.625,0.625,0.625,0.625,54100,0
2016-07-28,0.625,0.625,0.625,0.625,9921,0
2016-07-29,0.6,0.65,0.56,0.56,4700,0
2016-08-01,0.62,0.62,0.62,0.62,100850,0
2016-08-02,0.62,0.63,0.62,0.63,8350,0
2016-08-08,0.62,0.62,0.62,0.62,100,0
2016-08-09,0.6199,0.6199,0.6,0.6,3700,0
2016-08-10,0.5999,0.6,0.5999,0.6,17400,0
2016-08-12,0.58,0.59,0.58,0.59,2000,0
2016-08-15,0.5796,0.62,0.5796,0.62,3525,0
2016-08-16,0.6,0.62,0.6,0.6,10675,0
2016-08-17,0.6,0.615,0.58,0.605,14230,0
2016-08-18,0.6,0.6,0.6,0.6,200,0
2016-08-19,0.605,0.605,0.605,0.605,100,0
2016-08-22,0.6,0.61,0.59,0.6,1300,0
2016-08-23,0.58,0.59,0.58,0.59,29500,0
2016-08-24,0.58,0.58,0.58,0.58,900,0
2016-08-25,0.58,0.58,0.58,0.58,1250,0
2016-08-26,0.58,0.58,0.55,0.55,7550,0
2016-08-29,0.59,0.59,0.59,0.59,1000,0
2016-08-30,0.5899,0.59,0.5899,0.59,200,0
2016-08-31,0.6,0.6,0.6,0.6,400,0
2016-09-01,0.58,0.58,0.58,0.58,100,0
2016-09-02,0.58,0.58,0.58,0.58,300,0
2016-09-06,0.58,0.5875,0.55,0.57,10363,0
2016-09-07,0.55,0.57,0.55,0.57,3200,0
2016-09-08,0.55,0.57,0.55,0.57,1200,0
2016-09-09,0.55,0.56,0.55,0.56,1100,0
2016-09-12,0.55,0.59,0.55,0.59,43900,0
2016-09-13,0.585,0.585,0.55,0.55,3000,0
2016-09-15,0.54,0.54,0.54,0.54,200,0
2016-09-16,0.56,0.56,0.56,0.56,100,0
2016-09-19,0.56,0.56,0.56,0.56,300,0
2016-09-20,0.56,0.56,0.56,0.56,100,0
2016-09-21,0.56,0.56,0.56,0.56,14500,0
2016-09-22,0.58,0.58,0.58,0.58,200,0
2016-09-23,0.58,0.59,0.58,0.59,10000,0
2016-09-29,0.58,0.58,0.58,0.58,100,0
2016-09-30,0.6,0.6,0.58,0.6,5200,0
2016-10-03,0.58,0.58,0.58,0.58,100,0
2016-10-06,0.59,0.59,0.59,0.59,100,0
2016-10-11,0.52,0.58,0.52,0.55,10100,0
2016-10-12,0.55,0.55,0.55,0.55,100,0
2016-10-13,0.54,0.58,0.54,0.554,20440,0
2016-10-14,0.58,0.58,0.58,0.58,11760,0
2016-10-17,0.52,0.575,0.52,0.575,15098,0
2016-10-18,0.56,0.56,0.442,0.56,14940,0
2016-10-19,0.56,0.56,0.52,0.52,5100,0
2016-10-20,0.56,0.56,0.56,0.56,80200,0
2016-10-24,0.51,0.6145,0.51,0.6145,17820,0
2016-10-25,0.56,0.5799,0.53,0.55,239957,0
2016-10-26,0.53,0.56,0.53,0.56,50150,0
2016-10-27,0.51,0.58,0.5,0.58,4289,0
2016-10-31,0.58,0.58,0.58,0.58,16800,0
2016-11-01,0.58,0.58,0.58,0.58,200,0
2016-11-03,0.58,0.58,0.55,0.58,1200,0
2016-11-07,0.14,0.58,0.14,0.58,5511,0
2016-11-08,0.58,0.595,0.5544,0.595,119724,0
2016-11-09,0.59,0.595,0.51,0.595,41878,0
2016-11-10,0.59,0.595,0.5759,0.58,63517,0
2016-11-11,0.56,0.56,0.56,0.56,500,0
2016-11-14,0.58,0.58,0.56,0.58,95100,0
2016-11-15,0.58,0.595,0.57,0.57,41918,0
2016-11-17,0.6,0.76,0.57,0.72,240470,0
2016-11-18,0.7,0.7,0.61,0.69,19250,0
2016-11-21,0.65,0.6999,0.64,0.6999,9200,0
2016-11-22,0.61,0.6999,0.57,0.57,6100,0
2016-11-23,0.6799,0.6799,0.51,0.55,1100,0
2016-11-28,0.51,0.51,0.51,0.51,100,0
2016-11-29,0.49,0.49,0.49,0.49,100,0
2016-11-30,0.6,0.6,0.6,0.6,100,0
2016-12-01,0.6999,0.6999,0.4845,0.595,5640,0
2016-12-02,0.55,0.6,0.436221,0.5999,11100,0
2016-12-05,0.4999,0.63,0.4999,0.63,300,0
2016-12-06,0.6489,0.6489,0.64,0.64,1000,0
2016-12-07,0.595,0.595,0.595,0.595,100,0
2016-12-08,0.5325,0.5325,0.5325,0.5325,100,0
2016-12-09,0.55,0.55,0.55,0.55,1000,0
2016-12-12,0.52,0.52,0.52,0.52,300,0
2016-12-13,0.5,0.5,0.5,0.5,100,0
2016-12-14,0.5499,0.5499,0.5439,0.5475,700,0
2016-12-15,0.5395,0.5395,0.5395,0.5395,100,0
2016-12-16,0.52,0.53,0.5,0.53,25200,0
2016-12-19,0.54,0.54,0.3,0.38,15200,0
2016-12-20,0.38,0.38,0.3201,0.3648,700,0
2016-12-21,0.38,0.38,0.38,0.38,100,0
2016-12-22,0.39,0.39,0.39,0.39,100,0
2016-12-23,0.4,0.44,0.2975,0.35,165300,0
2016-12-27,0.35,0.35,0.35,0.35,1100,0
2016-12-28,0.31,0.31,0.31,0.31,100,0
2016-12-29,0.37,0.37,0.37,0.37,100,0
2016-12-30,0.39,0.53,0.3501,0.3501,4340,0
2017-01-03,0.25,0.39,0.25,0.35,72340,0
2017-01-04,0.3518,0.4007,0.32,0.35,170236,0
2017-01-05,0.43,0.45,0.43,0.45,50200,0
2017-01-06,0.425,0.45,0.35,0.45,11400,0
2017-01-09,0.44,0.48,0.44,0.44,63200,0
2017-01-10,0.43,0.44,0.4091,0.44,117300,0
2017-01-11,0.38,0.38,0.38,0.38,100,0
2017-01-12,0.43,0.44,0.37,0.44,5300,0
2017-01-13,0.425,0.425,0.425,0.425,100,0
2017-01-17,0.4,0.4,0.4,0.4,100,0
