Date,Open,High,Low,Close,Volume,OpenInt
2014-08-06,6.1,6.25,6,6,1766149,0
2014-08-07,6.01,6.03,6,6.01,270995,0
2014-08-08,6.02,6.15,6,6.08,52065,0
2014-08-11,6.14,6.59,6.06,6.555,123442,0
2014-08-12,6.8,6.8,6.5,6.79,59141,0
2014-08-13,6.56,6.68,6.4,6.6,58710,0
2014-08-14,6.63,6.75,6.21,6.75,63797,0
2014-08-15,6.47,6.78,6.3901,6.54,66590,0
2014-08-18,6.39,6.681,6.39,6.4,30981,0
2014-08-19,6.4,6.48,6,6.22,77553,0
2014-08-20,6.2,6.42,6.09,6.19,39363,0
2014-08-21,6.09,6.29,6.09,6.11,10806,0
2014-08-22,6.12,6.3,6.12,6.15,44031,0
2014-08-25,6.14,6.56,6.12,6.16,319866,0
2014-08-26,6.15,6.5,6,6.09,46458,0
2014-08-27,6.12,6.46,6.12,6.17,22963,0
2014-08-28,6.16,6.16,6.01,6.1,6614,0
2014-08-29,6.14,6.25,6.14,6.15,33091,0
2014-09-02,6.08,6.22,5.63,5.68,137745,0
2014-09-03,5.93,5.98,5.69,5.9,66306,0
2014-09-04,5.97,5.97,5.31,5.37,54327,0
2014-09-05,5.41,6.05,5.41,5.97,50659,0
2014-09-08,6.02,6.5,5.75,6.09,70881,0
2014-09-09,6.09,6.33,6.09,6.29,195250,0
2014-09-10,6.5,7.38,6.25,7,153322,0
2014-09-11,7.41,7.48,6.64,6.7,68082,0
2014-09-12,6.99,7.58,6.71,7.23,156067,0
2014-09-15,7.23,7.55,6.1576,6.51,138907,0
2014-09-16,6.2,6.8,5.94,6.04,51334,0
2014-09-17,6.04,6.2,5.75,6.1,39420,0
2014-09-18,6.24,6.3,6.01,6.2075,55148,0
2014-09-19,6.2,6.4,6.01,6.06,41311,0
2014-09-22,6.02,6.46,5.8101,6.09,56520,0
2014-09-23,5.88,6.24,5.8,5.91,39075,0
2014-09-24,5.85,6.29,5.815,5.87,26853,0
2014-09-25,6.07,6.07,5.75,5.77,24126,0
2014-09-26,5.909,6.0244,5.86,6,10523,0
2014-09-29,5.9,5.94,5.8501,5.8501,1200,0
2014-09-30,5.89,6.0099,5.77,5.77,25646,0
2014-10-01,5.75,5.9513,5.75,5.75,9588,0
2014-10-02,5.75,6.03,5.48,5.57,62386,0
2014-10-03,5.605,5.605,5.3,5.32,13255,0
2014-10-06,5.38,5.44,5.2,5.42,11121,0
2014-10-07,5.4,5.44,4.73,4.82,19608,0
2014-10-08,4.95,5.18,4.95,4.96,4883,0
2014-10-09,5,5.27,4.84,4.91,10144,0
2014-10-10,4.93,5.04,4.91,4.91,3701,0
2014-10-13,4.94,4.94,4.55,4.7501,9701,0
2014-10-14,4.8,4.8,4.6,4.6,3620,0
2014-10-15,4.6,4.6501,4.14,4.42,8197,0
2014-10-16,4.25,4.3299,4.1,4.17,9870,0
2014-10-17,4.31,4.669,4.25,4.266,13513,0
2014-10-20,4.47,4.63,4.455,4.63,5160,0
2014-10-21,4.64,4.7,4.64,4.7,1000,0
2014-10-22,4.78,4.8,4.2901,4.38,13530,0
2014-10-23,4.6,4.75,4.42,4.541,6204,0
2014-10-24,4.58,5.2,4.5,4.55,35833,0
2014-10-27,5.11,5.11,4.57,4.68,6026,0
2014-10-28,4.68,4.69,4.66,4.66,3402,0
2014-10-29,4.69,4.72,4.5,4.521,4564,0
2014-10-30,4.509,4.509,4.5,4.5,1317,0
2014-10-31,4.57,4.61,4.51,4.566,3433,0
2014-11-03,4.59,4.6,4.21,4.26,8317,0
2014-11-04,4.36,4.66,4.35,4.36,934,0
2014-11-05,4.64,4.64,4.55,4.63,7599,0
2014-11-06,4.47,4.67,4.47,4.67,4016,0
2014-11-07,4.54,4.64,4.4627,4.61,3159,0
2014-11-10,4.589,4.589,4.4,4.4,2752,0
2014-11-11,4.41,4.432,4.4,4.4,4746,0
2014-11-12,4.53,4.6,4.35,4.38,7333,0
2014-11-13,4.33,4.33,4.155,4.21,5750,0
2014-11-14,4.21,4.26,4.15,4.1899,4677,0
2014-11-17,4.57,4.59,4.25,4.25,10871,0
2014-11-18,4.43,4.68,4.43,4.516,5404,0
2014-11-19,4.6,4.6995,4.39,4.65,9216,0
2014-11-20,4.63,4.73,4.3,4.3,25259,0
2014-11-21,4.51,4.66,4.42,4.42,10511,0
2014-11-24,4.59,4.73,4.51,4.53,4970,0
2014-11-25,4.7799,4.7799,4.4,4.4,3660,0
2014-11-26,4.4001,4.51,4.4001,4.51,3778,0
2014-11-28,4.75,4.75,4.41,4.49,1370,0
2014-12-01,4.5001,4.649,4.4,4.55,6205,0
2014-12-02,4.78,4.7999,4.48,4.52,3550,0
2014-12-03,4.5,4.71,4.3701,4.47,3481,0
2014-12-04,4.45,4.69,4.45,4.66,3836,0
2014-12-05,4.59,4.639,4.45,4.515,8440,0
2014-12-08,4.57,4.666,4.38,4.38,3040,0
2014-12-09,4.251,4.606,4.251,4.606,552,0
2014-12-10,4.6,4.6,4.04,4.08,14352,0
2014-12-11,4.32,4.32,4,4,6201,0
2014-12-12,4.11,4.11,3.85,3.95,5157,0
2014-12-15,3.82,3.82,3.581,3.61,10440,0
2014-12-16,3.69,3.7799,3.65,3.658,4863,0
2014-12-17,3.66,3.67,3.66,3.67,559,0
2014-12-18,3.67,3.7492,3.58,3.7324,19169,0
2014-12-19,3.76,3.8,3.63,3.65,5113,0
2014-12-22,3.77,3.77,3.63,3.63,21688,0
2014-12-23,3.63,3.63,3.3,3.5052,5451,0
2014-12-24,3.52,3.64,3.45,3.61,6466,0
2014-12-26,3.61,3.8,3.57,3.8,33187,0
2014-12-29,3.82,4.6899,3.82,3.92,12748,0
2014-12-30,4.08,4.1,3.82,3.98,11610,0
2014-12-31,3.98,4.1699,3.9,3.9,7990,0
2015-01-02,3.98,3.98,3.9299,3.94,4270,0
2015-01-05,3.98,3.98,3.71,3.875,25721,0
2015-01-06,3.75,3.76,3.51,3.51,3980,0
2015-01-07,3.5101,3.5101,3.5101,3.5101,197,0
2015-01-08,3.81,3.81,3.423,3.71,18055,0
2015-01-09,3.7,3.7,3.572,3.61,2184,0
2015-01-12,4.5,4.5,3.96,4.1,59396,0
2015-01-13,4.05,4.1,3.78,3.99,53777,0
2015-01-14,3.98,3.9999,3.7501,3.95,10601,0
2015-01-15,3.84,4.11,3.79,3.79,14328,0
