Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,11.907,11.954,11.865,11.914,142925,0
2005-02-28,11.878,11.929,11.767,11.878,144503,0
2005-03-01,11.878,12.032,11.852,12.018,103811,0
2005-03-02,11.97,12.142,11.914,12.066,130701,0
2005-03-03,12.087,12.11,11.87,12.032,139616,0
2005-03-04,12.032,12.186,12.018,12.148,170819,0
2005-03-07,12.118,12.311,12.118,12.239,206618,0
2005-03-08,12.255,12.255,12.11,12.164,171539,0
2005-03-09,12.128,12.135,11.929,11.934,154138,0
2005-03-10,12.005,12.095,11.886,11.894,85981,0
2005-03-11,11.948,11.97,11.894,11.914,45870,0
2005-03-14,11.907,12.118,11.886,12.074,88288,0
2005-03-15,12.074,12.135,11.824,11.886,287854,0
2005-03-16,11.754,11.976,11.754,11.83,114308,0
2005-03-17,11.816,11.948,11.789,11.934,65997,0
2005-03-18,11.976,11.984,11.796,11.852,216107,0
2005-03-21,11.796,11.921,11.747,11.914,74049,0
2005-03-22,11.962,11.984,11.824,11.83,60248,0
2005-03-23,11.789,11.816,11.691,11.719,105825,0
2005-03-24,11.719,11.824,11.712,11.762,122075,0
2005-03-28,11.824,11.878,11.767,11.852,149534,0
2005-03-29,11.808,11.858,11.582,11.649,136451,0
2005-03-30,11.649,11.929,11.649,11.921,106689,0
2005-03-31,11.894,11.907,11.657,11.767,183037,0
2005-04-01,11.83,11.929,11.537,11.672,159598,0
2005-04-04,11.677,11.726,11.448,11.644,94756,0
2005-04-05,11.644,11.683,11.559,11.672,114596,0
2005-04-06,11.672,11.712,11.588,11.664,83969,0
2005-04-07,11.606,11.672,11.544,11.567,53056,0
2005-04-08,11.544,11.614,11.455,11.455,63552,0
2005-04-11,11.455,11.475,11.126,11.176,113878,0
2005-04-12,11.037,11.732,10.967,11.726,170960,0
2005-04-13,11.614,11.635,11.322,11.322,105250,0
2005-04-14,11.349,11.649,11.349,11.567,215530,0
2005-04-15,11.544,11.567,11.176,11.253,262841,0
2005-04-18,11.267,11.448,11.164,11.427,200147,0
2005-04-19,11.448,11.46,11.304,11.421,88569,0
2005-04-20,11.421,11.421,11.022,11.148,146228,0
2005-04-21,11.288,11.511,11.273,11.491,99644,0
2005-04-22,11.413,11.413,11.205,11.304,135301,0
2005-04-25,11.336,11.365,10.989,11.093,257948,0
2005-04-26,11.043,11.093,10.842,10.954,116610,0
2005-04-27,10.92,11.26,10.92,11.058,158884,0
2005-04-28,10.635,10.635,9.822,9.822,330560,0
2005-04-29,10.501,10.85,10.114,10.78,538329,0
2005-05-02,10.816,10.92,10.522,10.78,285416,0
2005-05-03,10.78,10.78,10.108,10.121,220422,0
2005-05-04,10.279,10.808,10.279,10.704,174555,0
2005-05-05,10.78,10.78,10.308,10.404,125815,0
2005-05-06,10.418,10.745,10.418,10.635,104531,0
2005-05-09,10.572,10.579,10.355,10.447,149248,0
2005-05-10,10.378,10.765,10.322,10.393,102232,0
2005-05-11,10.475,10.536,10.295,10.438,120348,0
2005-05-12,10.386,10.488,10.257,10.295,174696,0
2005-05-13,10.326,10.386,9.813,10.139,103089,0
2005-05-16,10.108,10.482,10.108,10.447,102666,0
2005-05-17,10.447,10.724,10.423,10.528,171681,0
2005-05-18,10.67,11.12,10.67,11.003,202164,0
2005-05-19,11.022,11.1,10.619,10.8,120060,0
2005-05-20,10.738,10.899,10.509,10.85,77932,0
2005-05-23,10.885,10.967,10.842,10.885,129261,0
2005-05-24,10.926,11.1,10.869,10.946,97055,0
2005-05-25,10.913,11.051,10.913,11.022,157445,0
2005-05-26,11.081,11.115,10.976,10.989,154713,0
2005-05-27,11.003,11.051,10.983,11.003,227329,0
2005-05-31,10.946,11.12,10.946,11.051,165069,0
2005-06-01,11.058,11.343,11.011,11.296,272186,0
2005-06-02,11.304,11.544,11.267,11.448,159741,0
2005-06-03,11.379,11.467,11.245,11.308,72324,0
2005-06-06,11.304,11.505,11.253,11.455,130701,0
2005-06-07,11.475,11.594,11.371,11.441,158021,0
2005-06-08,11.413,11.455,11.371,11.427,96336,0
