Date,Open,High,Low,Close,Volume,OpenInt
2015-12-10,21.605,21.624,21.385,21.624,81079,0
2015-12-11,21.605,21.711,21.605,21.649,27101,0
2015-12-14,21.649,21.693,21.341,21.341,13186,0
2015-12-15,21.519,21.519,21.341,21.429,15763,0
2015-12-16,21.429,21.429,21.298,21.429,13041,0
2015-12-17,21.412,21.64,21.253,21.64,11567,0
2015-12-18,21.448,21.633,21.298,21.605,8051,0
2015-12-21,21.314,21.563,21.103,21.394,28689,0
2015-12-22,21.563,21.649,21.49,21.649,12224,0
2015-12-23,21.605,21.826,21.571,21.668,14400,0
2015-12-24,21.649,21.649,21.643,21.649,3516,0
2015-12-28,21.668,21.941,21.668,21.693,14329,0
2015-12-29,21.826,21.869,21.773,21.869,11221,0
2015-12-30,21.869,21.914,21.711,21.869,11227,0
2015-12-31,21.914,21.914,21.826,21.914,4247,0
2016-01-04,21.848,21.914,21.783,21.821,8800,0
2016-01-05,21.898,22.003,21.898,22.003,5840,0
2016-01-06,21.898,22.003,21.898,21.898,4864,0
2016-01-07,21.898,21.95,21.747,21.851,7284,0
2016-01-08,21.914,21.914,21.894,21.913,1056,0
2016-01-11,21.902,21.906,21.831,21.869,3796,0
2016-01-12,21.914,21.914,21.473,21.535,22291,0
2016-01-13,21.747,22.047,21.49,21.605,4694,0
2016-01-14,21.826,21.826,21.693,21.693,2862,0
2016-01-15,21.236,21.799,21.236,21.693,9747,0
2016-01-19,21.412,21.553,21.209,21.367,15763,0
2016-01-20,21.147,21.155,18.519,19.71,61058,0
2016-01-21,20.151,20.962,20.115,20.794,10497,0
2016-01-22,21.049,21.049,20.503,20.548,10840,0
2016-01-25,20.327,20.724,20.327,20.724,8732,0
2016-01-26,20.512,20.512,20.177,20.292,24415,0
2016-01-27,20.636,20.636,20.636,20.636,624,0
2016-01-28,20.724,21.73,20.679,21.624,9298,0
2016-01-29,21.573,21.776,21.077,21.473,3341,0
2016-02-01,21.799,21.826,21.799,21.826,235,0
2016-02-02,21.73,21.73,21.73,21.73,1134,0
2016-02-03,21.2,21.2,20.39,20.935,14589,0
2016-02-04,20.944,21.164,20.362,20.362,5237,0
2016-02-05,20.628,20.628,20.592,20.61,3856,0
2016-02-08,20.556,20.705,20.556,20.65,1387,0
2016-02-09,21.289,21.289,20.751,20.751,908,0
2016-02-10,20.773,21.006,20.768,21.006,1700,0
2016-02-11,21.085,21.24,21.077,21.24,792,0
2016-02-17,21.42,21.42,21.42,21.42,187,0
2016-02-18,21.5,21.5,21.438,21.438,1020,0
2016-02-19,21.44,21.44,21.314,21.412,1982,0
2016-02-22,21.024,21.429,20.996,21.429,1435,0
2016-02-23,21.016,21.473,21.016,21.429,24129,0
2016-02-24,21.448,21.448,21.042,21.408,1700,0
2016-02-25,21.482,21.482,21.452,21.452,339,0
2016-02-26,21.429,21.429,21.341,21.359,1613,0
2016-02-29,21.519,21.563,21.375,21.375,2494,0
2016-03-02,21.375,21.385,21.253,21.332,3729,0
2016-03-03,21.385,21.385,21.192,21.245,3741,0
2016-03-04,21.245,21.333,21.209,21.209,6026,0
2016-03-07,21.358,21.448,21.202,21.279,13835,0
2016-03-08,21.298,21.298,21.183,21.183,18968,0
2016-03-09,21.253,21.311,21.164,21.261,4878,0
2016-03-10,21.209,21.649,21.164,21.649,13442,0
2016-03-11,21.522,22.019,21.522,21.974,996,0
2016-03-14,21.793,21.964,21.693,21.693,5815,0
2016-03-15,21.829,21.829,21.579,21.667,79505,0
2016-03-16,21.667,21.785,21.667,21.703,5405,0
2016-03-17,21.848,21.848,21.657,21.667,4048,0
2016-03-18,21.677,21.793,21.631,21.793,1560,0
2016-03-21,22.119,22.119,22.082,22.082,1086,0
